Date,Open,High,Low,Close,Volume,OpenInt
19840907,0.4379,0.4432,0.4326,0.4379,22476461,0
19840910,0.4379,0.43923,0.42735,0.43527,17445402,0
19840911,0.43923,0.45114,0.43923,0.4432,41137289,0
19840912,0.4432,0.44584,0.42995,0.42995,35936930,0
19840913,0.45381,0.45509,0.45381,0.45381,55970441,0
19840914,0.45509,0.47098,0.45509,0.4604,66643267,0
19840917,0.47231,0.47891,0.47231,0.47231,52033872,0
19840918,0.47231,0.47629,0.45509,0.45509,26267889,0
19840919,0.45509,0.4604,0.44584,0.44584,28692706,0
19840920,0.44719,0.45114,0.44719,0.44719,17862650,0
19840921,0.44719,0.4604,0.4379,0.4432,26951179,0
19840924,0.4432,0.44584,0.43923,0.43923,21327548,0
19840925,0.4379,0.4379,0.42995,0.42995,45025482,0
19840926,0.42995,0.44981,0.4247,0.4247,29956521,0
19840927,0.4247,0.42735,0.4247,0.4247,28595955,0
19840928,0.4247,0.4247,0.40617,0.41408,63009058,0
19841001,0.41277,0.41277,0.40482,0.40482,26394871,0
19841002,0.40748,0.42204,0.40748,0.40748,31921762,0
19841003,0.41408,0.4207,0.41408,0.41408,32508328,0
19841004,0.41937,0.42204,0.41937,0.41937,33874931,0
19841005,0.41937,0.41937,0.40748,0.41012,26340453,0
19841008,0.41012,0.41277,0.41012,0.41012,12680426,0
19841009,0.41012,0.41277,0.40617,0.40617,33814458,0
19841010,0.40617,0.40617,0.39426,0.39426,98492473,0
19841011,0.39426,0.40482,0.3916,0.3916,49336943,0
19841012,0.3916,0.39426,0.37176,0.37441,71752934,0
19841015,0.39556,0.39954,0.39556,0.39556,65669713,0
19841016,0.39556,0.3969,0.39426,0.39426,31861306,0
19841017,0.41012,0.41277,0.41012,0.41012,42286224,0
19841018,0.42204,0.4247,0.42204,0.42204,66721879,0
19841019,0.42204,0.45114,0.4207,0.42204,88037334,0
19841022,0.42204,0.42864,0.41937,0.41937,30978455,0
19841023,0.42864,0.4326,0.42864,0.42864,50328647,0
19841024,0.4326,0.4379,0.4326,0.4326,45085952,0
19841025,0.4326,0.4326,0.41673,0.41673,42697418,0
19841026,0.41673,0.41673,0.40482,0.40617,31002629,0
19841029,0.40748,0.41012,0.40748,0.40748,13672123,0
19841030,0.41277,0.41673,0.41277,0.41277,20136296,0
19841031,0.41277,0.41673,0.41012,0.41012,16260211,0
19841101,0.41277,0.41673,0.41277,0.41277,12698559,0
19841102,0.41277,0.41408,0.40748,0.41012,7474013,0
19841105,0.41012,0.41937,0.40748,0.40748,28444784,0
19841106,0.4326,0.43527,0.4326,0.4326,60826124,0
19841107,0.4326,0.43527,0.4247,0.4247,62507166,0
19841108,0.4247,0.4247,0.40748,0.40748,23788640,0
19841109,0.40748,0.41012,0.3797,0.38366,79402311,0
19841112,0.3969,0.39954,0.3969,0.3969,30573303,0
19841113,0.3969,0.40617,0.38765,0.38765,34195423,0
19841114,0.3916,0.39556,0.3916,0.3916,28166611,0
19841115,0.3916,0.39556,0.3916,0.3916,28777359,0
19841116,0.3916,0.3969,0.38103,0.38366,44747325,0
19841119,0.38366,0.38631,0.36118,0.36118,62894163,0
19841120,0.37306,0.37441,0.37306,0.37306,71063574,0
19841121,0.38103,0.38366,0.38103,0.38103,48248491,0
19841123,0.38631,0.3969,0.38631,0.3916,37007233,0
19841126,0.39556,0.39556,0.39556,0.39556,27168887,0
19841127,0.40617,0.41012,0.40617,0.40617,34394962,0
19841128,0.42735,0.4379,0.42735,0.42735,110822189,0
19841129,0.42735,0.42735,0.41937,0.41937,47208431,0
19841130,0.41937,0.42204,0.40617,0.40748,29345783,0
19841203,0.40748,0.41012,0.40219,0.40219,26455341,0
19841204,0.41012,0.41937,0.41012,0.41012,32496227,0
19841205,0.42995,0.42995,0.42995,0.42995,70972884,0
19841206,0.45114,0.45381,0.45114,0.45114,85648798,0
19841207,0.45114,0.46836,0.44719,0.44981,133498176,0
19841210,0.44981,0.44981,0.44056,0.44056,30095592,0
19841211,0.44056,0.44719,0.43527,0.43527,33415359,0
19841212,0.43527,0.43527,0.4207,0.4207,29714647,0
19841213,0.4247,0.4326,0.4247,0.4247,18044047,0
19841214,0.4247,0.43923,0.4247,0.43527,25953448,0
