Date,Open,High,Low,Close,Volume,OpenInt
20141219,0.9,0.9,0.75,0.75,10600,0
20141222,1.05,1.05,0.71,0.71,15275,0
20141223,0.7,0.74,0.68,0.7,8200,0
20141224,0.7,0.72,0.65,0.708,71001,0
20141226,0.78,0.78,0.75,0.75,4300,0
20141230,0.8,0.8,0.8,0.8,400,0
20150105,0.989,1.15,0.8499,0.85,2850,0
20150106,0.919,0.919,0.919,0.919,500,0
20150108,0.801,0.801,0.8,0.8,2200,0
20150109,0.75,0.95,0.71,0.71,3850,0
20150112,0.7,0.7,0.7,0.7,1000,0
20150114,0.8,0.84,0.7,0.84,6200,0
20150115,0.8,0.8,0.72,0.72,2000,0
20150116,0.8125,0.8125,0.8,0.8,400,0
20150120,0.75,0.75,0.7,0.7,2200,0
20150121,0.675,0.6999,0.675,0.69,2500,0
20150122,0.72,0.72,0.72,0.72,1000,0
20150130,0.75,0.75,0.75,0.75,100,0
20150203,0.8,0.8,0.65,0.8,2900,0
20150205,0.72,0.8,0.68,0.8,6100,0
20150210,0.78,0.78,0.72,0.72,252,0
20150211,0.9,0.95,0.9,0.95,1400,0
20150212,0.95,0.95,0.93,0.93,7500,0
20150213,0.95,1,0.95,1,24300,0
20150217,1.3,1.3,1.08,1.08,200,0
20150218,1.08,1.08,1.08,1.08,1000,0
20150219,1,1.08,1,1.08,1100,0
20150223,0.96,0.96,0.9,0.95,3326,0
20150224,1,1,0.9002,1,6300,0
20150225,0.99,0.99,0.99,0.99,200,0
20150226,1,1,0.89,0.9999,7300,0
20150227,0.9998,1,0.78,0.94,50301,0
20150302,1,1,0.9199,0.9199,5000,0
20150303,0.92,1,0.88,1,8800,0
20150305,1.1,1.1,1.1,1.1,500,0
20150306,1.13,1.13,1.13,1.13,10000,0
20150309,0.98,1.05,0.94,1.05,5200,0
20150310,1.09,1.09,1.03,1.03,1000,0
20150311,1,1,1,1,600,0
20150312,0.99,1,0.94,0.94,9300,0
20150313,0.92,0.94,0.87,0.94,900,0
20150316,0.94,0.94,0.94,0.94,1100,0
20150317,0.84,0.84,0.84,0.84,600,0
20150318,0.84,0.94,0.84,0.94,4200,0
20150319,0.99,1.01,0.92,0.92,2800,0
20150320,0.93,0.93,0.93,0.93,400,0
20150402,0.95,1.04,0.95,1.04,1600,0
20150406,1.01,1.01,1,1,300,0
20150408,1,1,1,1,10000,0
20150409,1.01,1.1,1.01,1.1,621,0
20150413,1.11,1.11,1.11,1.11,100,0
20150414,1.09,1.09,1.09,1.09,200,0
20150415,1.25,1.61,1.191,1.25,101159,0
20150416,1.25,1.41,1.25,1.35,76000,0
20150417,1.35,1.38,1.35,1.38,4200,0
20150420,1.38,1.38,1.38,1.38,1000,0
20150421,1.02,1.26,0.85,1.25,28056,0
20150422,1.25,1.28,1.24,1.28,55400,0
20150423,1.35,1.54,1.34,1.54,11000,0
20150424,1.6,1.61,1.52,1.52,21300,0
20150427,1.52,1.52,1.51,1.51,200,0
20150428,1.49,1.49,1.42,1.42,300,0
20150429,1.41,1.41,1.15,1.28,3900,0
20150430,1.27,1.27,1.27,1.27,300,0
20150501,1.28,1.28,1.28,1.28,100,0
20150504,1.35,1.35,1.35,1.35,200,0
20150505,2.15,3.49,1.8,2.63,613400,0
20150506,4.38,6.1,3.5,3.75,572708,0
20150507,5.25,5.3804,2.55,2.65,460826,0
20150508,2.78,3.11,2.1,2.5,236300,0
20150511,2.9,4.69,2.6,4.59,445700,0
20150512,3.92,5.19,3.77,4.05,486775,0
20150513,3.68,4.18,3.53,3.7,78600,0
20150514,4.25,4.4,3.17,3.4,174500,0
20150515,3,3.38,2.81,3.0504,75427,0
20150518,3.9,4.4,3.16,4.21,214380,0
20150519,4.2,5.8,4.03,4.64,583500,0
20150520,5.14,5.78,4.11,4.3,384700,0
20150521,4.4,4.55,3.72,3.95,48400,0
20150522,3.86,4.3,3.86,4,42900,0
20150526,4.7,4.7,3.9,4.2,31937,0
20150527,4.37,4.94,3.97,4.13,113200,0
20150528,4.5,4.5,3.74,3.83,32404,0
20150529,3.78,4.06,3.4,3.52,70400,0
20150601,3.24,3.5,3.01,3.4,49400,0
20150602,3.05,3.8,3.05,3.37,23923,0
20150603,3.32,3.48,3.05,3.24,17800,0
20150604,3.15,3.15,3.01,3.01,3600,0
20150605,2.9,3.34,2.8,3.2,30600,0
20150608,3.5,3.52,3.01,3.27,13900,0
20150609,3,3.41,2.9,3.2,6908,0
20150610,2.95,3.09,2.76,3,11769,0
20150611,3.41,3.41,3.01,3.05,18532,0
20150612,3.07,3.07,2.89,2.99,12700,0
20150615,2.94,2.94,2.75,2.94,11700,0
20150616,2.82,2.9,2.81,2.81,3600,0
20150617,2.75,2.86,2.41,2.6,12300,0
20150618,2.42,2.48,2.31,2.44,10000,0
20150619,2.42,2.44,2.4,2.4,1600,0
20150623,2.9,2.9899,2.142,2.6,14512,0
20150624,2.6,2.6,2.22,2.48,5800,0
20150625,2.3,2.33,2.3,2.33,1000,0
20150626,2.23,2.23,2,2.05,3300,0
20150629,2.02,2.05,2.02,2.03,500,0
20150630,1.85,1.95,1.72,1.9,13249,0
20150701,1.9,1.99,1.65,1.65,4600,0
20150702,1.5,1.61,1.1,1.48,15200,0
20150706,1.3,1.3,1.07,1.24,500,0
20150707,1.24,1.95,1.24,1.65,9600,0
20150708,2.54,2.54,1.5,1.56,32100,0
20150709,1.6,1.94,1.55,1.7,16700,0
20150710,1.95,2.21,1.95,2.05,16000,0
20150713,2.3,2.75,2.3,2.56,24200,0
20150714,2.99,3,2.5,2.5,24988,0
20150715,2.85,2.85,2.3501,2.4,12574,0
20150716,2.02,2.2,1.6,1.95,11300,0
20150717,1.97,2.01,1.86,1.95,7800,0
20150720,2.21,2.34,1.9,1.97,5700,0
20150721,2.01,2.01,1.98,1.98,300,0
20150722,1.83,2,1.83,1.9,4900,0
20150724,2.09,2.09,1.93,1.93,400,0
20150727,1.65,1.65,1.65,1.65,200,0
20150728,2,2.8,1.65,2.07,42800,0
20150729,2.3,2.59,2.08,2.19,10800,0
20150730,2.15,2.15,2.15,2.15,100,0
20150731,2.6,2.6,2.25,2.45,6500,0
20150803,2.43,2.67,2.43,2.5,2928,0
20150804,2.45,2.8,2.45,2.55,1500,0
20150805,2.3,2.8,2.3,2.4,9200,0
20150806,2.32,2.32,2.2999,2.2999,2553,0
20150807,2.08,2.1,2.07,2.07,2100,0
20150810,2.12,2.75,2.12,2.75,1300,0
20150811,2.59,2.74,2.14,2.259,3027,0
20150812,2.26,2.52,2.07,2.35,10300,0
20150813,2.12,2.17,2.08,2.12,2400,0
20150814,2.1,2.26,2.07,2.13,2000,0
20150817,2.09,2.35,2.05,2.35,1800,0
20150818,2.13,2.53,1.58,1.58,8600,0
20150819,2.25,2.25,1.73,2.18,10000,0
20150820,1.81,1.81,1.69,1.69,4000,0
20150821,1.69,2.07,1.69,2,4600,0
20150824,1.52,1.86,1.26,1.26,3299,0
20150825,1.67,2.05,1.62,1.85,22800,0
20150826,2,2,1.62,1.67,3700,0
20150827,1.72,1.73,1.35,1.55,4300,0
20150828,1.86,1.88,1.58,1.83,4900,0
20150831,2,2,1.8,1.8,3500,0
20150901,1.6,1.6,1.6,1.6,600,0
20150902,2,2,1.66,1.67,1500,0
20150903,1.99,2,1.71,1.77,10500,0
20150904,1.8,1.87,1.8,1.83,1700,0
20150908,1.71,1.78,1.71,1.78,400,0
20150909,1.95,2,1.73,2,9400,0
20150910,2,2.35,2,2.2,5507,0
20150911,2.12,2.21,2.1,2.21,800,0
20150914,2.02,2.17,2.01,2.17,1600,0
20150916,1.76,2.12,1.76,1.86,6300,0
20150918,2,2.39,1.81,2.08,9400,0
20150923,1.71,1.9,1.71,1.73,400,0
20150924,2.35,2.35,1.82,2,16338,0
20150925,1.94,1.94,1.84,1.84,2300,0
20150928,1.73,1.76,1.69,1.69,6597,0
20150929,1.62,1.62,1.5,1.5,5500,0
20150930,1.48,1.48,1.48,1.48,200,0
20151001,1.54,1.54,1.48,1.48,1300,0
20151002,1.67,1.67,1.45,1.47,2400,0
20151005,1.7046,1.7046,1.56,1.6999,6649,0
20151006,1.29,1.6,1.29,1.6,1200,0
20151008,1.55,1.55,1.5,1.52,2900,0
20151009,1.61,1.7,1.61,1.69,2700,0
20151012,1.34,1.8,1.34,1.8,1100,0
20151013,1.7,1.7,1.7,1.7,100,0
20151014,1.58,1.58,1.58,1.58,500,0
20151015,1.6,1.6,1.58,1.6,1400,0
20151016,1.58,1.58,1.58,1.58,100,0
20151019,1.6,1.6,1.46,1.47,4400,0
20151020,1.46,1.46,1.46,1.46,130,0
20151021,1.4,1.4,1.4,1.4,200,0
20151022,1.39,1.4,1.35,1.36,1200,0
20151023,1.52,1.52,1.4,1.41,3500,0
20151026,1.61,1.61,1.41,1.41,1000,0
20151027,1.54,1.72,1.54,1.72,2700,0
20151029,1.68,1.68,1.42,1.47,2300,0
20151030,1.44,1.44,1.41,1.41,500,0
20151102,1.545,1.545,1.43,1.43,1500,0
20151103,1.41,1.66,1.41,1.66,9900,0
20151104,1.66,1.66,1.66,1.66,100,0
20151105,1.73,1.73,1.7,1.7,1100,0
20151106,1.6,1.64,1.55,1.55,4200,0
20151109,1.55,1.55,1.55,1.55,6085,0
20151111,1.73,1.73,1.73,1.73,300,0
20151112,1.45,1.78,1.45,1.65,7400,0
20151117,1.54,1.54,1.5,1.5,2000,0
20151120,1.5,1.78,1.5,1.78,13200,0
20151123,1.5,1.72,1.5,1.69,14500,0
20151125,1.57,1.65,1.55,1.65,3900,0
20151127,1.64,1.77,1.64,1.76,4400,0
20151130,1.55,1.55,1.54,1.54,800,0
20151201,1.55,1.61,1.54,1.61,2800,0
20151202,1.53,1.6,1.48,1.55,3892,0
20151203,1.52,1.52,1.41,1.42,2320,0
20151204,1.41,1.46,1.25,1.33,4600,0
20151207,1.32,1.35,1.32,1.35,1400,0
20151208,1.3,1.3449,1.3,1.3449,2300,0
20151211,1.28,1.28,1.25,1.27,1300,0
20151214,1.31,1.31,1.25,1.3,1288,0
20151215,1.3,1.3,1.3,1.3,300,0
20151216,1.3,1.39,1.3,1.3,700,0
20151217,1.25,1.25,1.25,1.25,1100,0
20151221,1.25,1.57,0.89,1.36,5200,0
20151222,1.4,1.4,1.4,1.4,1002,0
20151230,1.2,1.2001,1.2,1.2001,23958,0
20160107,1.05,1.13,1.05,1.065,1585,0
20160108,1.08,1.08,1.05,1.05,544,0
20160111,1.05,1.1,1.05,1.1,4734,0
20160112,0.89,0.89,0.89,0.89,336,0
20160113,0.89,0.89,0.776,0.776,8851,0
20160114,0.64,1,0.64,0.9999,3100,0
20160126,0.88,0.88,0.88,0.88,1300,0
20160128,0.71,0.71,0.68,0.69,6400,0
20160129,0.9,0.9153,0.81,0.9153,8200,0
20160201,0.7,0.73,0.7,0.7,1100,0
20160202,0.7,0.7,0.7,0.7,1100,0
20160203,0.414,0.9,0.414,0.7303,1010,0
20160210,0.51,0.51,0.51,0.51,500,0
20160212,1.09,1.09,0.921,0.921,380,0
20160216,0.921,0.921,0.921,0.921,330,0
20160222,0.53,0.5301,0.5,0.5019,1992,0
20160224,0.57,0.57,0.57,0.57,830,0
20160229,0.75,0.75,0.52,0.58,2146,0
20160304,0.7,0.7412,0.6,0.6,1400,0
20160307,1,1,0.9,0.95,1401,0
20160308,0.903,0.903,0.903,0.903,504,0
20160318,0.9,0.9,0.9,0.9,100,0
20160321,0.65,0.68,0.61,0.67,2171,0
20160322,0.71,0.71,0.71,0.71,100,0
20160328,0.63,0.63,0.6,0.6,900,0
20160330,0.75,0.78,0.75,0.78,1090,0
20160331,0.85,0.85,0.85,0.85,120,0
20160404,0.92,1.03,0.92,0.99,7590,0
20160405,1.05,1.05,1,1,2816,0
20160406,1,1,1,1,2334,0
20160407,0.9453,0.9453,0.92,0.92,4804,0
20160408,1.15,1.15,0.78,0.85,11754,0
20160412,0.65,0.65,0.65,0.65,150,0
20160414,0.79,0.79,0.79,0.79,150,0
