Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.78,26.22,25.74,26.17,740597,0
20050228,26.23,26.25,25.85,26.02,696379,0
20050301,26.1,26.29,25.98,26.09,957209,0
20050302,26.14,26.14,25.78,25.87,754915,0
20050303,26.08,26.08,25.39,25.5,1203294,0
20050304,25.5,25.8,25.5,25.69,802251,0
20050307,25.76,25.85,25.66,25.75,564841,0
20050308,25.75,26.17,25.57,26.04,1209515,0
20050309,26.06,26.11,25.75,25.75,606268,0
20050310,25.71,25.81,25.41,25.57,574102,0
20050311,25.63,25.63,25.23,25.42,918157,0
20050314,25.5,25.85,25.5,25.78,585112,0
20050315,25.8,25.93,25.3,25.38,619299,0
20050316,25.35,25.35,22.13,24.54,3547285,0
20050317,24.54,25.21,24.43,24.94,1147210,0
20050318,24.94,25.03,24.37,24.47,1046497,0
20050321,24.38,24.53,23.65,23.72,1395032,0
20050322,23.71,24.25,23.55,23.62,1373899,0
20050323,23.62,23.66,23.41,23.47,4926168,0
20050324,23.47,23.62,23.25,23.42,1522077,0
20050328,23.53,23.62,23.36,23.42,1314079,0
20050329,23.52,23.53,23.26,23.26,926837,0
20050330,23.35,23.62,23.32,23.57,1273295,0
20050331,23.62,23.63,23.55,23.56,1594514,0
20050401,23.65,23.92,23.56,23.71,1399230,0
20050404,23.76,23.77,23.45,23.7,848071,0
20050405,23.8,23.82,23.49,23.53,531863,0
20050406,23.53,23.84,23.53,23.83,943576,0
20050407,23.86,23.86,23.61,23.73,782433,0
20050408,23.67,23.81,23.58,23.62,526978,0
20050411,23.66,23.76,23.5,23.53,654551,0
20050412,23.54,23.78,23.32,23.62,1009377,0
20050413,23.68,23.78,23.56,23.72,876559,0
20050414,23.74,23.88,23.32,23.5,869637,0
20050415,23.43,23.57,23.26,23.31,557657,0
20050418,23.32,23.67,23.26,23.64,820441,0
20050419,23.81,23.97,23.7,23.92,770367,0
20050420,23.99,24.05,23.71,23.84,925640,0
20050421,24.1,24.11,23.59,23.63,942600,0
20050422,24.04,24.04,23.68,23.84,1136922,0
20050425,24.06,24.11,23.86,24.1,784699,0
20050426,24.07,24.14,24,24.1,908546,0
20050427,24.11,24.14,23.71,24.14,882428,0
20050428,24.22,24.23,23.86,23.95,626419,0
20050429,24.19,24.22,23.51,23.98,974589,0
20050502,23.92,24.03,23.62,23.94,1031738,0
20050503,23.98,24.4,23.74,24.25,867245,0
20050504,24.52,25.86,24.37,25.69,3020935,0
20050505,25.78,25.78,25.01,25.34,1628952,0
20050506,25.48,25.57,25.28,25.33,1394902,0
20050509,25.57,25.79,25.38,25.75,1352087,0
20050510,25.75,25.8,25.36,25.54,1193391,0
20050511,25.53,25.79,25.39,25.5,1769878,0
20050512,25.27,25.32,24.7,24.84,960501,0
20050513,24.98,25.11,24.72,24.88,851884,0
20050516,24.92,25.15,24.84,25.15,823310,0
20050517,25.14,25.34,25.04,25.3,724397,0
20050518,25.29,25.69,24.92,25.69,919884,0
20050519,25.51,25.87,25.51,25.85,1166346,0
20050520,25.86,26.02,25.54,25.96,867066,0
20050523,26.05,26.09,25.5,25.95,1227080,0
20050524,25.91,26.02,25.6,25.92,1016608,0
