Date,Open,High,Low,Close,Volume,OpenInt
20151102,13.8,15,13.8,15,1777,0
20151103,17.5,17.5,15.66,15.66,3700,0
20151104,15.001,15.05,14.3,14.305,76378,0
20151105,14.3,14.5,13.99,14.05,147000,0
20151106,14.16,14.2,14.07,14.15,51100,0
20151109,14.19,14.35,14.15,14.25,25578,0
20151110,14.6,14.6,14.22,14.25,16300,0
20151111,14.25,14.38,14.25,14.3,186400,0
20151112,14.3,14.3,14.2,14.26,33800,0
20151113,14.39,15,14.16,14.79,212400,0
20151116,14.85,14.85,14.32,14.53,27500,0
20151117,14.59,14.89,14.55,14.75,12200,0
20151118,14.4,14.7,14.25,14.57,67100,0
20151119,14.3,14.7,14.26,14.5,11000,0
20151120,14.35,14.35,14.25,14.27,39100,0
20151123,14.3,14.45,14.3,14.36,34000,0
20151124,14.2,14.45,14.2,14.45,24300,0
20151125,14.45,14.45,14.32,14.32,600,0
20151127,14.3,14.44,14.3,14.35,8200,0
20151130,14.44,14.45,14.35,14.43,18900,0
20151201,14.35,14.67,14.35,14.53,24736,0
20151202,14.7,14.75,14.4,14.52,53079,0
20151203,14.48,14.75,14.36,14.37,11485,0
20151204,14.37,14.6,14.36,14.4,15000,0
20151207,14.36,14.75,14.36,14.69,41800,0
20151208,14.74,14.75,14.37,14.67,60598,0
20151209,14.55,14.7,14.54,14.68,31700,0
20151210,14.62,14.65,14.55,14.64,17300,0
20151211,14.69,14.69,14.36,14.53,38900,0
20151214,14.5,14.69,14.17,14.21,596135,0
20151215,14.24,14.64,14.18,14.48,45400,0
20151216,14.49,14.75,14.31,14.75,78300,0
20151217,14.74,14.97,14.43,14.64,87500,0
20151218,14.7,14.74,14.31,14.65,927100,0
20151221,14.74,14.74,14.57,14.7,13700,0
20151222,14.6,14.7,14.6,14.69,8640,0
20151223,14.74,14.9,14.7,14.89,183100,0
20151224,14.85,14.96,14.5,14.78,8132,0
20151228,14.83,14.87,14.47,14.52,20710,0
20151229,14.6,14.99,14.6,14.93,23370,0
20151230,14.52,14.84,14.52,14.84,400,0
20151231,14.87,15,14.69,14.98,10578,0
20160104,14.88,14.9,14.6,14.85,31408,0
20160105,14.82,14.85,14.36,14.47,56317,0
20160106,14.26,14.49,14.25,14.49,421993,0
20160107,14.3,14.45,14.3,14.41,157922,0
20160108,14.47,14.47,14.16,14.16,42510,0
20160111,14.15,14.15,13.27,13.98,48127,0
20160112,14.05,14.1,13.85,14.01,43022,0
20160113,13.99,13.99,13.62,13.64,11942,0
