Date,Open,High,Low,Close,Volume,OpenInt
20140116,10.787,11.11,10.58,10.891,9015044,0
20140117,11.022,11.189,10.825,11.189,1496551,0
20140121,11.189,11.274,11.093,11.215,632727,0
20140122,11.176,11.305,10.987,11.153,467971,0
20140123,11.189,11.476,10.981,11.451,716886,0
20140124,11.32,11.396,11.077,11.396,447945,0
20140127,11.476,11.591,11.153,11.591,414035,0
20140128,11.599,11.599,11.259,11.459,141166,0
20140129,11.189,11.599,11.189,11.548,388973,0
20140130,11.599,11.599,11.426,11.495,354695,0
20140131,11.518,11.581,11.364,11.468,319065,0
20140203,11.434,11.443,11.198,11.259,334413,0
20140204,11.198,11.289,11.189,11.259,62515,0
20140205,11.241,11.296,11.189,11.259,69095,0
20140206,11.233,11.355,11.224,11.289,90015,0
20140207,11.387,11.387,11.241,11.305,36940,0
20140210,11.459,11.677,11.433,11.65,357856,0
20140211,11.557,11.762,11.468,11.739,312039,0
20140212,11.8,11.8,11.573,11.72,80241,0
20140213,11.704,11.72,11.557,11.72,96188,0
20140214,11.72,11.776,11.518,11.72,135604,0
20140218,11.72,11.819,11.599,11.779,149856,0
20140219,11.566,11.779,11.566,11.687,119441,0
20140220,11.785,11.791,11.599,11.711,159770,0
20140221,11.762,11.809,11.711,11.8,100373,0
20140224,11.876,11.884,11.72,11.852,119503,0
20140225,11.956,11.99,11.677,11.779,165599,0
20140226,11.923,11.923,11.77,11.907,139343,0
20140227,11.867,11.981,11.852,11.965,78439,0
20140228,11.965,11.965,11.884,11.902,137304,0
20140303,11.923,11.956,11.791,11.956,130891,0
20140304,11.965,11.965,11.762,11.762,70988,0
20140305,11.687,11.809,11.664,11.755,52002,0
20140306,11.657,11.819,11.64,11.664,123045,0
20140307,11.711,11.72,11.65,11.664,119687,0
20140310,11.64,11.819,11.515,11.572,95120,0
20140311,11.65,11.696,11.557,11.615,28044,0
20140312,11.64,11.755,11.557,11.704,20424,0
20140313,11.557,11.687,11.396,11.434,155979,0
20140314,11.417,11.478,11.387,11.387,52717,0
20140317,11.406,11.67,11.387,11.557,67311,0
20140318,11.843,11.843,11.51,11.687,44813,0
20140319,11.608,11.72,11.557,11.601,44662,0
20140320,11.809,11.819,11.396,11.413,125814,0
20140321,11.396,11.502,11.274,11.32,81094,0
20140324,11.396,11.396,11.029,11.289,116665,0
20140325,11.413,11.632,11.308,11.476,80838,0
20140326,11.32,11.591,11.32,11.347,78998,0
20140327,11.413,11.504,11.296,11.338,92788,0
20140328,11.407,11.42,11.296,11.42,79883,0
20140331,11.413,11.701,11.397,11.576,677104,0
20140401,11.478,11.593,11.379,11.379,259398,0
20140402,11.397,11.461,11.347,11.347,170164,0
20140403,11.397,11.53,11.296,11.407,148868,0
20140404,11.469,11.488,11.304,11.312,165040,0
20140407,11.296,11.42,11.231,11.407,166207,0
20140408,11.28,11.654,11.28,11.388,75736,0
20140409,11.42,11.426,11.355,11.388,70548,0
20140410,11.511,11.511,11.273,11.273,118996,0
20140411,11.214,11.27,11.025,11.133,203671,0
20140414,11.141,11.187,11.018,11.05,158816,0
20140415,11.05,11.141,11.033,11.05,74334,0
20140416,11.124,11.196,11.033,11.073,104147,0
20140417,11.115,11.196,11.05,11.107,79379,0
20140421,11.231,11.231,11.033,11.05,89385,0
20140422,11.091,11.214,11.041,11.167,103546,0
20140423,11.196,11.222,11.091,11.124,95739,0
20140424,11.174,11.174,11.083,11.091,151707,0
20140425,11.115,11.214,11.097,11.107,83642,0
20140428,11.141,11.141,11.01,11.097,86092,0
20140429,11.097,11.141,10.968,11.01,104463,0
20140430,11.124,11.124,10.917,10.925,134483,0
20140501,10.941,11.28,10.941,11.15,79348,0
20140502,11.24,11.379,11.141,11.338,57309,0
20140505,11.338,11.368,11.174,11.28,45634,0
20140506,11.133,11.231,11.041,11.097,86792,0
20140507,11.15,11.231,11.115,11.179,75049,0
20140508,11.174,11.231,11.145,11.214,53324,0
20140509,11.288,11.288,11.073,11.174,229041,0
20140512,11.204,11.214,11.115,11.115,69202,0
20140513,11.174,11.174,11.073,11.083,66445,0
20140514,11.115,11.115,10.975,10.975,86848,0
20140515,11.025,11.033,10.941,11.01,77516,0
20140516,10.975,11.01,10.886,10.968,132583,0
20140519,10.985,11.083,10.975,11.041,55648,0
20140520,11.107,11.124,11.018,11.073,28018,0
20140521,11.01,11.097,10.975,11.097,46176,0
20140522,11.029,11.187,11.013,11.091,160033,0
20140523,11.097,11.273,11.097,11.266,103942,0
20140527,11.249,11.355,11.249,11.355,67641,0
20140528,11.388,11.521,11.174,11.407,79706,0
20140529,11.453,11.495,11.407,11.444,41128,0
20140530,11.444,11.495,11.273,11.478,78912,0
20140602,11.49,11.49,11.347,11.379,40983,0
20140603,11.413,11.435,11.259,11.329,78425,0
20140604,11.222,11.364,11.196,11.266,63966,0
20140605,11.329,11.521,11.296,11.511,25298,0
20140606,11.531,11.531,11.329,11.478,19399,0
20140609,11.379,11.542,11.379,11.542,54052,0
20140610,11.542,11.627,11.379,11.488,63548,0
20140611,11.4,11.542,11.4,11.536,23122,0
20140612,11.495,11.576,11.483,11.576,21905,0
20140613,11.56,11.576,11.461,11.55,38162,0
20140616,11.504,11.576,11.469,11.495,57638,0
20140617,11.426,11.576,11.426,11.542,61600,0
20140618,11.576,11.576,11.447,11.542,56384,0
20140619,11.603,11.709,11.461,11.709,85767,0
20140620,11.692,11.709,11.585,11.709,33338,0
20140623,11.759,11.875,11.593,11.752,79670,0
20140624,11.752,11.784,11.687,11.709,83857,0
20140625,11.661,11.752,11.654,11.673,53404,0
20140626,11.927,11.927,11.727,11.778,60014,0
20140627,11.819,11.862,11.736,11.827,29662,0
20140630,11.854,11.918,11.737,11.778,70291,0
20140701,11.778,11.791,11.618,11.654,97649,0
20140702,11.692,11.754,11.592,11.736,51710,0
20140703,11.778,11.785,11.666,11.73,29416,0
20140707,11.727,11.819,11.644,11.819,40441,0
20140708,11.819,11.887,11.785,11.879,80431,0
20140709,11.809,11.862,11.785,11.791,23272,0
20140710,11.887,11.887,11.661,11.785,77768,0
20140711,11.717,11.778,11.709,11.769,23529,0
20140714,11.769,11.778,11.692,11.702,29095,0
20140715,11.761,11.778,11.644,11.692,26025,0
20140716,11.754,11.879,11.592,11.692,28138,0
20140717,11.592,11.717,11.592,11.682,35473,0
20140718,11.654,11.836,11.635,11.736,12503,0
20140721,11.673,11.778,11.654,11.736,16240,0
20140722,11.761,11.836,11.682,11.778,39610,0
20140723,11.854,11.854,11.709,11.819,22133,0
20140724,11.836,11.887,11.819,11.819,26459,0
20140725,11.845,11.887,11.778,11.827,35593,0
20140728,11.862,11.936,11.827,11.827,46603,0
20140729,11.842,11.896,11.702,11.754,49669,0
20140730,11.827,11.879,11.791,11.791,26783,0
20140731,11.709,11.778,11.609,11.609,74654,0
20140801,11.654,11.769,11.566,11.709,40470,0
20140804,11.761,11.785,11.692,11.736,81566,0
20140805,11.736,11.8,11.654,11.654,100387,0
20140806,11.717,11.746,11.654,11.661,26544,0
20140807,11.692,11.785,11.692,11.727,28542,0
20140808,11.778,11.785,11.754,11.769,16286,0
20140811,11.761,11.819,11.736,11.754,49269,0
20140812,11.761,11.818,11.736,11.778,17364,0
20140813,11.769,11.778,11.692,11.769,20214,0
20140814,11.746,11.791,11.702,11.769,89712,0
20140815,11.736,11.809,11.736,11.769,13243,0
20140818,11.8,11.819,11.785,11.809,28221,0
20140819,11.827,11.854,11.727,11.791,54427,0
20140820,11.709,11.819,11.692,11.761,20245,0
20140821,11.736,11.808,11.719,11.769,19576,0
20140822,11.785,11.785,11.702,11.754,32285,0
20140825,11.702,11.785,11.692,11.785,35433,0
20140826,11.702,11.791,11.702,11.785,30763,0
20140827,11.809,11.809,11.709,11.769,54532,0
20140828,11.8,11.8,11.746,11.778,35300,0
20140829,11.819,11.819,11.746,11.769,44673,0
20140902,11.769,11.809,11.717,11.736,50966,0
20140903,11.736,11.819,11.736,11.778,43019,0
20140904,11.785,11.785,11.761,11.778,15189,0
20140905,11.791,11.809,11.702,11.785,32162,0
20140908,11.727,11.791,11.727,11.772,7912,0
20140909,11.736,11.769,11.673,11.692,65326,0
20140910,11.778,11.778,11.609,11.702,107024,0
20140911,11.682,11.754,11.601,11.682,78944,0
20140912,11.635,11.739,11.609,11.692,31684,0
20140915,11.692,11.692,11.609,11.609,57929,0
20140916,11.618,11.692,11.566,11.583,47841,0
20140917,11.592,11.618,11.583,11.609,30263,0
20140918,11.609,11.644,11.493,11.557,71656,0
20140919,11.557,11.609,11.374,11.527,36202,0
20140922,11.527,11.609,11.374,11.483,51924,0
20140923,11.429,11.574,11.356,11.356,30039,0
20140924,11.439,11.448,11.313,11.403,52613,0
20140925,11.374,11.534,11.356,11.4,71787,0
20140926,11.551,11.578,11.382,11.53,50291,0
20140929,11.485,11.578,11.356,11.475,42871,0
20140930,11.503,11.503,11.142,11.176,141283,0
20141001,11.278,11.423,11.255,11.417,59215,0
20141002,11.373,11.417,11.236,11.356,16030,0
20141003,11.348,11.495,11.168,11.485,31627,0
20141006,11.511,11.53,11.44,11.495,17424,0
20141007,11.561,11.568,11.475,11.543,40566,0
20141008,11.536,11.551,11.449,11.511,38018,0
20141009,11.475,11.511,11.382,11.43,22260,0
20141010,11.391,11.65,11.181,11.19,134106,0
20141013,11.303,11.311,10.903,10.978,74746,0
20141014,11.022,11.176,10.917,11.022,97514,0
20141015,10.96,10.978,10.412,10.685,200351,0
20141016,10.478,11.208,10.478,11.161,73737,0
20141017,11.278,11.391,11.089,11.142,31676,0
20141020,10.917,11.142,10.875,11.081,32335,0
20141021,10.573,11.27,10.573,11.255,70384,0
20141022,11.295,11.391,11.236,11.391,22517,0
20141023,11.365,11.417,10.978,11.176,45036,0
20141024,11.161,11.295,10.995,11.19,15952,0
20141027,11.356,11.356,11.176,11.227,46967,0
20141028,11.217,11.373,11.037,11.142,104461,0
20141029,11.142,11.161,10.903,10.995,140556,0
20141030,11.013,11.142,11.004,11.115,50921,0
20141031,11.085,11.295,10.925,11.295,70415,0
20141103,11.27,11.391,11.133,11.391,39887,0
20141104,11.382,11.382,11.142,11.236,39856,0
20141105,11.217,11.4,11.217,11.339,18913,0
20141106,11.339,11.382,11.217,11.227,26924,0
20141107,11.255,11.4,11.217,11.377,31439,0
20141110,11.303,11.356,11.263,11.263,19619,0
20141111,11.348,11.348,11.27,11.319,7511,0
20141112,11.339,11.356,11.268,11.339,18273,0
20141113,11.263,11.329,11.181,11.19,23303,0
20141114,11.208,11.329,11.181,11.295,11709,0
20141117,11.295,11.295,11.176,11.19,12405,0
20141118,11.199,11.319,11.161,11.319,39505,0
20141119,11.227,11.311,11.133,11.295,36382,0
20141120,11.217,11.263,11.115,11.168,42631,0
20141121,11.199,11.255,11.161,11.217,38276,0
20141124,11.255,11.255,11.049,11.142,34669,0
20141125,11.245,11.339,11.022,11.329,67126,0
20141126,11.339,11.503,11.181,11.391,59902,0
20141128,11.511,11.511,11.208,11.503,29296,0
20141201,11.263,11.4,11.029,11.081,27200,0
20141202,11.161,11.208,11.081,11.151,34529,0
20141203,11.19,11.319,11.168,11.168,34021,0
20141204,11.236,11.255,11.106,11.106,35077,0
20141205,11.199,11.226,11.047,11.151,17936,0
20141208,11.181,11.245,10.83,10.884,66561,0
20141209,10.823,10.978,10.693,10.884,65743,0
20141210,10.884,11.054,10.582,10.59,26496,0
20141211,10.662,10.95,10.662,10.789,26030,0
20141212,10.797,10.797,10.523,10.564,64851,0
20141215,10.59,10.797,10.514,10.523,30194,0
20141216,10.488,10.541,10.292,10.532,133168,0
20141217,10.582,10.866,10.479,10.573,16487,0
20141218,10.857,10.866,10.532,10.745,38171,0
20141219,10.782,11.037,10.782,10.797,59418,0
20141222,10.737,10.875,10.435,10.701,101289,0
20141223,10.669,10.673,10.462,10.653,66922,0
20141224,10.653,10.669,10.564,10.608,38433,0
20141226,10.598,10.71,10.532,10.532,116195,0
20141229,10.647,10.874,10.603,10.857,88895,0
20141230,10.734,10.811,10.688,10.779,80148,0
20141231,10.779,10.998,10.656,10.656,124496,0
20150102,10.77,11.12,10.696,10.787,42941,0
20150105,10.962,10.988,10.787,10.962,27882,0
20150106,10.98,10.98,10.866,10.952,33417,0
20150107,10.971,11.198,10.952,11.174,61098,0
20150108,11.255,11.263,11.067,11.13,23164,0
20150109,11.174,11.304,11.076,11.12,50681,0
20150112,11.13,11.13,10.926,10.998,44960,0
20150113,10.943,11.085,10.803,10.988,24475,0
20150114,10.926,10.927,10.779,10.847,60066,0
20150115,10.847,10.847,10.779,10.821,37269,0
20150116,10.821,10.847,10.665,10.779,62714,0
20150120,10.847,10.847,10.61,10.688,32239,0
20150121,10.787,10.787,10.647,10.779,58238,0
20150122,10.803,10.903,10.754,10.77,26990,0
20150123,10.779,10.779,10.647,10.761,56743,0
20150126,10.761,10.779,10.656,10.734,23326,0
20150127,10.672,10.821,10.672,10.743,27538,0
20150128,10.77,10.787,10.688,10.705,47611,0
20150129,10.787,10.787,10.656,10.779,18332,0
20150130,10.672,10.779,10.6,10.656,70571,0
20150202,10.725,10.77,10.637,10.665,35290,0
20150203,10.637,10.77,10.61,10.734,45995,0
20150204,10.625,10.893,10.62,10.725,52535,0
20150205,10.803,10.866,10.715,10.779,58506,0
20150206,10.857,10.918,10.784,10.821,61966,0
20150209,10.857,10.857,10.705,10.828,51623,0
20150210,10.903,11.149,10.828,11.149,80908,0
20150211,10.988,11.076,10.866,10.971,39020,0
20150212,11.041,11.245,10.998,11.235,41782,0
20150213,11.263,11.304,11.093,11.27,33862,0
20150217,11.198,11.198,10.971,11.05,25303,0
20150218,11.067,11.226,11.033,11.217,80828,0
20150219,11.255,11.296,11.166,11.296,29004,0
20150220,11.304,11.385,11.226,11.35,63535,0
20150223,11.35,11.375,11.279,11.368,34349,0
20150224,11.419,11.481,11.385,11.426,91065,0
20150225,11.481,11.567,11.394,11.517,68674,0
20150226,11.517,11.567,11.404,11.567,34565,0
20150227,11.567,11.869,11.481,11.869,137276,0
20150302,11.878,11.887,11.595,11.824,89454,0
20150303,11.747,11.824,11.491,11.756,42283,0
20150304,11.834,11.834,11.404,11.681,45352,0
20150305,11.681,11.796,11.613,11.781,17504,0
20150306,11.788,11.814,11.691,11.728,35577,0
20150309,11.869,11.869,11.541,11.691,33306,0
20150310,11.681,11.756,11.527,11.632,30691,0
20150311,11.632,11.86,11.549,11.613,18074,0
20150312,11.659,11.701,11.549,11.691,20117,0
20150313,11.851,11.851,11.587,11.691,45581,0
20150316,11.701,11.701,11.394,11.51,84567,0
20150317,11.559,11.728,11.51,11.613,21597,0
20150318,11.659,11.681,11.587,11.632,13980,0
20150319,11.527,11.641,11.51,11.613,9776,0
20150320,11.641,11.772,11.549,11.701,50580,0
20150323,11.772,11.814,11.672,11.772,36826,0
20150324,11.701,11.764,11.541,11.701,39215,0
20150325,11.691,11.728,11.541,11.605,30350,0
20150326,11.531,11.788,11.531,11.691,78590,0
20150327,11.748,11.953,11.748,11.798,9836,0
20150330,11.789,11.915,11.765,11.915,18900,0
20150331,11.915,11.915,11.765,11.783,37136,0
20150401,11.908,11.963,11.765,11.864,42363,0
20150402,11.915,12.026,11.846,12.008,15789,0
20150406,12.042,12.051,11.934,12.017,72491,0
20150407,12.051,12.051,11.915,12.033,22823,0
20150408,11.963,12.051,11.901,11.901,25905,0
20150409,11.873,12.051,11.807,11.963,41162,0
20150410,12.033,12.051,11.701,11.758,28910,0
20150413,11.873,11.999,11.783,11.873,42806,0
20150414,11.944,11.999,11.719,11.934,38359,0
20150415,11.934,12.233,11.798,11.827,55606,0
20150416,11.971,12.017,11.873,11.963,36134,0
20150417,11.996,12.104,11.931,12.005,34104,0
20150420,11.996,12.113,11.906,11.931,29524,0
20150421,11.977,12.113,11.887,12.095,49071,0
20150422,12.113,12.123,11.968,12.032,16610,0
20150423,12.024,12.113,12.024,12.095,8390,0
20150424,12.095,12.113,11.96,12.104,19426,0
20150427,12.133,12.268,11.968,12.032,30795,0
20150428,12.086,12.086,11.96,12.067,32779,0
20150429,12.067,12.086,11.987,12.077,15894,0
20150430,12.077,12.241,12.04,12.157,50220,0
20150501,12.232,12.232,12.067,12.185,17880,0
20150504,12.232,12.232,12.014,12.143,27262,0
20150505,12.175,12.175,11.968,12.04,28919,0
20150506,12.104,12.166,11.977,12.059,11148,0
20150507,12.04,12.059,11.989,12.024,43586,0
20150508,12.05,12.185,11.968,12.014,36974,0
20150511,12.067,12.195,12.005,12.014,90838,0
20150512,12.014,12.143,11.96,12.05,76068,0
20150513,12.05,12.05,11.977,12.04,30795,0
20150514,12.014,12.067,11.951,12.014,27924,0
20150515,12.05,12.157,11.977,11.977,105813,0
20150518,12.143,12.203,12.04,12.04,45918,0
20150519,12.05,12.095,12.005,12.095,52647,0
20150520,12.14,12.156,11.909,12.084,63114,0
20150521,12.047,12.221,11.993,12.14,71551,0
20150522,12.183,12.293,12.047,12.14,39557,0
20150526,12.201,12.293,12.092,12.14,46188,0
20150527,12.14,12.14,12.092,12.14,74290,0
20150528,12.14,12.164,12.092,12.12,106317,0
20150529,12.047,12.183,12.047,12.092,75933,0
20150601,12.174,12.275,12.092,12.13,53363,0
20150602,12.149,12.183,12.086,12.11,56183,0
20150603,12.149,12.149,12.064,12.11,50952,0
20150604,12.149,12.149,11.974,12.001,64429,0
20150605,12.074,12.074,11.909,11.974,53142,0
20150608,11.956,12.03,11.773,11.818,43501,0
20150609,11.816,11.86,11.609,11.787,45512,0
20150610,11.773,11.956,11.773,11.897,40167,0
20150611,12.001,12.001,11.847,11.892,52766,0
20150612,11.864,11.947,11.828,11.856,39883,0
20150615,11.892,12.001,11.818,11.856,52816,0
20150616,11.993,11.993,11.737,11.847,28380,0
20150617,11.945,12.046,11.844,11.853,43936,0
20150618,11.954,12.046,11.686,11.954,55139,0
20150619,11.954,11.991,11.853,11.945,20229,0
20150622,11.991,11.991,11.908,11.935,26971,0
20150623,11.935,12.008,11.805,11.916,52896,0
20150624,11.954,11.981,11.652,11.706,55573,0
20150625,11.706,11.871,11.642,11.871,73734,0
20150626,12,12.139,11.825,11.871,81129,0
20150629,11.871,11.916,11.815,11.881,80913,0
20150630,11.844,11.881,11.632,11.632,56402,0
20150701,11.706,11.945,11.652,11.935,35781,0
20150702,11.964,11.981,11.908,11.954,34149,0
20150706,11.916,12,11.797,11.945,51984,0
20150707,11.954,11.972,11.815,11.972,70037,0
20150708,11.899,11.954,11.862,11.935,64273,0
20150709,11.972,11.972,11.835,11.889,28060,0
20150710,12.119,12.119,11.862,11.972,44155,0
20150713,11.991,12.1,11.916,11.935,42195,0
20150714,12.008,12.092,11.925,11.945,36833,0
20150715,12.008,12.073,11.916,12,74060,0
20150716,12.129,12.23,12.036,12.092,66447,0
20150717,12.139,12.23,12.046,12.139,75149,0
20150720,12.028,12.063,11.908,12.028,51113,0
20150721,12.092,12.092,11.945,11.972,18924,0
20150722,12.063,12.071,11.904,11.978,33570,0
20150723,11.932,12.071,11.867,11.904,32381,0
20150724,11.932,11.932,11.497,11.609,48574,0
20150727,11.525,11.599,11.302,11.349,48143,0
20150728,11.312,11.58,11.228,11.368,61202,0
20150729,11.405,11.821,11.395,11.478,59907,0
20150730,11.507,11.811,11.469,11.478,46955,0
20150731,11.655,11.655,11.423,11.469,43176,0
20150803,11.45,11.904,11.395,11.655,55962,0
20150804,11.515,12.025,11.515,11.784,121005,0
20150805,11.709,11.877,11.655,11.758,33570,0
20150806,11.784,11.841,11.719,11.811,19681,0
20150807,11.774,11.849,11.719,11.849,18460,0
20150810,11.849,11.849,11.672,11.784,38104,0
20150811,11.719,11.854,11.719,11.831,25404,0
20150812,11.774,11.867,11.748,11.802,138706,0
20150813,11.831,11.858,11.811,11.858,25905,0
20150814,11.821,11.858,11.765,11.858,41665,0
20150817,11.811,11.858,11.793,11.858,34109,0
20150818,11.849,11.858,11.719,11.849,49114,0
20150819,11.874,11.921,11.847,11.921,18425,0
20150820,11.892,11.921,11.734,11.79,19603,0
20150821,11.79,11.828,11.22,11.417,50563,0
20150824,11.22,11.333,11.043,11.063,26502,0
20150825,11.26,11.323,11.09,11.146,62025,0
20150826,11.26,11.26,11.108,11.26,47561,0
20150827,11.26,11.37,11.201,11.352,66310,0
20150828,11.352,11.66,11.352,11.557,38885,0
20150831,11.557,11.575,11.333,11.398,39851,0
20150901,11.22,11.547,11.22,11.519,67060,0
20150902,11.557,11.651,11.398,11.454,18211,0
20150903,11.538,11.66,11.435,11.501,27103,0
20150904,11.398,11.575,11.398,11.435,20568,0
20150908,11.547,11.547,11.37,11.398,14462,0
20150909,11.454,11.454,11.314,11.333,23247,0
20150910,11.343,11.51,11.343,11.464,23113,0
20150911,11.435,11.51,11.352,11.472,23140,0
20150914,11.538,11.538,11.388,11.435,16175,0
20150915,11.435,11.621,11.435,11.529,18317,0
20150916,11.492,11.668,11.417,11.417,28389,0
20150917,11.482,11.51,11.361,11.435,14462,0
20150918,11.395,11.527,11.395,11.489,26461,0
20150921,11.536,11.555,11.339,11.385,24974,0
20150922,11.301,11.395,11.206,11.281,40278,0
20150923,11.272,11.311,11.112,11.151,63554,0
20150924,11.093,11.245,11.067,11.085,50367,0
20150925,11.151,11.375,11.067,11.093,46868,0
20150928,11.057,11.161,10.614,10.671,103688,0
20150929,10.671,10.737,10.2,10.266,142622,0
20150930,10.379,10.538,10.218,10.434,91716,0
20151001,10.379,10.614,10.379,10.548,47824,0
20151002,10.454,10.689,10.406,10.501,43148,0
20151005,10.529,10.802,10.529,10.755,21896,0
20151006,10.595,11,10.595,10.83,47612,0
20151007,10.783,10.99,10.783,10.915,11160,0
20151008,10.896,11.112,10.896,11.009,9141,0
20151009,10.99,11.197,10.906,10.924,211595,0
20151012,10.953,11.161,10.924,10.933,19273,0
20151013,10.83,11.047,10.83,10.99,20936,0
20151014,10.963,11.093,10.764,10.887,26995,0
20151015,10.849,10.915,10.595,10.728,52076,0
20151016,10.689,10.99,10.642,10.718,23168,0
20151019,10.737,11,10.737,10.868,20723,0
20151020,10.84,11.084,10.84,11.027,9098,0
20151021,11.092,11.319,10.921,10.959,17918,0
20151022,11.024,11.119,10.854,10.864,19077,0
20151023,10.939,10.939,10.75,10.826,16021,0
20151026,10.797,10.826,10.674,10.674,17075,0
20151027,10.674,10.74,10.522,10.551,60602,0
20151028,10.532,10.57,10.351,10.389,55017,0
20151029,10.389,10.522,10.295,10.323,50168,0
20151030,10.323,10.484,10.209,10.408,76307,0
20151102,10.342,10.541,10.304,10.399,41089,0
20151103,10.532,10.532,10.011,10.238,83367,0
20151104,10.257,10.408,10.086,10.152,80092,0
20151105,10.152,10.418,10.019,10.142,53015,0
20151106,10.152,10.797,10.123,10.797,73566,0
20151109,10.693,10.722,10.285,10.389,34186,0
20151110,10.399,10.428,10.038,10.086,62712,0
20151111,10.133,10.218,9.821,10.067,66400,0
20151112,10.047,10.047,9.877,9.877,26558,0
20151113,9.886,10.019,9.745,9.857,18339,0
20151116,9.867,9.925,9.735,9.821,30670,0
20151117,9.772,9.867,9.564,9.63,136593,0
20151118,9.714,9.79,9.589,9.647,26097,0
20151119,9.608,9.896,9.608,9.81,52612,0
20151120,9.876,9.934,9.656,9.666,34657,0
20151123,9.714,9.743,9.656,9.704,41547,0
20151124,9.694,9.79,9.58,9.694,68321,0
20151125,9.724,9.866,9.676,9.77,42173,0
20151127,9.79,10.221,9.79,10.135,63573,0
20151130,9.916,10.413,9.916,10.413,57518,0
20151201,10.355,10.528,10.337,10.346,31588,0
20151202,10.432,10.461,10.058,10.174,30001,0
20151203,10.183,10.336,10.116,10.116,67060,0
20151204,10.107,10.336,10.107,10.144,16494,0
20151207,10.116,10.221,9.82,9.839,28916,0
20151208,9.82,10.058,9.82,9.952,30370,0
20151209,9.972,9.972,9.637,9.79,79545,0
20151210,9.762,9.82,9.628,9.656,31631,0
20151211,9.4842,9.733,9.4357,9.522,37580,0
20151214,9.4941,9.743,9.1581,9.714,114127,0
20151215,9.714,9.916,9.532,9.896,27350,0
20151216,9.856,9.886,9.724,9.8,36432,0
20151217,9.762,9.762,9.4357,9.4941,41860,0
20151218,9.4268,9.4842,9.1963,9.398,47184,0
20151221,9.398,9.4169,9.2631,9.3882,35284,0
