Date,Open,High,Low,Close,Volume,OpenInt
20060509,17.462,17.462,17.462,17.462,0,0
20060510,18.091,18.336,17.428,17.462,7916881,0
20060511,17.545,17.545,17.448,17.498,913161,0
20060512,17.462,17.476,17.147,17.184,1217799,0
20060515,17.113,17.266,16.903,17.07,256675,0
20060516,17.043,17.17,16.937,16.981,116436,0
20060517,16.937,17.059,16.937,16.937,208735,0
20060518,17.107,17.107,16.77,16.77,139860,0
20060519,16.764,17.107,16.764,16.764,289157,0
20060522,16.764,16.764,14.739,15.785,753465,0
20060523,15.736,16.045,15.193,15.368,269015,0
20060524,15.402,15.674,13.971,14.248,527842,0
20060525,14.144,14.55,13.976,14.486,257688,0
20060526,14.493,15.205,14.423,14.668,413057,0
20060530,14.739,15.256,14.683,14.984,229685,0
20060531,15.054,15.471,15.024,15.429,206508,0
20060601,15.471,15.716,15.368,15.451,143427,0
20060602,15.368,16.065,15.368,15.891,213313,0
20060605,16.05,16.4,15.891,16.135,206846,0
20060606,16.24,16.477,15.891,16.415,170517,0
20060607,16.001,16.345,15.898,16.073,122145,0
20060608,16.338,16.345,14.353,15.73,166073,0
20060609,15.15,15.925,15.15,15.736,107674,0
20060612,15.143,15.891,15.143,15.583,80174,0
20060613,15.198,15.555,13.971,15.054,789740,0
20060614,14.814,15.368,14.668,15.186,194858,0
20060615,14.683,15.319,14.668,15.087,125577,0
20060616,14.984,15.402,14.319,14.947,249010,0
20060619,15.345,15.345,14.075,14.62,121425,0
20060620,14.766,14.766,14.144,14.514,108082,0
20060621,13.948,14.353,13.948,14.111,130925,0
20060622,14.004,15.193,13.976,14.94,143909,0
20060623,14.396,14.766,14.396,14.668,46765,0
20060626,14.78,15.646,14.34,15.626,67772,0
20060627,15.716,15.716,14.928,15.186,59311,0
20060628,15.024,15.716,14.807,15.64,138392,0
20060629,15.486,15.486,15.087,15.178,104061,0
20060630,15.024,15.289,14.814,15.143,110409,0
20060703,14.933,15.332,14.933,15.332,32856,0
20060705,14.766,15.904,14.766,15.423,47410,0
20060706,15.387,15.533,14.863,14.991,69388,0
20060707,15.101,15.533,14.984,15.198,71027,0
20060710,15.198,15.368,14.884,15.157,75357,0
20060711,14.933,15.123,14.857,14.905,137148,0
20060712,14.739,15.143,14.661,14.668,227125,0
20060713,14.655,14.668,14.346,14.418,151516,0
20060714,14.144,14.486,14.144,14.242,182211,0
20060717,14.521,14.529,14.18,14.248,129890,0
20060718,14.116,14.933,13.831,14.305,155956,0
20060719,14.075,14.562,14.075,14.27,54861,0
20060720,14.165,14.403,14.052,14.18,47849,0
20060721,14.004,14.305,13.9,13.976,113669,0
20060724,13.976,14.165,13.831,13.942,143874,0
20060725,14.248,14.327,13.322,13.831,293412,0
20060726,13.676,14.144,13.48,13.948,118866,0
20060727,13.964,14.562,13.964,14.159,170632,0
20060728,13.9,14.544,13.586,14.248,146457,0
20060731,14.562,14.836,13.69,14.836,200131,0
20060801,14.696,14.828,14.36,14.718,131139,0
20060802,14.702,14.844,14.111,14.814,155252,0
20060803,14.814,14.836,14.592,14.794,81885,0
20060804,14.69,14.807,14.668,14.711,110765,0
20060807,14.668,14.844,14.493,14.844,74418,0
20060808,14.836,14.844,14.55,14.696,84188,0
20060809,14.668,15.186,14.165,14.62,115780,0
20060810,14.34,15.129,14.165,14.711,91424,0
20060811,15.004,15.129,14.718,15.039,40863,0
20060814,14.844,15.262,14.668,14.961,54366,0
20060815,14.968,15.325,14.437,14.544,88154,0
20060816,14.396,15.017,14.396,14.828,64121,0
20060817,15.186,15.186,14.319,14.55,68114,0
20060818,14.319,15.15,14.248,15.15,66757,0
20060821,15.101,15.205,14.606,14.913,42453,0
20060822,14.661,14.991,14.661,14.802,36688,0
20060823,15.123,15.533,14.612,15.533,116264,0
20060824,14.87,15.578,14.87,15.451,92027,0
20060825,15.368,15.61,15.368,15.61,28448,0
20060828,15.374,15.604,15.374,15.52,57758,0
20060829,15.533,15.533,14.884,15.332,42192,0
20060830,15.368,15.533,15.031,15.123,62925,0
20060831,15.123,15.337,14.878,15.15,121914,0
20060901,15.129,15.193,14.968,15.079,112648,0
20060905,14.739,15.659,14.739,14.94,76776,0
20060906,15.039,15.065,14.676,14.752,53942,0
20060907,14.724,14.844,14.389,14.807,63943,0
20060908,14.655,14.73,14.353,14.592,47816,0
20060911,14.828,14.828,14.34,14.634,86682,0
20060912,14.612,14.668,13.822,14.634,37742,0
20060913,14.327,14.655,14.327,14.486,68513,0
20060914,14.221,14.668,14.221,14.465,80035,0
20060915,14.319,14.612,14.229,14.592,101085,0
20060918,14.647,14.69,14.248,14.459,46911,0
20060919,14.214,14.683,14.214,14.297,90496,0
20060920,14.124,14.242,13.719,14.111,194229,0
20060921,14.389,14.389,13.466,14.248,95264,0
20060922,13.705,14.55,13.705,14.18,83221,0
