Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.0527,2.0906,2.0527,2.0663,22925,0
20050228,2.1014,2.1014,2.0284,2.0419,155207,0
20050301,2.0635,2.1041,2.0582,2.0987,29321,0
20050302,2.0825,2.096,2.0825,2.096,102199,0
20050303,2.0635,2.0744,2.0473,2.0554,128282,0
20050304,2.0257,2.0933,2.0257,2.0852,61793,0
20050307,2.1095,2.1095,2.0284,2.0744,34405,0
20050308,2.0825,2.1231,2.0825,2.0825,144137,0
20050309,2.0852,2.1339,2.0852,2.1312,45701,0
20050310,2.0879,2.1636,2.0825,2.1231,48807,0
20050311,2.1365,2.2258,2.1365,2.2258,149816,0
20050314,2.1771,2.1961,2.1474,2.1771,44581,0
20050315,2.1636,2.1744,2.1203,2.1365,29758,0
20050316,2.1041,2.1041,1.9797,1.9851,151450,0
20050317,1.9743,2.0744,1.9608,2.0419,166052,0
20050318,2.0311,2.0311,1.9716,1.9716,65816,0
20050321,1.9662,1.9689,1.9067,1.9121,107620,0
20050322,1.931,1.9473,1.9013,1.9013,35866,0
20050323,1.9175,1.9202,1.8607,1.8959,116782,0
20050324,1.8905,1.9013,1.8905,1.9013,61379,0
20050328,1.8931,2.0987,1.8931,2.096,381399,0
20050329,2.0582,2.1095,1.9391,2.096,591806,0
20050330,2.1122,2.1501,1.9608,2.1176,403825,0
20050331,2.1231,2.1825,2.1231,2.1555,378996,0
20050401,2.1988,2.1988,2.0554,2.1095,234474,0
20050404,2.1203,2.1771,2.0716,2.169,110752,0
20050405,2.069,2.1636,2.069,2.142,48807,0
20050406,2.1014,2.1582,2.0987,2.1393,98047,0
20050407,2.1365,2.1609,2.1365,2.1528,102943,0
20050408,2.1095,2.1744,2.1095,2.1663,120964,0
20050411,2.169,2.2286,2.1663,2.2096,158686,0
20050412,2.1771,2.1825,2.0716,2.0933,120620,0
20050413,2.0663,2.1122,2.0257,2.1122,90940,0
20050414,2.1284,2.1393,2.1203,2.1203,34942,0
20050415,2.1231,2.1312,2.0419,2.0554,97615,0
20050418,2.0041,2.0582,1.9986,1.9986,63697,0
20050419,1.9905,2.0203,1.9337,1.9418,104274,0
20050420,1.9933,2.0176,1.931,1.9905,75958,0
20050421,1.9608,1.9797,1.9554,1.9635,18488,0
20050422,1.9905,2.0716,1.9662,2.0419,112397,0
20050425,2.0419,2.0419,2.0014,2.0148,58421,0
20050426,1.9959,1.9959,1.9608,1.9635,28101,0
20050427,1.9337,1.9473,1.8986,1.9067,89103,0
20050428,1.8931,1.9662,1.8931,1.9635,35921,0
20050429,1.9689,1.9851,1.9067,1.9391,59770,0
20050502,1.9608,2.0014,1.931,2.0014,34579,0
20050503,1.958,2.0014,1.9554,1.9662,80976,0
20050504,1.958,1.9851,1.9284,1.958,49713,0
20050505,1.9365,1.9365,1.8688,1.8931,185542,0
20050506,1.8931,1.8959,1.8769,1.8769,33599,0
20050509,1.885,1.885,1.7499,1.7904,232204,0
20050510,1.7985,1.8986,1.7985,1.8905,115828,0
20050511,1.8229,1.8472,1.8229,1.8282,72660,0
20050512,1.831,1.831,1.7958,1.7985,121142,0
20050513,1.8148,1.831,1.7985,1.8066,79127,0
20050516,1.812,1.812,1.7606,1.7714,110626,0
20050517,1.8148,1.8148,1.8012,1.812,227974,0
20050518,1.8039,1.8148,1.8012,1.812,125475,0
20050519,1.8093,1.9013,1.8093,1.8905,52083,0
20050520,1.8472,1.8931,1.8148,1.8229,116775,0
20050523,1.8634,1.8634,1.8066,1.8148,81438,0
20050524,1.8607,1.9013,1.8391,1.8742,47513,0
20050525,1.9418,1.9418,1.8661,1.8661,60946,0
20050526,1.8472,1.8797,1.785,1.8012,159947,0
20050527,1.8472,1.8526,1.8066,1.8066,57944,0
20050531,1.8526,1.8526,1.8039,1.8337,106008,0
20050601,1.8688,1.904,1.8256,1.8931,65398,0
20050602,1.8986,1.9067,1.8634,1.8716,102052,0
20050603,1.8716,1.9067,1.8716,1.8823,27362,0
20050606,1.9013,1.9013,1.8174,1.8716,37530,0
20050607,1.8905,1.9202,1.885,1.9148,17341,0
20050608,1.9013,1.9121,1.8797,1.9067,14206,0
20050609,1.8878,1.9202,1.8878,1.9094,27665,0
20050610,1.8986,1.977,1.8931,1.9608,33906,0
20050613,1.9986,1.9986,1.9365,1.9662,40813,0
20050614,1.8931,1.9878,1.8931,1.9878,15345,0
20050615,1.9797,1.9986,1.977,1.9905,52508,0
20050616,1.9905,2.0122,1.9905,2.0014,80306,0
20050617,2.0014,2.0501,2.0014,2.0501,150119,0
20050620,1.9933,2.0744,1.9933,2.0635,113436,0
20050621,2.0582,2.096,2.0554,2.0933,37127,0
20050622,2.096,2.1501,2.0879,2.1501,273576,0
20050623,2.0987,2.1312,2.0771,2.1069,162188,0
20050624,1.9608,2.1122,1.9608,2.0933,233276,0
20050627,2.069,2.1069,2.069,2.1069,46271,0
20050628,2.0825,2.1609,2.0771,2.1609,50153,0
20050629,2.1231,2.1501,2.1231,2.1501,9965,0
20050630,2.1203,2.1582,2.115,2.1582,17279,0
20050701,2.1041,2.1555,2.0987,2.1231,24356,0
20050705,2.115,2.1609,2.0933,2.1609,24404,0
20050706,2.1447,2.1988,2.1447,2.1636,207494,0
20050707,2.1474,2.1474,2.1095,2.1474,35877,0
20050708,2.1041,2.1609,2.1041,2.1609,52889,0
20050711,2.1988,2.1988,2.1501,2.1636,93026,0
20050712,2.188,2.1961,2.1744,2.1825,48386,0
20050713,2.169,2.215,2.1636,2.2042,78842,0
20050714,2.2042,2.2582,2.2042,2.2529,116073,0
20050715,2.2042,2.2556,2.2042,2.2367,19952,0
20050718,2.2556,2.2582,2.2258,2.2529,83161,0
20050719,2.2312,2.2772,2.215,2.2718,59778,0
20050720,2.2799,2.2853,2.1474,2.1933,100561,0
20050721,2.169,2.2204,2.1501,2.2204,93813,0
20050722,2.2258,2.2312,2.1744,2.2096,15899,0
20050725,2.1771,2.2096,2.1771,2.1825,156446,0
20050726,2.2042,2.2177,2.188,2.2123,27402,0
20050727,2.2042,2.2691,2.2042,2.2393,69957,0
20050728,2.2286,2.3637,2.2177,2.3637,140768,0
20050729,2.3394,2.3394,2.2853,2.3069,161589,0
20050801,2.3124,2.3394,2.2935,2.2935,38976,0
20050802,2.2988,2.38,2.2907,2.3394,37478,0
20050803,2.2935,2.3935,2.2935,2.3881,27495,0
20050804,2.3881,2.4071,2.3475,2.4071,65502,0
20050805,2.4178,2.4449,2.3935,2.4314,256904,0
20050808,2.4314,2.526,2.3881,2.4773,142665,0
20050809,2.5369,2.7235,2.5152,2.5395,895750,0
20050810,2.5639,2.7154,2.5639,2.7045,760362,0
20050811,2.7343,2.7478,2.6856,2.7478,432247,0
20050812,2.7262,2.7316,2.7018,2.7288,162635,0
20050815,2.7154,2.7343,2.6018,2.7045,234293,0
20050816,2.6071,2.6775,2.6045,2.6261,103116,0
20050817,2.6234,2.6964,2.6152,2.6775,33307,0
20050818,2.6775,2.7045,2.6775,2.6883,160517,0
20050819,2.7045,2.7099,2.6829,2.7045,314023,0
20050822,2.6802,2.7316,2.6802,2.7045,184392,0
20050823,2.7045,2.7045,2.6505,2.6775,34956,0
20050824,2.6775,2.6883,2.6531,2.6775,30253,0
20050825,2.6883,2.7235,2.6369,2.7207,129169,0
20050826,2.7262,2.7262,2.6748,2.6775,18488,0
20050829,2.7099,2.7288,2.6775,2.7288,146762,0
20050830,2.7559,2.7559,2.7045,2.7343,33503,0
20050831,2.7451,2.7451,2.6775,2.7451,38872,0
20050901,2.7532,2.7667,2.7045,2.7451,112623,0
20050902,2.7316,2.7559,2.7073,2.7532,70441,0
20050906,2.8208,2.9209,2.7586,2.9209,353557,0
20050907,2.9452,2.9452,2.8479,2.8939,251017,0
20050908,2.8939,2.9722,2.8939,2.9128,197865,0
20050909,2.9073,3.1237,2.8939,3.0588,477257,0
20050912,3.0939,3.2184,3.0696,3.213,270204,0
20050913,3.1832,3.259,3.1832,3.2238,223541,0
