Date,Open,High,Low,Close,Volume,OpenInt
20100930,16.97,17.35,16.82,17.25,316911,0
20101001,17.25,18,16.91,17.23,197411,0
20101004,17.1,17.33,17,17.06,123283,0
20101005,17.23,18.14,17,17.56,148782,0
20101006,17.38,17.64,17.1,17.1,51066,0
20101007,17.25,17.77,17.07,17.07,196017,0
20101008,17.34,17.34,17.08,17.13,32448,0
20101011,17.25,17.77,17.1,17.69,49016,0
20101012,17.55,17.92,17.3,17.76,36396,0
20101013,17.91,18,17.1,17.22,47085,0
20101014,17.13,17.37,17.1,17.17,25225,0
20101015,17.28,17.56,17.04,17.56,41618,0
20101018,17.74,17.74,17.25,17.33,22744,0
20101019,17.21,17.33,17.05,17.05,60222,0
20101020,17.08,17.38,17.08,17.11,8140,0
20101021,17.24,17.34,17.1,17.1,97781,0
20101022,17.23,17.23,17.1,17.23,18969,0
20101025,17.6,17.79,17.1,17.15,15894,0
20101026,17.13,17.34,17.1,17.1,59188,0
20101027,17.1,17.15,17.1,17.11,76238,0
20101028,17.11,17.16,17.06,17.1,57850,0
20101029,17.17,17.2,17.07,17.08,49561,0
20101101,17.09,17.4,17.08,17.08,37677,0
20101102,17.17,17.18,17.01,17.12,30570,0
20101103,17.23,17.23,17.05,17.06,38773,0
20101104,17.1,17.25,17.04,17.1,67757,0
20101105,17.38,17.38,17.21,17.3,103262,0
20101108,17.38,17.4,17.11,17.18,142406,0
20101109,17.27,17.64,17.17,17.48,64138,0
20101110,17.65,18.97,17.45,18.83,150598,0
20101111,18.98,19.46,18.15,18.41,103569,0
20101112,18.27,20.71,18.27,20.11,82507,0
20101115,20.4,20.75,19.23,19.23,55432,0
20101116,19.08,19.11,18.1,18.32,67215,0
20101117,18.32,18.64,17.96,18.17,17264,0
20101118,18.25,19.62,18.25,19.62,26939,0
20101119,19.91,19.91,18.93,19.34,67476,0
20101122,19.32,20.11,19.18,19.36,61627,0
20101123,19.26,20.2,19.25,20.01,52494,0
20101124,20.22,20.85,19.79,20.34,66345,0
20101126,20.5,20.84,20.16,20.16,18508,0
20101129,20.34,20.79,19.93,19.93,29695,0
