Date,Open,High,Low,Close,Volume,OpenInt
20051117,7.8993,7.8993,7.8993,7.8993,0,0
20051118,7.9168,8.0484,7.127,7.8993,3728494,0
20051121,7.9694,8.2504,7.7501,8.1625,792829,0
20051122,7.8291,8.0746,7.8291,8.0662,375335,0
20051123,8.0835,8.1452,7.908,8.0923,127478,0
20051125,8.0923,8.338,7.9168,8.338,44475,0
20051128,8.8196,8.8196,8.0835,8.5842,216253,0
20051129,8.6889,8.7153,8.4083,8.6456,124193,0
20051130,8.7333,8.7333,8.6013,8.6285,44840,0
20051201,8.5137,8.7776,8.4256,8.6889,170944,0
20051202,8.8997,8.8997,8.4697,8.7241,118302,0
20051205,9.11,9.11,8.4697,8.8196,122452,0
20051206,8.9441,8.9872,8.6285,8.7424,34646,0
20051207,8.7776,8.9094,8.6013,8.7241,30549,0
20051208,8.4786,8.8196,8.4786,8.7686,34582,0
20051209,8.812,9.637,8.7776,9.11,51455,0
20051212,9.2159,9.2159,8.8641,9.1278,16599,0
20051213,9.0406,9.1635,8.7776,8.9524,11809,0
20051214,9.0753,9.0753,8.812,9.0406,8691,0
20051215,9.1278,9.1278,8.1538,8.6889,278910,0
20051216,8.3469,9.1729,8.3469,9.1729,54695,0
20051219,8.7857,9.611,8.7776,9.1635,57776,0
20051220,9.3032,9.3032,8.4872,8.7776,305199,0
20051221,8.7776,8.9872,8.6194,8.9872,11872,0
20051222,8.9524,8.9524,8.5137,8.6013,16442,0
20051223,8.5137,8.7776,8.338,8.4083,24433,0
20051227,8.4697,8.5137,8.259,8.3821,28255,0
20051228,8.259,8.9094,8.2063,8.8641,48476,0
20051229,9.0134,9.0134,8.7776,8.8914,33988,0
20051230,8.8914,9.0228,8.7776,8.8382,22552,0
20060103,8.8475,8.8997,8.5137,8.6013,36363,0
20060104,8.7776,8.829,8.338,8.557,65910,0
20060105,8.6636,8.8829,8.4697,8.698,26666,0
20060106,8.7333,8.8641,8.698,8.8641,14744,0
20060109,8.8829,9.1194,8.7857,8.9188,2848,0
20060110,8.8829,8.9271,8.7947,8.9271,28069,0
20060111,8.8641,8.9094,8.7776,8.7947,7880,0
20060112,8.6889,8.9094,8.6636,8.8196,14444,0
20060113,8.9524,8.9524,8.7776,8.8997,7871,0
20060117,8.6889,8.9188,8.6889,8.7505,15106,0
20060118,8.68,8.8914,8.68,8.7776,19548,0
20060119,8.7776,8.8829,8.7776,8.8641,15716,0
20060120,8.8641,8.8641,8.6889,8.7776,51494,0
20060123,8.7776,8.829,8.7333,8.7424,63189,0
20060124,8.7776,8.8556,8.698,8.8556,73537,0
20060125,8.7776,8.8556,8.7595,8.7776,28599,0
20060126,8.7776,10.217,8.6194,10.217,38374,0
20060127,10.11,10.11,8.803,9.0228,41553,0
20060130,9.1635,9.2337,8.8641,8.9441,8625,0
20060131,9.0659,9.0659,8.9872,8.9872,35759,0
20060201,8.7857,8.9694,8.7776,8.8196,14993,0
20060202,8.7241,8.9441,8.7241,8.9441,43857,0
20060203,8.9441,9.0406,8.9094,9.0406,4511,0
20060206,9.11,9.1278,8.7857,8.803,1532,0
20060207,8.9271,9.1278,8.7857,8.7857,18557,0
20060208,8.7776,8.7776,8.7424,8.7424,2192,0
20060209,8.8196,8.8196,8.5753,8.6889,78780,0
20060210,8.5753,8.6103,8.3821,8.3821,11374,0
20060213,8.2943,8.3117,8.1625,8.2504,42182,0
20060214,8.259,8.259,7.952,7.952,26531,0
20060215,7.9431,8.1538,7.9431,8.1538,38189,0
20060216,8.1625,8.2063,8.1098,8.2063,1117,0
20060217,8.303,8.303,8.2063,8.2063,22726,0
20060221,8.6547,8.6547,7.873,7.873,12956,0
20060222,8.0045,8.0045,7.873,7.9254,24528,0
20060223,7.8378,7.8993,7.3376,7.8993,25659,0
20060224,7.8993,7.8993,7.6799,7.6799,3247,0
20060227,7.5394,7.7237,7.5394,7.6273,20694,0
20060228,8.1625,8.7776,8.1188,8.4172,291330,0
20060301,8.7071,8.8914,8.3908,8.7333,154544,0
20060302,8.829,9.2159,8.803,9.2159,46579,0
20060303,9.3904,9.655,9.2159,9.4541,10709,0
20060306,8.9524,9.655,8.9524,9.655,26163,0
