Date,Open,High,Low,Close,Volume,OpenInt
20151207,0.1,0.1,0.1,0.1,79400,0
20151208,0.13,0.15,0.1,0.1,277900,0
20151209,0.1,0.16,0.1,0.15,110100,0
20151216,0.14,0.14,0.13,0.13,800,0
20160115,0.1,0.1,0.1,0.1,1000,0
20160209,0.1001,0.1001,0.1001,0.1001,2500,0
20160210,0.1,0.1001,0.1,0.1001,2500,0
20160216,0.1001,0.1001,0.1001,0.1001,2500,0
20160217,0.1001,0.1001,0.1001,0.1001,10750,0
20160218,0.1001,0.1001,0.1001,0.1001,1500,0
20160219,0.1001,0.1001,0.1001,0.1001,12000,0
20160223,0.1001,0.1001,0.1001,0.1001,5250,0
20160224,0.1001,0.1001,0.1001,0.1001,2000,0
20160226,0.1001,0.1001,0.1001,0.1001,1000,0
20160229,0.15,0.15,0.15,0.15,100,0
20160310,0.1001,0.1001,0.1001,0.1001,1000,0
20160314,0.1101,0.1101,0.1101,0.1101,2500,0
20160318,0.1101,0.1101,0.1101,0.1101,3715,0
