Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.676,9.676,9.4247,9.518,13654,0
20050228,9.4375,10.123,9.4375,9.863,124185,0
20050301,10.161,10.237,9.863,9.982,166204,0
20050302,9.988,10.123,9.937,10.075,47972,0
20050303,10.225,10.225,9.838,9.838,51628,0
20050304,10.141,10.141,9.832,9.943,15353,0
20050307,10.173,10.199,10.012,10.012,31827,0
20050308,10.062,10.3,9.924,10.031,32454,0
20050309,9.869,10.012,9.869,9.994,20820,0
20050310,9.838,9.963,9.5,9.743,53178,0
20050311,9.832,10.062,9.583,9.912,24220,0
20050314,9.8,10.3,9.8,10.186,41242,0
20050315,10.225,10.3,10.141,10.27,32710,0
20050316,10.3,10.3,9.8,9.912,29771,0
20050317,9.912,10.25,9.518,10.012,42965,0
20050318,10.141,10.199,9.956,10.141,22978,0
20050321,10.27,10.27,9.601,9.645,17229,0
20050322,9.518,9.825,9.518,9.825,4806,0
20050323,9.67,9.67,9.0571,9.576,47433,0
20050324,9.3747,9.67,9.3747,9.67,11566,0
20050328,9.67,9.67,9.4566,9.4874,5061,0
20050329,9.4874,9.512,9.1446,9.3747,59401,0
20050330,9.2881,9.588,9.2881,9.3689,18940,0
20050331,9.2881,10.08,9.2881,9.676,56097,0
20050401,9.645,10.275,9.645,10.129,53767,0
20050404,9.988,9.988,9.768,9.988,24149,0
20050405,9.988,9.988,9.918,9.988,14747,0
20050406,9.793,9.988,9.793,9.899,30116,0
20050407,10.141,10.141,9.557,9.601,21449,0
20050408,9.988,9.988,9.551,9.588,17043,0
20050411,9.518,9.956,9.518,9.749,12273,0
20050412,9.762,9.832,9.762,9.832,2418,0
20050413,9.988,9.988,9.583,9.588,12937,0
20050414,9.4247,9.576,8.2518,8.7701,128572,0
20050415,8.7389,9.0259,8.5016,8.9073,24677,0
20050418,8.6078,8.8386,8.4327,8.8386,33050,0
20050419,8.5081,8.8949,8.4268,8.7512,31515,0
20050420,9.0259,9.0259,8.7013,8.8949,46140,0
20050421,9.1132,9.1633,9.0259,9.1259,16237,0
20050422,8.82,9.5,8.82,9.1259,25736,0
20050425,9.3557,9.3557,8.6327,8.8637,11412,0
20050426,8.9637,8.9637,8.7949,8.7949,4556,0
20050427,8.5828,9.3557,8.5828,8.6264,26656,0
20050428,8.6264,8.9759,8.5828,8.5828,22667,0
20050429,8.7389,8.7389,8.3955,8.4392,43611,0
20050502,8.5702,8.6327,8.4327,8.5515,15295,0
20050503,8.7077,9.3498,8.564,9.2689,16542,0
20050504,8.9759,9.4004,8.9011,9.2689,27864,0
20050505,9.0509,9.3557,8.8012,9.2881,26466,0
20050506,8.9885,9.3371,8.8136,9.0883,29305,0
20050509,9.0883,9.0883,8.845,8.845,19598,0
20050510,8.7389,9.3627,8.7389,9.3498,29210,0
20050511,9.2631,9.3498,9.0509,9.182,26428,0
20050512,9.2449,9.512,9.1383,9.3817,26877,0
20050513,9.749,9.749,9.2256,9.3627,39172,0
20050516,9.2507,9.2689,8.9698,9.0945,34911,0
20050517,9.1883,9.1883,9.0259,9.1259,15213,0
20050518,9.2128,9.238,9.0634,9.1946,28972,0
20050519,9.3627,9.3627,9.1132,9.3062,22394,0
20050520,9.1758,9.3248,9.1132,9.1132,12818,0
20050523,9.2631,9.3627,9.0509,9.3627,14222,0
20050524,9.3557,9.4626,9.3316,9.4435,17450,0
20050525,9.4375,9.645,9.3627,9.518,40478,0
20050526,9.518,9.956,9.518,9.869,36652,0
20050527,9.956,10.212,9.912,9.988,32193,0
20050531,10.237,10.237,9.95,10.237,27667,0
20050601,10,10.237,9.749,9.943,19020,0
20050602,9.775,10.231,9.583,9.988,39850,0
20050603,9.743,10.237,9.518,10.225,35756,0
20050606,10.257,10.418,10.231,10.237,93603,0
20050607,10.237,10.293,10.057,10.282,93116,0
20050608,10.374,10.374,10.012,10.3,50116,0
20050609,10.3,10.475,10.3,10.456,75445,0
20050610,10.535,10.598,10.123,10.387,47878,0
20050613,10.154,10.623,10.154,10.58,64623,0
20050614,10.374,10.58,10.374,10.487,43333,0
20050615,10.456,10.831,10.456,10.768,159916,0
20050616,10.724,10.892,10.693,10.825,58838,0
20050617,10.838,10.924,10.736,10.88,40193,0
20050620,10.636,10.862,10.636,10.862,54109,0
20050621,10.8,10.856,10.674,10.831,33110,0
20050622,10.768,10.831,10.668,10.825,30730,0
20050623,10.825,10.849,10.755,10.849,24725,0
20050624,10.554,10.911,10.541,10.762,1462630,0
20050627,10.736,10.892,10.61,10.825,66792,0
20050628,10.768,10.955,10.768,10.924,119941,0
20050629,10.924,11.267,10.88,11.236,232681,0
20050630,11.11,11.424,10.924,11.179,90151,0
20050701,11.123,11.461,11.123,11.424,109822,0
20050705,11.23,11.23,10.413,10.831,234436,0
20050706,10.849,10.849,10.5,10.774,122149,0
20050707,10.668,11.547,10.668,11.437,251090,0
20050708,11.305,11.786,11.292,11.73,247918,0
20050711,11.86,12.328,11.704,12.216,254538,0
20050712,12.017,12.203,12.005,12.14,111128,0
20050713,12.21,12.56,11.884,12.46,295449,0
20050714,12.37,12.504,11.884,12.058,54594,0
20050715,11.86,12.548,11.86,12.484,52909,0
20050718,12.56,12.609,12.171,12.497,65329,0
20050719,12.639,12.639,12.389,12.415,25287,0
20050720,12.396,12.516,12.298,12.509,91484,0
20050721,12.572,12.67,12.316,12.421,40370,0
20050722,12.298,13.028,12.298,12.846,141000,0
20050725,13.008,13.108,12.84,13.034,237046,0
20050726,13.108,13.134,13.015,13.084,114735,0
20050727,13.141,13.141,12.84,13.034,70049,0
20050728,13.108,13.108,12.801,12.921,127251,0
20050729,12.921,12.983,12.871,12.983,55780,0
20050801,13.065,13.206,12.321,12.441,149908,0
20050802,12.291,13.09,12.291,13.065,182733,0
20050803,12.639,12.983,12.005,12.261,215707,0
20050804,12.248,12.396,12.235,12.34,83033,0
20050805,12.421,12.453,12.303,12.303,67788,0
20050808,12.389,12.389,12.058,12.216,92064,0
20050809,12.146,12.639,12.146,12.639,43399,0
20050810,12.757,12.757,12.046,12.197,105775,0
20050811,12.127,12.396,12.071,12.171,34706,0
20050812,12.153,12.255,11.949,11.973,72157,0
20050815,12.146,12.146,11.641,11.86,84675,0
20050816,11.91,11.91,10.955,11.261,92710,0
20050817,11.148,11.236,11.004,11.104,24155,0
20050818,11.055,11.367,10.998,11.179,43064,0
20050819,11.261,11.678,11.261,11.609,115124,0
20050822,11.547,11.704,11.123,11.417,37300,0
20050823,11.504,11.666,11.311,11.628,100029,0
20050824,11.443,11.691,11.443,11.541,119413,0
20050825,11.367,11.571,11.279,11.404,43479,0
20050826,11.373,11.373,11.022,11.061,97508,0
20050829,11.136,11.136,10.4,10.523,97590,0
20050830,10.4,10.4,10.051,10.356,109954,0
20050831,10.141,10.193,9.2881,9.3817,254635,0
20050901,9.2938,9.607,9.238,9.538,106399,0
20050902,9.717,9.994,9.4944,9.943,146000,0
20050906,9.876,10.129,9.749,10.068,148397,0
20050907,10.068,10.319,10.057,10.3,47731,0
20050908,10.313,10.356,10.25,10.25,47731,0
20050909,10.212,10.4,10.148,10.288,71487,0
20050912,10.205,10.313,10.161,10.237,74207,0
20050913,10.325,10.431,10.173,10.356,49477,0
20050914,10.456,10.456,9.3431,9.3689,222650,0
20050915,9.3689,9.657,9.1883,9.2256,137998,0
20050916,9.1132,9.2194,8.6014,8.7701,375646,0
20050919,8.7451,8.8075,8.5828,8.6388,110509,0
20050920,8.7574,8.8075,8.5828,8.6576,93357,0
