Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.843,24.23,23.51,24.016,204184,0
20050228,23.843,24.983,23.464,24.764,10704,0
20050301,24.523,24.81,24.175,24.742,4768,0
20050302,24.523,25.074,24.523,24.88,10955,0
20050303,24.893,24.893,24.335,24.554,2971,0
20050304,24.673,24.673,24.493,24.561,1850,0
20050307,24.493,24.787,24.493,24.755,4254,0
20050308,24.818,24.855,24.659,24.727,44326,0
20050309,24.72,24.755,24.523,24.568,18315,0
20050310,24.59,24.605,24.169,24.169,16289,0
20050311,23.896,24.055,23.654,24.001,6525,0
20050314,23.45,23.827,22.435,22.898,22860,0
20050315,22.308,23.154,22.074,22.142,19534,0
20050316,21.749,22.663,21.749,21.884,24866,0
20050317,22.202,22.406,21.068,21.068,10148,0
20050318,21.226,22.202,19.247,19.338,71198,0
20050321,22.85,22.85,19.595,20.509,68177,0
20050322,20.372,20.509,20.237,20.379,50487,0
20050323,20.244,20.857,19.525,20.138,43433,0
20050324,20.826,21.258,20.509,20.902,23684,0
20050328,20.917,21.258,20.379,20.902,9019,0
20050329,21.211,21.226,20.577,20.842,3434,0
20050330,20.917,20.917,19.686,20.259,12580,0
20050331,20.411,22.209,19.429,21.476,14447,0
20050401,22.202,22.202,21.357,21.423,16105,0
20050404,20.962,21.492,20.517,20.721,8350,0
20050405,20.782,21.294,20.734,20.734,5225,0
20050406,20.774,20.774,20.146,20.266,3581,0
20050407,20.184,20.585,20.184,20.244,7883,0
20050408,20.026,20.357,20.026,20.146,13147,0
20050411,20.487,20.917,19.881,20.379,5149,0
20050412,20.244,20.932,20.244,20.759,4764,0
20050413,21.03,21.03,20.759,20.94,4791,0
20050414,21.068,21.085,20.759,20.871,1588,0
20050415,20.759,20.759,20.487,20.487,3575,0
20050418,20.411,20.411,20.146,20.146,7806,0
20050419,19.919,20.237,18.961,20.237,17861,0
20050421,20.796,20.796,19.285,19.488,8015,0
20050422,18.711,19.935,18.711,18.754,7652,0
20050425,18.945,20.396,18.945,20.018,3786,0
20050426,19.919,19.919,19.011,19.435,1264,0
20050427,19.769,19.769,19.693,19.693,794,0
20050428,19.791,19.791,18.287,18.945,40801,0
20050429,19.714,19.714,17.145,19.126,27579,0
20050502,19.269,19.299,17.976,18.878,6614,0
20050503,19.52,19.52,18.904,18.904,2287,0
20050504,19.429,19.435,18.821,18.821,13811,0
20050505,19.019,19.071,18.68,18.808,4681,0
20050506,19.201,19.209,18.945,18.945,3292,0
20050509,20.357,20.357,18.786,18.837,18757,0
20050510,18.786,19.103,18.786,19.103,1380,0
20050511,19.48,19.48,19.044,19.261,7352,0
20050512,20.313,20.313,18.987,19.209,5841,0
20050513,19.201,19.261,19.05,19.224,1724,0
20050516,20.357,20.357,18.945,19.011,3442,0
20050517,18.287,18.641,17.75,18.128,6294,0
20050518,17.976,17.976,17.637,17.811,4763,0
