Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.49,5.54,5.45,5.5,165563,0
20050228,5.54,5.69,5.31,5.35,263525,0
20050301,5.35,5.56,5.33,5.36,126164,0
20050302,5.4,5.59,5.26,5.27,349928,0
20050303,5.35,5.53,5.24,5.48,254498,0
20050304,5.45,5.52,5.31,5.48,163349,0
20050307,5.57,5.57,5.28,5.35,169024,0
20050308,5.32,5.39,5.1,5.26,180625,0
20050309,5.25,5.7,5.25,5.29,162060,0
20050310,5.27,5.45,5.2,5.22,93375,0
20050311,5.23,5.31,5.1,5.18,107479,0
20050314,5.12,5.2,5,5.13,347417,0
20050315,5.25,5.41,5.22,5.25,136620,0
20050316,5.22,5.37,5.13,5.13,49177,0
20050317,5.12,5.23,5.05,5.1,113061,0
20050318,5.1,5.22,5.02,5.22,224294,0
20050321,5.17,5.27,5.02,5.1,152932,0
20050322,5.07,5.16,5.05,5.16,99251,0
20050323,5.19,5.19,4.97,5.17,146770,0
20050324,5.19,5.25,5.07,5.25,106432,0
20050328,5.28,5.32,5.1,5.15,93871,0
20050329,5.11,5.2,4.95,4.95,104660,0
20050330,4.97,5.13,4.97,5.11,130536,0
20050331,5.19,5.25,4.95,5.05,94788,0
20050401,4.97,5.09,4.92,4.92,123244,0
20050404,5.04,5.12,4.97,5.04,245055,0
20050405,5.08,5.08,4.85,4.92,357851,0
20050406,4.99,5.11,4.92,5.06,60183,0
20050407,5.06,5.36,5.06,5.27,71142,0
20050408,5.27,5.35,5.25,5.35,76778,0
20050411,5.29,5.39,5.25,5.31,168496,0
20050412,5.32,5.7,5.3,5.55,332802,0
20050413,5.65,5.71,5.5,5.6,99866,0
20050414,5.59,5.63,5.4,5.4,92200,0
20050415,5.3,5.58,5.27,5.54,63123,0
20050418,5.54,5.58,5.39,5.5,82852,0
20050419,5.4,5.45,5.38,5.38,115746,0
20050420,5.37,5.9,5.29,5.74,356458,0
20050421,5.76,5.9,5.54,5.86,88070,0
20050422,5.79,5.82,5.61,5.67,69024,0
20050425,5.72,5.82,5.5,5.64,89289,0
20050426,5.54,5.65,5.29,5.48,102836,0
20050427,5.5,5.59,5.47,5.59,65949,0
20050428,5.54,5.6,5.34,5.47,98506,0
20050429,5.52,5.53,5.22,5.37,57661,0
20050502,5.28,5.75,5.27,5.65,386110,0
20050503,5.67,5.72,5.47,5.63,154526,0
20050504,5.64,5.67,5.48,5.48,238760,0
20050505,5.5,5.6,5.36,5.45,271908,0
20050506,5.46,5.98,5.45,5.75,377540,0
20050509,5.81,6.13,5.66,5.94,244896,0
20050510,5.99,6.04,5.8,5.97,185129,0
20050511,7.21,7.49,6.41,6.49,8757234,0
20050512,6.6,6.91,6.55,6.79,1228760,0
20050513,6.89,6.97,6.35,6.35,674989,0
20050516,6.52,6.76,6.1,6.71,431128,0
20050517,6.7,6.76,6.5,6.67,224443,0
20050518,6.8,6.95,6.65,6.76,334618,0
20050519,6.78,6.84,6.75,6.77,92298,0
20050520,6.77,6.9,6.66,6.87,231978,0
20050523,6.91,7,6.82,6.99,251938,0
20050524,6.92,6.97,6.68,6.82,374492,0
20050525,6.88,6.88,6.7,6.77,231412,0
20050526,6.67,6.82,6.64,6.66,294549,0
20050527,6.63,6.95,6.61,6.95,214566,0
20050531,6.97,7.06,6.72,6.85,355151,0
20050601,6.85,6.89,6.53,6.55,315655,0
20050602,6.62,6.75,6.53,6.54,119321,0
20050603,6.53,6.59,6.35,6.37,445872,0
20050606,6.35,6.62,6.3,6.45,279724,0
20050607,6.42,6.56,6.17,6.23,365314,0
20050608,6.33,6.58,6.23,6.58,130588,0
20050609,6.53,6.82,6.49,6.78,200747,0
20050610,6.81,6.89,6.68,6.78,93350,0
20050613,6.66,6.85,6.63,6.78,124750,0
20050614,6.74,6.8,6.57,6.76,139997,0
20050615,6.8,6.86,6.55,6.76,161380,0
20050616,6.69,6.86,6.69,6.79,123528,0
20050617,6.81,6.99,6.76,6.99,256434,0
20050620,7,7.15,6.95,7.08,1091142,0
20050621,7.1,7.12,6.78,7.01,240840,0
20050622,7.01,7.1,6.85,7.08,197732,0
20050623,7.06,7.15,6.9,6.95,290471,0
20050624,6.93,7.03,6.77,6.82,2984044,0
20050627,6.82,7.08,6.74,7.03,422005,0
20050628,7.07,7.09,6.99,7.09,291851,0
20050629,7.09,7.09,6.97,7.04,176543,0
20050630,7.06,7.1,6.53,6.82,562299,0
20050701,6.84,7,6.61,6.99,417429,0
20050705,7.02,7.24,6.9,7.13,286634,0
20050706,7.13,7.18,6.97,7.08,114424,0
20050707,6.93,7.08,6.83,7.07,152938,0
20050708,7.07,7.12,6.93,7.1,148765,0
20050711,7.17,7.2,6.96,7.08,151449,0
20050712,7.01,7.44,6.96,7.29,343907,0
20050713,7.3,7.73,7.3,7.68,543000,0
20050714,7.74,7.86,7.68,7.77,344108,0
20050715,7.77,8.38,7.77,8.3,1313412,0
20050718,8.25,8.38,8.08,8.32,544144,0
20050719,8.41,8.47,8.01,8.18,437687,0
20050720,8.15,8.4,8.11,8.28,453688,0
20050721,8.3,8.45,8.08,8.28,237499,0
20050722,8.19,8.29,7.52,8.22,441426,0
20050725,8.24,8.3,8,8.08,201028,0
20050726,8.2,8.3,8.07,8.19,330776,0
20050727,8.19,8.25,8.02,8.05,155988,0
20050728,8.02,8.33,7.9,8.25,297290,0
20050729,8.1,8.72,8.1,8.67,421334,0
20050801,8.7,8.82,8.65,8.66,307180,0
20050802,8.78,8.98,8.77,8.83,264413,0
20050803,8.93,8.93,8.59,8.65,434840,0
