Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.2011,5.2974,5.1046,5.2974,39468,0
20050228,5.2974,5.3358,5.2107,5.3262,28890,0
20050301,5.3262,5.3743,5.278,5.3165,29568,0
20050302,5.4419,5.5862,5.3262,5.3454,18176,0
20050303,5.3551,5.5766,5.3551,5.5382,32084,0
20050304,5.5477,5.6248,5.5382,5.5862,11720,0
20050307,5.673,5.7596,5.5382,5.5477,11127,0
20050308,5.5477,5.7694,5.5477,5.6153,15209,0
20050309,5.5188,5.6921,5.5093,5.6248,9475,0
20050310,5.7498,5.7498,5.5382,5.567,6749,0
20050311,5.4514,5.567,5.4514,5.5382,5971,0
20050314,5.567,5.567,5.4514,5.4514,1248,0
20050315,5.49,5.49,5.2974,5.4419,19796,0
20050316,5.4514,5.5382,5.4514,5.4995,4550,0
20050317,5.49,5.49,5.4514,5.4803,4993,0
20050318,5.4514,5.49,5.4419,5.49,4034,0
20050321,5.4514,5.4707,5.4419,5.4419,3893,0
20050322,5.4803,5.567,5.4707,5.5477,34414,0
20050323,5.4995,5.5572,5.49,5.5382,47322,0
20050324,5.4514,5.5382,5.2299,5.278,30934,0
20050328,5.2107,5.4995,5.2107,5.4707,16048,0
20050329,5.4032,5.4419,5.3937,5.432,5269,0
20050330,5.2588,5.49,5.2588,5.413,5716,0
20050331,5.2107,5.4419,5.2107,5.4032,14728,0
20050401,5.49,5.49,5.3262,5.3647,4778,0
20050404,5.4032,5.432,5.3937,5.3937,9568,0
20050405,5.4032,5.4419,5.4032,5.4419,3115,0
20050406,5.4707,5.4707,5.413,5.4608,4501,0
20050407,5.3937,5.49,5.3937,5.4419,9677,0
20050408,5.4514,5.49,5.4032,5.4032,9333,0
20050411,5.3937,5.3937,5.3262,5.3937,10124,0
20050412,5.3937,5.4608,5.3937,5.4514,9660,0
20050413,5.49,5.49,5.3937,5.3937,12391,0
20050414,5.3937,5.413,5.2107,5.3358,3871,0
20050415,5.2107,5.278,5.1046,5.1046,17816,0
20050418,5.1046,5.2011,5.1046,5.1336,7435,0
20050419,5.1046,5.1432,5.0662,5.095,14494,0
20050420,5.4419,5.4419,4.9602,5.0662,11357,0
20050421,4.9699,5.2011,4.9699,4.9988,103932,0
20050422,4.9891,5.0756,4.9602,5.0083,13186,0
20050425,5.0564,5.0564,4.9793,5.0468,1870,0
20050426,5.0083,5.0756,5.0083,5.0468,61234,0
20050427,5.1432,5.2011,5.0468,5.1336,9559,0
20050428,5.0564,5.2011,5.0564,5.1815,7576,0
20050429,5.0564,5.2011,5.0564,5.1624,14711,0
20050502,5.2877,5.2877,5.1624,5.2299,10917,0
20050503,5.2588,5.2588,5.1046,5.1046,12028,0
20050504,5.1046,5.1913,5.1046,5.1046,412,0
20050505,5.249,5.249,5.1046,5.1238,4082,0
20050506,5.1913,5.1913,5.1046,5.1046,5287,0
20050509,5.1046,5.1238,5.1046,5.1238,20299,0
20050510,5.1336,5.1336,4.9602,5.1238,9205,0
20050511,5.1238,5.2202,5.0662,5.2202,10736,0
20050512,5.1046,5.278,5.0855,5.1815,2307,0
20050513,5.1815,5.1815,4.8063,4.9119,33968,0
20050516,4.9505,5.2685,4.8157,4.8734,3386,0
20050517,5.0756,5.0756,4.8734,4.9793,11442,0
20050518,4.8734,4.9793,4.8446,4.8541,15850,0
20050519,4.864,4.8928,4.864,4.8734,7924,0
20050520,4.9313,5.0468,4.8928,4.8928,16026,0
20050523,4.883,5.2397,4.883,5.0374,25020,0
20050524,5.0468,5.2397,5.0083,5.1527,5224,0
20050525,5.0564,5.2397,5.0564,5.1624,3115,0
20050526,5.0564,5.2107,5.0564,5.1624,14025,0
20050527,5.0662,5.2202,5.0662,5.2202,4180,0
20050531,5.1527,5.278,5.1527,5.2588,6835,0
20050601,5.1721,5.278,5.1721,5.2685,4696,0
20050602,5.1432,5.2588,5.1432,5.2107,16024,0
20050603,5.1143,5.2685,5.1143,5.2011,2731,0
20050606,5.0855,5.278,5.0564,5.1046,4957,0
20050607,5.0564,5.2011,5.0564,5.1624,12562,0
20050608,5.0662,5.2397,5.0662,5.1527,1638,0
20050609,5.1913,5.2685,5.0855,5.2685,3738,0
20050610,5.018,5.2588,5.018,5.0662,3942,0
20050613,5.0564,5.2685,5.0564,5.0662,2313,0
20050614,5.0662,5.0662,5.018,5.018,37754,0
20050615,5.0276,5.278,5.0083,5.0855,28746,0
20050616,5.0564,5.2397,5.0276,5.0756,11464,0
20050617,5.0083,5.2202,5.0083,5.0468,9657,0
20050620,5.0374,5.1815,5.0374,5.1238,15185,0
20050621,5.0083,5.2107,5.0083,5.1721,17045,0
20050622,5.1721,5.2685,5.0468,5.0564,13396,0
20050623,4.9602,5.2588,4.9602,5.0468,10933,0
20050624,5.0468,5.2011,5.0468,5.0756,10544,0
20050627,5.0564,5.2011,5.0564,5.0564,2530,0
20050628,5.1143,5.249,5.0564,5.0564,9988,0
20050629,5.249,5.249,5.1143,5.1238,3426,0
20050630,5.0564,5.2685,5.0564,5.1527,8133,0
20050701,5.1336,5.2397,5.1336,5.1721,7103,0
20050705,5.0662,5.2685,5.0564,5.0855,4874,0
20050706,5.1046,5.1624,5.0564,5.1432,2599,0
20050707,5.0564,5.2107,5.0564,5.0564,4615,0
20050708,5.0564,5.095,5.0564,5.0564,5941,0
20050711,5.0564,5.0564,5.0564,5.0564,16036,0
20050712,5.0564,5.249,5.0564,5.1046,10384,0
20050713,5.1527,5.1527,5.0756,5.0756,3575,0
20050714,5.0564,5.1527,5.0564,5.0564,9317,0
20050715,5.0564,5.0756,5.0564,5.0564,7215,0
20050718,5.0564,5.1046,5.0564,5.0564,2492,0
20050719,5.0564,5.1143,5.0564,5.1046,22366,0
20050720,5.0855,5.1527,5.0756,5.1432,14846,0
20050721,5.0756,5.1527,5.0662,5.1046,19000,0
20050722,5.1046,5.1143,5.0756,5.0855,29888,0
20050725,5.1046,5.1432,5.1046,5.1046,16489,0
20050726,5.1046,5.1336,5.1046,5.1046,8452,0
20050727,5.1046,5.1046,5.1046,5.1046,15469,0
20050728,5.1046,5.1527,5.1046,5.1143,15574,0
20050729,5.1046,5.1527,5.1046,5.1527,8405,0
20050801,5.1624,5.2685,5.1046,5.1624,28329,0
20050802,5.1336,5.2107,5.1336,5.1721,25982,0
20050803,5.1336,5.2011,5.1336,5.1624,1472,0
20050804,5.1624,5.1721,5.1238,5.1238,2573,0
20050805,5.1238,5.1238,5.1143,5.1143,4048,0
20050808,5.1046,5.1143,5.1046,5.1046,724,0
20050809,5.1046,5.1046,5.1046,5.1046,3264,0
20050810,5.1046,5.1046,5.1046,5.1046,3040,0
20050811,5.1046,5.1046,5.095,5.1046,3943,0
20050812,5.0756,5.1721,5.0756,5.1721,20689,0
20050815,5.0855,5.1815,5.0855,5.0855,24083,0
20050816,5.0855,5.1527,5.0855,5.0855,3280,0
20050817,5.1336,5.1336,5.0855,5.0855,1681,0
20050818,5.0855,5.1046,5.0855,5.0855,6370,0
20050819,5.0855,5.2397,5.0855,5.2299,10244,0
20050822,5.2685,5.2685,5.0855,5.0855,5139,0
20050823,5.0855,5.1046,5.0662,5.0662,24404,0
20050824,5.1046,5.1527,5.1046,5.1046,989,0
20050825,5.1046,5.1143,5.0083,5.1046,9167,0
20050826,5.1046,5.1046,5.0083,5.0083,5518,0
20050829,5.0564,5.0564,4.9119,4.9216,9626,0
20050830,4.9024,4.9216,4.6135,4.6135,13742,0
20050831,4.6328,4.8157,4.6328,4.8157,4240,0
20050901,4.7676,4.8541,4.6328,4.6905,13336,0
20050902,4.652,4.864,4.623,4.864,10789,0
20050906,4.7965,4.7965,4.6713,4.7676,9361,0
20050907,4.7676,4.7676,4.3437,4.652,22362,0
20050908,4.652,4.8541,4.652,4.8157,10883,0
20050909,4.7771,4.7771,4.4305,4.5653,41431,0
20050912,4.5749,4.6039,4.5653,4.5749,18290,0
20050913,4.5749,4.8157,4.5749,4.6905,13407,0
20050914,4.652,4.9119,4.6424,4.7676,45875,0
20050915,4.729,4.9793,4.729,4.9024,14828,0
20050916,4.9602,4.9602,4.7387,4.8446,3406,0
20050919,4.7868,4.864,4.7578,4.8157,5689,0
20050920,4.8734,4.9602,4.7676,4.9602,14496,0
20050921,4.9024,4.9024,4.6424,4.7194,2853,0
20050922,4.7098,4.8734,4.7098,4.729,4048,0
20050923,4.7194,4.9409,3.92,4.1414,100907,0
20050926,4.3148,4.3822,4.1414,4.3725,24597,0
20050927,4.0453,4.4112,4.0453,4.4112,14384,0
20050928,4.392,4.5557,4.257,4.4112,6885,0
20050929,4.3725,4.5846,4.1126,4.1607,33787,0
20050930,4.2859,4.2859,4.103,4.1897,9409,0
20051003,4.2281,4.3053,4.1897,4.209,5839,0
20051004,4.1993,4.2859,4.1897,4.2859,17504,0
20051005,4.1993,4.3148,4.1801,4.1801,11538,0
20051006,4.2378,4.2668,4.2378,4.2378,9717,0
20051007,4.2378,4.2859,4.2378,4.2859,5989,0
20051010,4.2859,4.3053,4.2281,4.3053,5206,0
20051011,4.2378,4.257,4.2186,4.257,3779,0
20051012,4.2378,4.4112,4.2378,4.2378,11291,0
20051013,4.2186,4.3245,4.2186,4.2378,7579,0
20051014,4.2281,4.2281,4.2186,4.2186,1077,0
20051017,4.2378,4.3725,4.2378,4.3631,2749,0
20051018,4.2186,4.4016,4.2186,4.2956,7949,0
20051019,4.2956,4.2956,4.2956,4.2956,100,0
20051020,4.4305,4.4305,4.2956,4.3148,14607,0
20051021,4.3342,4.4305,4.3342,4.4112,3634,0
20051024,4.392,4.392,4.392,4.392,100,0
20051025,4.3342,4.4112,4.2186,4.2765,31869,0
20051026,4.2378,4.257,4.2281,4.2378,2544,0
20051027,4.2186,4.3822,4.2186,4.2378,11155,0
20051028,4.3342,4.4112,4.3245,4.3437,5020,0
20051031,4.4305,4.4595,4.4305,4.4305,2260,0
20051101,4.4786,4.6617,4.4786,4.4786,31393,0
20051102,4.4305,4.623,4.4305,4.5557,36479,0
20051103,4.5268,4.6617,4.5268,4.5653,8856,0
20051104,4.5268,4.6617,4.5268,4.5653,8411,0
20051107,4.5268,4.864,4.3342,4.652,27921,0
20051108,4.5941,4.7676,4.5461,4.6713,9852,0
20051109,4.6905,4.7002,4.5074,4.5461,7776,0
20051110,4.5074,4.5749,4.4498,4.5749,5644,0
20051111,4.5173,4.652,4.4689,4.4689,7323,0
20051114,4.4689,4.4786,4.44,4.4498,7039,0
20051115,4.44,4.4595,4.392,4.392,6845,0
20051116,4.392,4.7002,4.3822,4.5846,14180,0
20051117,4.5268,4.9119,4.5268,4.6135,5266,0
20051118,4.7868,4.8157,4.6328,4.8063,4517,0
20051121,4.6424,4.7676,4.6135,4.7676,1348,0
20051122,4.6039,4.7483,4.5749,4.6713,11983,0
20051123,4.5749,4.8541,4.5461,4.6713,15588,0
20051125,4.6713,4.9699,4.6713,4.681,3610,0
20051128,4.6328,4.7483,4.5268,4.5461,8305,0
20051129,4.5461,4.7771,4.5461,4.5749,9982,0
20051130,4.4978,4.8541,4.4978,4.623,11844,0
20051201,4.5846,4.6424,4.5268,4.5846,27462,0
20051202,4.623,4.623,4.5173,4.5173,14022,0
20051205,4.3437,4.5941,4.3437,4.5074,14468,0
20051206,4.3822,4.5653,4.3822,4.5268,3700,0
20051207,4.5268,4.5941,4.5268,4.5268,1248,0
20051208,4.44,4.5461,4.3822,4.4689,5175,0
20051209,4.4595,4.623,4.4595,4.5941,6260,0
20051212,4.6135,4.623,4.5364,4.5461,7658,0
20051213,4.4498,4.4786,4.3725,4.44,6060,0
20051214,4.3822,4.4209,4.3725,4.4016,8262,0
20051215,4.3631,4.4209,4.3631,4.4016,5573,0
20051216,4.3725,4.3725,4.3725,4.3725,212,0
20051219,4.3631,4.3725,4.3053,4.3342,11705,0
20051220,4.2859,4.3725,4.2859,4.3245,16054,0
20051221,4.2859,4.3342,4.2859,4.2956,10384,0
20051222,4.2956,4.3342,4.2859,4.3148,14581,0
20051223,4.2956,4.3148,4.2765,4.2859,29594,0
20051227,4.257,4.257,3.8911,3.9297,38508,0
20051228,4.0356,4.1607,4.026,4.1414,15238,0
20051229,4.1512,4.2378,4.1414,4.1993,18575,0
20051230,4.1512,4.2186,4.1414,4.2186,12655,0
20060103,4.257,4.2668,4.1703,4.2281,10349,0
20060104,4.1993,4.2378,4.1993,4.2378,9082,0
20060105,4.1801,4.1801,4.1414,4.1512,7801,0
20060106,4.1126,4.3148,4.1126,4.3148,16031,0
20060109,4.44,4.4498,4.4305,4.4498,36106,0
20060110,4.4305,4.4884,4.4305,4.4884,10481,0
20060111,4.392,4.5461,4.392,4.4112,12539,0
20060112,4.3148,4.44,4.2378,4.3533,4195,0
20060113,4.3053,4.3822,4.3053,4.3822,2676,0
20060117,4.44,4.4498,4.3631,4.4498,4941,0
20060118,4.3631,4.3631,4.3342,4.3342,8651,0
20060119,4.3245,4.3342,4.3053,4.3342,11629,0
20060120,4.3342,4.3822,4.3342,4.3631,16151,0
20060123,4.4498,4.4595,4.3053,4.4595,7029,0
20060124,4.4112,4.4112,4.3148,4.3437,7060,0
20060125,4.3342,4.4209,4.3245,4.3342,5146,0
20060126,4.2765,4.2765,4.1607,4.257,5299,0
