Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.481,11.481,11.481,11.481,1676,0
20050228,11.535,11.535,11.535,11.535,2792,0
20050301,11.607,11.643,11.607,11.643,4186,0
20050302,11.643,11.982,11.643,11.982,13120,0
20050303,11.982,11.982,11.982,11.982,559,0
20050304,11.982,12.163,11.982,12.163,1676,0
20050308,12.02,12.153,12.02,12.144,10887,0
20050309,12.117,12.117,12.117,12.117,277,0
20050310,12.046,12.046,12.046,12.046,2792,0
20050311,12.072,12.072,12.055,12.055,836,0
20050314,11.965,11.965,11.84,11.867,8094,0
20050316,11.84,11.84,11.84,11.84,1398,0
20050318,11.392,11.607,11.392,11.553,5583,0
20050321,11.518,11.535,11.481,11.535,3069,0
20050322,11.535,11.535,11.535,11.535,559,0
20050323,11.481,11.481,11.429,11.463,6700,0
20050324,11.553,11.553,11.481,11.481,2233,0
20050328,11.518,11.535,11.518,11.535,1115,0
20050329,11.463,11.463,11.429,11.429,3629,0
20050330,11.392,11.392,11.392,11.392,559,0
20050331,11.463,11.481,11.429,11.472,6420,0
20050401,11.535,11.643,11.535,11.643,1398,0
20050404,11.643,11.643,11.553,11.553,836,0
20050405,11.553,11.553,11.463,11.463,2792,0
20050407,11.429,11.429,11.429,11.429,277,0
20050408,11.382,11.382,11.382,11.382,1953,0
20050411,11.392,11.392,11.392,11.392,277,0
20050412,11.373,11.429,11.373,11.392,10887,0
20050413,11.445,11.445,11.445,11.445,559,0
20050414,11.463,11.463,11.41,11.429,10607,0
20050415,11.481,11.481,11.481,11.481,1398,0
20050418,11.445,11.445,11.429,11.429,559,0
20050419,11.481,11.481,11.481,11.481,277,0
20050420,11.445,11.499,11.41,11.41,5304,0
20050421,11.392,11.392,11.141,11.141,8933,0
20050422,11.106,11.106,11.106,11.106,1398,0
20050425,11.106,11.106,11.106,11.106,559,0
20050426,11.088,11.141,11.088,11.141,6142,0
20050427,11.106,11.106,11.07,11.07,1676,0
20050428,11.053,11.053,11.053,11.053,1398,0
20050429,11.015,11.015,10.926,10.926,23726,0
20050502,10.874,10.881,10.819,10.856,10328,0
20050503,10.856,10.856,10.856,10.856,1398,0
20050504,10.782,10.782,10.675,10.675,7816,0
20050505,10.675,10.675,10.657,10.657,9214,0
20050509,10.649,10.649,10.587,10.587,2233,0
20050510,10.495,10.495,10.442,10.46,6979,0
20050511,10.513,10.587,10.513,10.587,2233,0
20050512,10.531,10.531,10.298,10.298,10049,0
20050513,10.245,10.245,10.245,10.245,1398,0
20050516,10.245,10.245,10.157,10.175,26519,0
20050517,9.824,9.976,9.824,9.976,48293,0
20050518,10.012,10.478,10.012,10.478,21772,0
20050519,10.39,10.649,10.39,10.649,5583,0
20050520,10.693,10.746,10.693,10.746,836,0
20050523,10.641,10.641,10.531,10.568,3910,0
20050524,10.531,10.605,10.531,10.605,3910,0
20050525,10.568,10.568,10.478,10.478,1953,0
20050526,10.568,10.587,10.478,10.587,2792,0
20050531,10.605,10.605,10.568,10.568,559,0
20050601,10.622,10.649,10.605,10.605,1398,0
20050602,10.531,10.531,10.531,10.531,2233,0
20050603,10.495,10.568,10.495,10.531,5304,0
20050606,10.46,10.46,10.46,10.46,559,0
20050607,10.39,10.39,10.39,10.39,836,0
20050609,10.39,10.39,10.39,10.39,277,0
20050614,10.478,10.837,10.478,10.746,32380,0
20050615,10.837,10.89,10.837,10.89,1398,0
20050616,10.837,10.837,10.782,10.782,1398,0
20050617,10.746,10.746,10.746,10.746,277,0
20050620,10.746,10.746,10.746,10.746,559,0
20050621,10.71,10.71,10.71,10.71,1115,0
20050623,10.675,10.675,10.605,10.605,21215,0
20050627,10.605,10.622,10.495,10.495,26241,0
20050628,10.354,10.46,10.354,10.45,5860,0
20050629,10.39,10.39,10.39,10.39,1398,0
20050630,10.317,10.317,10.307,10.317,5027,0
20050701,10.298,10.298,10.298,10.298,277,0
20050705,10.245,10.381,10.209,10.381,7535,0
20050707,10.442,10.442,10.442,10.442,836,0
20050708,10.423,10.423,10.423,10.423,1115,0
20050711,10.495,10.55,10.495,10.531,4746,0
20050712,10.531,10.55,10.442,10.469,14794,0
20050713,10.513,10.513,10.495,10.513,3348,0
20050714,10.513,10.587,10.495,10.495,12004,0
20050715,10.478,10.504,10.478,10.478,8651,0
20050718,10.495,10.495,10.495,10.495,559,0
20050721,10.513,10.55,10.513,10.54,5027,0
20050722,10.578,10.578,10.578,10.578,277,0
20050725,10.578,10.578,10.578,10.578,277,0
20050727,10.587,10.874,10.587,10.874,8094,0
20050728,10.907,11.463,10.907,11.373,12282,0
20050729,11.321,11.463,11.321,11.463,3629,0
20050801,11.41,11.455,11.302,11.338,11165,0
20050802,11.302,11.321,11.302,11.321,15633,0
20050803,11.321,11.321,11.321,11.321,559,0
20050804,11.321,11.321,11.302,11.302,1398,0
20050805,11.212,11.276,11.212,11.212,2512,0
20050808,11.267,11.267,11.258,11.267,1953,0
20050809,11.321,11.373,11.321,11.338,1398,0
20050811,11.373,11.373,11.373,11.373,559,0
20050815,11.392,11.455,11.392,11.41,4746,0
20050816,11.41,11.445,11.41,11.445,836,0
20050817,11.463,11.463,11.463,11.463,277,0
20050818,11.49,11.49,11.445,11.445,1398,0
20050822,11.481,11.481,11.463,11.463,1676,0
20050823,11.455,11.455,11.429,11.429,3069,0
20050824,11.429,11.429,11.429,11.429,277,0
20050825,11.455,11.455,11.401,11.401,2233,0
20050829,11.445,11.445,11.445,11.445,277,0
20050831,11.445,11.463,11.445,11.463,6700,0
20050901,11.463,11.463,11.463,11.463,559,0
20050902,11.481,11.481,11.481,11.481,277,0
20050906,11.463,11.463,11.463,11.463,1676,0
20050907,11.463,11.463,11.463,11.463,1115,0
20050908,11.429,11.553,11.355,11.553,5860,0
20050914,11.588,11.588,11.588,11.588,277,0
20050916,11.588,11.768,11.588,11.749,5860,0
20050919,11.777,11.84,11.749,11.749,3910,0
20050921,11.749,11.786,11.749,11.786,836,0
20050923,11.758,11.758,11.758,11.758,2233,0
20050926,11.795,11.84,11.795,11.84,1676,0
20050928,11.696,11.749,11.696,11.749,2792,0
20050930,11.777,11.892,11.777,11.892,5860,0
20051004,11.928,11.928,11.928,11.928,559,0
20051005,11.928,11.928,11.892,11.892,1115,0
20051007,11.911,11.928,11.911,11.928,559,0
20051011,11.892,11.892,11.892,11.892,277,0
20051012,11.892,11.892,11.892,11.892,559,0
20051013,11.911,11.928,11.911,11.911,3348,0
20051014,11.946,11.982,11.946,11.946,3910,0
20051018,11.911,11.911,11.911,11.911,2792,0
20051019,11.892,11.892,11.877,11.877,1953,0
20051020,11.877,11.877,11.877,11.877,9214,0
20051024,11.877,11.877,11.877,11.877,7816,0
20051025,11.877,11.877,11.877,11.877,5304,0
20051026,11.877,11.877,11.877,11.877,277,0
20051027,11.877,11.877,11.877,11.877,5583,0
20051031,11.858,11.858,11.786,11.84,12560,0
20051102,11.804,11.804,11.804,11.804,6979,0
20051103,11.84,11.965,11.84,11.965,10328,0
20051104,12.001,12.968,12.001,12.932,23726,0
20051107,13.003,14.061,13.003,13.451,24845,0
20051108,13.371,13.415,13.371,13.371,1115,0
20051109,13.523,14.705,13.523,14.15,9214,0
20051110,14.15,14.15,14.007,14.007,1115,0
20051111,13.881,13.97,13.881,13.97,836,0
20051114,13.97,13.97,13.255,13.362,8651,0
20051115,13.344,13.623,13.344,13.614,5027,0
20051116,13.614,13.648,13.614,13.648,1676,0
20051117,13.72,13.72,13.648,13.648,6142,0
20051118,13.577,13.648,13.577,13.648,5583,0
20051121,13.586,13.595,13.577,13.586,6420,0
20051122,13.434,13.523,13.434,13.523,2233,0
20051123,13.684,14.195,13.684,13.97,10049,0
20051125,14.15,14.507,14.15,14.507,3348,0
20051128,14.419,14.687,14.365,14.677,5860,0
20051129,14.507,16.12,14.507,14.795,18980,0
20051130,14.795,14.867,14.795,14.832,1115,0
20051201,14.956,15.046,14.956,15.046,559,0
20051202,15.225,15.225,15.046,15.046,3629,0
20051205,15.046,15.368,15.046,15.368,4186,0
20051206,15.395,15.493,15.395,15.493,1953,0
20051207,15.403,15.403,15.403,15.403,1398,0
20051208,15.225,15.403,15.225,15.403,1676,0
20051209,15.403,15.403,15.403,15.403,1115,0
20051213,15.583,15.583,15.583,15.583,1115,0
20051214,15.583,15.583,15.583,15.583,277,0
20051215,15.512,15.512,15.439,15.439,559,0
20051216,15.403,15.403,15.046,15.046,15913,0
20051219,15.135,15.225,15.081,15.081,1115,0
20051220,15.01,15.403,15.01,15.403,12560,0
20051221,15.439,15.583,14.884,15.046,5860,0
20051222,14.875,14.875,14.867,14.867,1953,0
20051223,15.046,15.046,15.046,15.046,277,0
20051227,14.901,15.046,14.901,15.046,836,0
20051228,15.028,15.028,15.028,15.028,277,0
20051230,14.939,15.01,14.939,15.01,2233,0
20060103,15.153,15.153,15.065,15.065,2792,0
20060104,14.974,15.046,14.974,15.046,836,0
20060105,14.956,14.956,14.777,14.786,1676,0
20060106,14.777,14.777,14.777,14.777,4186,0
20060109,14.517,14.517,14.507,14.507,2233,0
20060110,14.507,14.507,14.507,14.507,836,0
20060111,14.329,14.329,14.061,14.061,5027,0
20060112,13.97,13.97,13.614,13.792,5027,0
20060113,13.881,13.97,13.792,13.792,3910,0
20060117,13.63,14.043,13.614,14.007,5304,0
20060118,13.962,13.962,13.792,13.792,559,0
20060119,13.792,14.15,13.792,14.15,1953,0
20060124,14.293,14.329,14.293,14.329,2233,0
20060125,14.329,14.329,14.097,14.097,6420,0
20060126,14.241,14.241,13.792,13.792,6700,0
20060127,13.63,13.783,13.63,13.774,1398,0
20060130,13.684,13.702,13.614,13.702,2233,0
20060131,13.881,13.97,13.881,13.97,1953,0
20060201,14.15,14.329,14.15,14.329,3910,0
20060202,14.15,14.15,14.15,14.15,559,0
20060203,13.97,13.97,13.792,13.97,2512,0
20060206,14.025,14.079,14.025,14.079,559,0
20060207,13.97,14.15,13.614,14.15,5304,0
20060208,13.792,14.15,13.792,14.15,559,0
20060213,14.15,14.329,14.15,14.329,24285,0
20060214,14.329,14.419,14.329,14.383,14516,0
20060215,14.222,14.329,14.222,14.329,2233,0
20060216,14.043,14.329,14.043,14.329,12840,0
20060217,14.437,14.489,14.365,14.4,2792,0
20060221,14.365,14.473,13.97,13.97,11165,0
20060223,14.15,14.241,14.15,14.241,836,0
20060227,14.311,14.329,14.311,14.329,1398,0
20060228,14.329,14.329,14.15,14.15,1115,0
20060301,13.97,14.15,13.97,14.15,1115,0
20060306,14.293,14.293,14.293,14.293,277,0
20060307,14.329,14.507,14.241,14.429,40197,0
20060308,14.507,14.507,13.97,14.258,14794,0
20060309,14.437,14.687,14.419,14.687,43828,0
20060310,14.956,16.837,14.956,16.658,30147,0
20060313,16.693,18.27,16.693,18.18,24566,0
20060314,18.809,19.344,18.127,18.628,20936,0
20060315,18.809,20.776,18.628,20.231,44944,0
20060316,20.402,20.956,19.577,19.577,22612,0
20060317,19.523,19.523,16.837,17.732,56386,0
20060320,17.91,18.628,17.795,18.27,20098,0
20060321,18.234,18.522,17.823,18.27,12004,0
20060322,18.27,18.467,17.91,18.234,4466,0
20060323,18,18.359,17.732,18.359,6420,0
20060324,18.432,19.613,18.432,18.809,23170,0
20060327,19.523,19.703,18.591,19.479,40478,0
20060328,19.792,20.776,19.792,20.618,20657,0
20060329,20.776,20.992,19.435,19.792,52479,0
20060330,19.774,20.42,19.774,20.42,10607,0
20060331,20.402,20.42,20.239,20.42,10887,0
20060403,20.599,20.776,20.151,20.411,14516,0
20060404,20.411,20.411,18.809,19.927,15075,0
20060405,19.703,19.882,19.523,19.766,9713,0
20060406,19.792,19.792,19.344,19.389,7258,0
20060407,19.165,19.523,18.809,19.015,7481,0
20060410,19.12,19.792,19.05,19.792,8487,0
20060411,19.613,20.42,19.613,20.402,5471,0
20060412,20.151,20.42,20.151,20.42,13961,0
20060413,20.375,20.42,20.151,20.32,4466,0
20060417,20.329,20.759,20.32,20.42,29367,0
20060418,20.508,20.508,20.283,20.283,13620,0
20060419,20.151,20.508,20.151,20.231,7816,0
20060420,20.231,20.508,20.015,20.106,7481,0
20060421,20.106,20.161,19.64,20.078,31598,0
20060424,19.973,20.06,19.549,19.74,7369,0
20060425,19.658,21.047,19.658,20.946,22109,0
20060426,20.732,20.732,20.151,20.151,10384,0
20060427,20.329,20.599,20.087,20.42,28920,0
20060428,20.151,20.732,20.151,20.724,9603,0
20060501,20.724,21.244,20.714,21.206,17419,0
20060502,21.092,23.724,21.092,23.67,52031,0
20060503,24.09,26.016,24.09,25.568,43995,0
20060504,25.746,25.746,24.556,24.852,8152,0
20060505,25.057,25.255,24.852,25.076,14961,0
20060508,24.888,25.344,24.001,24.943,32490,0
20060509,24.943,25.076,24.538,24.976,7035,0
20060510,25.076,25.839,24.736,25.076,23336,0
20060511,25.3,25.3,24.512,24.584,6366,0
20060512,24.36,24.538,23.733,23.912,8152,0
20060515,23.733,24.314,23.42,24.181,6811,0
20060516,24.172,24.405,23.867,23.867,9267,0
20060517,23.733,24.038,22.569,22.954,17643,0
20060518,22.837,22.837,21.646,22.138,15412,0
20060519,22.165,22.165,18.809,20.481,34393,0
20060522,20.258,20.562,19.631,19.836,11947,0
20060523,19.703,20.599,18.816,19.165,6018,0
20060524,18.816,19.033,18.449,18.941,14153,0
20060525,18.584,21.494,18.584,19.416,5518,0
20060526,19.065,20.151,19.065,19.836,9541,0
20060530,19.774,21.405,19.73,20.688,6455,0
20060531,20.841,22.604,20.841,22.604,7091,0
20060601,22.542,23.715,22.542,23.338,4242,0
20060602,23.733,23.733,22.238,22.238,6261,0
20060605,21.68,21.79,20.151,20.151,13363,0
20060606,19.703,20.456,19.453,20.034,6904,0
20060607,19.147,19.258,18.189,18.609,9293,0
20060608,17.92,18.8,17.92,18.475,4815,0
20060609,17.91,19.549,17.91,18.458,3343,0
20060612,18.279,19.05,17.59,18.081,5427,0
20060613,18.224,18.95,18.224,18.914,9127,0
20060614,20.571,20.571,18.735,19.817,1256,0
20060615,18.816,19.836,18.816,19.836,3597,0
20060616,20.151,20.383,19.183,20.383,6057,0
20060619,20.562,20.599,19.81,19.937,14298,0
20060620,21.877,21.877,19.344,20.759,8272,0
20060621,21.315,21.315,18.987,19.817,4643,0
20060622,21.092,21.092,19.11,19.676,8526,0
