Date,Open,High,Low,Close,Volume,OpenInt
20110628,7.5,7.58,7.35,7.55,14617,0
20110629,7.44,7.44,7,7.2,23257,0
20110630,7.1,7.3,7.05,7.05,39653,0
20110701,7.19,7.2,7.1,7.12,23275,0
20110705,7.1,7.2,7.09,7.2,18300,0
20110706,7.1,7.15,7.07,7.15,7073,0
20110707,7.15,7.15,7.14,7.14,5033,0
20110708,7.15,7.15,7.09,7.15,2945,0
20110711,7.15,7.19,7.05,7.19,37175,0
20110712,7.1,7.1,6.99,7.1,5225,0
20110713,7,7.15,6.99,7.15,6396,0
20110714,7.15,7.15,7,7.14,9818,0
20110715,7,7.35,7,7.14,190746,0
20110718,7.02,7.09,7,7.09,5683,0
20110719,7.1,7.15,7.07,7.14,22199,0
20110720,7.07,7.12,7.02,7.02,5175,0
20110721,7,7.14,6.91,7,46316,0
20110722,7,7,6.85,6.97,35800,0
20110725,6.96,6.96,6.81,6.95,2479,0
20110726,6.95,6.95,6.95,6.95,2000,0
20110727,6.64,6.95,6.58,6.58,20554,0
20110728,6.75,6.75,6.44,6.45,27103,0
20110729,6.5,6.95,6.5,6.75,11815,0
20110801,6.7,6.7,6.4,6.55,2000,0
20110802,6.59,6.59,6.41,6.58,7833,0
20110803,6.45,6.59,6.4,6.59,10528,0
20110804,6.49,6.49,6.02,6.13,36289,0
20110805,6.07,6.08,5.5,6,17178,0
20110808,6,6,5.5,5.6,6117,0
20110809,5.6,5.64,4.95,4.95,51227,0
20110810,5,5.1,4.5,4.85,119641,0
20110811,4.9,5,4.85,4.9,21394,0
20110812,5.1,5.56,5.1,5.15,40004,0
20110815,5.21,5.21,4.93,5.15,23983,0
20110816,5.05,5.05,5.02,5.05,7100,0
20110817,5.14,5.14,4.8,5.01,9368,0
20110818,4.95,4.95,4.8,4.8,2809,0
20110819,4.61,4.92,4.61,4.8,1742,0
20110822,4.92,5.11,4.9,4.9,12834,0
20110823,4.8,4.8,4.79,4.79,300,0
20110824,4.98,5.35,4.6,4.6,15948,0
20110825,5.19,5.19,4.92,4.92,2645,0
20110826,4.84,5.19,4.4,4.76,67119,0
20110829,4.85,5,4.85,4.94,25055,0
20110830,4.85,4.85,4.75,4.75,19066,0
20110831,4.62,4.99,4.5,4.74,42390,0
20110901,4.7,4.92,4.7,4.9,8527,0
20110902,4.56,4.87,4.45,4.75,20061,0
20110906,4.8,4.9,4.6,4.88,51191,0
20110907,4.88,4.95,4.8,4.9,15100,0
20110908,5.19,5.19,4.77,4.82,12310,0
20110909,4.75,4.9,4.6,4.88,24915,0
20110912,4.6,4.9,4.6,4.82,14850,0
20110913,4.66,4.79,4.66,4.78,6100,0
20110914,4.75,4.89,4.75,4.84,11192,0
20110915,4.8,4.89,4.75,4.88,13400,0
20110916,4.75,4.87,4.7,4.87,77572,0
20110919,4.81,4.88,4.8,4.85,12000,0
20110920,4.8,4.97,4.8,4.95,42629,0
20110921,4.94,4.95,4.8,4.8,18282,0
20110922,4.75,4.75,4.7,4.75,6000,0
20110923,4.65,4.88,4.54,4.88,47079,0
20110926,4.75,4.75,4.7,4.75,15792,0
20110927,4.7,4.7,4.7,4.7,925,0
20110928,4.57,4.75,4.23,4.28,101305,0
20110929,4.2,4.21,3.84,4.09,41127,0
20110930,3.95,4,3.9,3.95,13296,0
20111003,3.93,3.93,3.57,3.62,123149,0
20111004,3.62,3.74,3.43,3.69,8704,0
20111005,3.83,3.83,3.38,3.4,23957,0
20111006,3.4,3.7,3.4,3.46,18084,0
20111007,3.5,3.5,3.45,3.49,6033,0
20111010,3.53,3.6,3.23,3.25,49230,0
20111011,3.11,3.43,3.11,3.39,14722,0
20111012,3.5,3.5,3.19,3.2,17265,0
20111013,3.35,3.35,3.25,3.34,49778,0
20111014,3.25,3.29,3.2,3.29,22372,0
20111017,4.74,4.74,3.27,3.3,43801,0
20111018,3.6,3.99,3.4,3.89,57122,0
20111019,3.94,3.95,3.83,3.85,58037,0
