Date,Open,High,Low,Close,Volume,OpenInt
20090805,13.881,13.881,13.881,13.881,0,0
20090806,15.269,15.65,14.398,14.973,26148056,0
20090807,14.945,15.511,14.836,15.205,2652012,0
20090810,15.389,15.389,14.445,14.779,2615966,0
20090811,14.789,14.808,14.345,14.502,2491113,0
20090812,14.945,14.992,14.492,14.808,1568223,0
20090813,14.808,15.473,14.808,15.316,1243258,0
20090814,15.269,15.731,15.039,15.363,689166,0
20090817,15.056,15.149,14.992,15.011,274885,0
20090818,15.251,15.918,15.131,15.797,1563169,0
20090819,15.585,16.602,15.549,16.556,2237604,0
20090820,16.612,16.612,16.001,16.436,2033716,0
20090821,16.464,16.631,16.269,16.492,933086,0
20090824,16.215,16.52,16.009,16.196,1103891,0
20090825,16.333,16.564,16.242,16.52,573484,0
20090826,16.37,16.52,15.872,16.52,765666,0
20090827,16.52,16.852,16.242,16.804,1254649,0
20090828,16.751,17.585,16.658,17.091,1399285,0
20090831,16.983,17.027,16.483,16.842,1085667,0
20090901,16.89,17.063,15.678,16.52,1494946,0
20090902,16.436,16.89,16.177,16.36,1397598,0
20090903,16.631,16.631,15.731,16.15,3952299,0
20090904,16.427,16.658,16.187,16.436,1251930,0
20090908,16.436,16.593,16.15,16.379,621208,0
20090909,16.52,16.52,15.937,15.973,595591,0
20090910,15.741,16.158,15.688,15.779,448650,0
20090911,15.731,16.037,15.307,15.621,670257,0
20090914,15.399,15.64,15.094,15.408,1744568,0
20090915,15.964,16.056,15.389,15.899,2147295,0
20090916,16.102,16.427,15.835,16.269,2185312,0
20090917,16.341,16.564,15.297,15.399,1562884,0
20090918,15.335,15.75,14.973,14.992,972314,0
20090921,15.066,15.389,14.686,15.37,597506,0
20090922,15.694,16.074,15.566,15.964,1203766,0
20090923,16.305,16.464,16.009,16.102,573006,0
20090924,16.037,16.52,15.502,16.187,841453,0
20090925,16.177,16.177,15.826,15.854,506176,0
20090928,16.027,16.52,15.76,16.333,252342,0
20090929,16.242,16.51,15.688,15.76,385411,0
20090930,15.731,16.037,15.694,15.797,553887,0
20091001,15.731,15.817,15.001,15.094,713703,0
20091002,14.992,15.141,14.715,14.89,680221,0
20091005,14.9,15.297,14.808,15.259,204034,0
20091006,15.492,15.918,15.215,15.242,507188,0
20091007,15.335,15.37,14.733,14.926,315188,0
20091008,14.908,14.973,14.751,14.817,602116,0
20091009,14.789,15.224,14.751,15.039,940599,0
20091012,15.011,15.224,14.846,15.122,1392575,0
20091013,14.982,15.426,14.945,15.297,602188,0
20091014,15.585,15.731,15.307,15.603,755196,0
20091015,16.102,16.612,15.826,15.881,2260473,0
20091016,15.947,15.947,15.001,15.205,1365565,0
20091019,15.233,15.399,14.865,15.03,2315454,0
20091020,15.122,15.482,15.056,15.297,528321,0
20091021,15.149,15.65,14.908,15.259,252534,0
20091022,15.113,15.113,14.445,15.066,1062622,0
20091023,14.926,15.186,14.733,14.855,1225437,0
20091026,14.723,14.917,14.632,14.657,175407,0
20091027,14.76,14.798,14.121,14.299,355244,0
20091028,14.345,14.345,13.781,13.817,672082,0
20091029,13.835,14.067,13.622,13.918,1278598,0
20091030,13.974,14.058,13.762,13.881,300498,0
20091102,13.974,13.974,13.622,13.762,298821,0
20091103,13.584,13.716,13.364,13.412,392907,0
20091104,13.51,14.112,13.26,13.679,870097,0
20091105,13.899,14.566,13.744,14.177,296166,0
20091106,14.177,14.521,13.762,14.15,278191,0
20091109,14.121,14.566,13.965,14.492,273277,0
20091110,14.521,14.521,14.049,14.299,158589,0
20091111,14.372,14.372,13.993,14.214,165774,0
20091112,14.251,14.76,14.251,14.435,140372,0
20091113,14.445,14.576,14.261,14.417,67101,0
20091116,14.464,15.001,14.372,14.817,168482,0
20091117,14.648,14.982,14.417,14.873,106343,0
20091118,14.945,14.945,14.632,14.836,124780,0
20091119,14.657,14.705,14.112,14.408,125955,0
20091120,14.398,14.483,14.168,14.289,457792,0
20091123,14.381,14.445,14.022,14.058,502695,0
20091124,13.974,14.187,13.89,14.121,564833,0
20091125,14.232,14.789,14.214,14.345,146200,0
20091127,14.003,14.696,13.936,14.677,66543,0
20091130,14.686,14.798,14.112,14.677,298725,0
20091201,14.715,15.122,14.715,14.77,451457,0
20091202,14.836,14.908,14.232,14.445,914609,0
20091203,14.417,14.751,14.417,14.741,548762,0
20091204,15.178,15.463,14.435,15.288,1023072,0
20091207,15.269,15.668,15.269,15.611,333452,0
20091208,15.37,15.704,15.316,15.502,269503,0
20091209,15.37,15.557,15.122,15.557,104403,0
