Date,Open,High,Low,Close,Volume,OpenInt
20150210,14.3,14.3,11.5,11.88,631909,0
20150211,11.78,11.99,11.71,11.71,77054,0
20150212,11.93,11.93,11.5,11.62,16383,0
20150213,11.63,11.93,11.5,11.84,98443,0
20150217,11.75,11.94,11.5,11.835,10182,0
20150218,11.7,11.9,11.7,11.82,17995,0
20150219,11.9,11.9,11.75,11.75,2916,0
20150220,11.75,11.81,11.75,11.75,6182,0
20150223,11.76,11.82,11.75,11.82,5015,0
20150224,11.83,11.98,11.75,11.77,52840,0
20150225,11.85,12.46,11.75,11.98,69362,0
20150226,11.98,12.43,11.85,12.27,30814,0
20150227,12.3,13,12.03,12.57,79775,0
20150302,12.57,12.85,12.23,12.8,45000,0
20150303,12.9,13.38,12.53,13.3,19400,0
20150304,13,13.07,12.89,12.89,13700,0
20150305,12.8,12.95,12.75,12.75,15700,0
20150306,12.86,12.9,12.74,12.86,40500,0
20150309,12.9,12.9,12.58,12.62,60700,0
20150310,12.75,12.75,12.12,12.34,90500,0
20150311,12.44,12.6,12.29,12.49,20300,0
20150312,12.7,12.78,12.5,12.63,7800,0
20150313,12.5,12.74,12.5,12.5,11700,0
20150316,12.5,12.56,12.5,12.5,3400,0
20150317,12.5,12.75,12.14,12.14,68100,0
20150318,12.3,12.8,12.22,12.75,110500,0
20150319,12.53,12.7,12.52,12.65,2200,0
20150320,12.4,12.9,12.3,12.9,14300,0
20150323,12.32,12.9,12.27,12.5,20500,0
20150325,12.5,12.7,12.12,12.12,12100,0
20150326,12.29,12.48,12.1,12.15,14400,0
20150327,12.42,12.42,12.42,12.42,300,0
20150330,12.25,12.45,12.25,12.45,1600,0
20150331,12.65,12.65,12.14,12.51,3600,0
20150402,12.3,12.54,12.25,12.3,24700,0
20150406,12.2,12.49,12.2,12.49,1400,0
20150407,12.3,12.48,12.25,12.3,8887,0
20150408,12.2,12.2,11.76,11.76,3300,0
20150409,12.09,12.359,12.09,12.359,2916,0
20150410,12.16,12.28,12.16,12.28,600,0
