Date,Open,High,Low,Close,Volume,OpenInt
20131107,20.47,20.626,20.348,20.43,416305,0
20131108,20.43,20.47,20.388,20.421,74890,0
20131111,20.462,22.432,20.462,20.634,16826,0
20131112,20.634,20.839,20.438,20.438,49682,0
20131113,20.52,20.83,20.52,20.6,7710,0
20131114,20.83,20.839,20.716,20.799,30960,0
20131115,20.799,21.043,20.634,20.675,33407,0
20131118,21.018,23.372,20.47,20.748,273743,0
20131119,21.231,21.231,20.536,21.002,20284,0
20131120,21.231,21.231,20.846,21.083,3548,0
20131121,20.716,21.083,20.675,20.986,8199,0
20131122,21.206,21.206,20.675,20.675,12653,0
20131125,20.552,20.748,20.528,20.594,12850,0
20131126,20.634,20.634,19.62,20.47,36835,0
20131127,20.511,20.511,20.415,20.43,12480,0
20131129,20.357,20.503,20.357,20.503,978,0
20131202,20.494,20.789,20.455,20.789,20802,0
20131203,20.716,20.789,20.47,20.707,11561,0
20131204,20.626,20.716,20.479,20.716,8199,0
20131205,20.511,20.839,20.511,20.748,33407,0
20131206,20.561,20.756,20.511,20.6,13706,0
20131209,20.6,20.6,20.43,20.594,25532,0
20131210,20.6,20.6,20.438,20.503,10157,0
20131211,20.552,20.6,20.348,20.348,23495,0
20131212,20.348,20.511,19.826,20.43,67352,0
20131213,20.511,20.511,19.826,20.185,14806,0
20131216,20.494,20.511,20.308,20.308,14543,0
20131217,20.151,20.43,20.151,20.348,36956,0
20131218,20.43,20.92,20.143,20.446,28021,0
20131219,20.825,20.991,20.579,20.579,14157,0
20131220,20.743,20.743,20.041,20.246,25115,0
20131223,20.074,20.662,20.074,20.347,17302,0
20131224,20.33,20.662,20.074,20.579,8953,0
20131226,20.274,20.662,20.274,20.579,20085,0
20131227,20.579,20.72,20.256,20.536,27468,0
20131230,20.621,20.662,20.174,20.421,45376,0
20131231,21.131,21.131,20.256,20.296,23957,0
20140102,20.455,20.685,20.323,20.404,15304,0
20140103,20.495,20.503,20.455,20.455,1960,0
20140106,20.347,20.621,20.084,20.479,24806,0
20140107,20.165,20.536,20.165,20.495,61228,0
20140108,20.652,20.662,20.288,20.33,9438,0
20140109,20.662,20.662,20.33,20.372,26984,0
20140110,20.536,20.571,20.372,20.43,24199,0
20140113,20.421,20.495,20.372,20.372,16941,0
20140114,20.455,20.636,20.414,20.536,41746,0
20140115,20.414,20.579,20.414,20.536,42108,0
20140116,20.662,20.888,20.536,20.587,48886,0
20140117,20.685,20.869,20.621,20.621,8228,0
20140121,20.621,21.023,20.495,20.743,13431,0
20140122,21.023,21.023,20.579,20.81,20814,0
20140123,20.602,20.662,20.503,20.662,91114,0
20140124,20.495,20.735,20.495,20.579,19481,0
20140127,22.868,22.868,20.503,20.503,8470,0
20140128,20.784,20.784,20.495,20.662,28798,0
20140129,20.471,20.743,20.471,20.662,15126,0
20140130,20.662,20.784,20.503,20.775,31338,0
20140131,20.587,20.743,20.495,20.735,36905,0
20140203,20.662,20.662,20.216,20.598,38751,0
20140204,20.571,20.611,20.414,20.503,29148,0
20140205,20.529,20.587,20.372,20.536,34613,0
20140206,20.632,20.632,20.288,20.404,35956,0
20140207,20.662,20.743,20.462,20.735,22161,0
20140210,20.536,20.636,20.372,20.403,25534,0
20140211,20.437,20.611,20.437,20.611,7380,0
20140212,20.743,20.743,20.281,20.611,13870,0
20140213,20.545,20.662,20.265,20.652,15741,0
20140214,20.662,20.662,20.644,20.662,4745,0
20140218,20.662,20.662,20.553,20.571,24560,0
20140219,20.536,20.662,20.256,20.373,12281,0
20140220,20.33,20.611,20.33,20.372,37028,0
20140221,20.372,20.579,20.246,20.414,6280,0
20140224,20.662,20.662,20.246,20.246,17336,0
20140225,20.091,20.246,19.75,20.099,107108,0
20140226,19.934,20.33,19.934,20.33,25883,0
20140227,20.323,20.743,20.246,20.662,47165,0
20140228,20.644,20.662,20.372,20.652,30741,0
20140303,20.288,20.662,20.246,20.652,18560,0
20140304,20.495,20.662,20.091,20.571,27832,0
20140305,20.414,20.644,20.14,20.215,17870,0
20140306,20.372,20.611,20.372,20.611,10660,0
20140307,20.455,20.662,20.388,20.652,22717,0
20140310,20.455,20.579,20.084,20.288,14197,0
20140311,20.372,20.455,20.125,20.133,23215,0
20140312,20.347,20.662,20.133,20.215,33164,0
20140313,20.417,21.051,20.332,20.678,13208,0
20140314,20.552,21.008,20.552,20.697,20624,0
20140317,20.535,21.093,20.509,20.889,13983,0
20140318,21.051,21.219,20.966,21.093,97992,0
20140319,21.083,21.53,20.738,21.093,32408,0
20140320,21.261,21.261,20.907,21.017,19549,0
20140321,21.134,21.261,20.899,21.101,14431,0
20140324,21.144,21.572,21.101,21.176,36719,0
20140325,21.337,21.572,21.093,21.227,38597,0
20140326,21.261,21.556,21.101,21.11,18136,0
20140327,21.218,21.218,21.017,21.017,27287,0
20140328,21.134,21.134,20.932,21.015,5334,0
20140331,21.323,21.323,20.678,20.738,12356,0
20140401,21.345,21.345,20.764,20.907,21539,0
20140402,21.287,21.287,20.974,21.093,4448,0
20140403,21.093,21.345,20.974,21.261,15978,0
20140404,21.261,21.261,20.982,21.093,12685,0
20140407,20.966,21.328,20.88,20.966,10901,0
20140408,21.093,21.093,20.671,21.093,18496,0
20140409,21.093,21.093,20.678,20.696,17219,0
20140410,20.889,21.261,20.788,20.788,13378,0
20140411,20.88,21.233,20.88,21.16,4311,0
