Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.624,6.6436,6.5754,6.5949,48780,0
20050228,6.5949,6.6145,6.3023,6.3119,48780,0
20050301,6.3023,6.3023,6.2145,6.2826,125235,0
20050302,6.2826,6.3119,6.2729,6.3023,9687,0
20050303,6.3119,6.3608,6.3119,6.3413,6226,0
20050304,6.3706,6.3996,6.3508,6.3996,16605,0
20050307,6.429,6.4875,6.429,6.429,5191,0
20050308,6.4485,6.5168,6.4485,6.5168,10379,0
20050309,6.5363,6.5461,6.4778,6.5168,25254,0
20050310,6.5071,6.5071,6.4875,6.4973,4843,0
20050311,6.4778,6.4778,6.429,6.4485,9687,0
20050314,6.4191,6.4388,6.3608,6.3901,9687,0
20050315,6.3901,6.4191,6.3608,6.3608,8303,0
20050316,6.3313,6.3706,6.3119,6.3706,4499,0
20050317,6.3608,6.3901,6.3508,6.3901,6226,0
20050318,6.3901,6.4096,6.2729,6.2729,28022,0
20050321,6.2826,6.3608,6.2534,6.3608,25947,0
20050322,6.3313,6.3608,6.3313,6.3608,34942,0
20050323,6.3608,6.4584,6.3608,6.4584,83375,0
20050324,6.4584,6.5461,6.4584,6.5363,48433,0
20050328,6.5656,6.7315,6.5656,6.7315,11417,0
20050329,6.751,6.7704,6.6827,6.6827,46357,0
20050330,6.7023,6.7217,6.6728,6.6827,40131,0
20050331,6.6534,6.7315,6.6534,6.7217,27676,0
20050401,6.7023,6.7217,6.6534,6.6534,5191,0
20050404,6.624,6.6728,6.624,6.6534,30443,0
20050405,6.7023,6.7023,6.6436,6.6632,27676,0
20050406,6.6632,6.7023,6.6632,6.6827,7611,0
20050407,6.7023,6.7023,6.6923,6.6923,3460,0
20050408,6.7023,6.7023,6.6923,6.6923,2767,0
20050411,6.6923,6.6923,6.6436,6.6534,19719,0
20050412,6.6436,6.6923,6.6339,6.6632,10379,0
20050413,6.6728,6.6923,6.6436,6.6728,24562,0
20050414,6.6534,6.6534,6.4778,6.5071,138036,0
20050415,6.4778,6.5363,6.4485,6.4485,21104,0
20050418,6.429,6.4388,6.4096,6.4096,11762,0
20050419,6.4096,6.4096,6.3901,6.3901,9687,0
20050420,6.3901,6.3901,6.3313,6.3313,7957,0
20050421,6.3313,6.3313,6.3119,6.3119,11071,0
20050422,6.3119,6.3218,6.3119,6.3218,4151,0
20050425,6.3413,6.3413,6.3313,6.3313,5191,0
20050426,6.3313,6.4096,6.3218,6.3901,7266,0
20050427,6.3996,6.3996,6.3706,6.3901,5882,0
20050428,6.4191,6.6436,6.3996,6.6436,36326,0
20050429,6.6728,6.9364,6.6046,6.9364,40131,0
20050502,6.9655,7.3169,6.9655,7.3169,96176,0
20050503,7.346,7.4436,7.2974,7.346,40822,0
20050504,7.346,7.346,7.1704,7.2485,51893,0
20050505,7.2291,7.5412,7.2291,7.5412,50164,0
20050506,7.5704,7.6875,7.5704,7.6387,56390,0
20050509,7.6778,8.1362,7.6583,8.1362,105861,0
20050510,8.1656,8.4192,8.1362,8.3802,162944,0
20050511,8.3802,8.3802,8.2825,8.3021,109321,0
20050512,8.3021,8.3119,8.2241,8.263,96867,0
20050513,8.2534,8.341,8.1851,8.341,104825,0
20050516,8.3119,8.3119,8.2046,8.2046,96867,0
20050517,8.1947,8.1947,7.9899,7.9899,24909,0
20050518,7.9704,8.0777,7.9411,8.0679,51893,0
20050519,8.0679,8.1557,8.0485,8.0679,23525,0
20050520,8.0777,8.0777,8.0387,8.0679,16260,0
20050523,8.0973,8.1851,8.0094,8.0582,56390,0
20050524,8.0679,8.0679,8.0192,8.029,41514,0
20050525,8.0094,8.0094,7.9704,8.0094,50164,0
20050526,8.0094,8.0192,7.9802,8.0094,21104,0
20050527,7.9802,7.9899,7.951,7.9802,42899,0
20050531,7.951,8.0387,7.8046,8.0094,65385,0
20050601,8.0094,8.0094,7.9607,7.9997,42206,0
20050602,7.951,7.9802,7.9021,7.9314,91331,0
20050603,7.9216,7.951,7.9216,7.9411,47395,0
20050606,7.9021,8.263,7.9021,8.1362,75764,0
20050607,8.1656,8.3509,8.1656,8.2046,84067,0
20050608,8.2241,8.585,8.2241,8.5265,128003,0
20050609,8.5265,8.5557,8.3898,8.5265,56045,0
20050610,8.4972,8.5557,8.2046,8.4386,63655,0
20050613,8.3997,8.3997,8.3216,8.3509,142878,0
20050614,8.3509,8.546,8.3119,8.4972,104825,0
20050615,8.5069,8.5069,8.3703,8.4484,135959,0
20050616,8.5167,8.5655,8.5167,8.5655,207571,0
20050617,8.585,8.585,8.5265,8.5752,35286,0
20050620,8.546,8.5752,8.4972,8.546,35634,0
20050621,8.5265,8.585,8.5167,8.5557,23870,0
20050622,8.5752,8.6337,8.4777,8.5069,59851,0
20050623,8.4874,8.585,8.4777,8.5557,51200,0
20050624,8.5752,8.5948,8.4972,8.5752,1262033,0
20050627,8.585,8.6532,8.5557,8.6046,148415,0
20050628,8.585,8.6143,8.585,8.5948,86488,0
20050629,8.624,8.702,8.6046,8.6924,95137,0
20050630,8.7215,8.7412,8.6046,8.6825,41860,0
20050701,8.6532,8.7412,8.5948,8.6825,97559,0
20050705,8.6825,8.6825,8.6337,8.6729,76457,0
20050706,8.6729,8.6729,8.6337,8.6631,104825,0
20050707,8.6435,8.6435,8.6046,8.6337,35634,0
20050708,8.6435,8.6435,8.6435,8.6435,61926,0
20050711,8.6435,8.8093,8.6143,8.6729,91331,0
20050712,8.6729,8.6729,8.624,8.6729,94445,0
20050713,8.6729,8.6729,8.6337,8.6729,65732,0
20050714,8.6729,8.6729,8.6435,8.6729,86141,0
20050715,8.6435,8.6729,8.5948,8.6435,22142,0
20050718,8.6435,8.7412,8.6143,8.6729,47049,0
20050719,8.702,9.0142,8.702,8.9851,33212,0
20050720,8.9655,9.1119,8.9459,8.9947,68845,0
20050721,8.9947,8.9947,8.7607,8.7607,58120,0
20050722,8.7898,9.0142,8.7607,9.0142,26638,0
20050725,9.0142,9.0924,9.0142,9.0729,29751,0
20050726,9.0435,9.1508,9.0046,9.1313,62963,0
20050727,9.1508,9.1508,9.0142,9.1313,26293,0
20050728,9.1508,9.2191,9.1508,9.1898,67807,0
20050729,9.1606,9.2385,9.0924,9.2191,58120,0
20050801,9.2484,9.3362,9.1508,9.2679,53970,0
20050802,9.3069,9.3947,9.2874,9.3752,69190,0
20050803,9.3752,9.3947,9.3265,9.3265,43245,0
20050804,9.346,9.346,9.2874,9.346,21104,0
20050805,9.3069,9.3069,9.1313,9.2191,53970,0
20050808,9.2191,9.2777,9.1606,9.1898,15913,0
20050809,9.1997,9.2385,9.1508,9.1508,25947,0
20050810,9.1508,9.3362,9.1508,9.1997,37363,0
20050811,9.1898,9.3362,9.1606,9.3362,37710,0
20050812,9.3069,9.3362,9.2484,9.2679,46013,0
20050815,9.3069,9.3069,9.1508,9.2191,34942,0
20050816,9.1898,9.1898,8.9459,8.9459,44281,0
20050817,8.9167,9.1021,8.8971,9.0825,15570,0
20050818,9.0729,9.0729,8.7607,8.7607,62617,0
20050819,8.7607,8.7898,8.6435,8.6435,33903,0
20050822,8.6729,8.6729,8.5948,8.6046,22833,0
20050823,8.6143,8.6435,8.546,8.6046,32866,0
20050824,8.624,8.9851,8.6046,8.9851,78532,0
20050825,9.0142,9.0142,8.8093,8.9167,24217,0
20050826,8.8875,8.8875,8.7412,8.7412,17990,0
20050829,8.7314,8.907,8.7314,8.907,32174,0
20050830,8.8875,8.907,8.7997,8.8289,18682,0
20050831,8.8387,8.9459,8.7412,8.9363,18682,0
20050901,8.9363,9.2484,8.9167,9.1411,45321,0
20050902,9.1215,9.1606,8.907,8.9167,20412,0
20050906,8.9167,9.0142,8.7997,8.868,32866,0
20050907,8.8582,9.0338,8.8484,9.0142,32520,0
20050908,9.0046,9.1021,8.9655,9.0825,16952,0
20050909,9.0533,9.1215,9.0533,9.1119,14185,0
20050912,9.0924,9.2191,9.0435,9.1802,30790,0
20050913,9.1802,9.1802,9.0729,9.0825,15222,0
20050914,9.0825,9.1411,9.0825,9.1313,70574,0
20050915,9.1313,9.1313,9.0142,9.024,90986,0
20050916,9.0729,9.0729,8.9363,8.9851,143916,0
20050919,8.9264,8.9264,8.6729,8.6729,40822,0
20050920,8.7119,8.7119,8.4289,8.4386,42899,0
20050921,8.3997,8.3997,7.9704,7.9704,53623,0
20050922,7.9704,7.9704,7.8046,7.8143,73689,0
20050923,7.8143,7.8924,7.8046,7.8436,24217,0
20050926,7.8436,7.8436,7.4143,7.6096,148758,0
20050927,7.59,7.7851,7.59,7.6875,69882,0
20050928,7.6875,7.7752,7.6096,7.707,23870,0
20050929,7.7168,7.7363,7.5119,7.6875,51893,0
20050930,7.7558,8.3703,7.7264,7.9607,64347,0
20051003,7.9802,8.0973,7.9607,8.0094,38055,0
20051004,8.0094,8.1167,7.9314,7.9314,47395,0
20051005,7.9216,7.9216,7.7752,7.8046,126272,0
20051006,7.7656,7.8728,7.746,7.8046,62617,0
20051007,7.8338,8.0094,7.8338,7.9997,21449,0
20051010,8.0094,8.0094,7.8826,7.9314,29060,0
20051011,7.951,7.951,7.8924,7.9021,16260,0
20051012,7.9021,7.9216,7.7851,7.8143,260848,0
20051013,7.8046,7.8436,7.7752,7.8046,46357,0
20051014,7.8338,7.8436,7.502,7.8046,104825,0
20051017,7.8338,7.8338,7.7168,7.746,23179,0
20051018,7.707,7.707,7.5801,7.6096,53623,0
20051019,7.59,7.8924,7.59,7.8534,48780,0
20051020,7.8143,7.8436,7.746,7.7947,13145,0
20051021,7.7947,7.7947,7.6679,7.6778,35286,0
20051024,7.6778,7.6875,7.5607,7.5607,45665,0
20051025,7.5119,7.5801,7.3947,7.5217,67461,0
20051026,7.5704,7.707,7.5313,7.6289,103094,0
20051027,7.5996,7.6387,7.4924,7.5801,64001,0
20051028,7.6192,7.707,7.6192,7.6778,28022,0
20051031,8.2338,8.2338,7.7168,7.9314,60196,0
20051101,7.9216,8.1557,7.9021,8.0192,31135,0
20051102,8.0679,8.624,8.0679,8.5557,39439,0
20051103,8.5167,8.6729,8.5167,8.6143,37363,0
20051104,8.5752,8.5752,8.3216,8.3606,32174,0
20051107,8.3898,8.5655,8.3802,8.5069,38055,0
20051108,8.4386,8.4386,8.263,8.3509,26638,0
20051109,8.5948,8.5948,8.3898,8.468,22488,0
20051110,8.4386,8.5752,8.1557,8.5752,67807,0
20051111,8.546,8.5948,8.468,8.546,18336,0
20051114,8.5362,8.5948,8.4777,8.5167,33212,0
20051115,8.4972,8.5265,8.3216,8.3703,25254,0
20051116,8.4289,8.4289,8.1362,8.1851,39094,0
20051117,8.2241,8.4972,8.2241,8.4874,26985,0
