Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.044,25.127,25.044,25.127,579,0
20050228,25.454,25.454,25.454,25.454,240,0
20050301,25.454,25.454,25.454,25.454,417,0
20050302,25.127,25.127,25.127,25.127,240,0
20050303,25.127,25.167,25.127,25.127,3637,0
20050304,25.454,25.454,25.291,25.291,577,0
20050307,25.454,25.454,25.044,25.454,1824,0
20050308,25.454,26.277,25.454,25.866,3215,0
20050309,26.277,26.277,26.277,26.277,1901,0
20050310,26.277,26.277,26.277,26.277,363,0
20050311,25.866,26.277,25.866,26.277,607,0
20050314,26.277,27.096,26.277,26.481,1827,0
20050315,26.481,26.481,26.277,26.277,5603,0
20050317,26.072,26.072,26.072,26.072,240,0
20050321,25.989,26.233,25.989,26.233,240,0
20050322,26.277,26.769,26.277,26.769,1581,0
20050323,26.152,26.152,25.989,25.989,1068,0
20050324,25.948,25.957,25.948,25.948,646,0
20050328,26.277,26.277,26.277,26.277,240,0
20050329,25.866,25.866,25.537,25.537,2132,0
20050331,26.277,26.277,25.537,25.537,821,0
20050401,26.072,26.072,26.072,26.072,120,0
20050404,25.537,25.537,25.454,25.454,851,0
20050405,25.414,25.414,25.414,25.414,363,0
20050406,25.414,25.414,25.414,25.414,120,0
20050407,25.414,25.454,25.414,25.454,2315,0
20050408,25.208,25.454,25.127,25.127,2193,0
20050412,25.127,26.769,25.127,25.25,2557,0
20050414,25.291,25.454,25.044,25.044,1581,0
20050415,25.044,25.044,24.674,24.84,1157,0
20050418,24.306,24.306,24.306,24.306,132,0
20050419,24.635,24.635,24.47,24.47,551,0
20050420,24.306,25.454,24.306,25.454,451,0
20050421,24.635,25.454,24.306,25.454,1173,0
20050422,24.635,24.635,24.429,24.429,3167,0
20050426,25.044,25.044,24.635,24.635,518,0
20050427,24.635,24.635,23.812,24.184,4355,0
20050502,24.33,24.33,24.322,24.322,551,0
20050505,24.223,24.593,24.223,24.306,1525,0
20050506,24.306,24.306,24.223,24.306,7023,0
20050509,24.223,24.223,24.018,24.018,1672,0
20050510,23.936,24.018,23.402,23.402,4931,0
20050511,23.402,23.607,23.402,23.607,1644,0
20050513,23.402,23.402,23.116,23.116,2802,0
20050516,23.116,23.812,23.116,23.812,2315,0
20050517,23.198,23.853,23.198,23.796,3470,0
20050518,23.812,23.812,23.812,23.812,230,0
20050519,23.198,23.198,23.198,23.198,120,0
20050523,23.198,23.198,22.746,23.198,3288,0
20050524,23.198,23.198,22.828,22.991,2250,0
20050525,22.828,22.991,22.828,22.828,1096,0
20050526,22.909,23.615,22.909,23.615,2106,0
20050527,23.796,23.812,23.796,23.812,3557,0
