Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.8434,9.3252,8.8434,9.3252,787,0
20050228,9.3163,9.3252,9.1327,9.1327,4992,0
20050301,9.1403,9.1489,9.1403,9.1489,1052,0
20050302,9.4379,9.4379,9.2704,9.2704,1575,0
20050303,9.607,9.994,9.4212,9.537,14571,0
20050304,10.039,10.039,9.635,9.704,5613,0
20050307,10.276,10.276,9.743,9.757,29796,0
20050308,10.366,10.366,9.743,9.743,6700,0
20050309,9.65,9.65,9.4604,9.4604,12095,0
20050310,9.4516,9.506,9.3379,9.4153,2233,0
20050311,9.512,9.512,9.1702,9.1702,4343,0
20050314,9.512,9.512,9.512,9.512,525,0
20050316,9.1702,9.1865,8.9509,9.1865,2103,0
20050317,9.512,9.512,8.9053,9.1327,3155,0
20050318,9.512,9.512,9.4683,9.4683,1709,0
20050322,9.589,9.589,9.589,9.589,264,0
20050323,8.5851,9.607,8.5851,8.7526,15043,0
20050324,8.7526,9.1489,8.7526,9.0494,10644,0
20050328,8.9509,9.1327,8.882,8.9808,8547,0
20050329,9.1327,9.2097,9.1327,9.2097,3087,0
20050330,8.8058,8.9126,8.6386,8.8287,37741,0
20050331,8.8287,9.0342,8.8058,8.8434,6570,0
20050401,8.7526,9.2241,8.1819,9.1865,158819,0
20050404,9.1865,9.3771,9.1403,9.2704,8275,0
20050405,9.3252,9.512,9.3252,9.512,5348,0
20050406,9.512,9.704,9.512,9.704,18131,0
20050411,9.704,9.704,9.521,9.704,8408,0
20050412,9.704,9.704,9.704,9.704,264,0
20050413,9.483,9.483,9.4683,9.4683,1052,0
20050414,9.704,9.704,9.704,9.704,3942,0
20050418,9.704,9.704,9.704,9.704,2626,0
20050419,9.4212,9.658,9.4212,9.528,2364,0
20050420,9.537,9.537,9.2925,9.2925,1575,0
20050421,9.483,9.4987,9.3252,9.3252,4765,0
20050426,9.512,9.512,9.512,9.512,924,0
20050427,9.764,10.358,9.743,10.268,26540,0
20050428,10.007,10.114,10.007,10.007,6967,0
20050502,10.253,10.253,10.092,10.092,3417,0
