Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.1012,8.812,8.1012,8.5491,2130523,0
20050228,8.5918,8.6911,8.3501,8.5491,816606,0
20050301,8.4851,8.9967,8.4851,8.9399,1386120,0
20050302,9.0252,9.1674,8.0659,8.7054,1830295,0
20050303,8.7695,9.0039,8.5491,8.7338,847837,0
20050304,8.819,8.9185,8.6841,8.7977,590573,0
20050307,8.8829,9.0606,8.8474,8.9826,487550,0
20050308,8.9185,8.9754,8.741,8.8333,475242,0
20050309,8.7765,8.9044,8.6415,8.6699,316544,0
20050310,8.6271,8.8829,8.2435,8.755,668027,0
20050311,8.7481,8.8829,8.4993,8.5278,349819,0
20050314,8.5776,8.8829,8.5064,8.819,431309,0
20050315,8.8829,9.3094,8.7125,9.1602,881338,0
20050316,9.1531,9.1674,8.6415,8.7125,586083,0
20050317,8.7054,8.8049,8.3359,8.6699,514795,0
20050318,8.5278,8.7125,8.4282,8.6201,519997,0
20050321,8.5633,8.5846,8.3572,8.3999,396517,0
20050322,8.3501,8.6556,8.3146,8.3856,261696,0
20050323,8.3146,8.3926,8.0659,8.208,406158,0
20050324,8.1723,8.7338,8.1723,8.4212,346814,0
20050328,8.3641,8.5419,8.2435,8.4212,345176,0
20050329,8.4354,8.4851,8.0232,8.208,418761,0
20050330,8.208,8.6201,8.208,8.3501,642992,0
20050331,8.3999,8.5988,8.3003,8.5278,524149,0
20050401,8.5278,8.6343,8.2292,8.4212,345491,0
20050404,8.4567,8.5918,8.3074,8.3216,454329,0
20050405,8.4212,8.4212,8.2435,8.4139,541132,0
20050406,8.3146,8.4993,8.3146,8.3785,808115,0
20050407,8.3146,8.4922,8.2363,8.478,634187,0
20050408,8.4567,8.4851,8.2576,8.2861,204225,0
20050411,8.3714,8.3714,7.888,7.9378,582966,0
20050412,7.888,8.1084,7.8811,8.0659,782430,0
20050413,8.0872,8.2648,7.8668,7.9165,498278,0
20050414,7.8314,7.9025,7.3622,7.4262,889767,0
20050415,7.4262,7.7815,7.213,7.5256,725317,0
20050418,7.5897,7.5897,7.3978,7.5541,483104,0
20050419,7.5329,7.888,7.5329,7.7673,612133,0
20050420,7.746,7.8597,7.4618,7.4689,390512,0
