Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.775,23.775,23.775,23.775,335,0
20050228,23.487,23.906,23.487,23.588,5937,0
20050301,23.765,24.242,23.765,24.01,16733,0
20050302,23.925,23.925,23.738,23.738,710,0
20050303,24.101,24.242,23.775,24.242,2421,0
20050304,24.242,24.436,24.148,24.148,2060,0
20050307,24.473,24.559,24.335,24.559,6542,0
20050308,24.4,24.4,23.784,24.335,1892,0
20050309,23.869,23.869,23.775,23.775,646,0
20050314,24.129,24.455,23.793,23.973,13517,0
20050315,24.242,24.605,24.054,24.605,749,0
20050316,24.25,24.699,24.119,24.699,7830,0
20050317,24.279,24.436,24.157,24.436,426,0
20050318,24,24.186,22.89,23.105,17393,0
20050321,23.273,23.524,23.273,23.43,12800,0
20050322,24.063,24.063,23.728,23.728,426,0
20050323,23.608,23.608,22.89,22.89,1824,0
20050324,23.31,23.31,23.31,23.31,100,0
20050328,23.029,23.029,23.029,23.029,447,0
20050329,23.281,23.281,22.611,23.105,1824,0
20050330,22.768,23.516,22.611,23.516,5582,0
20050331,23.964,23.964,22.611,22.768,1606,0
20050401,23.336,23.636,22.376,22.797,3942,0
20050404,22.749,23.561,22.749,23.467,7265,0
20050405,22.834,23.235,22.834,23.235,221,0
20050406,23.281,23.31,23.281,23.31,3647,0
20050407,23.496,23.496,23.496,23.496,100,0
20050408,23.31,23.31,23.301,23.31,10238,0
20050411,23.346,23.346,23.31,23.336,3195,0
20050412,23.076,23.076,21.585,22.423,19051,0
20050413,21.968,22.872,21.968,22.73,748,0
20050414,22.64,22.64,22.376,22.376,535,0
20050415,21.603,21.603,21.603,21.603,221,0
20050418,21.741,22.498,21.098,21.49,3664,0
20050419,21.911,22.73,21.911,22.73,1858,0
20050420,22.376,22.376,21.911,21.911,1288,0
20050421,22.73,23.31,22.376,22.711,2254,0
20050422,22.376,22.376,21.911,21.911,9645,0
20050425,20.512,22.275,20.512,22.275,3220,0
20050426,21.788,21.911,21.723,21.815,6831,0
20050427,20.054,22.293,20.044,21.518,3863,0
20050428,21.071,21.24,20.734,21.014,4075,0
20050429,21.661,21.661,21.661,21.661,100,0
20050502,21.678,21.678,21.211,21.211,9225,0
20050503,21.071,21.089,21.024,21.024,1716,0
20050505,21.613,21.613,20.801,20.801,748,0
20050506,20.848,20.848,20.839,20.839,11497,0
20050509,20.512,20.98,20.512,20.98,2467,0
20050510,20.98,21.351,20.98,20.98,3784,0
20050511,21.024,21.444,21.024,21.444,2715,0
20050512,21.873,21.902,21.873,21.902,426,0
20050513,21.678,21.678,21.444,21.444,1606,0
20050516,21.444,24.242,21.192,21.192,12764,0
