Date,Open,High,Low,Close,Volume,OpenInt
20050225,27.334,28.139,27.104,28.139,38326,0
20050228,27.973,28.639,27.724,28.629,84402,0
20050301,28.094,29.479,28.048,29.368,97113,0
20050302,28.971,29.794,28.971,28.999,25979,0
20050303,29.24,29.451,28.805,29.269,25456,0
20050304,29.545,29.618,29.109,29.618,30052,0
20050307,29.562,29.589,29.479,29.479,33795,0
20050308,29.109,29.183,28.648,28.944,37599,0
20050309,28.611,28.85,28.26,28.648,51912,0
20050310,28.896,28.896,28.203,28.389,30515,0
20050311,28.37,28.934,28.184,28.842,66685,0
20050314,29.516,29.655,28.85,29.259,38213,0
20050315,29.552,29.552,29.008,29.008,16678,0
20050316,28.463,29.173,28.463,29.173,14543,0
20050317,28.767,29.09,28.352,29.046,17788,0
20050318,29.109,29.109,27.899,28.417,108828,0
20050321,28.906,28.906,28.417,28.73,29917,0
20050322,28.999,28.999,28.176,28.592,28921,0
20050323,28.001,28.573,27.565,27.592,39922,0
20050324,27.807,28.463,27.428,28.157,12671,0
20050328,27.879,28.37,27.817,28.01,12343,0
20050329,27.734,28.813,27.059,27.059,17378,0
20050330,27.324,28.545,27.324,28.49,22069,0
20050331,28.184,29.96,27.668,28.001,79415,0
20050401,28.194,28.611,26.993,27.26,50215,0
20050404,27.087,28.111,27.087,27.842,21794,0
20050405,27.592,28.12,27.582,27.742,27001,0
20050406,28.139,28.139,27.466,27.484,39310,0
20050407,27.556,28.221,27.556,28.111,15957,0
20050408,28.389,28.389,27.096,27.215,24272,0
20050411,26.954,27.64,26.918,27.087,27116,0
20050412,26.754,27.592,24.868,25.921,160761,0
20050413,26.116,26.549,25.875,26.004,43891,0
20050414,25.738,26.145,25.543,25.543,47720,0
20050415,25.516,26.29,25.516,25.729,39006,0
20050418,25.738,25.985,25.183,25.719,28763,0
20050419,25.883,26.549,25.839,26.171,72221,0
20050420,26.346,26.346,25.082,25.394,46694,0
20050421,25.949,27.132,25.756,27.002,25900,0
20050422,26.872,26.872,24.977,25.062,38759,0
20050425,25.183,26.688,24.868,26.585,39683,0
20050426,26.337,26.337,24.895,25.293,38887,0
20050427,24.581,26.145,23.602,24.46,33500,0
20050428,24.832,24.832,24.044,24.202,49599,0
20050429,24.286,24.868,24.286,24.813,29482,0
20050502,24.691,24.803,24.286,24.405,51477,0
20050503,24.295,24.35,23.87,24.147,38162,0
20050504,24.054,24.95,23.861,24.95,36896,0
20050505,24.851,24.996,24.489,24.842,30941,0
20050506,24.996,25.015,24.332,24.452,21839,0
20050509,24.267,24.886,24.194,24.842,27369,0
20050510,24.34,24.527,23.842,24.368,26345,0
20050511,24.23,25.034,23.926,24.895,31476,0
