Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.7376,5.9254,5.704,5.7578,733988,0
20050228,5.5967,6.1736,5.503,6.0261,3741932,0
20050301,5.9726,5.9726,5.4558,5.9321,5093054,0
20050302,5.8718,5.8718,5.5967,5.7376,3234801,0
20050303,5.7376,5.7912,5.637,5.7846,739371,0
20050304,5.6704,5.8317,5.6638,5.7711,793715,0
20050307,5.6904,6.0261,5.6904,5.8988,689781,0
20050308,5.9457,5.9457,5.7711,5.8517,1086140,0
20050309,5.8113,5.8851,5.6839,5.6839,1088324,0
20050310,5.6772,5.9321,5.6772,5.7645,605507,0
20050311,5.8249,5.8451,5.7711,5.8249,498246,0
20050314,5.8113,5.9726,5.8046,5.8851,382719,0
20050315,5.8384,5.9927,5.7779,5.8046,391293,0
20050316,5.7711,5.9321,5.7578,5.8183,999137,0
20050317,5.7578,5.8583,5.7578,5.8384,188971,0
20050318,5.7912,5.9187,5.7645,5.7645,571446,0
20050321,5.7979,5.8384,5.7645,5.8113,445303,0
20050322,5.7779,5.8317,5.7711,5.7979,876201,0
20050323,5.7711,5.8046,5.6704,5.704,1490725,0
20050324,5.6772,5.704,5.5429,5.6302,520785,0
20050328,5.5296,5.7711,5.5296,5.7175,608453,0
20050329,5.6904,5.8046,5.6704,5.7846,603534,0
20050330,5.7445,5.8718,5.5631,5.8384,1202669,0
20050331,5.7779,6.1939,5.7779,6.1736,844832,0
20050401,6.1671,6.1939,6.0328,6.0528,1064410,0
20050404,6.0125,6.0528,5.9392,5.9859,627880,0
20050405,6.0125,6.0328,5.9121,5.9726,431086,0
20050406,5.9457,6.0461,5.9457,6.0395,397745,0
20050407,6.0461,6.0461,5.9254,5.9927,566774,0
20050408,6.0195,6.0195,5.8451,5.8718,335917,0
20050411,5.8583,5.9254,5.7711,5.9254,668731,0
20050412,5.8988,5.9254,5.7711,5.8517,503807,0
20050413,5.8451,5.9054,5.8384,5.8384,227091,0
20050414,5.8384,5.9321,5.8384,5.8988,774013,0
20050415,5.8919,6.0528,5.8384,5.9927,446664,0
20050418,5.9321,6.0664,5.8317,5.9524,273561,0
20050419,5.9392,6.0799,5.8988,5.9658,371967,0
20050420,5.9591,5.9927,5.7779,5.8046,872489,0
20050421,5.8851,6.0261,5.8113,5.8183,438845,0
20050422,5.8046,5.9054,5.6035,5.6571,619803,0
20050425,5.6571,5.7912,5.6167,5.7846,272324,0
20050426,5.7711,6.0599,5.7445,5.9658,1015464,0
20050427,5.9524,6.1067,5.9457,6.0328,284674,0
20050428,6.006,6.0461,5.7578,5.7979,387995,0
20050429,5.7846,5.9254,5.5631,5.7979,569530,0
20050502,5.7711,5.8249,5.6237,5.6839,258243,0
20050503,5.6974,5.7376,5.5495,5.6035,348107,0
