Date,Open,High,Low,Close,Volume,OpenInt
20070510,60,60,60,60,0,0
20070511,66,73.6,65.04,72,583768,0
20070514,72,73.88,71.52,72.92,41191,0
20070515,71.28,72.56,70.44,71.56,31359,0
20070516,71,72.68,68.72,72.16,54952,0
20070517,72.16,73.64,71.32,71.4,8009,0
20070518,70.08,71.52,70,70.72,34406,0
20070521,69.4,72.64,68.64,72.04,7368,0
20070522,69,73.2,69,72,19160,0
20070523,71.6,73.56,69.04,70.88,47346,0
20070524,70.88,73.12,70.2,73,20113,0
20070525,69.68,73.2,69.68,73,12263,0
20070529,73.4,73.4,70.8,73.04,3732,0
20070530,72.28,72.76,70.28,72,3277,0
20070531,70.44,71.6,70.08,71.52,4865,0
20070601,71.6,73.6,70.24,73.6,4196,0
20070604,73.56,73.6,71.76,73.56,3231,0
20070605,73.88,73.88,71.28,72.64,1938,0
20070606,70.44,70.76,68.12,70.76,12851,0
20070607,68.76,71.4,68.76,70.04,2424,0
20070608,70.68,70.8,68,69.4,27025,0
20070611,68.48,71.92,68.48,71.92,9619,0
20070612,69.88,72.4,69.8,70.76,65228,0
20070613,68.08,71.76,68.08,70.2,6929,0
20070614,69.8,71.64,68.32,69.88,4233,0
20070615,71.88,76.76,71.88,73.84,82329,0
20070618,73.2,75.8,72.56,74.8,9728,0
20070619,75.44,82.4,74,82,21911,0
20070620,87.56,87.56,84.76,86,181629,0
20070621,86,86,80.4,84,25273,0
20070622,85.92,85.92,80.72,81.72,161282,0
20070625,81.04,83.8,80.4,81.28,27723,0
20070626,81.52,81.52,75.44,76.6,23661,0
20070627,77.2,79.16,75.04,78.72,18620,0
20070628,78.36,80,76.44,77.96,36522,0
20070629,78.32,81.2,75.36,79.2,34816,0
20070702,80,80.2,79.64,79.84,27302,0
20070703,80.04,81.84,79.48,80.8,5375,0
20070705,79.84,82.2,79.6,81.44,11289,0
20070706,82.28,82.28,80.88,82.12,2917,0
20070709,80.32,82.28,79.8,80.64,3555,0
20070710,79.56,80.16,77.24,77.88,6948,0
20070711,77.08,77.88,73.16,75.48,13639,0
20070712,74.64,75.72,73.08,75.56,8606,0
20070713,75.8,75.8,73.72,73.92,3376,0
20070716,74.16,74.32,72.52,72.96,3269,0
20070717,73.04,75.2,72.88,74,7563,0
20070718,74,76.44,74,75.28,10276,0
20070719,75.4,75.88,74.2,74.36,10638,0
20070720,74.2,74.28,73.04,73.52,9923,0
20070723,73.52,79.12,72.72,75.04,6408,0
20070724,73.4,75.88,72.84,73.96,20587,0
20070725,74.36,76.84,72.6,74.08,4660,0
20070726,72.96,79.96,72.36,72.96,3119,0
20070727,72.56,78,70.04,71.24,10164,0
20070730,71.04,78.8,68.64,68.64,9974,0
20070731,75.96,75.96,66.88,67.6,12986,0
20070801,67,68.6,62.48,67.12,13549,0
20070802,67.4,67.4,63.08,66.32,18214,0
20070803,64.92,66.44,62.36,62.68,11732,0
20070806,62.84,63.84,59.76,60.32,16904,0
20070807,59.52,63,57.68,60.76,45273,0
20070808,61.44,64.48,57.56,62.64,14777,0
20070809,62,68.24,58,58.04,18774,0
20070810,57.96,68.2,54.36,59.92,17977,0
20070813,61.12,64.8,61.12,64,18507,0
20070814,59.88,66.72,59.88,63.16,6429,0
20070815,62.8,66,62.28,62.92,5320,0
20070816,64,65.92,62.76,65.88,8006,0
20070817,68,68,64.56,65.32,11711,0
20070820,64.76,66.84,55.52,66,8669,0
20070821,65.6,67.6,65.6,66.52,3944,0
20070822,67.32,72.08,67.2,70.64,5981,0
20070823,71,71.36,67.72,70.64,4047,0
20070824,68.2,74.48,68.2,70.92,4503,0
20070827,72.64,72.64,69.72,71.8,2895,0
20070828,71.8,72.08,70.36,71.28,1596,0
20070829,71.56,71.72,68.84,69.6,7441,0
20070830,69.6,72.68,68.88,72.2,12358,0
20070831,72.44,76.76,72.24,75.72,17006,0
20070904,76,79.2,75,79.2,5915,0
20070905,79.4,80.08,77.64,77.68,6338,0
20070906,78.56,80.08,77.24,77.56,6757,0
20070907,76.24,76.6,73.92,74.28,2720,0
20070910,74.12,76.48,72.72,73.44,1815,0
20070911,74.84,74.84,71.44,72.12,3656,0
20070912,72.28,73.2,71.88,72,6890,0
20070913,72.52,75.48,71.28,75.08,1631,0
20070914,74.6,76.08,72.68,75.8,2388,0
20070917,76,76,74.96,75,2184,0
20070918,75.52,77.64,75.4,76.4,6928,0
20070919,77.32,77.32,75.92,76.12,6004,0
20070920,75.8,75.88,74.12,74.56,4660,0
20070921,75.28,75.6,72.6,73.36,31326,0
20070924,74.6,74.92,73.16,73.64,21420,0
20070925,73.68,73.68,68.52,69.6,11718,0
20070926,70.76,70.8,67.8,67.8,7191,0
20070927,68.4,70,66.76,68.96,14736,0
20070928,68.8,69.32,67.2,68.16,4439,0
20071001,67.96,67.96,63.6,63.72,191717,0
20071002,63.44,65.64,62.52,65.64,8183,0
20071003,65.28,67.48,65.28,66.92,10231,0
