Date,Open,High,Low,Close,Volume,OpenInt
20110518,5.6341,5.8579,5.5072,5.6341,103377,0
20110519,5.6713,5.7459,5.6341,5.679,23546,0
20110520,5.6713,5.8207,5.6713,5.8207,12286,0
20110523,5.7984,5.7984,5.6041,5.6116,12357,0
20110524,5.6041,5.6936,5.4922,5.5743,26803,0
20110525,5.5668,5.5892,5.1342,5.3133,67650,0
20110526,5.4026,5.5743,5.3281,5.5743,30980,0
20110527,5.5519,5.5969,5.2236,5.5969,56046,0
20110531,5.6414,5.9326,5.2833,5.9251,24873,0
20110601,5.8431,5.9177,5.7834,5.8131,20070,0
20110602,5.7757,6.1191,5.6041,5.8728,25439,0
20110603,5.8951,5.9773,5.6639,5.9697,22908,0
20110606,6.0294,6.0294,5.9697,5.9697,16426,0
20110607,5.8951,5.9326,5.8877,5.9326,4554,0
20110608,5.8207,6.0073,5.8207,5.9773,3616,0
20110609,5.6265,5.9921,5.6116,5.8951,27687,0
20110610,5.7086,5.7086,5.6713,5.6713,3679,0
20110613,5.7309,5.9251,5.6713,5.7236,3349,0
20110614,5.6713,5.9326,5.6713,5.9326,690,0
20110615,5.7984,5.9624,5.4102,5.8877,6828,0
20110616,5.6414,5.9028,5.4474,5.8131,23074,0
20110617,5.8207,5.8207,5.4102,5.4177,4302,0
20110620,5.4102,5.4849,5.2236,5.4102,12539,0
20110621,5.4102,5.6041,5.4102,5.5221,10253,0
20110622,5.4102,5.425,5.4102,5.4102,5330,0
20110623,5.4102,5.4699,5.1937,5.4624,25714,0
20110624,5.3356,5.5594,5.3356,5.5594,10594,0
20110627,5.7459,5.9624,5.4922,5.9028,25126,0
20110628,5.9475,5.9697,5.8579,5.8951,23737,0
20110629,5.9177,6.0073,5.8728,5.9773,18134,0
20110630,5.9851,6.082,5.9697,6.0073,53410,0
20110701,5.9697,5.9697,5.7834,5.7834,10703,0
20110705,5.8281,6.037,5.7834,5.7834,43561,0
20110706,5.9549,6.0073,5.9028,5.9773,22981,0
20110707,5.9851,6.328,5.9851,6.1564,30755,0
20110708,6.0443,6.0892,5.8431,6.0892,21844,0
20110711,6.0221,6.0892,5.9697,6.0892,12498,0
20110712,5.9326,6.067,5.9326,6.0146,42748,0
20110713,6.037,6.2535,6.0073,6.0521,18855,0
20110714,6.0443,6.343,6.037,6.343,197136,0
20110715,6.2908,6.3728,6.1639,6.1713,12198,0
20110718,6.1713,6.2162,5.8207,6.1863,10321,0
20110719,6.082,6.2311,6.082,6.1267,6400,0
20110720,6.4176,6.5967,6.2012,6.4475,34306,0
20110721,6.2459,6.5594,6.2459,6.4102,31601,0
20110722,6.343,6.5295,6.343,6.4102,10078,0
20110725,6.343,6.4027,6.1564,6.1713,20744,0
20110726,6.1639,6.2311,6.1414,6.1564,19192,0
20110727,6.1491,6.1639,6.0521,6.1414,12588,0
20110728,6.082,6.343,6.0742,6.2979,20609,0
20110729,6.082,6.4176,6.082,6.2012,22964,0
20110801,6.2385,6.343,6.2162,6.2385,11616,0
20110802,6.1936,6.4176,6.1787,6.328,26937,0
20110803,6.2834,6.343,6.1564,6.343,40282,0
20110804,6.3355,6.3355,6.1041,6.1041,17791,0
20110805,6.1191,6.1191,5.9697,5.9697,9782,0
20110808,5.5969,5.6864,5.4474,5.4699,31279,0
20110809,5.4474,5.9697,5.4177,5.5969,48699,0
20110810,5.5969,6.6042,5.4102,5.7386,72736,0
20110811,5.9697,6.0443,5.5818,5.9697,8272,0
20110812,5.9773,6.0892,5.679,5.679,18794,0
20110815,5.679,6.0073,5.6414,5.9697,34053,0
20110816,5.9998,6.0521,5.9697,5.9998,20975,0
20110817,5.94,6.0146,5.94,5.9998,19835,0
20110818,5.9475,5.9475,5.5969,5.8431,15194,0
20110819,5.9697,5.9697,5.5969,5.5969,15727,0
20110822,5.5743,6.7162,5.5296,5.6116,36028,0
20110823,5.6864,5.8431,5.4624,5.6864,63519,0
20110824,5.6565,5.8281,5.6116,5.6116,41804,0
20110825,5.6192,5.679,5.6192,5.6341,7252,0
