Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.053,11.053,10.794,10.977,105974,0
20050228,10.737,10.904,10.421,10.765,205762,0
20050301,10.598,10.607,10.235,10.375,128409,0
20050302,10.356,10.633,9.983,10.402,160708,0
20050303,10.365,10.466,10.151,10.245,71979,0
20050304,10.429,10.7,10.328,10.476,163019,0
20050307,10.375,10.894,10.281,10.831,125382,0
20050308,10.607,11.091,10.579,10.969,110276,0
20050309,11.062,11.081,10.868,11.005,68796,0
20050310,10.894,11.191,10.894,11.166,137535,0
20050311,10.977,11.174,10.941,11.174,99765,0
20050314,11.21,11.258,11.072,11.148,104246,0
20050315,11.277,11.305,11.053,11.129,179325,0
20050316,10.986,11.043,10.804,10.859,56161,0
20050317,10.886,10.986,10.85,10.95,34142,0
20050318,10.95,11.668,10.941,11.37,189293,0
20050321,11.37,11.415,11.258,11.352,56125,0
20050322,11.379,11.388,11.248,11.258,34358,0
20050323,11.248,11.315,11.1,11.21,27987,0
20050324,11.286,11.489,11.229,11.406,114232,0
20050328,11.406,11.462,11.379,11.397,92220,0
20050329,11.434,11.489,11.379,11.415,62175,0
20050330,11.47,11.761,11.47,11.65,126588,0
20050331,11.659,11.742,11.593,11.723,124134,0
20050401,11.779,11.817,11.425,11.695,147343,0
20050404,11.556,12.039,11.537,11.955,80134,0
20050405,11.909,12.095,11.862,12.039,127048,0
20050406,11.993,12.114,11.406,11.444,105229,0
20050407,11.352,11.489,11.315,11.361,77829,0
20050408,11.352,11.705,11.296,11.574,59060,0
20050411,11.489,12.029,11.489,11.946,37756,0
20050412,11.853,12.104,11.853,12.095,75582,0
20050413,11.909,12.123,11.406,11.47,64793,0
20050414,11.397,11.899,11.397,11.602,102501,0
20050415,11.686,11.955,11.489,11.714,47286,0
20050418,11.732,12.123,11.732,12.077,56668,0
20050419,12.029,12.095,11.798,11.965,139676,0
20050420,12.002,12.002,11.612,11.612,120988,0
20050421,11.788,11.965,11.676,11.937,34055,0
20050422,12.002,12.002,11.015,11.043,60095,0
20050425,11.024,11.333,11.024,11.315,115777,0
20050426,11.305,11.397,11.157,11.21,44553,0
20050427,11.174,11.489,11.043,11.229,81290,0
20050428,11.37,12.095,11.21,11.974,88349,0
20050429,12.048,12.189,12.039,12.141,118145,0
20050502,12.039,12.217,11.891,11.993,234027,0
20050503,11.881,12.095,11.807,12.095,309545,0
20050504,12.095,12.141,12.077,12.104,149660,0
20050505,12.141,12.141,12.048,12.104,91511,0
20050506,12.17,12.208,12.011,12.104,87755,0
20050509,12.114,12.114,12.048,12.104,86955,0
20050510,12.141,12.179,12.039,12.104,123473,0
20050511,12.002,12.085,11.593,11.761,54760,0
20050512,11.965,12.085,11.834,12.011,67747,0
20050513,11.928,12.095,11.928,12.077,44211,0
20050516,11.909,12.16,11.909,12.104,74981,0
20050517,12.095,12.095,11.984,12.058,44943,0
20050518,12.104,12.356,12.095,12.236,105044,0
20050519,12.141,12.514,12.141,12.392,166330,0
20050520,12.327,12.467,12.327,12.467,35895,0
