Date,Open,High,Low,Close,Volume,OpenInt
20151116,0.6,0.9,0.45,0.79,88700,0
20151117,0.79,0.79,0.79,0.79,1000,0
20151119,0.75,0.75,0.75,0.75,2700,0
20151125,0.75,0.75,0.75,0.75,1300,0
20151201,0.6,0.749,0.6,0.749,300,0
20151215,0.65,0.65,0.65,0.65,300,0
20160105,0.4,0.4,0.4,0.4,31500,0
20160108,0.6,0.6,0.6,0.6,2450,0
20160120,0.3912,0.45,0.3912,0.45,25350,0
20160201,0.32,0.4,0.3,0.3,82000,0
20160202,0.3,0.3,0.3,0.3,2796,0
20160203,0.3,0.3,0.3,0.3,1500,0
20160209,0.35,0.35,0.3,0.3,1600,0
20160210,0.301,0.3016,0.3,0.3016,5400,0
20160211,0.28,0.3196,0.28,0.3196,1539,0
20160217,0.3,0.3,0.3,0.3,75100,0
20160229,0.4,0.4,0.4,0.4,100,0
20160303,0.3,0.3,0.3,0.3,100,0
20160309,0.33,0.33,0.33,0.33,25000,0
20160310,0.3,0.3,0.3,0.3,102000,0
20160311,0.29,0.3,0.29,0.3,102500,0
20160316,0.3,0.3,0.3,0.3,1750,0
20160318,0.35,0.35,0.35,0.35,5500,0
20160329,0.34,0.34,0.32,0.32,17500,0
20160330,0.2977,0.3,0.2977,0.3,23000,0
20160406,0.3951,0.3951,0.3,0.3,2300,0
20160407,0.25,0.3,0.25,0.25,324587,0
20160408,0.28,0.29,0.26,0.26,80000,0
20160411,0.26,0.28,0.26,0.28,82001,0
20160412,0.27,0.27,0.27,0.27,1350,0
20160413,0.26,0.26,0.26,0.26,25000,0
