Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.545,21.457,20.491,21.181,34786,0
20050228,21.19,21.342,21.181,21.269,6573,0
20050301,21.252,21.68,21.045,21.493,7310,0
20050302,21.69,21.69,21.342,21.645,3584,0
20050303,21.064,21.635,21.064,21.635,1453,0
20050304,21.601,21.628,20.983,20.983,7304,0
20050307,21.69,21.69,21.215,21.215,1697,0
20050308,21.045,21.054,20.41,20.41,2486,0
20050309,20.133,20.248,20.125,20.233,2797,0
20050310,20.133,20.509,20.133,20.509,2496,0
20050311,20.447,20.572,20.233,20.572,2392,0
20050314,20.447,20.563,20.447,20.563,1528,0
20050315,20.367,20.376,19.909,20.053,3970,0
20050316,20.528,20.528,19.705,19.705,2124,0
20050317,19.677,19.776,19.41,19.677,5500,0
20050318,20.027,20.027,19.891,19.891,1675,0
20050321,20.473,20.642,19.748,20.188,11068,0
20050322,19.488,20.036,19.488,19.991,2263,0
20050323,19.444,20.233,19.381,19.381,4138,0
20050324,19.677,19.677,19.463,19.605,2905,0
20050328,19.669,19.687,19.605,19.605,2645,0
20050329,19.677,19.785,19.319,19.766,4304,0
20050330,19.587,19.776,19.381,19.776,892,0
20050331,19.83,19.937,19.276,19.802,3484,0
20050401,19.793,19.793,19.472,19.472,1419,0
20050404,19.552,19.552,19.498,19.498,2549,0
20050405,19.507,19.507,19.507,19.507,877,0
20050406,19.507,19.507,19.05,19.05,7752,0
20050407,19.239,19.239,17.673,17.951,17299,0
20050408,17.935,17.935,17.487,17.487,26522,0
20050411,17.664,17.683,17.468,17.683,1195,0
20050412,17.664,17.792,17.664,17.708,1667,0
20050413,17.978,18.157,17.888,17.888,2462,0
20050415,17.907,17.907,17.664,17.825,3336,0
20050418,17.808,17.808,17.44,17.459,4085,0
20050419,17.307,17.621,17.307,17.353,10013,0
20050420,17.353,18.2,17.353,17.888,5659,0
20050421,17.708,17.978,17.708,17.978,3321,0
20050422,18.112,18.112,17.487,17.888,5486,0
20050425,18.112,18.112,17.307,17.307,917,0
20050426,17.353,17.353,17.261,17.261,1008,0
20050427,17.44,17.44,17.217,17.432,14799,0
20050428,17.244,17.44,16.995,17.118,11884,0
20050429,17.235,17.888,17.235,17.765,6058,0
20050502,17.44,17.808,17.44,17.621,1131,0
20050503,17.888,19.006,17.888,19.006,23353,0
20050504,19.006,19.006,18.658,18.658,1453,0
20050505,19.132,19.23,19.006,19.202,6087,0
20050506,19.23,19.319,19.193,19.319,6057,0
20050509,19.006,19.319,19.006,19.319,1453,0
20050510,19.05,19.319,18.88,19.319,7267,0
20050511,19.05,19.276,18.668,18.668,12080,0
20050512,18.651,19.319,18.651,19.078,8467,0
20050513,18.693,18.693,18.693,18.693,894,0
20050516,18.784,19.319,18.784,19.319,26396,0
20050517,19.319,19.41,19.319,19.41,528,0
20050518,19.015,19.41,19.015,19.41,801,0
20050519,19.41,19.677,18.917,19.677,4131,0
20050520,19.677,19.677,19.677,19.677,1364,0
20050523,19.472,19.472,19.472,19.472,118,0
20050524,19.677,19.677,19.561,19.677,2862,0
20050525,19.677,19.937,19.677,19.937,17769,0
20050526,19.624,20.393,19.624,20.178,20919,0
20050527,20.393,20.393,20.349,20.349,2698,0
20050531,20.258,20.376,19.821,20.376,8945,0
20050601,20.286,20.393,19.276,19.739,7267,0
20050602,19.615,20.385,19.615,20.385,6274,0
20050603,20.248,20.519,20.215,20.519,4808,0
20050606,20.519,20.661,20.519,20.615,8107,0
20050607,20.661,21.037,20.652,21.037,12629,0
20050608,20.491,21.457,20.491,21.457,3624,0
20050609,21.466,21.502,20.303,21.403,12555,0
20050610,20.894,21.457,20.894,21.457,6859,0
20050613,21.457,21.457,21.358,21.457,5395,0
20050614,21.358,21.457,20.776,21.457,3543,0
20050615,20.303,21.86,20.303,21.86,24141,0
20050616,21.752,21.879,21.207,21.815,8887,0
20050617,21.752,21.815,21.591,21.815,3167,0
20050620,21.913,21.913,21.546,21.869,7137,0
20050621,21.573,21.879,21.573,21.879,5008,0
20050622,21.699,21.879,21.582,21.879,5186,0
20050623,21.815,21.823,21.555,21.726,3173,0
20050624,21.823,21.879,20.876,20.885,383834,0
20050627,20.992,21.072,19.372,19.991,48084,0
20050628,19.919,21.029,19.615,20.447,30022,0
20050629,20.188,20.581,20.188,20.554,6365,0
20050630,20.608,20.608,20.027,20.286,12135,0
20050701,19.721,19.937,19.721,19.919,5572,0
20050705,20.106,20.554,20.097,20.393,8269,0
20050706,20.545,20.794,20.321,20.321,2600,0
20050707,20.206,20.563,20.133,20.142,13935,0
20050708,20.125,21.797,20.125,21.609,9717,0
20050711,21.743,21.879,21.68,21.823,4489,0
20050712,21.879,21.879,20.633,21.02,13189,0
20050713,20.849,21.207,20.841,21.054,5200,0
20050714,21.279,21.279,20.661,20.661,1593,0
20050715,20.572,21.43,20.572,21.02,17298,0
20050718,20.894,21.324,20.572,20.59,8025,0
20050719,21.02,21.466,20.724,21.466,4161,0
20050720,21.136,21.555,20.903,21.555,2045,0
20050721,21.314,21.475,20.956,20.983,1685,0
20050722,21.466,21.68,20.615,21.475,16263,0
20050725,21.43,21.879,21.001,21.029,23841,0
20050726,20.841,21.913,20.841,21.913,17117,0
20050727,21.582,21.922,20.832,21.44,17125,0
20050728,21.163,21.717,21.02,21.69,7322,0
20050729,21.69,21.879,21.394,21.807,17701,0
20050801,21.538,22.352,21.358,21.832,10772,0
20050802,21.879,21.879,21.215,21.358,4436,0
20050803,21.145,21.502,21.064,21.502,6561,0
20050804,21.502,21.502,20.491,20.776,10214,0
20050805,21.02,21.35,20.16,20.188,10765,0
20050808,20.419,21.502,20.16,20.286,8864,0
20050809,20.554,21.19,19.543,20.061,23254,0
20050810,20.321,20.545,20.133,20.376,2557,0
20050811,20.248,21.671,20.125,21.671,10300,0
20050812,21.466,21.591,20.224,20.473,10051,0
20050815,20.16,21.136,20.16,21.01,6008,0
20050816,20.538,20.661,19.937,20.528,37279,0
20050817,21.02,21.02,20.061,20.303,4600,0
20050818,20.215,20.248,20.215,20.215,4031,0
20050819,20.402,20.876,20.258,20.615,10930,0
20050822,20.572,20.661,20.303,20.661,16523,0
20050823,20.858,21.01,20.615,20.751,35228,0
20050824,20.572,20.992,20.572,20.93,8516,0
20050825,20.615,20.698,20.393,20.698,6663,0
20050826,20.437,20.894,20.258,20.473,17946,0
20050829,20.652,21.02,20.572,20.975,67408,0
20050830,21.02,21.02,20.481,20.794,8003,0
20050831,20.983,21.35,20.832,21.197,6583,0
20050901,21.466,21.466,20.965,21.287,5511,0
20050902,20.965,21.02,20.759,20.803,776,0
20050906,20.794,21.001,20.707,21.001,1774,0
20050907,20.813,21.001,20.661,20.921,10771,0
20050908,20.707,20.992,20.661,20.707,51986,0
20050909,20.714,21.001,20.714,20.947,7353,0
20050912,20.885,21.01,20.769,21.001,4128,0
20050913,20.885,20.93,20.367,20.633,19537,0
20050914,20.303,20.937,20.197,20.437,4170,0
20050915,20.133,20.661,19.677,19.945,20335,0
20050916,20.142,20.615,19.9,20.125,37358,0
20050919,20.358,20.714,19.927,20.267,8589,0
20050920,20.947,20.947,20.088,20.303,2806,0
20050921,20.473,20.794,19.982,19.991,8391,0
20050922,20.393,20.393,19.991,20,8387,0
20050923,20,20.142,19.991,20.08,3251,0
20050926,19.954,20.615,19.739,20.615,16654,0
20050927,20.68,20.68,19.731,19.874,1232,0
20050928,19.677,19.821,19.14,19.498,8420,0
20050929,19.705,19.927,19.454,19.927,3208,0
20050930,20.125,20.393,19.785,20.393,4172,0
20051004,20.572,20.572,19.909,19.909,1675,0
20051005,19.9,20.286,19.454,19.454,11170,0
20051006,19.463,20.071,19.454,19.463,8186,0
20051007,19.677,20.018,19.507,19.507,5654,0
20051010,19.615,20.206,19.543,19.615,9852,0
20051011,19.721,20.071,19.481,19.481,4178,0
20051012,19.821,20.088,19.677,19.677,15827,0
20051013,19.543,19.677,19.454,19.677,6445,0
20051014,19.677,20.294,19.498,20.294,2678,0
20051017,20.545,20.769,19.919,20.178,1256,0
20051018,20.509,20.509,19.633,20.071,4406,0
20051019,19.83,20.178,19.641,20.178,3881,0
20051020,20.258,20.419,19.633,19.641,2654,0
20051021,19.633,20.267,19.633,19.927,2046,0
20051024,20.206,21.01,20,21.01,5309,0
20051025,20.965,21.01,20.724,21.001,6045,0
20051026,20.858,20.975,20.133,20.5,32319,0
20051027,20.832,21.001,20.572,20.885,54939,0
20051028,21.01,21.01,20.785,20.885,9965,0
20051031,21.01,21.01,20.832,21.01,11073,0
20051101,20.822,20.885,20.785,20.785,7129,0
20051102,20.956,21.449,20.956,21.394,7618,0
20051103,21.466,21.466,20.794,20.832,105651,0
20051104,21.145,21.145,20.794,20.876,10786,0
20051107,20.759,20.832,20.367,20.733,19660,0
20051108,20.776,21.181,20.581,21.153,4448,0
20051109,20.947,21.466,20.947,21.223,14431,0
20051110,21.279,21.502,21.045,21.358,11914,0
20051111,21.493,21.493,21.466,21.466,1007,0
20051114,21.538,21.538,21.037,21.269,7421,0
20051115,21.421,21.421,21.02,21.233,4451,0
20051116,21.072,21.072,21.02,21.02,4024,0
20051117,21.314,21.403,21.287,21.376,1622,0
20051118,21.466,21.466,21.242,21.305,11923,0
20051121,21.502,21.511,21.287,21.511,4915,0
20051122,21.466,21.538,21.466,21.538,3388,0
20051123,21.546,21.546,21.546,21.546,337,0
20051125,21.601,21.601,21.601,21.601,717,0
20051128,21.333,21.619,20.759,20.885,14155,0
20051129,20.849,21.967,20.849,21.064,10928,0
20051130,21.001,21.466,20.528,20.615,13765,0
20051201,20.841,21.117,20.822,21.117,7756,0
20051202,21.029,21.403,21.02,21.145,5944,0
20051205,21.145,21.145,20.707,20.832,1716,0
20051206,21.181,21.601,20.794,20.849,8493,0
20051207,21.153,21.215,20.751,20.822,4889,0
20051208,20.822,20.912,20.813,20.849,670,0
20051209,20.769,21.403,20.751,21.054,10383,0
20051212,21.269,21.269,20.67,20.894,6282,0
20051213,20.661,20.858,20.661,20.733,1292,0
20051214,21.233,21.233,20.714,20.849,5198,0
20051215,20.572,20.841,20.572,20.841,4058,0
20051216,20.733,20.776,20.599,20.776,33872,0
20051219,21.081,21.081,19.945,20.303,10369,0
20051220,20.009,20.133,19.882,20.133,8732,0
20051221,20.133,20.349,20.125,20.125,3898,0
20051222,20.125,20.759,19.964,20.581,10870,0
20051223,20.258,20.813,20.258,20.689,3129,0
