Date,Open,High,Low,Close,Volume,OpenInt
20130405,5.49,7.9999,5.4899,6.15,6096,0
20130408,5.2601,5.265,5,5.1,5055,0
20130409,5.92,5.92,5.11,5.2,1196,0
20130410,5.1999,5.59,5.1,5.1101,1562,0
20130411,5.1,5.23,5.1,5.23,847,0
20130412,5.12,5.15,5.12,5.15,1602,0
20130415,5.1,5.1,5.1,5.1,445,0
20130416,5.11,5.21,5.11,5.21,200,0
20130418,5.11,5.15,5.11,5.15,531,0
20130419,5.1001,5.1001,5.1001,5.1001,101,0
20130422,5.1045,5.1045,5.1045,5.1045,230,0
20130425,5.1001,5.1001,5.1,5.1001,1528,0
20130426,5.1,5.1,5.1,5.1,100,0
20130429,5.124,5.124,5.1,5.1,398,0
20130430,5.02,5.02,5.02,5.02,200,0
20130501,5.09,5.09,5.09,5.09,100,0
20130506,5.1,5.169,5.1,5.1,400,0
20130509,5.79,5.79,5.79,5.79,200,0
20130513,5.81,5.81,5.81,5.81,1000,0
20130515,5.3101,5.3101,5.3101,5.3101,962,0
20130520,5.36,5.36,5.36,5.36,300,0
20130522,5.39,5.39,5.39,5.39,100,0
20130523,5.99,6,5.99,6,1460,0
20130524,5.9899,5.9899,5.9899,5.9899,350,0
20130529,6,6,5.755,5.755,400,0
20130530,5.98,5.99,5.528,5.81,916,0
20130531,5.99,6,5.58,5.58,2441,0
20130603,5.94,5.94,5.4,5.4,4600,0
20130604,5.36,5.36,5.36,5.36,1700,0
20130605,5.3001,5.32,5.11,5.1101,2280,0
20130607,5.0801,5.0801,4.5,4.5,1900,0
20130610,4.6,5.08,4.6,5.08,503,0
20130611,4.9,4.9,4.75,4.75,4900,0
20130612,4.75,4.75,4.42,4.5001,3887,0
20130613,4.41,4.41,4.41,4.41,400,0
20130614,5,5,5,5,900,0
20130617,4.9,4.9,4.51,4.51,1869,0
20130618,4.55,4.55,4.1601,4.1601,5126,0
20130619,4.25,4.25,4.25,4.25,100,0
20130620,4.24,4.25,4.24,4.25,1056,0
20130621,4.34,4.34,4.22,4.34,1924,0
20130624,4.31,4.33,4.31,4.33,411,0
20130625,4.16,4.17,3.79,4.09,14897,0
20130626,4.21,4.21,4.01,4.01,1215,0
20130627,3.91,3.91,3.88,3.88,926,0
20130628,4.29,4.29,4.29,4.29,127,0
20130701,4.3299,4.3299,4.3299,4.3299,118,0
20130702,4.33,4.33,4.33,4.33,273,0
20130703,4.1601,4.1601,4.1601,4.1601,350,0
20130705,4.16,4.225,4.16,4.225,200,0
20130708,4.11,4.11,3.98,3.98,3450,0
20130709,4.03,4.03,3.98,3.98,600,0
20130712,3.99,3.99,3.99,3.99,100,0
20130717,4.02,4.0599,4.02,4.0599,302,0
20130718,3.98,3.98,3.85,3.85,600,0
20130722,3.99,3.99,3.99,3.99,400,0
20130723,4,4,4,4,300,0
20130724,3.99,3.99,3.83,3.83,333,0
20130725,3.96,3.96,3.95,3.95,498,0
20130726,4.05,4.05,4.05,4.05,502,0
20130729,4.581,4.581,4.24,4.26,1485,0
20130730,4.05,4.05,4.05,4.05,1752,0
20130731,4.1,4.1,4.01,4.01,2000,0
20130801,4.1,4.1,4.1,4.1,1700,0
20130802,4.44,4.44,4.44,4.44,185,0
20130805,4.07,4.15,4.07,4.1,6200,0
20130806,4.15,4.19,4.15,4.15,6600,0
20130807,4.17,4.275,4.15,4.15,3200,0
20130808,4.15,4.5,4.03,4.03,2025,0
20130809,4.05,4.14,4.05,4.14,839,0
20130812,4.15,4.15,4.15,4.15,100,0
20130813,4.15,4.17,4.15,4.17,1125,0
20130814,4.4,4.4,4.4,4.4,100,0
20130815,4.45,4.49,4.17,4.35,1600,0
20130816,4.2123,4.2123,4.2123,4.2123,500,0
20130819,4.34,4.4,4.34,4.4,14952,0
20130821,4.4899,4.4899,4.48,4.48,536,0
20130822,4.3101,4.3101,4.3101,4.3101,132,0
20130823,4.344,4.344,4.344,4.344,132,0
20130826,4.3,4.3399,4.3,4.3,700,0
20130829,5.5,5.5,4.42,4.42,2072,0
20130830,4.61,4.61,4.5499,4.5499,700,0
20130903,4.54,4.54,4.45,4.45,400,0
20130905,4.57,4.57,4.57,4.57,200,0
20130906,4.47,4.51,4.46,4.51,1092,0
20130909,4.6,4.6,4.59,4.59,300,0
20130910,4.51,4.58,4.5,4.58,500,0
20130912,4.5799,4.5799,4.47,4.49,899,0
20130916,4.4062,4.4062,4.4062,4.4062,100,0
20130917,4.33,4.47,4.33,4.47,572,0
20130918,4.4,4.4,4.31,4.31,200,0
20130919,4.35,4.35,4.3,4.3,600,0
20130920,4.4,4.4,4.3,4.3,1430,0
20130924,4.3,4.4,4.25,4.4,4300,0
20130925,4.4,4.4,4.3935,4.3935,500,0
20130930,4.4,4.4,4.4,4.4,100,0
20131001,4.35,4.39,4.21,4.21,800,0
20131004,4.21,4.21,4.11,4.11,800,0
20131007,4.12,4.4,4.12,4.4,1300,0
20131009,4.38,4.38,4.38,4.38,100,0
20131010,4.4,4.4,4.4,4.4,100,0
20131011,4.4,4.4,4.3,4.3,34237,0
20131014,4.29,4.3,4.29,4.3,319,0
20131015,4.3,4.3,4.22,4.22,365,0
20131017,4.32,4.32,4.18,4.2,33100,0
20131018,4.2,4.21,4.11,4.18,2100,0
20131021,4.26,4.4,4.26,4.4,1400,0
20131022,4.4,4.4,4.4,4.4,700,0
20131025,4.39,4.39,4.2701,4.2701,513,0
20131030,4.28,4.28,4.27,4.27,400,0
