Date,Open,High,Low,Close,Volume,OpenInt
20131022,7.1928,7.1928,6.9874,7.1661,18003,0
20131023,7.1928,7.1928,7.1928,7.1928,974,0
20131024,6.9874,6.9874,6.8127,6.8127,2432,0
20131025,6.8127,6.8127,6.6279,6.6279,3407,0
20131028,6.6279,6.6933,5.96,6.5764,35033,0
20131030,6.2679,6.2679,6.2679,6.2679,487,0
20131031,6.5249,6.5764,6.5249,6.5764,1461,0
20131106,6.5764,8.0158,6.5764,8.0158,4868,0
20131107,8.0158,8.2196,8.0158,8.2196,974,0
20131112,7.0285,7.0285,6.5764,6.5764,95614,0
20131113,7.1928,7.1928,7.1928,7.1928,950,0
20131114,7.1928,7.1928,6.7818,6.7818,6349,0
20131119,6.9874,6.9874,6.5764,6.5764,1528,0
20131120,6.9874,6.9874,6.9874,6.9874,998,0
20131121,7.1928,7.1928,6.5764,6.5764,3431,0
20131122,6.3915,6.5229,6.3915,6.5229,7592,0
20131126,6.3915,6.3915,6.3915,6.3915,974,0
20131202,6.3915,6.4219,6.3915,6.4219,19828,0
20131203,6.3915,6.4219,6.3915,6.4219,30772,0
20131204,6.3915,6.3915,6.3915,6.3915,4705,0
20131205,6.6789,6.7304,6.6789,6.7304,6810,0
20131210,6.5969,6.5969,6.5969,6.5969,487,0
20131211,6.5969,6.5969,6.5969,6.5969,974,0
20131212,6.5764,6.6279,6.5764,6.6279,7179,0
20131213,6.7818,6.7818,6.527,6.527,5841,0
20131216,6.6789,6.6789,6.6789,6.6789,4868,0
20131217,6.5764,6.5764,6.3709,6.3709,4380,0
20131218,6.3749,6.3749,6.3749,6.3749,487,0
20131219,6.3709,6.4734,6.3442,6.3709,8760,0
20131220,6.3749,6.3749,6.3749,6.3749,487,0
20131223,6.424,6.4466,6.424,6.4466,6810,0
20131224,6.424,6.424,6.424,6.424,974,0
20131226,6.424,6.4529,6.3709,6.3709,3893,0
20131227,6.4121,6.4734,6.4121,6.4734,1461,0
20131230,6.4734,6.5764,6.4734,6.5148,10559,0
20131231,6.4653,6.5558,6.3709,6.4755,13821,0
20140102,6.3504,6.3504,6.3504,6.3504,2581,0
20140103,6.5764,6.5764,6.5764,6.5764,2918,0
20140106,6.3193,6.3193,6.3193,6.3193,2311,0
20140107,6.3193,6.3193,6.3193,6.3193,487,0
20140115,6.3709,6.4219,6.3709,6.4219,2557,0
20140116,6.5764,6.5764,6.5764,6.5764,1461,0
20140117,6.5764,6.5764,6.5764,6.5764,1461,0
20140121,6.5764,6.5764,6.5764,6.5764,4671,0
20140122,6.6279,6.6279,6.6279,6.6279,6835,0
20140123,6.7818,6.7818,6.6789,6.6789,5109,0
20140127,6.7818,7.1908,6.6789,6.6789,21776,0
20140128,6.9874,6.9874,6.9874,6.9874,1461,0
20140129,7.0898,7.0898,7.0898,7.0898,2451,0
20140131,7.1949,7.2974,7.1949,7.2156,37073,0
20140203,7.1126,7.2052,7.1126,7.1949,23173,0
20140204,7.1908,7.1928,7.1908,7.1928,2918,0
20140206,7.2031,7.2031,7.2031,7.2031,11193,0
20140207,7.2954,7.2954,7.2954,7.2954,2432,0
20140210,7.3366,7.6038,7.3366,7.6038,26130,0
20140211,7.7068,7.8094,7.6038,7.8094,20437,0
20140212,8.0158,8.0158,7.419,7.419,3860,0
20140218,7.6306,7.9636,7.6306,7.9636,9147,0
20140220,7.9636,7.9636,7.9636,7.9636,487,0
20140224,7.9636,7.9636,7.5012,7.5012,9894,0
20140225,7.2135,7.6038,7.2135,7.6038,50721,0
20140227,8.0158,8.0158,8.0158,8.0158,487,0
20140228,8.0158,8.7342,8.0158,8.7342,35570,0
20140305,9.248,9.248,9.248,9.248,645,0
20140306,8.6307,8.7177,8.6307,8.7177,9342,0
20140307,9.248,9.248,9.248,9.248,10595,0
20140310,9.0541,9.659,8.9597,9.0417,4634,0
20140312,9.0417,9.0417,9.0417,9.0417,240,0
20140313,9.0417,9.0417,8.5403,8.8328,5594,0
20140314,8.8328,8.8328,8.8328,8.8328,240,0
20140321,8.7923,8.7923,8.7923,8.7923,551,0
20140324,8.6141,8.6141,8.6099,8.6099,974,0
20140326,8.5289,8.5289,8.5289,8.5289,1096,0
20140328,8.5072,8.5072,8.3845,8.3845,878,0
20140331,8.4061,8.5289,8.4061,8.5289,2545,0
20140401,8.4061,8.4061,8.3845,8.3845,1096,0
20140403,8.3845,8.3845,8.3845,8.3845,1216,0
20140404,8.5289,8.5289,8.5289,8.5289,240,0
20140407,8.3845,8.3845,8.3026,8.3026,12164,0
20140408,8.4261,8.4261,8.2611,8.2817,19686,0
20140409,8.3233,8.3233,8.3026,8.3026,5975,0
20140414,8.4261,8.6307,8.4261,8.6307,1475,0
20140416,8.7342,8.8378,8.7342,8.7342,2918,0
20140417,8.6307,8.6307,8.6307,8.6307,2432,0
20140421,8.4261,8.6266,8.3233,8.5289,9439,0
20140422,8.4261,8.4261,8.4261,8.4261,12894,0
20140424,8.3845,8.5239,8.3439,8.4145,22078,0
20140425,8.4261,8.4261,8.4178,8.4178,15886,0
20140428,8.4261,8.4261,8.3439,8.4061,40700,0
20140429,8.3845,8.3928,8.3845,8.3845,7664,0
20140430,8.3811,8.3811,8.3481,8.3481,1907,0
20140501,8.3648,8.373,8.3648,8.3648,18137,0
20140502,8.373,8.3845,8.3648,8.3648,10121,0
20140505,8.3648,8.3779,8.3648,8.3779,15813,0
20140506,8.3648,8.3689,8.3648,8.3648,28579,0
20140507,8.3689,8.4675,8.3689,8.3845,2753,0
20140508,8.4261,8.4261,8.4261,8.4261,1216,0
20140509,8.4261,8.8378,8.3845,8.8378,15086,0
20140512,8.6307,8.6307,8.6307,8.6307,729,0
20140514,8.5289,8.5289,8.3109,8.4342,22431,0
20140515,8.3233,8.3233,8.3233,8.3233,240,0
20140520,8.3233,8.3648,8.3026,8.3026,4380,0
20140522,8.3233,8.4261,8.3233,8.4261,7538,0
20140528,8.4342,8.4342,8.2196,8.2196,3262,0
20140529,8.1177,8.2196,8.1177,8.2196,7785,0
20140602,8.3233,8.3233,8.3233,8.3233,240,0
20140603,8.1418,8.1418,8.1177,8.1177,2785,0
20140605,8.2196,8.2196,8.2196,8.2196,1216,0
20140606,8.2196,8.2196,8.1584,8.1584,5594,0
20140609,8.2196,8.2196,8.2196,8.2196,2432,0
20140610,8.2196,8.2196,8.2196,8.2196,8516,0
20140611,8.2196,8.2196,8.2196,8.2196,487,0
20140612,8.2196,8.2196,8.2196,8.2196,814,0
20140613,8.199,8.199,8.1385,8.1385,563,0
20140617,8.1625,8.2196,8.1584,8.2196,21594,0
20140618,8.2196,8.2196,8.2196,8.2196,1168,0
20140619,8.1584,8.2196,8.1584,8.2196,1461,0
20140620,8.179,8.2196,8.179,8.2196,5109,0
20140623,8.2196,8.2196,8.2196,8.2196,2432,0
20140624,8.2196,8.2196,8.179,8.2196,9152,0
20140630,8.1584,8.1584,7.9745,8.1301,18169,0
20140701,8.1584,8.2653,8.1584,8.2653,3965,0
20140703,9.4529,9.4529,9.0417,9.0417,487,0
20140707,9.4444,10.198,9.1743,9.963,13574,0
20140708,9.4064,9.4064,9.4064,9.4064,827,0
20140709,9.691,9.947,9.659,9.778,3893,0
20140710,9.928,10.193,9.867,10.193,1729,0
20140711,10.215,10.215,10.215,10.215,4702,0
20140714,8.8378,9.2687,8.5594,9.1867,19065,0
20140715,9.1867,9.1867,9.1867,9.1867,1301,0
20140716,9.525,9.525,8.9878,9.0011,12198,0
20140718,9.2406,9.3707,9.2406,9.2936,9974,0
20140721,9.2687,9.963,9.2687,9.2687,18027,0
20140723,9.2886,9.2886,9.2886,9.2886,729,0
20140724,9.3219,9.4129,9.2886,9.2886,6227,0
20140725,9.2886,9.2886,9.2804,9.2886,2530,0
20140728,10.276,10.276,10.057,10.057,1862,0
20140730,9.0832,9.0832,9.0832,9.0832,1956,0
20140804,9.3433,9.638,9.3433,9.4529,2713,0
20140805,9.4529,9.701,9.4529,9.4529,6327,0
20140811,9.659,10.679,9.659,9.807,22020,0
20140812,10.276,10.276,10.276,10.276,2677,0
20140813,10.671,10.685,10.301,10.301,1475,0
20140814,10.382,10.391,10.273,10.378,6498,0
20140815,10.648,10.648,10.48,10.48,3893,0
20140818,10.493,10.493,10.061,10.07,8986,0
20140820,10.276,10.276,10.125,10.125,8151,0
20140821,10.268,10.276,10.173,10.173,2396,0
20140822,10.193,10.193,10.193,10.193,240,0
20140825,10.398,10.48,10.276,10.48,3295,0
20140826,10.301,10.301,10.281,10.281,1050,0
20140828,10.276,10.378,10.276,10.378,5354,0
20140829,10.281,10.281,10.281,10.281,1216,0
20140902,10.378,10.378,10.378,10.378,491,0
20140903,10.317,10.378,10.293,10.378,8312,0
20140904,10.295,10.378,10.295,10.378,4464,0
20140905,10.378,10.688,10.31,10.402,24899,0
20140908,10.688,10.688,10.33,10.688,8015,0
20140909,10.674,10.688,10.674,10.688,2116,0
20140910,10.688,10.891,10.534,10.688,22962,0
20140911,10.789,10.842,10.712,10.842,7301,0
20140912,10.891,10.891,10.831,10.871,1430,0
20140915,10.912,11.016,10.912,11.016,6452,0
20140916,11.057,11.078,10.72,10.72,1108,0
20140917,11.119,11.938,11.119,11.324,8441,0
20140918,11.428,11.633,11.241,11.448,4856,0
20140919,11.428,11.432,10.504,10.504,14320,0
20140922,11.921,11.921,10.534,10.912,7721,0
20140923,11.142,11.185,10.814,10.83,2185,0
20140924,10.575,11.782,10.575,11.694,3459,0
20140926,11.609,11.609,11.609,11.609,367,0
20140929,10.912,11.119,10.912,11.119,2913,0
20140930,11.099,11.111,10.953,10.953,1237,0
20141002,11.053,11.053,10.521,10.521,3469,0
20141007,10.5,10.521,10.5,10.5,3158,0
20141009,10.83,11.119,10.728,11.119,6560,0
20141010,11.119,11.119,10.72,10.72,788,0
20141017,10.679,10.679,10.679,10.679,1369,0
20141020,11.099,11.099,11.099,11.099,487,0
20141021,10.628,11.119,10.584,10.584,6582,0
20141022,10.439,10.439,10.439,10.439,10198,0
20141024,10.799,10.799,10.712,10.712,1627,0
20141028,10.834,10.834,10.834,10.834,329,0
20141029,11.016,11.119,10.999,11.119,5472,0
20141030,11.119,11.119,11.116,11.119,3013,0
20141031,11.099,11.222,11.099,11.222,5039,0
20141106,11.222,11.222,11.222,11.222,325,0
20141107,11.119,11.139,11.111,11.113,4380,0
20141111,11.222,11.222,11.222,11.222,525,0
20141113,10.953,11.119,10.912,11.074,11752,0
20141114,11.222,11.222,11.222,11.222,2626,0
20141117,12.394,17.271,12.065,12.065,21872,0
20141118,12.19,12.519,11.975,12.365,5553,0
20141119,12.889,12.889,12.353,12.362,10742,0
20141120,11.802,11.802,11.802,11.802,1368,0
20141121,12.353,12.353,11.802,11.802,1791,0
20141124,11.563,11.942,11.563,11.942,727,0
20141125,11.629,11.629,11.629,11.629,120,0
20141126,11.802,12.345,11.802,12.345,1093,0
20141201,11.826,11.851,11.629,11.851,5939,0
20141202,11.942,11.942,11.736,11.942,2822,0
20141204,11.777,11.814,11.777,11.814,727,0
20141208,11.942,11.942,11.736,11.736,1890,0
20141209,11.901,11.901,11.613,11.694,5093,0
20141210,11.86,11.86,11.736,11.736,1700,0
20141211,11.86,11.86,11.86,11.86,428,0
20141215,11.777,11.777,11.324,11.331,1097,0
20141216,10.714,11.835,10.706,10.978,7089,0
20141217,11.06,11.06,11.06,11.06,339,0
20141218,11.589,11.589,10.706,11.589,240,0
20141219,10.731,11.556,10.731,11.308,1834,0
20141222,11.547,11.547,11.319,11.547,1032,0
20141223,11.472,11.472,11.472,11.472,423,0
20141226,11.39,11.556,11.39,11.556,5963,0
20141229,11.679,11.679,11.561,11.589,1724,0
20141230,11.573,11.969,11.573,11.762,1328,0
