Date,Open,High,Low,Close,Volume,OpenInt
20050225,21.387,21.396,21.17,21.216,3964,0
20050228,20.663,22.014,20.663,21.27,7821,0
20050301,20.935,20.935,20.925,20.925,553,0
20050302,21.078,21.087,21.078,21.087,442,0
20050303,21.679,21.679,20.778,21.532,4408,0
20050304,21.051,21.56,20.962,21.224,2754,0
20050307,21.016,21.224,20.979,20.979,4991,0
20050308,21.279,21.279,20.698,20.88,6908,0
20050309,20.698,20.75,20.698,20.698,717,0
20050310,20.788,20.925,20.788,20.833,1099,0
20050314,20.925,21.069,20.75,20.861,2754,0
20050315,20.424,21.016,20.424,20.741,6663,0
20050316,20.608,20.925,20.424,20.599,5665,0
20050317,20.516,20.698,20.516,20.698,1325,0
20050318,21.207,21.207,21.207,21.207,222,0
20050322,21.197,21.197,21.044,21.044,1185,0
20050323,20.424,20.698,20.424,20.698,1185,0
20050328,20.424,20.424,20.424,20.424,1210,0
20050331,20.197,20.337,20.197,20.337,421,0
20050401,21.097,21.097,21.097,21.097,442,0
20050404,21.161,21.188,21.161,21.188,331,0
20050405,21.37,21.37,20.244,21.17,3069,0
20050406,20.608,20.608,20.282,20.282,1156,0
20050408,20.197,20.424,20.197,20.424,4738,0
20050412,20.263,20.337,20.244,20.244,2355,0
20050413,20.244,20.562,20.244,20.562,2430,0
20050415,20.244,21.56,20.244,21.325,6440,0
20050418,21.325,21.869,20.424,20.788,31510,0
20050420,20.715,20.778,20.415,20.706,4408,0
20050422,21.105,21.105,20.197,20.197,2867,0
20050425,20.389,20.389,20.179,20.179,1432,0
20050426,20.161,20.29,20.161,20.263,658,0
20050427,20.38,20.654,20.38,20.424,553,0
20050429,19.982,20.38,19.982,20.197,991,0
20050503,20.009,20.009,18.227,18.855,5730,0
20050504,18.655,18.682,18.564,18.564,658,0
20050505,18.663,18.682,18.564,18.564,908,0
20050509,18.882,18.9,18.882,18.9,246,0
20050510,18.972,19.345,18.972,19.345,658,0
20050511,19.972,20.282,19.935,20.282,5665,0
20050513,20.272,20.272,20.272,20.272,109,0
20050518,19.972,19.972,19.972,19.972,222,0
20050524,19.646,19.646,19.235,19.235,717,0
20050526,19.254,19.254,19.254,19.254,164,0
20050527,19.153,19.218,19.153,19.218,356,0
20050602,19.245,19.245,19.153,19.245,6047,0
20050603,19.153,19.153,19.064,19.064,1653,0
20050606,18.972,18.972,18.972,18.972,442,0
20050607,18.972,18.972,18.972,18.972,109,0
20050608,18.972,18.972,18.972,18.972,331,0
20050609,18.792,18.792,18.792,18.792,222,0
20050610,18.972,19.064,18.972,19.064,744,0
20050614,18.937,18.937,18.611,18.647,5510,0
20050615,19.354,19.354,19.354,19.354,109,0
20050621,18.4,18.4,18.382,18.382,222,0
20050623,18.602,18.611,18.602,18.611,3303,0
20050627,18.382,18.382,18.282,18.282,1241,0
20050629,18.273,18.273,18.273,18.273,2754,0
20050630,17.702,18.156,16.477,18.156,9845,0
20050701,17.656,17.656,16.524,17.248,1541,0
20050705,17.366,17.458,17.311,17.311,5293,0
20050706,17.292,17.292,17.292,17.292,298,0
20050707,16.712,16.795,16.695,16.795,442,0
20050708,17.665,17.665,17.328,17.477,16092,0
20050711,16.54,17.177,16.54,16.93,3626,0
20050712,17.02,17.02,17.02,17.02,222,0
20050713,17.248,17.248,17.248,17.248,331,0
20050714,16.93,17.328,14.987,16.331,10471,0
20050715,16.067,16.067,16.067,16.067,553,0
20050718,16.077,16.64,16.077,16.64,6278,0
20050719,16.777,16.777,16.367,16.576,2641,0
20050720,16.576,16.621,16.566,16.612,1997,0
20050721,16.786,16.786,16.786,16.786,1099,0
20050725,15.94,16.676,15.94,16.676,2550,0
20050726,17.122,17.122,17.122,17.122,117,0
20050727,17.683,17.692,16.404,17.158,1435,0
20050728,17.628,17.628,17.075,17.375,938,0
20050729,17.122,17.384,17.122,17.384,442,0
20050801,16.975,16.975,16.975,16.975,222,0
20050802,16.841,17.02,16.841,17.02,297,0
