Date,Open,High,Low,Close,Volume,OpenInt
20050302,13.333,14.002,13.333,14.002,2701,0
20050304,14.534,15.029,14.515,15.029,7769,0
20050307,15.029,15.176,14.937,15.129,8653,0
20050309,15.176,15.176,14.882,14.882,810,0
20050314,14.819,14.819,14.819,14.819,1352,0
20050315,14.809,14.828,14.809,14.828,3511,0
20050316,14.91,14.91,14.9,14.9,1497,0
20050322,14.441,14.441,14.286,14.286,2025,0
20050323,14.104,14.992,14.104,14.625,10348,0
20050329,14.351,14.351,14.351,14.351,269,0
20050330,14.259,14.441,14.259,14.441,5133,0
20050331,14.259,14.259,14.259,14.259,810,0
20050404,14.441,14.441,14.441,14.441,1352,0
20050407,14.441,14.441,14.441,14.441,1352,0
20050412,14.534,15.102,14.515,15.029,7023,0
20050413,14.763,14.763,14.754,14.754,537,0
20050414,14.441,14.441,14.441,14.441,436,0
20050415,14.388,14.388,14.37,14.37,2703,0
20050418,14.534,15.626,14.441,15.551,11615,0
20050420,15.331,15.331,14.891,14.891,2161,0
20050426,14.441,14.479,14.441,14.441,2691,0
20050428,14.066,14.066,14.066,14.066,424,0
20050429,14.066,14.066,14.066,14.066,537,0
20050505,14.351,14.351,14.351,14.351,286,0
20050510,14.625,14.625,14.625,14.625,537,0
20050511,14.708,14.718,14.708,14.718,2433,0
20050512,14.699,14.699,14.59,14.59,906,0
20050513,14.79,14.79,14.441,14.441,4003,0
20050517,13.894,13.894,13.894,13.894,1247,0
20050519,13.885,14.259,13.885,14.259,1078,0
20050520,14.259,14.9,14.259,14.9,1622,0
20050525,14.9,15.084,14.9,15.084,1622,0
20050526,15.084,15.277,14.562,14.562,7596,0
20050527,14.553,14.772,14.441,14.772,6779,0
20050531,14.809,14.809,14.809,14.809,667,0
20050601,14.809,14.809,14.809,14.809,537,0
20050608,14.718,14.718,14.718,14.718,1356,0
20050610,15.551,15.551,15.533,15.551,5026,0
20050615,14.891,14.891,14.718,14.718,2703,0
20050616,14.718,15.184,14.708,15.184,4586,0
20050617,14.599,14.599,14.599,14.599,269,0
20050620,15.157,15.157,15.157,15.157,488,0
20050621,15.478,15.478,15.413,15.413,1078,0
20050622,15.478,15.487,15.478,15.487,2161,0
20050623,15.449,15.449,15.048,15.048,1861,0
20050624,15.543,15.543,15.543,15.543,269,0
20050627,15.551,15.917,15.551,15.917,2552,0
20050628,15.917,15.917,15.917,15.917,269,0
20050629,15.898,15.917,15.898,15.917,1216,0
20050701,15.651,15.651,15.626,15.626,537,0
20050705,15.898,15.898,15.898,15.898,537,0
20050708,15.817,15.817,15.763,15.808,1524,0
20050711,15.659,15.808,15.478,15.487,1622,0
20050712,15.314,15.314,15.314,15.314,1352,0
20050715,15.239,15.551,15.239,15.551,810,0
20050718,15.184,15.449,14.735,15.449,5673,0
20050719,15.449,15.449,15.277,15.368,2334,0
20050721,15.524,16.193,15.524,15.561,3494,0
20050722,15.955,15.955,15.917,15.917,2161,0
20050725,16.001,16.001,15.368,15.368,6617,0
20050726,16.074,16.074,16.074,16.074,2386,0
20050727,15.964,16.074,15.964,16.074,2896,0
20050728,16.109,16.202,16.109,16.202,1486,0
20050729,16.248,16.66,16.248,16.45,7238,0
20050801,16.441,16.441,16.293,16.293,537,0
20050802,16.66,16.66,16.441,16.604,1622,0
20050803,16.66,16.751,16.66,16.751,2307,0
20050804,16.797,16.843,16.797,16.843,810,0
20050805,17.017,17.017,17.017,17.017,269,0
20050808,17.036,17.036,16.843,16.843,810,0
20050809,16.679,16.843,16.679,16.843,3238,0
20050811,17.036,17.036,17.017,17.036,3837,0
20050812,17.357,17.402,17.22,17.402,1622,0
20050815,17.402,17.402,17.402,17.402,269,0
20050816,17.402,17.402,17.402,17.402,2606,0
20050817,17.402,17.557,17.402,17.557,537,0
20050819,17.255,17.255,17.156,17.156,2227,0
20050823,17.678,19.619,17.678,19.619,17283,0
20050824,19.941,21.764,18.74,20.757,24243,0
20050825,20.929,21.069,20.738,20.977,3278,0
20050826,20.995,20.995,19.994,20.179,7216,0
20050829,20.179,20.179,19.765,19.765,1757,0
20050830,19.619,19.657,19.4,19.657,1078,0
20050831,19.364,20.363,19.364,20.363,3569,0
20050901,20.84,20.92,20.84,20.92,1352,0
20050902,21.397,21.397,20.738,20.738,1059,0
20050906,20.958,20.958,20.629,20.629,562,0
20050907,20.363,20.363,19.905,20.363,1891,0
20050908,20.363,20.363,20.363,20.363,1008,0
20050909,19.941,19.941,19.941,19.941,269,0
20050912,19.923,20.363,19.923,20.363,810,0
20050913,19.848,19.848,19.848,19.848,488,0
20050916,18.603,22.215,18.603,21.664,1080,0
20050919,21.664,21.664,19.574,20.271,738,0
20050920,20.144,20.144,20.144,20.144,448,0
20050921,20.49,20.49,20.051,20.051,1529,0
20050922,19.915,19.915,19.915,19.915,626,0
20050926,19.886,19.886,19.438,19.438,537,0
20050927,19.438,19.96,18.631,19.335,2883,0
20050928,18.887,18.887,18.887,18.887,355,0
20050929,17.943,18.557,17.943,18.328,3286,0
20050930,17.916,17.916,16.824,17.384,4622,0
20051003,17.384,17.384,17.22,17.22,1996,0
20051004,17.22,17.494,17.22,17.357,5152,0
20051005,17.357,17.357,16.66,16.936,4213,0
20051006,16.999,19.493,16.944,19.493,3215,0
20051007,18.199,19.335,18.199,19.335,1355,0
