Date,Open,High,Low,Close,Volume,OpenInt
20150625,12.74,13.49,12.25,13,2013600,0
20150626,13.08,13.47,12.85,13.47,112200,0
20150629,14,14,11.66,11.7,46400,0
20150630,11.51,12.21,11.51,12.21,33835,0
20150701,11.96,13.6,11.79,13.2,102300,0
20150702,12.73,14.34,12.22,12.4,107100,0
20150706,13.49,16.96,12.61,13.64,225300,0
20150707,13.9,14.72,13.02,13.42,51300,0
20150708,13.24,13.99,12.51,13,36000,0
20150709,13.28,13.38,12.3,12.55,35000,0
20150710,12.67,14.57,12.67,14.38,99000,0
20150713,14.95,14.95,12.5,12.95,47200,0
20150714,12.77,14.12,12.77,13.97,26716,0
20150715,14.23,14.23,13.14,13.37,29682,0
20150716,13.2,13.6,13.02,13.3,33200,0
20150717,13.42,14.2,13.24,14.05,49500,0
20150720,14.3,14.79,13.21,13.76,130500,0
20150721,14.01,14.32,13.87,14,239400,0
20150722,14,14.41,13.9,14.14,86400,0
20150723,14.4,14.64,14.28,14.5,93700,0
20150724,14.6,14.75,13.9,13.9,64500,0
20150727,13.9,13.92,12,12,173600,0
20150728,12,13.74,12,13.09,79300,0
20150729,12.52,13.59,12.52,13.5,30300,0
20150730,13.34,14.09,13,13.96,33100,0
20150731,13.83,14.1,13,13,65000,0
20150803,13,13.23,12.26,12.41,31611,0
20150804,13.21,13.4,12.51,13.05,57800,0
20150805,13.23,13.55,12.65,13.27,60300,0
20150806,13.68,13.68,12.76,12.87,38061,0
20150807,13,13.26,12.45,12.66,37000,0
20150810,12.85,13,12.51,12.84,53900,0
20150811,13,13,12.2,12.23,13890,0
20150812,12.38,12.39,10.9,11.42,44800,0
20150813,11.45,12.49,11.45,11.99,27700,0
20150814,12.48,12.51,11.4,11.99,29200,0
20150817,11.5,12.38,11,12.07,51300,0
20150818,11.9,12.36,11.58,11.89,59300,0
20150819,11.79,12.3,11.74,11.94,61300,0
20150820,12.35,12.35,11.34,11.87,33800,0
20150821,11.87,12.07,11.08,11.26,129400,0
20150824,10.52,11.17,10.05,11.17,37543,0
20150825,11.47,11.77,10.96,11.05,9400,0
20150826,11.1,11.75,10.75,11.13,28800,0
20150827,11.16,12,11.1,11.93,33000,0
20150828,12.05,12.6,11.94,12.29,22900,0
20150831,12.1,12.39,11.02,11.39,26500,0
20150901,11.87,11.87,10.36,10.68,24700,0
20150902,10.8,12.15,10.8,11.98,42400,0
20150903,12.05,12.26,11.13,11.5,31500,0
20150904,11.25,11.99,10.96,11.19,21200,0
20150908,11.3,11.6,10.7,10.81,50200,0
20150909,11.21,11.9,10.63,11.9,46800,0
20150910,11.84,11.84,10.83,11.04,39454,0
20150911,11.1,11.15,10.44,10.62,19000,0
20150914,10.86,11.35,10.08,10.85,62900,0
20150915,11.25,11.3,10.87,11.09,22000,0
20150916,10.91,11.11,10.56,10.87,34800,0
20150917,10.99,11.21,10.89,11.11,30800,0
20150918,11.03,11.45,9.44,9.44,185500,0
20150921,9.77,10.08,9.21,9.78,86400,0
20150922,9.35,9.83,9.13,9.71,58000,0
20150923,9.8,9.98,9.39,9.59,30500,0
20150924,9.5,9.94,8.97,9.49,36173,0
20150925,9.29,9.29,7.5,7.9,75800,0
20150928,7.92,8.13,7.31,7.6,33837,0
20150929,9,9,7.51,7.71,78600,0
20150930,7.72,8.74,7.7,8.09,518700,0
20151001,8.08,8.08,6.87,7.24,47400,0
