Date,Open,High,Low,Close,Volume,OpenInt
20140702,22.618,22.663,22.564,22.645,34154,0
20140703,22.555,22.618,22.529,22.618,117401,0
20140707,22.627,22.755,22.627,22.691,168634,0
20140708,22.691,22.726,22.663,22.691,115745,0
20140709,22.691,22.781,22.681,22.781,103756,0
20140710,22.755,22.799,22.708,22.755,80494,0
20140711,22.755,22.789,22.755,22.789,54493,0
20140714,22.799,22.799,22.745,22.789,179729,0
20140715,22.771,22.828,22.718,22.763,125114,0
20140716,22.799,22.843,22.755,22.799,47641,0
20140717,22.781,22.871,22.736,22.781,95811,0
20140718,22.799,22.818,22.708,22.755,650863,0
20140721,22.708,22.726,22.635,22.663,23822,0
20140722,22.663,23.188,22.572,22.655,88636,0
20140723,22.663,22.755,22.618,22.663,49204,0
20140724,22.691,22.691,22.618,22.663,35021,0
20140725,22.663,23.287,22.582,22.808,78413,0
20140728,22.785,22.785,22.672,22.681,50295,0
20140729,22.771,22.906,22.645,22.663,112279,0
20140730,22.708,22.708,22.572,22.618,65784,0
20140731,22.592,22.592,22.228,22.482,52600,0
20140801,22.437,22.501,22.266,22.482,33021,0
20140804,22.482,22.482,22.211,22.472,31699,0
20140805,22.491,22.491,22.165,22.382,81219,0
20140806,22.374,22.472,22.256,22.472,17111,0
20140807,22.482,22.491,22.301,22.482,16001,0
20140808,22.482,22.482,22.423,22.472,120788,0
20140811,22.472,22.736,22.465,22.672,110852,0
20140812,22.755,22.799,22.635,22.718,91091,0
20140813,22.892,22.928,22.8,22.873,93888,0
20140814,22.883,22.883,22.8,22.864,84760,0
20140815,22.883,22.892,22.845,22.845,48529,0
20140818,23.12,23.12,22.909,22.917,39827,0
20140819,22.992,23.002,22.892,22.918,20990,0
20140820,22.957,22.957,22.892,22.928,38616,0
20140821,22.957,23.101,22.938,22.982,12462,0
20140822,23.12,23.12,22.909,22.909,11632,0
20140825,22.982,22.982,22.819,22.838,37354,0
20140826,22.854,22.938,22.854,22.873,30567,0
20140827,22.809,22.892,22.809,22.873,36629,0
20140828,22.918,22.928,22.845,22.856,34227,0
20140829,22.909,22.965,22.873,22.901,284761,0
20140902,22.892,22.901,22.681,22.79,101796,0
20140903,22.745,22.8,22.708,22.726,50320,0
20140904,22.892,22.892,22.543,22.57,53547,0
20140905,22.691,22.726,22.516,22.718,29598,0
20140908,22.79,22.79,22.553,22.607,33260,0
20140909,22.644,22.662,22.479,22.57,43138,0
20140910,22.681,22.708,22.388,22.708,24061,0
20140911,22.755,22.755,22.617,22.708,16830,0
20140912,22.681,22.681,22.343,22.626,64743,0
20140915,22.561,22.617,22.343,22.607,19287,0
20140916,22.607,22.634,22.442,22.526,22316,0
20140917,22.598,22.781,22.475,22.617,26141,0
20140918,22.708,22.79,22.59,22.658,56008,0
20140919,22.79,22.79,22.535,22.79,9139,0
20140922,22.755,22.79,22.626,22.736,36695,0
20140923,22.755,22.765,22.526,22.634,36437,0
20140924,22.708,22.764,22.58,22.654,10369,0
20140925,22.617,22.781,22.617,22.764,28232,0
20140926,22.79,22.854,22.662,22.73,25314,0
20140929,22.718,22.864,22.634,22.772,18778,0
20140930,22.819,22.819,22.662,22.809,16933,0
20141001,22.819,22.819,22.644,22.698,10719,0
20141002,22.781,22.8,22.662,22.726,10283,0
20141003,22.79,22.819,22.617,22.654,25981,0
20141006,22.698,22.755,22.598,22.619,10983,0
20141007,22.671,22.8,22.434,22.47,21740,0
20141008,22.479,22.681,22.343,22.57,22072,0
20141009,22.526,22.698,22.462,22.59,14111,0
20141010,22.57,22.634,22.343,22.535,14954,0
20141013,22.607,22.648,22.434,22.434,4645,0
20141014,22.598,22.708,22.526,22.562,21579,0
20141015,22.58,22.617,22.434,22.442,17613,0
20141016,22.607,22.617,22.514,22.526,24698,0
20141017,22.662,22.819,22.479,22.819,25647,0
20141020,22.819,23.056,22.696,22.918,20412,0
20141021,23.239,23.239,22.892,22.973,26617,0
20141022,23.075,23.092,22.845,22.918,15190,0
20141023,23.046,23.12,22.957,22.967,7039,0
20141024,23.021,23.165,22.901,23.085,13759,0
20141027,23.13,23.293,23.002,23.002,7318,0
20141028,23.12,23.165,22.973,23.021,13706,0
20141029,22.918,23.12,22.845,22.901,33333,0
20141030,22.918,23.111,22.892,22.928,3330,0
20141031,23.12,23.12,22.892,22.896,14364,0
20141103,23.066,23.12,22.947,22.947,10231,0
20141104,23.028,23.072,22.909,22.976,9929,0
20141105,22.892,23.204,22.892,22.965,17038,0
20141106,23.046,23.148,22.938,23.028,22306,0
20141107,23.175,23.175,22.918,23.101,12758,0
20141110,23.258,23.282,23.021,23.028,23960,0
20141111,23.165,23.276,23.056,23.12,12571,0
20141112,23.236,23.46,23.236,23.246,32154,0
20141113,23.29,23.616,23.275,23.592,46244,0
20141114,23.348,23.376,23.236,23.33,22582,0
20141117,23.246,23.366,23.2,23.32,20718,0
20141118,23.211,23.32,23.204,23.32,17692,0
20141119,23.376,23.414,23.311,23.33,17646,0
20141120,23.283,23.376,23.19,23.291,22126,0
20141121,23.265,23.33,23.236,23.32,10867,0
20141124,23.236,23.356,23.19,23.311,7947,0
20141125,23.32,23.32,23.266,23.283,14682,0
20141126,23.851,23.861,23.33,23.516,15131,0
20141128,23.626,23.626,23.33,23.475,3246,0
20141201,23.551,23.571,23.33,23.33,12724,0
20141202,23.543,23.681,23.376,23.551,19194,0
20141203,23.608,23.608,23.386,23.431,13248,0
20141204,23.431,23.646,23.283,23.283,12666,0
20141205,23.581,23.581,23.283,23.376,3010,0
20141208,23.516,23.516,23.439,23.47,2908,0
20141209,23.34,23.47,23.301,23.376,19035,0
20141210,23.47,23.516,23.352,23.395,6410,0
20141211,23.413,23.413,23.34,23.366,7077,0
20141212,23.32,23.551,23.32,23.348,13468,0
20141215,23.32,23.47,23.291,23.311,2616,0
20141216,23.283,23.33,23.246,23.246,16997,0
20141217,23.255,23.31,23.255,23.276,2459,0
20141218,23.421,23.47,23.34,23.421,3227,0
20141219,23.506,23.506,23.144,23.227,15122,0
20141222,23.376,23.421,23.283,23.301,7210,0
20141223,23.386,23.421,23.2,23.291,18599,0
20141224,23.301,23.516,23.236,23.236,10007,0
20141226,23.34,23.386,23.301,23.33,4028,0
20141229,23.516,23.841,23.386,23.626,12011,0
20141230,23.581,23.626,23.535,23.626,5054,0
20141231,23.486,23.665,23.46,23.616,14927,0
20150102,23.608,23.608,23.561,23.589,4619,0
20150105,23.47,23.516,23.46,23.47,8303,0
20150106,23.608,23.608,23.421,23.571,12096,0
20150107,23.608,25.923,23.608,24.482,13940,0
20150108,23.821,24.314,23.626,23.795,17859,0
20150109,23.776,23.776,23.451,23.6,13323,0
20150112,23.6,23.6,23.408,23.561,7343,0
20150113,23.636,23.673,23.516,23.646,42062,0
20150114,23.561,23.925,23.478,23.591,9948,0
20150115,23.526,23.6,23.469,23.478,13865,0
20150116,23.804,23.876,23.535,23.804,10370,0
20150120,23.878,23.896,23.421,23.561,28762,0
20150121,23.608,23.608,23.451,23.526,85553,0
20150122,23.608,23.886,23.47,23.561,119821,0
20150123,23.571,23.701,23.486,23.626,34500,0
20150126,23.681,23.681,23.496,23.543,18903,0
20150127,23.691,23.756,23.561,23.58,31711,0
20150128,23.796,23.796,23.6,23.656,79197,0
20150129,23.786,23.829,23.496,23.731,167235,0
20150130,23.73,23.821,23.582,23.776,11377,0
20150202,23.841,23.85,23.608,23.845,5646,0
20150203,23.916,24.139,23.785,23.805,17402,0
20150204,24.009,24.119,23.738,23.776,13487,0
20150205,24.036,24.036,23.543,23.666,34212,0
20150206,23.682,23.711,23.571,23.673,20068,0
20150209,23.721,23.746,23.685,23.746,1096,0
20150210,23.746,23.746,23.571,23.701,9099,0
20150211,23.818,24.016,23.818,24.016,83844,0
20150212,24.009,24.102,23.828,24.102,20007,0
20150213,24.016,24.046,23.899,24.016,9571,0
20150217,24.055,24.055,23.95,23.95,12069,0
20150218,24.016,24.036,23.828,23.97,22279,0
20150219,23.96,23.96,23.818,23.95,11737,0
20150220,23.999,24.055,23.858,24.009,28044,0
20150223,24.036,24.046,23.943,24.046,13741,0
20150224,24.055,24.102,23.96,24.073,16335,0
20150225,24.055,24.102,23.914,23.95,21560,0
20150226,24.065,24.092,23.96,24.092,14589,0
20150227,24.092,24.395,23.999,24.395,62462,0
20150302,24.395,24.395,23.858,23.943,58834,0
20150303,23.858,24.036,23.818,24.016,23429,0
20150304,23.99,24.083,23.99,24.046,4771,0
20150305,24.083,24.112,24.026,24.102,11025,0
20150306,24.046,24.046,23.668,23.772,19506,0
20150309,23.858,23.98,23.706,23.716,21202,0
20150310,23.894,23.894,23.677,23.809,29894,0
20150311,23.914,23.99,23.772,23.772,39964,0
20150312,23.914,23.924,23.818,23.818,9647,0
20150313,23.894,23.894,23.818,23.828,10707,0
20150316,23.867,23.924,23.867,23.924,12402,0
20150317,23.943,23.943,23.762,23.876,20035,0
20150318,23.894,24.112,23.772,24.112,13886,0
20150319,24.055,24.092,24.046,24.055,4983,0
20150320,24.168,24.206,24.102,24.121,8586,0
20150323,24.102,24.158,23.894,24.074,12085,0
20150324,24.083,24.121,24.065,24.083,5300,0
20150325,24.14,24.224,24.009,24.112,11237,0
20150326,24.149,24.149,24.083,24.083,10495,0
20150327,24.149,24.187,24.009,24.168,8693,0
20150330,24.187,24.197,24.168,24.168,4135,0
20150331,24.158,24.385,23.999,24.244,36572,0
20150401,24.121,24.319,24.112,24.112,5619,0
20150402,24.338,24.404,24.197,24.385,12721,0
20150406,24.376,24.376,24.14,24.272,7315,0
20150407,25.329,25.329,24.224,24.347,10751,0
20150408,24.244,25.234,24.244,24.763,6784,0
20150409,24.621,24.621,24.362,24.508,5088,0
20150410,24.546,24.697,24.366,24.697,13462,0
20150413,24.546,24.649,24.461,24.565,5088,0
20150414,24.546,24.819,24.413,24.772,24699,0
20150415,24.621,24.744,24.291,24.725,10019,0
20150416,24.668,24.876,24.489,24.517,9227,0
20150417,24.291,24.791,24.281,24.791,14629,0
20150420,24.621,24.715,24.366,24.385,11332,0
20150421,24.64,24.64,24.479,24.489,2366,0
20150422,24.499,24.659,24.489,24.649,7421,0
20150423,24.64,24.81,24.64,24.668,8269,0
20150424,24.744,24.791,24.64,24.753,5088,0
20150427,24.857,24.857,24.621,24.621,3711,0
20150428,24.894,24.894,24.329,24.631,18021,0
20150429,24.612,24.612,24.413,24.413,848,0
20150430,24.565,24.565,24.329,24.546,7315,0
20150501,24.546,24.555,24.31,24.319,5936,0
20150504,24.517,24.659,24.507,24.536,10071,0
20150505,24.499,24.565,24.3,24.3,14206,0
20150506,24.291,24.291,23.706,23.716,13366,0
20150507,23.726,24.055,23.726,23.904,19759,0
20150508,24.009,24.215,24.009,24.206,21625,0
20150511,24.234,24.281,24.055,24.281,5195,0
20150512,24.075,24.281,23.999,24.215,13592,0
20150513,24.479,24.574,24.144,24.574,9193,0
20150514,24.316,24.555,24.202,24.393,35306,0
20150515,24.555,24.565,24.354,24.44,1645,0
20150518,24.536,24.536,24.269,24.402,5344,0
20150519,24.46,24.469,24.22,24.354,9400,0
20150520,24.239,24.316,24.22,24.306,13892,0
20150521,24.306,24.383,24.22,24.22,38859,0
20150522,24.269,24.269,24.162,24.259,22772,0
20150526,24.22,24.22,24.135,24.22,15220,0
20150527,24.278,24.287,24.172,24.269,16713,0
20150528,24.373,24.488,24.192,24.192,15541,0
20150529,24.363,24.363,24.211,24.211,3342,0
20150601,24.354,24.383,24.269,24.269,10655,0
20150602,24.402,24.402,24.187,24.202,4717,0
20150603,24.363,24.412,24.182,24.296,25591,0
20150604,24.182,24.393,24.182,24.269,8043,0
20150605,24.699,24.699,24.278,24.306,7313,0
20150608,24.278,24.594,24.278,24.412,4074,0
20150609,24.584,24.584,24.296,24.316,3069,0
20150610,24.402,24.402,24.22,24.229,10632,0
20150611,24.46,24.624,24.316,24.412,11494,0
20150612,24.249,24.555,24.22,24.527,1358,0
20150615,24.507,24.507,24.287,24.316,2611,0
20150616,24.249,24.498,24.182,24.22,32382,0
20150617,24.192,24.229,24.038,24.085,36769,0
20150618,24.316,24.316,24.048,24.048,11177,0
20150619,24.105,24.125,24.028,24.038,9818,0
20150622,24.115,24.373,24.01,24.202,9924,0
20150623,24.211,24.211,23.991,24.121,14433,0
20150624,24.296,24.296,23.951,23.991,17863,0
20150625,24.085,24.162,23.961,24.077,7730,0
20150626,24.095,24.202,23.934,23.951,6789,0
20150629,23.924,24.153,23.914,23.943,8357,0
20150630,24.105,24.431,24.038,24.239,8690,0
20150701,24.373,24.383,24.239,24.239,4701,0
20150702,24.373,24.383,24.363,24.373,3656,0
20150706,24.296,24.336,24.249,24.336,3447,0
20150707,24.239,24.383,24.239,24.383,4283,0
20150708,24.326,24.326,24.239,24.249,212469,0
20150709,24.584,24.584,24.239,24.259,9193,0
20150710,24.354,24.354,24.211,24.259,3656,0
20150713,24.354,24.354,24.326,24.336,2508,0
20150714,24.345,24.363,24.229,24.306,13602,0
20150715,24.3,24.498,24.282,24.345,29972,0
20150716,24.517,24.517,24.336,24.363,36038,0
20150717,24.354,24.479,24.269,24.479,34576,0
20150720,24.479,24.517,24.431,24.44,6058,0
20150721,24.517,24.555,24.326,24.421,11805,0
20150722,24.565,24.565,24.278,24.345,20161,0
20150723,24.507,24.565,24.383,24.498,23816,0
20150724,24.546,24.546,24.479,24.498,6685,0
20150727,24.507,24.507,24.211,24.345,25591,0
20150728,24.326,24.412,24.202,24.306,9506,0
20150729,24.229,24.316,24.211,24.316,8566,0
20150730,24.383,24.383,24.229,24.306,8461,0
20150731,24.354,24.354,24.296,24.296,6164,0
20150803,24.488,24.488,24.345,24.431,8518,0
20150804,24.363,24.479,24.363,24.46,6998,0
20150805,24.469,24.488,24.44,24.479,21309,0
20150806,24.488,24.488,24.306,24.306,10038,0
20150807,24.469,24.565,24.421,24.565,5223,0
20150810,24.574,24.574,24.546,24.574,18803,0
20150811,24.565,24.565,24.412,24.565,11549,0
20150812,24.774,24.793,24.677,24.764,4632,0
20150813,24.871,24.871,24.599,24.764,10499,0
20150814,24.725,24.764,24.686,24.706,14410,0
20150817,24.579,24.764,24.541,24.55,9367,0
20150818,24.443,24.696,24.443,24.618,14720,0
20150819,24.579,24.657,24.433,24.521,19763,0
20150820,24.414,24.531,24.414,24.531,30056,0
20150821,24.531,24.531,24.473,24.502,2162,0
20150824,24.288,24.638,24.288,24.327,15038,0
20150825,24.424,24.579,24.365,24.511,4014,0
20150826,24.463,24.609,24.414,24.589,3499,0
20150827,24.638,24.754,24.638,24.735,2162,0
20150828,24.754,24.929,24.638,24.677,35511,0
20150831,24.638,24.764,24.638,24.647,11940,0
20150901,24.793,24.793,24.579,24.667,4632,0
20150902,24.929,24.929,24.55,24.725,2779,0
20150903,24.609,24.793,24.579,24.686,9881,0
20150904,24.686,24.715,24.599,24.667,8132,0
20150908,24.618,24.919,24.579,24.774,25939,0
20150909,24.609,24.861,24.609,24.774,6999,0
20150910,24.939,24.939,24.589,24.822,41464,0
20150911,24.764,25.143,24.579,25.065,20277,0
20150914,25.065,25.065,24.822,24.948,9779,0
20150915,24.822,24.958,24.822,24.861,41996,0
20150916,24.686,25.007,24.531,24.958,12249,0
