Date,Open,High,Low,Close,Volume,OpenInt
20150409,6.5,6.58,5.25,5.56,1549506,0
20150410,5.62,5.84,5.03,5.29,229600,0
20150413,5.19,5.3,5.01,5.04,123300,0
20150414,5.01,5.5,5.01,5.33,53500,0
20150415,5.48,5.94,5.39,5.61,226898,0
20150416,5.74,5.88,5.38,5.39,345149,0
20150417,5.41,6.47,5.26,6.09,184400,0
20150420,6.44,7.88,5.9,7.33,344699,0
20150421,7.48,8.7699,6.86,7.4,608725,0
20150422,6.9,7.42,6.5,7.02,142813,0
20150423,7.1,7.93,7.1,7.56,189400,0
20150424,7.9,7.9,7.1,7.45,64800,0
20150427,7.67,7.67,6.55,6.85,144500,0
20150428,6.75,6.8,5.75,5.84,138400,0
20150429,5.88,6,5.03,5.2,143700,0
20150430,5,5.41,4.68,5.04,121300,0
20150501,5.06,5.49,5.06,5.42,32600,0
20150504,6.02,6.37,5.76,5.99,189800,0
20150505,6.02,6.51,5.56,5.87,297200,0
20150506,5.86,6.2024,5.35,5.55,74167,0
20150507,5.59,5.99,5.28,5.7,99788,0
20150508,5.48,6,5.48,5.96,97000,0
20150511,6,6,5.59,5.87,71000,0
20150512,5.7,6.71,5.7,6.56,226497,0
20150513,6.61,6.98,6.46,6.97,101200,0
20150514,6.93,7.28,6.74,7.24,95500,0
20150515,7.25,7.8399,7.25,7.7,209785,0
20150518,7.81,8.05,7.34,7.61,248167,0
20150519,7.65,7.81,7.01,7.16,147500,0
20150520,7.07,7.48,6.53,7.36,44800,0
20150521,7.37,7.62,7.16,7.51,47800,0
20150522,7.47,7.7,7.36,7.54,39700,0
20150526,7.52,7.6,7.156,7.5,109595,0
20150527,7.48,7.6,7.06,7.2,29000,0
20150528,7.07,7.6,7.07,7.46,16357,0
20150529,7.38,7.6,7.05,7.49,68100,0
20150601,8.1,8.14,7.41,7.5,312700,0
20150602,7.45,7.9995,7.45,7.7,50446,0
20150603,7.99,8.13,7.56,7.97,161200,0
20150604,7.95,8.58,7.75,8.46,108800,0
20150605,8.48,8.97,8.25,8.8,89800,0
20150608,9.22,9.22,8.56,9.04,140600,0
20150609,9,9.04,8.57,8.9,130939,0
20150610,8.89,9.1,8.53,8.89,268039,0
20150611,8.84,9.02,8.74,8.8,82848,0
20150612,8.73,8.9,8.67,8.79,49900,0
20150615,8.7,8.88,8.65,8.71,87500,0
20150616,8.61,8.78,8.6,8.68,75400,0
20150617,8.73,8.88,8.03,8.35,98400,0
20150618,8.33,8.81,8.05,8.55,181400,0
20150619,8.85,8.85,7.7,7.71,299000,0
20150622,7.89,8.18,7.89,8.14,90400,0
20150623,8.35,8.35,7.12,7.27,155292,0
20150624,7.16,7.34,6.76,7.13,88400,0
20150625,7.49,7.49,6.4,6.77,164500,0
20150626,6.73,7,6.45,6.97,1525900,0
20150629,6.89,7.23,6.67,7.1,102300,0
20150630,7.05,7.27,6.87,7.15,44601,0
20150701,7.37,7.37,6.72,7.08,87700,0
20150702,6.83,7.04,6.3,6.61,86600,0
20150706,6.5,7.29,6.5,7.16,82700,0
20150707,7.13,7.4,6.99,7.2,32200,0
20150708,6.56,7.38,6.35,7.08,35100,0
20150709,7.18,7.28,6.6,6.95,47800,0
20150710,7.02,7.34,6.67,7.26,49700,0
20150713,7.24,7.34,6.9,7.11,61200,0
20150714,7.06,7.31,6.82,7.3,49148,0
20150715,7.25,7.27,6.92,7.09,35030,0
20150716,6.75,7.16,6.75,7.13,71700,0
20150717,7.11,7.89,6.79,7.85,93500,0
20150720,7.83,7.85,7.15,7.23,112000,0
20150721,7.23,7.52,6.99,7.45,17700,0
20150722,7.4,7.72,7.3,7.63,19300,0
20150723,7.59,8.03,6.92,7.47,52000,0
20150724,7.52,7.56,6.87,6.89,75500,0
20150727,6.88,7.16,6.51,6.88,103700,0
20150728,6.88,7.56,6.36,7.29,64000,0
20150729,7.24,7.5,6.82,7.18,51600,0
20150730,7.12,7.51,6.66,7.02,89100,0
20150731,7.08,7.49,6.69,6.91,67700,0
20150803,6.89,7,6.66,6.91,26240,0
20150804,6.88,7.01,6.72,6.84,69500,0
20150805,6.9,7.03,6.66,6.81,68400,0
20150806,6.76,6.9,6.47,6.57,53461,0
20150807,6.54,6.65,6.42,6.55,29500,0
20150810,6.53,6.78,6.26,6.59,32700,0
20150811,6.6,6.695,6.42,6.48,34750,0
20150812,6.34,6.56,6.2,6.2,50300,0
20150813,6.38,6.72,6.22,6.25,28000,0
20150814,6.28,6.65,6.23,6.28,84900,0
20150817,6.24,6.71,6.23,6.46,36400,0
20150818,6.41,6.75,6.41,6.53,34800,0
20150819,6.47,6.78,6.23,6.7,92000,0
20150820,6.63,7.08,6.61,6.67,59400,0
20150821,6.45,6.74,6.28,6.29,52000,0
20150824,5.78,6.19,5.5,5.5,128872,0
20150825,5.77,5.77,5,5.02,54300,0
20150826,5.14,5.65,5.12,5.36,33100,0
20150827,5.4,5.52,5.01,5.09,102500,0
20150828,5.01,5.47,5.01,5.38,67800,0
20150831,5.68,5.69,5.2,5.43,17400,0
20150901,5.26,5.5,5.03,5.08,29800,0
20150902,5.14,5.14,4.67,4.78,60200,0
20150903,4.76,5.5,4.1,4.99,251500,0
20150904,4.91,5.42,4.9,5.34,69100,0
20150908,5.42,5.74,5.3,5.7,39200,0
20150909,5.73,5.73,5.12,5.25,40600,0
20150910,5.24,5.32,5.03,5.14,31923,0
20150911,5.09,5.35,5.09,5.27,43500,0
20150914,5.25,5.4,5.24,5.3,11100,0
20150915,5.31,5.38,5.01,5.06,105100,0
20150916,5.01,5.11,4.9,5,24900,0
20150917,5,5.25,5,5.06,35300,0
20150918,4.97,5.21,4.8,5.06,55300,0
20150921,5.14,5.19,4.86,4.9,73400,0
20150922,4.9,5.13,4.65,4.96,61700,0
20150923,4.97,4.97,4.77,4.86,17500,0
20150924,4.86,4.86,4.42,4.68,119062,0
20150925,4.73,4.83,4.33,4.33,100000,0
20150928,4.31,4.36,3.72,3.94,128151,0
20150929,3.93,4.11,3.61,3.72,170200,0
20150930,3.67,4,3.42,3.57,72000,0
20151001,3.55,3.58,3.28,3.47,62600,0
20151002,3.52,4.1,3.52,4.09,129400,0
20151005,4.17,4.739,4.09,4.29,92839,0
20151006,4.32,4.34,3.86,4.1,55600,0
20151007,4.1,4.34,4,4.28,72500,0
20151008,4.28,4.37,4.1,4.32,47100,0
20151009,4.51,4.51,4.1,4.12,23500,0
20151012,4.17,4.25,3.9,4.11,62801,0
20151013,4.11,4.15,3.86,3.86,29700,0
20151014,3.89,4.06,3.64,3.79,23900,0
20151015,3.73,3.96,3.68,3.95,40500,0
20151016,3.97,4.01,3.81,3.94,23700,0
20151019,3.79,4.08,3.75,3.79,14000,0
20151020,3.82,3.82,3.5,3.61,26694,0
20151021,3.65,3.65,3.45,3.46,15100,0
20151022,3.52,3.52,3.3,3.42,11600,0
20151023,3.48,3.73,3.3,3.31,39900,0
20151026,3.31,3.55,3.2,3.34,44000,0
20151027,3.27,3.4,3.21,3.3,102100,0
20151028,3.29,3.43,3.23,3.42,34400,0
20151029,3.44,3.65,3.3,3.58,106000,0
20151030,3.58,3.65,3.41,3.6,22400,0
20151102,3.6,4.08,3.6,4.01,30138,0
20151103,4,4.24,3.52,4.07,21900,0
20151104,4.1,4.65,4.1,4.57,92818,0
20151105,4.6,4.82,4.54,4.71,29300,0
20151106,4.66,4.75,4.5,4.62,24800,0
20151109,4.56,4.8,4.55,4.64,16524,0
20151110,4.67,4.67,4.17,4.22,27300,0
20151111,4.25,4.37,3.66,4.11,52800,0
20151112,4.1,4.55,3.97,3.99,64300,0
20151113,3.96,4.29,3.96,3.98,23100,0
20151116,4,4,3.78,3.85,33200,0
20151117,3.86,3.89,3.66,3.72,22300,0
20151118,3.76,3.84,3.62,3.69,23600,0
20151119,3.67,3.75,3.48,3.63,11800,0
20151120,3.66,3.8,3.52,3.55,49900,0
20151123,3.51,3.7,3.46,3.53,47500,0
20151124,3.49,3.75,3.42,3.49,48700,0
20151125,3.51,3.79,3.5,3.71,57300,0
20151127,3.73,3.85,3.71,3.81,12700,0
20151130,3.83,4.13,3.83,3.99,58600,0
20151201,4.03,4.07,3.9,4.07,29169,0
20151202,4.05,4.14,3.76,3.9,41140,0
20151203,3.98,3.98,3.63,3.63,41093,0
20151204,3.63,3.65,3.53,3.59,16200,0
20151207,3.63,3.83,3.48,3.52,43100,0
20151208,3.78,3.88,3.25,3.26,18511,0
20151209,3.23,3.35,3.23,3.27,9700,0
20151210,3.4,3.42,3.3,3.33,28600,0
20151211,3.25,3.37,3.11,3.13,37000,0
20151214,3.2,3.24,2.8,2.82,36610,0
20151215,2.9,3.29,2.8,3.24,59200,0
20151216,3.22,3.42,2.96,3.35,32700,0
20151217,3.18,3.32,3.05,3.28,34500,0
20151218,3.26,3.54,3.26,3.38,45000,0
20151221,3.39,3.51,3.29,3.39,20700,0
20151222,3.35,3.43,3.255,3.34,44671,0
20151223,3.42,3.58,3.34,3.46,84000,0
20151224,3.47,3.64,3.39,3.59,19395,0
20151228,3.63,3.89,3.6,3.6,50699,0
20151229,3.64,3.72,3.49,3.66,31117,0
20151230,3.67,3.84,3.58,3.78,24404,0
20151231,3.77,3.79,3.62,3.62,47056,0
20160104,3.59,3.65,3.23,3.33,54983,0
20160105,3.32,3.3699,3.275,3.34,46778,0
20160106,3.28,3.33,3.23,3.26,27401,0
20160107,3.12,3.22,3.05,3.09,32238,0
20160108,3.12,3.15,2.9,2.94,81460,0
20160111,2.95,2.95,2.16,2.41,72494,0
20160112,2.41,2.41,2.12,2.15,56276,0
20160113,2.15,2.24,2,2.08,34889,0
20160114,2.08,2.48,2.01,2.46,65015,0
20160115,2.41,2.54,2.02,2.54,60461,0
20160119,2.57,2.81,2.37,2.53,143800,0
20160120,2.48,2.54,2.24,2.51,44740,0
20160121,2.57,2.73,2.53,2.55,52505,0
20160122,2.59,2.68,2.43,2.58,195090,0
20160125,2.55,2.6,2.48,2.55,50100,0
20160126,2.56,2.59,2.48,2.49,26803,0
20160127,2.48,2.66,2.45,2.49,17755,0
20160128,2.5,2.53,2.2,2.22,25979,0
20160129,2.26,2.42,2.2599,2.42,18940,0
20160201,2.42,2.48,2.36,2.47,13073,0
20160202,1.17,1.28,0.651,0.66,2683994,0
20160203,0.72,0.75,0.6612,0.69,913862,0
20160204,0.69,0.71,0.6205,0.6401,510490,0
20160205,0.64,0.69,0.6,0.6,539435,0
20160208,0.6,0.6301,0.56,0.5968,326622,0
20160209,0.57,0.5999,0.53,0.54,180279,0
20160210,0.53,0.57,0.53,0.55,170131,0
20160211,0.55,0.5672,0.5254,0.5302,129129,0
20160212,0.54,0.54,0.52,0.537,149038,0
20160216,0.537,0.5759,0.52,0.5696,127880,0
20160217,0.5779,0.64,0.5584,0.6076,266201,0
20160218,0.6077,0.6699,0.6001,0.6247,144756,0
20160219,0.6371,0.6371,0.57,0.5774,214695,0
20160222,0.5774,0.6237,0.564,0.5801,103548,0
20160223,0.58,0.6,0.565,0.5725,135973,0
20160224,0.57,0.5999,0.56,0.5944,45792,0
20160225,0.598,0.599,0.57,0.5973,87520,0
20160226,0.5973,0.599,0.5701,0.5987,47464,0
20160229,0.5987,0.6259,0.572,0.613,145391,0
20160301,0.6284,0.635,0.5721,0.6,161614,0
20160302,0.588,0.6101,0.575,0.6101,134450,0
20160303,0.6097,0.6324,0.5956,0.62,417205,0
20160304,0.625,0.6668,0.625,0.65,443119,0
20160307,0.66,0.7214,0.654,0.7163,628580,0
20160308,0.72,0.72,0.68,0.68,222287,0
20160309,0.69,0.69,0.67,0.671,338629,0
20160310,0.654,0.6893,0.654,0.675,427776,0
20160311,0.68,0.6899,0.65,0.68,259801,0
20160314,0.69,0.7429,0.68,0.7378,755948,0
20160315,0.73,0.748,0.6851,0.71,638037,0
20160316,0.7117,0.755,0.654,0.708,1033612,0
20160317,0.699,0.6999,0.62,0.6599,285549,0
20160318,0.68,0.7079,0.66,0.6994,331568,0
20160321,0.7039,0.7039,0.6599,0.664,423223,0
20160322,0.646,0.675,0.6201,0.6601,467662,0
20160323,0.637,0.68,0.62,0.6204,180482,0
20160324,0.62,0.62,0.55,0.5999,505966,0
20160328,0.6,0.62,0.5901,0.6192,115260,0
20160329,0.6006,0.6006,0.556,0.6,125244,0
20160330,0.6,0.6,0.57,0.6,44900,0
20160331,0.6,0.6438,0.5901,0.6433,286034,0
20160401,0.64,0.646,0.6215,0.637,95802,0
20160404,0.64,0.672,0.6205,0.64,299817,0
20160405,0.62,0.6599,0.62,0.645,106599,0
20160406,0.64,0.6596,0.6226,0.6596,231380,0
20160407,0.65,0.6597,0.6226,0.6296,101358,0
20160408,0.63,0.6597,0.62,0.6201,40891,0
20160411,0.623,0.6549,0.6161,0.6232,35648,0
20160412,0.62,0.6296,0.6026,0.6098,70649,0
20160413,0.61,0.62,0.6006,0.6188,71671,0
20160414,0.61,0.657,0.61,0.6421,376552,0
20160415,0.684,0.7299,0.6301,0.6351,2029357,0
