Date,Open,High,Low,Close,Volume,OpenInt
20110617,12.028,12.028,11.658,11.682,109123,0
20110620,11.676,11.676,11.241,11.348,88586,0
20110621,11.463,11.47,11.241,11.323,71026,0
20110622,11.211,11.632,11.211,11.393,85623,0
20110623,11.594,11.594,11.179,11.261,138595,0
20110624,11.456,11.456,11.022,11.174,67606,0
20110627,11.317,11.463,11.204,11.305,41385,0
20110628,11.803,11.803,11.305,11.463,34566,0
20110629,11.216,11.803,11.216,11.776,67958,0
20110630,11.807,12.112,11.617,11.762,30418,0
20110701,11.922,12.091,11.702,11.972,29744,0
20110705,12.111,12.111,11.853,12.01,16714,0
20110706,12.004,12.073,11.791,12.06,16886,0
20110707,12.111,12.111,11.965,12.078,20236,0
20110708,11.928,12.111,11.853,12.091,24123,0
20110711,11.972,12.055,11.972,11.972,9185,0
20110712,11.972,11.979,11.853,11.902,28638,0
20110713,11.996,11.996,11.614,11.796,39619,0
20110714,11.676,11.873,11.614,11.676,14650,0
20110715,11.474,11.619,11.336,11.619,14816,0
20110718,11.581,11.645,11.179,11.443,76837,0
20110719,11.652,12.111,11.525,12.111,53698,0
20110720,12.161,12.172,11.594,12.172,42470,0
20110721,12.199,12.211,11.979,12.118,30098,0
20110722,12.211,12.211,11.911,12.028,13094,0
20110725,11.965,12.211,11.702,12.111,13469,0
20110726,12.161,12.211,11.928,12.086,32072,0
20110727,11.827,12.122,11.809,11.965,26856,0
20110728,11.796,12.186,11.784,12.047,22386,0
20110729,11.966,12.043,11.87,11.909,10072,0
20110801,11.965,11.984,11.902,11.984,6559,0
20110802,12.211,12.211,11.538,11.601,16306,0
20110803,11.525,11.745,11.398,11.745,17753,0
20110804,11.179,11.556,11.179,11.348,47676,0
20110805,11.096,11.241,10.045,10.353,65308,0
20110808,10.039,11.254,9.177,9.812,37617,0
20110809,9.958,11.902,9.951,11.556,33466,0
20110810,11.336,11.336,10.48,10.549,15484,0
20110811,10.832,11.267,10.706,10.826,18011,0
20110812,10.984,11.115,10.473,10.706,17925,0
20110815,10.392,10.643,9.92,10.265,43105,0
20110816,9.8,10.221,9.0999,9.624,85732,0
20110817,9.667,10.467,9.667,9.825,67874,0
20110818,9.825,10.039,9.3848,9.958,27799,0
20110819,10.196,10.485,9.4516,9.604,24851,0
20110822,10.234,10.234,9.3199,9.334,47703,0
20110823,10.066,10.164,9.2579,9.4403,73503,0
20110824,9.749,10.826,9.2898,10.127,34970,0
20110825,9.781,10.045,9.781,9.819,2859,0
20110826,9.446,9.763,9.3905,9.542,51674,0
20110829,10.045,10.045,9.573,9.755,19482,0
20110830,9.516,9.825,9.516,9.691,10798,0
20110831,9.825,10.064,9.767,9.767,19375,0
