Date,Open,High,Low,Close,Volume,OpenInt
20050225,14.249,14.427,11.221,11.578,10077,0
20050228,11.754,12.468,11.578,11.578,21892,0
20050301,11.754,12.29,11.4,12.112,3470,0
20050302,11.931,12.112,11.4,11.4,3536,0
20050303,11.4,11.4,11.221,11.221,1746,0
20050304,11.043,11.4,11.043,11.043,1636,0
20050307,11.043,12.468,9.672,9.796,10757,0
20050308,9.0838,12.112,9.0838,11.931,8979,0
20050309,11.043,12.825,10.687,11.4,8702,0
20050310,11.578,12.825,11.247,11.578,3326,0
20050311,11.578,12.112,11.578,11.578,2548,0
20050314,11.931,12.112,10.864,11.043,2343,0
20050315,11.4,11.931,10.508,10.687,8955,0
20050316,10.33,10.687,9.796,10.33,8658,0
20050317,9.973,10.687,9.617,9.617,3408,0
20050318,9.973,11.221,9.973,11.221,3046,0
20050321,11.578,12.468,11.221,11.221,2048,0
20050322,11.578,11.578,11.043,11.578,330,0
20050323,11.578,12.468,10.864,11.4,9186,0
20050324,11.531,11.531,8.5938,9.0393,101513,0
20050328,8.906,8.906,8.015,8.0685,44690,0
20050329,8.0329,8.0595,7.2223,7.9614,24479,0
20050330,7.9258,8.4246,7.9258,8.4156,7861,0
20050331,8.4335,11.132,8.4335,11.132,39076,0
20050401,11.043,11.132,10.313,10.313,16171,0
20050404,10.224,10.224,10.072,10.072,1460,0
20050405,10.081,10.081,9.503,9.546,20548,0
20050406,9.574,10.045,9.536,9.654,20099,0
20050407,9.68,10.606,9.68,10.33,16284,0
20050408,10.365,10.517,10.153,10.153,7861,0
20050411,10.243,10.286,9.751,9.787,6178,0
20050412,9.796,10.143,9.796,10.125,5280,0
20050413,10.019,10.09,10.019,10.09,450,0
20050414,10.116,10.153,9.992,10.064,3593,0
20050415,9.982,10.419,9.965,10.34,18863,0
20050418,10.243,10.286,10.195,10.195,674,0
20050419,10.125,10.243,10.064,10.243,1460,0
20050420,10.195,11.132,10.195,11.132,18979,0
20050421,11.266,11.31,10.873,11.167,22569,0
20050422,11.114,11.114,10.864,10.864,6290,0
20050425,10.864,10.864,10.864,10.864,225,0
20050426,10.864,10.864,10.784,10.793,2022,0
20050427,10.775,10.961,10.775,10.9,1234,0
20050428,10.91,10.91,10.855,10.873,6290,0
20050429,11,12.022,10.927,11.96,17291,0
20050502,12.048,12.459,12.048,12.246,25827,0
20050503,12.334,12.369,12.317,12.326,5390,0
