Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.738,16.356,15.505,16.278,79760,0
20050228,16.356,16.51,15.662,16.046,94574,0
20050301,16.51,16.51,15.275,15.352,48329,0
20050302,15.429,15.505,15.044,15.275,17805,0
20050303,15.12,15.738,14.89,14.89,20259,0
20050304,14.581,14.966,14.118,14.581,44203,0
20050307,14.659,15.044,14.195,14.89,35517,0
20050308,14.966,14.966,14.659,14.736,16206,0
20050309,14.581,14.736,14.041,14.041,32295,0
20050310,13.963,14.352,13.886,13.963,19553,0
20050311,14.041,14.273,13.809,13.886,21691,0
20050314,13.656,13.963,13.347,13.347,31362,0
20050315,13.656,15.97,13.424,14.504,123215,0
20050316,14.504,14.736,14.118,14.659,25349,0
20050317,14.428,15.429,13.886,15.429,66673,0
20050318,15.893,15.893,14.736,15.505,34945,0
20050321,14.966,15.662,14.736,14.966,13532,0
20050322,14.813,15.275,14.659,14.659,11236,0
20050323,14.736,15.044,14.273,14.89,11081,0
20050324,14.813,16.124,14.736,15.816,40120,0
20050328,15.816,16.201,14.89,15.12,36430,0
20050329,15.275,16.046,15.275,15.429,124213,0
20050330,15.352,15.738,14.659,14.659,21803,0
20050331,14.966,15.97,14.736,15.893,23146,0
20050401,15.893,16.046,14.89,15.12,28024,0
20050404,15.816,15.816,15.044,15.275,60073,0
20050405,15.198,15.275,14.89,14.966,18201,0
20050406,14.813,15.044,13.886,14.118,36686,0
20050407,14.118,14.813,13.886,14.659,33588,0
20050408,14.428,15.429,14.428,15.12,52101,0
20050411,15.12,15.514,15.12,15.514,37070,0
20050412,15.893,15.893,14.89,15.429,31945,0
20050413,15.044,15.893,14.736,15.429,41073,0
20050414,15.352,15.429,14.273,14.736,26994,0
20050415,14.504,14.659,14.072,14.195,20240,0
20050418,13.963,14.428,13.886,13.963,17364,0
20050419,14.118,14.428,13.963,14.428,15144,0
20050420,14.352,14.504,13.886,13.886,25671,0
20050421,14.041,14.195,13.502,13.656,82314,0
20050422,13.424,14.352,11.418,13.114,360226,0
20050425,13.038,13.038,12.499,12.499,19772,0
20050426,12.42,13.424,12.343,13.347,58064,0
20050427,13.424,13.424,12.499,13.114,24348,0
20050428,13.194,13.194,11.88,12.111,45815,0
20050429,12.111,13.578,11.88,13.578,36724,0
20050502,13.038,13.114,12.499,12.73,32282,0
20050503,12.805,13.038,12.575,12.884,19836,0
20050504,12.805,13.038,12.499,12.922,24960,0
20050505,13.194,13.194,12.575,12.575,8809,0
20050506,12.575,13.114,12.42,13.038,28126,0
20050509,12.73,12.961,12.652,12.884,10050,0
20050510,12.73,13.347,12.73,13.268,28732,0
20050511,13.578,13.578,12.652,13.038,18835,0
20050512,13.194,13.268,12.652,12.73,11121,0
20050513,12.73,12.884,12.575,12.575,8771,0
20050516,12.575,12.884,12.42,12.499,13389,0
20050517,12.343,12.884,12.343,12.884,13231,0
20050518,12.652,13.424,12.652,13.194,29377,0
20050519,12.961,13.268,12.961,13.114,14192,0
20050520,13.114,13.194,13.038,13.114,11459,0
20050523,12.884,13.201,12.884,13.194,14700,0
20050524,13.268,13.424,12.884,13.347,30351,0
20050525,13.424,13.963,13.114,13.886,18617,0
20050526,13.771,14.428,13.502,14.352,26247,0
20050527,14.195,14.581,13.732,14.352,22440,0
20050531,14.195,14.581,13.809,14.273,34774,0
20050601,13.809,15.198,13.809,15.198,117804,0
20050602,15.198,15.738,14.966,15.738,52746,0
20050603,15.662,17.513,15.584,17.358,108522,0
20050606,17.283,17.513,16.247,16.973,89597,0
