Date,Open,High,Low,Close,Volume,OpenInt
20050225,31.2,31.2,31.2,31.2,1125,0
20050228,31.04,31.52,31.04,31.52,1409,0
20050301,31.04,31.52,31.04,31.52,1863,0
20050302,31.28,31.28,31.04,31.04,400,0
20050303,31.04,31.6,31.04,31.52,3276,0
20050304,31.52,31.6,31.36,31.52,4052,0
20050307,31.44,31.68,31.44,31.68,950,0
20050308,31.68,31.68,30.96,31.2,2905,0
20050309,31.12,31.6,31.12,31.6,375,0
20050310,30.88,31.6,30.24,31.6,2655,0
20050311,31.52,31.92,31.44,31.68,1975,0
20050314,31.6,31.68,31.36,31.52,404,0
20050315,30.48,31.52,30.48,31.2,3300,0
20050316,30.48,31.2,30.48,31.2,393,0
20050317,30.8,30.88,30.48,30.8,298,0
20050318,30.8,31.12,30.56,30.72,1031,0
20050321,30.56,31.2,30.48,31.2,1411,0
20050322,30.88,30.88,30.72,30.72,1000,0
20050323,30.72,30.8,30.32,30.56,2300,0
20050324,30.64,31.68,30.4,31.2,6497,0
20050328,30.72,31.36,30.72,30.72,3295,0
20050329,30.72,31.12,30.56,30.72,382,0
20050330,30.96,30.96,30.4,30.4,875,0
20050331,30.08,30.88,29.36,30.4,3256,0
20050401,30.72,31.2,30.72,30.8,7140,0
20050404,31.04,31.04,30.24,30.48,2604,0
20050405,30.96,31.36,30.32,30.72,10172,0
20050406,30.72,31.04,30.64,30.96,1324,0
20050407,31.2,31.44,30.96,31.04,3165,0
20050408,31.2,31.36,30.56,30.96,5319,0
20050411,31.2,31.6,30.8,31.36,2751,0
20050412,31.6,31.6,30.96,31.28,2448,0
20050413,31.2,32,29.52,30.64,3619,0
20050414,30.56,31.2,30.48,30.96,1188,0
20050415,31.36,31.52,31.12,31.2,4891,0
20050418,31.2,31.68,29.36,31.6,2114,0
20050419,30.4,31.04,30.4,31.04,961,0
20050420,30.96,31.28,30.32,30.32,1025,0
20050421,30.48,30.88,30.48,30.8,725,0
20050422,31.2,31.52,31.2,31.36,8261,0
20050425,30.88,31.04,29.36,31.04,2388,0
20050426,31.28,31.36,30.96,31.2,1338,0
20050427,31.2,31.68,30.96,31.6,5772,0
20050428,31.2,31.68,30.8,31.6,3163,0
20050429,30.88,31.36,30.8,30.96,1500,0
20050502,31.68,31.68,30.4,30.56,1773,0
20050503,30.56,31.52,30.56,31.12,1764,0
20050504,31.6,31.6,30.8,30.96,750,0
20050505,30.96,31.2,30.56,31.2,2488,0
20050506,31.2,31.28,30.64,30.88,4416,0
20050509,30.72,31.2,30.56,31.2,2231,0
20050510,30.56,31.36,30.56,30.8,1554,0
20050511,30.64,31.04,30.64,31.04,544,0
20050512,31.2,31.36,31.04,31.04,6141,0
20050513,31.2,31.6,31.04,31.36,1231,0
20050516,31.2,32,30.56,30.8,1424,0
20050517,31.28,31.28,30.8,31.2,2418,0
20050518,31.28,32.32,30.88,31.76,12836,0
20050519,32,32.96,32,32.96,8215,0
20050520,36.32,36.32,32.96,32.96,3368,0
20050523,34.24,34.24,31.68,33.52,2741,0
20050524,34,34,33.28,33.68,2529,0
20050525,34,36.8,34,34.48,4518,0
20050526,36,36,34.16,35.2,2228,0
20050527,35.2,35.6,35.2,35.28,1047,0
20050531,35.28,35.6,35.2,35.6,513,0
20050601,34.4,35.6,34.4,35.2,525,0
20050602,35.04,36,35.04,35.84,1300,0
20050603,35.76,36,35.52,35.52,1568,0
20050606,35.36,36,35.2,35.2,2066,0
20050607,35.36,35.92,35.2,35.92,1642,0
20050608,35.44,35.84,35.44,35.84,300,0
20050609,36,36,35.44,35.76,969,0
20050610,35.68,35.68,35.36,35.36,1126,0
20050613,35.04,35.44,35.04,35.28,2188,0
20050614,35.2,35.76,35.2,35.76,156,0
20050615,35.6,35.76,35.6,35.76,394,0
20050616,36.4,36.4,35.28,35.28,2548,0
20050617,35.28,35.68,32,35.2,5139,0
20050620,35.68,35.68,34.8,34.88,494,0
20050621,34.88,35.04,34.88,34.96,1422,0
20050622,34.96,35.04,34,34,4611,0
20050623,35.2,35.2,34.88,34.88,289,0
20050624,34.64,34.64,33.36,33.84,3978,0
20050627,33.92,33.92,33.6,33.6,675,0
20050628,33.6,33.6,32.56,32.56,1444,0
20050629,32.8,33.2,32.8,33.2,82,0
20050701,33.6,34.4,33.6,34.4,1963,0
20050705,34.4,34.4,33.28,33.6,672,0
20050706,33.6,33.6,33.2,33.44,2055,0
20050707,32.96,32.96,32.96,32.96,63,0
20050708,33.2,34.32,33.2,34.32,837,0
20050711,34.4,34.4,33.76,33.76,513,0
20050712,33.44,33.76,32.96,32.96,5499,0
20050713,33.76,34,33.36,33.36,1280,0
20050714,34.4,34.4,33.36,33.84,375,0
20050715,33.76,34,33.76,34,38,0
20050718,33.76,34,33.44,33.6,363,0
20050719,33.68,33.68,33.68,33.68,150,0
20050720,34.4,34.4,33.6,33.6,1400,0
20050721,33.6,33.6,33.2,33.28,700,0
20050722,33.28,33.6,33.2,33.6,851,0
20050725,33.2,34,33.2,33.36,431,0
20050726,34.8,34.8,33.28,33.28,738,0
20050727,33.92,34,33.44,33.44,2316,0
20050728,33.44,33.92,33.28,33.28,2378,0
20050729,33.52,33.52,33.52,33.52,73,0
20050801,33.92,34,33.28,33.36,695,0
20050802,33.68,34,33.68,34,194,0
20050803,34,34.8,33.36,34.16,1379,0
20050804,34.4,34.8,34,34.72,351,0
20050805,33.44,33.92,33.28,33.68,625,0
20050808,34,34,33.36,33.36,978,0
20050809,33.36,33.6,33.2,33.6,1966,0
20050810,33.6,33.6,33.6,33.6,63,0
20050811,33.36,33.6,33.36,33.36,426,0
20050812,33.6,34.32,33.6,34.32,319,0
20050815,34.32,35.12,34.32,35.12,1425,0
20050816,33.76,35.04,33.68,34.56,1206,0
20050817,35.04,37.2,34.56,35.92,4652,0
20050818,36.4,36.72,36.08,36.08,1325,0
20050819,34.4,36.08,34.4,36.08,1620,0
20050822,35.36,35.76,34.08,35.12,1852,0
20050823,35.6,35.68,34.8,35.6,2725,0
20050824,35.6,36,34.24,35.76,3963,0
20050825,34.4,35.52,34.4,35.04,1400,0
20050826,35.44,35.76,35.44,35.6,113,0
20050829,35.2,35.52,34.08,34.8,2757,0
20050830,35.2,35.6,34.96,35.52,625,0
20050831,35.6,35.84,35.52,35.52,2274,0
20050901,34.96,35.84,34.8,35.68,775,0
20050902,35.84,35.84,35.2,35.68,375,0
20050906,35.6,37.2,35.2,36.16,5825,0
20050907,36.08,37.12,36,36.8,7463,0
20050908,37.2,38,37.2,37.36,1770,0
20050909,37.2,37.6,37.2,37.6,1638,0
20050912,37.2,39.92,36.64,38.32,2042,0
20050913,38.32,38.32,36.24,37.2,3231,0
20050914,37.84,38.96,37.68,37.76,3993,0
20050915,38.08,38.72,38.08,38.72,1675,0
20050916,38.88,40.96,37.84,39.44,1120,0
20050919,40.4,40.4,38.96,38.96,1773,0
20050920,40.4,40.4,39.2,39.2,1144,0
20050921,39.6,39.6,35.52,36.08,1623,0
20050922,36.8,37.6,36.8,37.6,1066,0
20050923,38.08,39.12,37.44,38,905,0
20050926,38.8,40,38.8,39.04,4720,0
20050927,39.2,40.08,38.32,38.32,1900,0
20050928,39.76,40,38.72,38.72,663,0
20050929,40.08,40.08,36.4,37.6,2291,0
20050930,38.8,38.8,37.2,38,800,0
20051003,38.8,39.36,38.8,39.36,486,0
20051004,39.6,39.92,37.68,38.8,1550,0
20051005,39.6,39.6,38.4,38.72,179,0
20051006,39.84,39.84,36.8,38.8,517,0
20051007,37.84,39.84,36,37.04,3236,0
20051010,37.84,37.92,37.76,37.92,250,0
20051011,36,38,36,37.2,388,0
20051012,38.4,38.4,35.2,36.08,4791,0
20051013,36.4,36.8,35.84,36,1138,0
20051014,35.84,36.4,35.68,36.4,928,0
20051017,37.2,37.2,37.2,37.2,186,0
20051018,37.2,37.52,35.6,37.52,150,0
20051019,37.6,37.6,37.28,37.28,208,0
20051020,37.6,37.6,36.4,36.4,142,0
20051021,38,38,38,38,61,0
20051024,38.4,38.64,37.84,38.56,2672,0
20051025,38.8,38.8,36,36.48,2102,0
20051026,38.8,38.8,37.2,37.92,1004,0
20051027,38.48,38.48,36.64,36.64,928,0
20051028,36.8,36.8,36.8,36.8,375,0
20051031,38.4,38.4,36.56,36.8,923,0
20051101,38.4,38.4,36.72,36.8,633,0
20051102,38,38,37.76,37.76,525,0
20051103,37.6,37.6,36.8,36.8,974,0
20051104,37.36,37.36,36.8,37.36,340,0
20051107,37.6,37.76,37.04,37.04,796,0
20051108,38.32,38.32,36.8,37.52,932,0
20051109,38.32,38.4,38.32,38.4,151,0
20051111,38.32,38.4,37.44,38.16,1199,0
20051114,38.32,38.32,36.08,37.68,2410,0
20051115,38.32,38.4,36.08,38.24,4289,0
20051116,38.4,39.76,38.4,38.4,5399,0
20051117,38.8,39.36,37.52,38.4,3324,0
20051118,38,39.28,38,38.56,1508,0
20051121,38.56,39.36,38.32,38.8,3874,0
20051122,38.08,38.8,38.08,38.24,661,0
20051123,38.8,38.8,38.24,38.8,1050,0
20051125,38.8,38.8,37.6,38.08,275,0
20051128,38.4,38.8,38.4,38.64,1667,0
20051129,38.8,38.8,38.4,38.4,1946,0
20051130,38.4,38.8,38,38.24,1458,0
20051201,39.04,39.04,38.32,38.56,2042,0
20051202,38.16,38.4,37.68,38.4,1300,0
20051205,39.2,39.2,37.6,37.68,300,0
20051206,37.6,39.2,37.6,37.76,1367,0
20051207,38,38.24,38,38.24,638,0
20051208,39.6,39.6,37.44,37.44,999,0
20051209,37.44,38.4,37.44,37.84,300,0
20051212,40,40,37.44,38.72,576,0
20051213,37.6,38,37.28,37.36,1029,0
20051214,38.48,38.48,36.96,36.96,313,0
20051215,38.32,38.32,36.96,37.52,166,0
20051216,37.76,38,37.76,38,2638,0
20051219,38.4,38.4,37.68,37.68,254,0
20051220,37.44,37.6,37.44,37.6,238,0
20051221,37.68,37.68,37.68,37.68,181,0
20051222,38.24,38.72,37.52,37.76,5913,0
20051223,38.32,38.32,37.44,37.44,460,0
20051227,39.12,39.12,37.6,37.6,1339,0
20051228,36.88,37.84,36.88,37.44,872,0
20051229,38.72,38.72,36.96,37.28,751,0
20051230,36.64,37.76,36.64,37.44,963,0
20060103,38.32,38.32,36.72,37.36,1712,0
20060104,36.8,37.6,36.32,37.6,1827,0
20060105,37.92,38,37.92,38,125,0
20060106,38.32,38.4,38.24,38.32,680,0
20060109,37.68,38.24,37.68,38.24,812,0
20060110,38.56,38.56,38.4,38.56,855,0
20060111,39.2,39.2,38.4,38.48,288,0
20060112,39.92,39.92,39.04,39.04,250,0
20060117,39.04,39.2,38.4,38.8,1186,0
20060118,38.8,38.8,38.4,38.8,1138,0
20060119,38.4,38.4,36.96,37.84,13058,0
20060120,38.4,38.4,37.76,37.84,588,0
20060123,37.04,37.92,36.96,37.84,1949,0
20060124,36.96,37.92,36.96,37.28,2049,0
20060125,37.2,38,37.2,38,884,0
20060126,38.4,38.4,37.76,37.76,609,0
20060127,38.4,38.4,37.84,38.4,1230,0
20060130,37.84,37.84,37.76,37.76,163,0
20060131,37.76,38.16,37.44,37.44,689,0
20060201,38.32,38.32,37.6,37.68,221,0
20060203,38.32,38.32,37.04,37.04,613,0
20060206,38.32,38.32,38.32,38.32,31,0
20060207,38.16,38.16,37.6,37.6,1281,0
20060208,37.6,38.24,37.6,38.24,438,0
20060209,38.24,38.24,37.6,37.92,337,0
20060213,37.76,38.24,37.36,37.6,942,0
20060214,38.24,38.24,37.6,37.84,310,0
20060215,37.84,38.24,37.84,38,540,0
20060216,38.24,38.32,37.6,37.76,305,0
20060217,38.24,38.24,37.6,37.6,207,0
20060221,38.24,38.24,37.6,38,388,0
20060222,38.16,38.24,37.92,38,1485,0
20060223,38,38,37.6,37.84,2931,0
20060224,38.24,38.24,37.68,38,1050,0
20060227,38,38.08,38,38.08,700,0
20060228,38.08,38.08,37.52,38.08,1417,0
20060301,38.08,38.64,38,38,2212,0
20060302,37.44,38.8,37.44,38.8,4631,0
20060303,38.8,38.8,38,38.08,148,0
20060306,38.8,39.6,38.48,38.8,2074,0
20060307,39.04,39.36,38,39.12,1393,0
20060308,39.36,39.36,38,38,689,0
20060309,37.6,39.36,37.44,39.36,2778,0
20060310,39.36,39.6,38.24,39.2,967,0
20060313,39.44,39.44,38,39.2,785,0
20060314,38.4,39.2,38.08,39.2,338,0
20060315,39.2,39.6,38.48,39.6,1388,0
20060316,39.84,42.48,39.2,39.28,1534,0
20060317,40.16,40.72,38.24,39.68,2831,0
20060320,40.72,40.8,40.24,40.24,655,0
20060321,40.8,40.8,39.52,40,1201,0
20060322,40.8,40.8,40.24,40.64,1194,0
20060323,40.8,40.8,39.44,39.52,724,0
20060324,40.32,40.72,39.68,40.08,500,0
20060327,40.4,40.64,39.52,39.92,912,0
20060328,39.92,42.16,39.92,41.52,2476,0
20060329,42.16,43.2,41.6,42.88,4456,0
20060330,42.4,42.8,41.68,41.68,1623,0
20060331,42.8,44.4,42.4,44.4,2854,0
20060403,44.4,44.4,43.28,43.84,1940,0
20060404,44,44,42.88,43.2,950,0
20060405,43.76,43.76,42.88,42.96,940,0
20060406,42.24,43.2,40.16,42.8,1138,0
20060407,43.12,43.76,42.4,42.56,1237,0
20060410,42.56,42.56,42.16,42.32,1625,0
20060411,42.08,42.88,41.76,42.8,1300,0
20060412,42.8,43.6,42.72,43.2,1599,0
20060413,43.6,43.6,42.8,43.2,2350,0
