Date,Open,High,Low,Close,Volume,OpenInt
20130627,17.308,18.397,17.052,18.024,8446041,0
20130628,18.053,18.809,18.033,18.268,731163,0
20130701,18.297,18.544,17.994,17.994,401694,0
20130702,17.994,19.273,17.919,18.858,228036,0
20130703,18.63,18.843,18.317,18.719,105687,0
20130705,18.828,18.995,18.2,18.858,113947,0
20130708,18.69,19.111,18.506,18.868,112574,0
20130709,18.769,19.545,18.7,19.131,210368,0
20130710,19.101,19.575,18.69,18.739,341322,0
20130711,18.69,19.28,18.69,19.21,110886,0
20130712,18.868,19.17,18.848,19.141,116793,0
20130715,18.995,19.378,18.858,19.19,180697,0
20130716,18.68,20.259,18.68,19.719,243855,0
20130717,19.632,20.085,19.348,19.986,141791,0
20130718,20.115,20.6,19.684,20.436,165075,0
20130719,20.605,20.988,20.378,20.446,643515,0
20130722,20.212,20.308,19.838,19.957,502353,0
20130723,19.907,20.298,19.624,19.838,42230,0
20130724,19.848,20.298,19.671,20.184,44362,0
20130725,19.957,21.565,19.624,21.565,236785,0
20130726,21.704,21.723,20.655,21.183,143994,0
20130729,21.094,21.585,20.663,21.292,86753,0
20130730,21.302,21.389,20.407,21.192,96443,0
20130731,21.379,21.379,20.789,21.094,53514,0
20130801,21.045,21.388,20.765,21.252,185072,0
20130802,21.262,22.075,20.77,22.005,229935,0
20130805,22.005,22.565,21.842,22.361,106771,0
20130806,22.399,22.664,22.165,22.38,427705,0
20130807,22.371,22.555,22.215,22.516,84432,0
20130808,22.565,22.664,22.371,22.634,75524,0
20130809,22.418,22.684,22.418,22.614,68680,0
20130812,22.418,22.763,22.418,22.724,118428,0
20130813,22.704,23.105,22.418,22.959,104371,0
20130814,22.862,22.959,22.714,22.92,73437,0
20130815,22.959,22.959,22.371,22.565,285467,0
20130816,22.545,22.654,22.371,22.614,83776,0
20130819,22.565,22.704,22.269,22.654,199845,0
20130820,22.988,23.302,22.438,22.674,140621,0
20130821,22.634,22.862,22.371,22.594,90726,0
20130822,22.614,22.857,22.418,22.575,53638,0
20130823,22.525,22.871,22.438,22.832,39660,0
20130826,22.832,22.832,22.521,22.545,128900,0
20130827,22.438,22.477,21.585,21.802,286133,0
20130828,22.015,22.015,21.487,21.565,79804,0
20130829,21.448,21.723,20.869,21.664,174837,0
20130830,21.595,21.743,21.438,21.515,113028,0
20130903,21.743,22.734,21.369,22.105,95834,0
20130904,22.035,22.575,21.605,22.575,120147,0
20130905,22.477,23.302,22.371,22.881,86041,0
20130906,22.871,23.302,22.553,22.802,104929,0
20130909,22.832,23.075,22.229,22.525,126048,0
20130910,22.565,22.802,22.166,22.594,128034,0
20130911,22.468,23.075,22.085,22.978,127124,0
20130912,22.959,23.095,22.585,22.654,685112,0
20130913,22.585,23.075,22.468,23.055,217914,0
20130916,23.204,23.519,22.812,23.42,190568,0
20130917,23.37,23.528,22.654,22.792,321548,0
20130918,22.644,23.538,22.525,23.339,278904,0
20130919,23.155,23.45,22.724,23.017,343354,0
20130920,22.92,23.085,22.253,22.458,1193377,0
20130923,22.468,23.499,22.313,23.408,450863,0
20130924,23.42,23.931,23.4,23.841,401370,0
