Date,Open,High,Low,Close,Volume,OpenInt
20120222,118.4,123.28,116,118.4,139500,0
20120223,121.12,121.12,117.6,118.8,4615,0
20120224,119.28,119.92,118.16,119.6,5170,0
20120227,118.4,121.92,118.4,120.64,2960,0
20120228,120.88,120.88,117.2,117.2,3669,0
20120229,112.48,124.72,108,111.68,4329,0
20120301,111.44,113.84,110.8,113.28,933,0
20120302,111.6,112.24,108.4,111.6,2441,0
20120305,109.76,110.64,108.88,110.32,733,0
20120306,108.88,111.92,108.16,109.36,1156,0
20120307,109.36,109.6,108,108.4,575,0
20120308,108.08,108.64,106.4,107.04,526,0
20120309,107.36,111.52,106,106.08,770,0
20120312,105.92,110.64,105.2,110.24,1370,0
20120313,105.76,108,104,104.8,1437,0
20120314,102.88,105.6,102.88,105.28,431,0
20120315,107.2,129.44,107.2,119.92,6428,0
20120316,121.12,134.8,119.92,121.68,9962,0
20120319,131.2,149.6,127.28,140.16,3868,0
20120320,137.6,149.2,136,137.68,2186,0
20120321,136.4,136.4,128.16,130.16,3371,0
20120322,128.4,135.36,121.36,126,958,0
20120323,122,127.92,120,127.04,1275,0
20120326,124.8,128.88,124.8,128,851,0
20120327,129.36,131.2,121.68,125.44,2153,0
20120328,125.44,128.48,120.32,125.92,2940,0
20120329,123.12,125.84,122.16,123.76,2287,0
20120330,121.04,135.6,120.56,127.92,54620,0
20120402,129.68,131.04,123.2,128,6117,0
20120403,127.6,134.72,126.4,132.88,3356,0
20120404,128.72,132.16,128.72,131.52,944,0
20120405,132,135.68,130,134.72,688,0
20120409,134.08,139.68,129.28,130.72,3609,0
20120410,130.96,135.6,125.52,129.68,5050,0
20120411,130.24,137.84,130.24,134.56,2907,0
20120412,136.08,137.76,134,136,2220,0
20120413,135.04,135.04,117.44,121.04,3523,0
20120416,121.04,128,119.84,122.48,3311,0
20120417,123.84,126.72,121.2,122.56,785,0
20120418,120.56,122.16,120.56,120.8,335,0
20120419,120.56,122.24,119.6,119.6,2266,0
20120420,126.8,126.8,112.56,118.08,3062,0
20120423,116.08,119.6,114.08,114.48,1078,0
20120424,114.56,118.56,114.56,116,238,0
20120425,117.76,120,111.76,112,587,0
