Date,Open,High,Low,Close,Volume,OpenInt
20140716,9.733,9.733,9.733,9.733,102,0
20140717,9.733,9.752,9.684,9.694,3483,0
20140718,9.694,9.733,9.694,9.733,2049,0
20140721,9.694,9.733,9.694,9.723,513092,0
20140722,9.817,9.817,9.811,9.811,461,0
20140723,9.86,9.86,9.838,9.838,1947,0
20140724,9.928,9.928,9.875,9.899,1598,0
20140725,9.899,9.899,9.831,9.831,1536,0
20140728,9.889,9.889,9.811,9.811,512587,0
20140729,9.812,9.812,9.772,9.772,717,0
20140730,9.84,9.84,9.811,9.84,2689,0
20140731,9.625,9.625,9.586,9.586,369,0
20140801,9.596,9.596,9.479,9.508,974,0
20140804,9.559,9.559,9.559,9.559,1024520,0
20140805,9.57,9.628,9.538,9.567,4497,0
20140806,9.625,9.625,9.625,9.625,1792,0
20140811,9.69,9.723,9.69,9.694,2004,0
20140812,9.615,9.615,9.596,9.606,2170,0
20140813,9.665,9.672,9.665,9.672,1575,0
20140814,9.694,9.694,9.684,9.684,1126,0
20140815,9.733,9.733,9.733,9.733,307,0
20140818,9.811,9.821,9.811,9.821,412,0
20140819,9.87,9.87,9.87,9.87,1632,0
20140820,9.879,9.909,9.879,9.899,512,0
20140821,9.909,9.909,9.87,9.899,3935,0
20140826,9.995,9.995,9.995,9.995,102,0
20140828,9.948,9.948,9.948,9.948,135,0
20140829,10.016,10.016,10.016,10.016,313,0
20140903,10.055,10.055,10.006,10.016,5912,0
20140904,10.065,10.065,10.065,10.065,536,0
20140905,9.948,9.948,9.928,9.928,717,0
20140908,10.052,10.052,9.997,9.997,1846,0
20140909,10.006,10.006,9.977,9.977,6286,0
20140910,9.948,10.006,9.938,10.006,2675,0
20140911,9.987,9.987,9.958,9.958,424,0
20140915,9.803,9.803,9.803,9.803,1124,0
20140916,9.811,9.86,9.811,9.86,405,0
20140918,10.016,10.026,10.015,10.026,13982,0
20140922,10.006,10.006,9.84,9.879,6259,0
20140923,9.879,9.889,9.86,9.879,1126,0
20140924,9.811,9.909,9.801,9.909,17465,0
20140925,9.762,9.811,9.713,9.713,6937,0
20140926,9.86,9.86,9.86,9.86,3073,0
20140929,9.86,9.86,9.86,9.86,1129,0
20140930,9.815,9.86,9.815,9.831,820,0
20141002,9.694,9.694,9.694,9.694,154,0
20141008,9.518,9.518,9.518,9.518,5634,0
20141010,9.4693,9.4693,9.4693,9.4693,3094,0
20141016,9.1083,9.1083,9.1083,9.1083,317,0
20141017,9.4575,9.4575,9.4575,9.4575,205,0
20141020,9.4693,9.479,9.4693,9.479,2111,0
20141021,9.606,9.606,9.606,9.606,107,0
20141022,9.704,9.704,9.567,9.567,1742,0
20141027,9.791,9.811,9.791,9.799,3501,0
20141028,9.919,9.919,9.918,9.918,1550,0
20141029,9.928,9.928,9.886,9.886,1210,0
20141030,9.938,9.938,9.938,9.938,2049,0
20141031,10.114,10.114,10.064,10.064,1142,0
20141104,10.016,10.016,10.016,10.016,1664,0
20141107,10.036,10.036,10.036,10.036,666,0
20141110,10.152,10.153,10.141,10.141,4133,0
20141111,10.163,10.163,10.163,10.163,8401,0
20141112,10.153,10.202,10.153,10.202,1578,0
20141118,10.221,10.231,10.221,10.231,922,0
20141119,10.172,10.182,10.153,10.182,608,0
20141120,10.153,10.153,10.153,10.153,205,0
20141121,10.329,10.342,10.25,10.27,1362,0
20141124,10.309,10.309,10.308,10.308,256,0
20141126,10.338,10.338,10.338,10.338,1588,0
20141201,10.153,10.25,10.133,10.143,2521,0
20141202,10.126,10.153,10.126,10.126,620,0
20141203,10.172,10.231,10.172,10.231,870,0
20141205,10.251,10.251,10.251,10.251,119,0
20141208,10.27,10.27,10.268,10.27,5125,0
20141210,10.172,10.172,10.045,10.045,4335,0
20141212,10.024,10.024,10.024,10.024,218,0
20141215,9.97,9.97,9.951,9.951,658,0
20141216,9.882,9.968,9.882,9.968,294,0
20141218,10.136,10.136,10.136,10.136,1231,0
20141219,10.246,10.246,10.246,10.246,263,0
20141222,10.292,10.312,10.292,10.312,7303,0
20141226,10.429,10.429,10.41,10.41,5224,0
20141229,10.429,10.429,10.4,10.429,4025,0
20141230,10.41,10.41,10.351,10.371,1156,0
20150102,10.332,10.332,10.244,10.244,3594,0
20150105,10.175,10.175,10.078,10.078,1859,0
20150106,9.922,9.994,9.922,9.983,10394,0
20150107,10.069,10.069,10.069,10.069,3073,0
20150109,10.283,10.283,10.185,10.185,1292,0
20150113,10.312,10.312,10.263,10.263,802,0
20150116,9.921,9.921,9.882,9.912,589,0
20150122,10.087,10.087,10.087,10.087,102,0
20150123,10.251,10.273,10.251,10.273,6349,0
20150129,10.103,10.103,10.103,10.103,610,0
20150130,10.156,10.166,10.117,10.117,1997,0
20150202,10.103,10.103,10.103,10.103,102,0
20150205,10.302,10.313,10.283,10.283,5004,0
20150206,10.361,10.361,10.361,10.361,107,0
20150211,10.351,10.361,10.351,10.361,4652,0
20150217,10.537,10.595,10.537,10.595,461,0
20150226,10.742,10.8,10.742,10.8,835,0
20150305,10.732,10.781,10.732,10.771,3175,0
20150306,10.605,10.605,10.605,10.605,2355,0
