Date,Open,High,Low,Close,Volume,OpenInt
20150320,0.5,1,0.5,0.72,1500,0
20150323,0.75,0.75,0.75,0.75,700,0
20150324,0.72,0.9,0.72,0.9,3100,0
20150325,0.9,1,0.8,0.8,2000,0
20150326,0.85,0.89,0.85,0.89,2600,0
20150327,0.92,0.92,0.92,0.92,300,0
20150330,1,1,1,1,1900,0
20150331,0.9,1,0.8,1,3700,0
20150401,1,1,1,1,3700,0
20150402,1.26,1.28,1.19,1.2,10400,0
20150406,1.99,1.99,1.29,1.8,33800,0
20150407,2.63,2.75,1.85,1.9,4335,0
20150408,2,2,1.95,1.95,6800,0
20150409,1.9,2.13,1.9,1.9,4172,0
20150410,1.9,2.18,1.9,2.18,1200,0
20150413,2.18,2.3,2.05,2.05,800,0
20150414,2.05,2.05,2,2,900,0
20150420,1.41,1.5,1.4032,1.5,4076,0
20150421,1.34,1.5,1.32,1.5,5658,0
20150423,1.4,1.4,1.35,1.35,200,0
20150424,1.45,1.45,1.36,1.4,2200,0
20150427,1.55,2,1.55,2,700,0
20150429,1.75,1.75,1.75,1.75,500,0
20150430,1.75,1.75,1.75,1.75,700,0
20150501,1.37,2.19,1.37,2.19,200,0
20150504,2.19,2.2,2.19,2.2,1700,0
20150505,1.42,1.9,1.42,1.9,200,0
20150512,1.6,1.6,1.6,1.6,300,0
20150514,1.73,1.73,1.7,1.7,1100,0
20150518,1.53,1.53,1.5001,1.5001,440,0
20150519,1.3,1.3,1.3,1.3,200,0
20150521,1.4,1.4,1.4,1.4,500,0
20150522,1.81,3.03,1.67,1.82,10400,0
20150526,1.78,1.78,1.78,1.78,100,0
20150527,1.82,1.82,1.8,1.8,4800,0
20150528,1.8763,1.8763,1.76,1.76,860,0
20150603,2.25,2.25,2.25,2.25,100,0
20150604,1.72,2.23,1.72,2.23,400,0
20150605,2.21,2.24,1.55,1.7,900,0
20150608,2.74,2.75,1.89,1.93,7600,0
20150609,2,2,1.85,1.85,2503,0
20150610,1.74,1.85,1.46,1.46,9750,0
20150611,1.7,2.8,1.7,1.78,7334,0
20150612,1.7,1.7,1.7,1.7,500,0
20150615,1.7,1.7,1.61,1.61,1100,0
20150616,1.58,1.7,1.56,1.7,1200,0
20150617,1.65,1.7,1.65,1.7,800,0
20150624,1.58,1.58,1.58,1.58,100,0
20150625,1.57,1.57,1.57,1.57,100,0
20150629,1.75,1.75,1.75,1.75,400,0
20150630,1.75,1.75,1.75,1.75,1062,0
20150701,1.58,1.64,1.57,1.64,1100,0
20150702,1.67,1.67,1.67,1.67,100,0
20150706,1.79,1.79,1.68,1.68,500,0
20150708,1.58,1.58,1.58,1.58,100,0
20150709,1.54,1.54,1.54,1.54,100,0
20150713,1.62,1.62,1.62,1.62,100,0
20150714,1.55,1.55,1.55,1.55,240,0
20150715,1.5,1.5,1.5,1.5,100,0
20150716,1.45,1.6,1.25,1.6,1000,0
20150717,1.42,1.42,1.42,1.42,100,0
20150720,1.4,1.41,1.4,1.41,900,0
20150723,1.43,1.43,1.43,1.43,300,0
20150730,1.39,1.39,1.25,1.25,200,0
20150803,1.3,1.3,1.25,1.25,868,0
20150805,1.23,1.23,1.22,1.22,300,0
20150810,1.26,1.26,1.15,1.15,200,0
20150811,1.11,1.18,1.11,1.18,406,0
20150813,1.17,1.17,1.14,1.14,400,0
20150817,1.11,1.21,1.11,1.21,600,0
20150824,1.15,1.18,1.02,1.02,900,0
20150825,0.92,0.92,0.92,0.92,100,0
20150901,0.84,0.84,0.84,0.84,100,0
20150902,0.74,0.94,0.74,0.94,200,0
20150916,0.66,0.66,0.66,0.66,100,0
20150922,0.5,0.65,0.45,0.65,1500,0
20150923,0.85,0.9,0.69,0.69,400,0
20150925,0.85,0.85,0.85,0.85,100,0
20150930,0.72,0.72,0.51,0.51,700,0
20151005,0.7399,0.7399,0.7399,0.7399,200,0
20151009,0.9,1.17,0.8,0.95,10300,0
20151012,1.18,1.2499,1.18,1.2499,300,0
20151015,0.89,1.1,0.85,1.1,500,0
20151016,1.1,1.2,1.1,1.2,500,0
20151027,0.91,1.19,0.91,1.18,1900,0
20151029,1.01,1.01,0.97,0.97,300,0
20151103,0.86,1.2,0.86,1.2,1100,0
20151106,0.84,1.1,0.84,1.1,300,0
20151112,0.77,1.1,0.77,1.1,200,0
20151120,0.8,1.05,0.66,1.05,2800,0
20151123,0.73,0.73,0.73,0.73,100,0
20151124,0.94,0.94,0.94,0.94,100,0
20151130,1.05,1.05,0.71,1.05,400,0
20151201,0.7,0.9101,0.7,0.9101,3100,0
20151204,0.74,0.74,0.74,0.74,200,0
20151208,0.5195,0.7016,0.5195,0.7016,200,0
20151214,0.9,0.9,0.9,0.9,100,0
20151222,0.792,0.9,0.792,0.9,300,0
20151223,0.68,0.68,0.63,0.63,300,0
20151224,0.45,0.819,0.45,0.819,250,0
20151228,0.6,0.9,0.6,0.9,2001,0
20151231,0.702,0.702,0.702,0.702,225,0
20160115,1.14,1.14,0.66,1,2460,0
20160120,0.71,0.88,0.71,0.85,500,0
20160125,0.524,0.7775,0.524,0.7775,861,0
20160128,0.71,0.71,0.504,0.504,300,0
20160129,0.73,0.73,0.45,0.71,600,0
20160203,0.7272,0.7272,0.6586,0.6586,300,0
20160204,0.46,0.5304,0.45,0.5304,3548,0
20160205,0.45,0.45,0.45,0.45,3500,0
20160209,0.65,0.65,0.65,0.65,100,0
20160217,0.45,0.6,0.45,0.6,700,0
20160223,0.73,0.79,0.4501,0.4501,65542,0
20160224,0.6,0.6,0.6,0.6,900,0
20160225,0.7767,0.7767,0.7767,0.7767,100,0
20160302,0.77,0.77,0.759,0.759,346,0
20160304,0.71,0.71,0.71,0.71,189,0
20160310,0.4501,0.6481,0.4501,0.6481,2402,0
20160311,0.6282,0.6282,0.6282,0.6282,800,0
20160314,0.6282,0.7406,0.6282,0.7406,1438,0
20160317,0.75,0.9698,0.75,0.9335,1700,0
20160318,0.46,0.9,0.46,0.9,3062,0
20160323,0.6,0.63,0.6,0.62,1181,0
20160324,0.47,0.5751,0.4501,0.5506,1825,0
20160328,0.79,0.79,0.79,0.79,100,0
20160404,0.7,0.7,0.6,0.697,2000,0
20160408,0.6899,0.6899,0.6899,0.6899,200,0
20160412,0.46,0.66,0.45,0.66,3500,0
20160414,0.652,0.652,0.652,0.652,100,0
