Date,Open,High,Low,Close,Volume,OpenInt
20070626,9.3895,9.3895,9.3895,9.3895,0,0
20070627,9.3895,9.3973,9.3895,9.3973,2064358,0
20070628,9.3895,9.3973,9.3895,9.3895,485896,0
20070629,9.3973,9.3973,9.3895,9.3895,203976,0
20070702,9.3973,9.3973,9.3895,9.3973,200458,0
20070703,9.3895,9.3973,9.3895,9.3973,219152,0
20070705,9.3973,9.3973,9.3895,9.3973,92802,0
20070706,9.3895,9.3973,9.3895,9.3895,268029,0
20070709,9.3973,9.4169,9.3895,9.3895,201582,0
20070710,9.3973,9.4169,9.3895,9.3895,230971,0
20070711,9.3973,9.4031,9.3895,9.3895,85137,0
20070712,9.3973,9.3973,9.3895,9.3895,103662,0
20070713,9.3973,9.4585,9.3895,9.4229,148553,0
20070716,9.4229,9.4229,9.3895,9.3895,81938,0
20070717,9.41,9.4229,9.3895,9.4031,87215,0
20070718,9.41,9.41,9.3895,9.3973,103509,0
20070719,9.3973,9.3973,9.3895,9.3973,103185,0
20070720,9.3895,9.4169,9.3895,9.4169,240555,0
20070723,9.3973,9.4031,9.3895,9.3895,88489,0
20070724,9.3973,9.3973,9.3895,9.3973,176822,0
20070725,9.3895,9.3973,9.3895,9.3973,675819,0
20070726,9.3895,9.3973,9.3895,9.3895,2234786,0
20070727,9.3895,9.3973,9.3895,9.3895,1140473,0
20070730,9.2332,9.24,8.7716,8.8224,1153727,0
20070731,8.7763,9.047,8.7651,8.8021,263552,0
20070801,8.7826,8.8585,8.7651,8.7763,140882,0
20070802,8.7947,9.001,8.7883,8.8261,106221,0
20070803,8.8094,8.9007,8.7651,8.8399,162290,0
20070806,8.7947,8.8529,8.3906,8.6088,273457,0
20070807,8.6088,8.6696,8.4511,8.5452,159729,0
20070808,8.6088,8.7947,8.4838,8.7587,158608,0
20070809,8.7027,9.001,8.5452,8.7027,182887,0
20070810,8.6389,8.7101,8.3906,8.6815,138646,0
20070813,8.7341,8.8261,8.4143,8.5763,118357,0
20070814,8.4902,8.5692,7.8947,8.077,319296,0
20070815,7.888,8.0128,7.3313,7.544,520084,0
20070816,7.3561,7.7632,6.8931,7.7632,787467,0
20070817,7.951,8.445,7.5126,8.3572,419131,0
20070820,8.3572,8.3906,8.1386,8.2333,164361,0
20070821,8.2333,8.5763,8.1386,8.496,153980,0
20070822,8.4194,8.6961,8.2775,8.3906,198707,0
20070823,8.3966,8.6026,8.2964,8.5692,93436,0
20070824,8.5149,8.6333,8.445,8.5513,116925,0
20070827,8.5452,8.8224,8.2701,8.7947,197907,0
20070828,8.7587,8.7587,8.1071,8.5149,268660,0
20070829,8.5578,8.7027,8.4838,8.5898,100783,0
20070830,8.5149,8.7148,8.4511,8.6088,103988,0
20070831,8.7587,8.7651,8.5827,8.5898,173629,0
20070904,8.6151,8.7883,8.5265,8.7587,173942,0
20070905,8.7587,8.7947,8.5763,8.7947,193914,0
20070906,8.7716,8.8168,8.7148,8.7883,157014,0
20070907,8.7341,8.7883,8.5513,8.7458,222990,0
20070910,8.6815,8.7148,8.4575,8.5149,235284,0
20070911,8.5265,8.538,8.2333,8.4258,190238,0
20070912,8.3641,8.3906,8.1583,8.2512,176822,0
20070913,8.3127,8.3772,8.2333,8.3195,134013,0
20070914,8.2701,8.3572,8.1386,8.3518,168674,0
20070917,8.2903,8.3195,8.0936,8.1768,148869,0
20070918,8.2964,8.3906,8.1515,8.3906,219372,0
20070919,8.3641,8.5149,8.2964,8.4699,369137,0
20070920,8.4699,8.5763,8.3966,8.5032,164521,0
20070921,8.4258,8.6389,8.3834,8.6214,216118,0
20070924,8.6333,8.6815,8.3572,8.4511,420569,0
20070925,8.3572,8.5692,8.2903,8.4511,247777,0
20070926,8.5452,8.6214,8.2701,8.2833,235689,0
20070927,8.2903,8.4194,8.2573,8.3572,328249,0
