Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.15,5.52,5.15,5.23,24800,0
20050228,5.2,5.25,5.15,5.2,10100,0
20050301,5.15,5.15,4.81,4.81,12400,0
20050302,4.9,4.94,4.4,4.52,22600,0
20050303,4.42,4.57,4.42,4.45,15600,0
20050304,4.4,4.43,4.4,4.43,2700,0
20050307,4.4,4.4,4.3,4.32,3300,0
20050308,4.36,4.36,4.19,4.33,18600,0
20050309,4.34,4.45,4.34,4.45,5000,0
20050310,4.4,4.4,4.4,4.4,100,0
20050311,4.38,4.38,4.3,4.3,4200,0
20050314,4.35,4.41,4.35,4.4,2800,0
20050315,4.4,5.05,4.4,5.05,15200,0
20050316,5.13,5.89,4.95,5.65,162800,0
20050317,5.75,5.82,5.1,5.14,38300,0
20050318,5.24,5.39,5.24,5.25,23300,0
20050321,5.26,5.51,5.25,5.5,7900,0
20050322,5.55,5.55,5.3,5.31,25600,0
20050323,5.3,5.34,5.26,5.29,4900,0
20050324,5.3,5.75,5.29,5.7,69400,0
20050328,5.76,5.77,5.6,5.65,25300,0
20050329,5.65,7.15,5.65,6.7,253800,0
20050330,6.75,7.1,6.41,6.48,173600,0
20050331,6.57,6.7,6.5,6.64,149700,0
20050401,6.65,7.15,6.6,7,102500,0
20050404,7.05,7.35,7.03,7.08,148500,0
20050405,7.12,7.45,7.1,7.18,65700,0
20050406,7.2,7.2,6.93,6.95,115100,0
20050407,7,7,6.44,6.65,79800,0
20050408,6.6,6.85,6.58,6.72,14600,0
20050411,6.9,7,6.9,6.9,27400,0
20050412,6.85,6.85,6.58,6.8,19500,0
20050413,6.85,7,6.8,6.8,31600,0
20050414,6.9,6.97,6.8,6.82,29100,0
20050415,6.81,6.86,6.75,6.82,176500,0
20050418,6.77,6.78,6.51,6.6,59500,0
20050419,6.6,6.6,6.35,6.45,27800,0
20050420,6.5,6.5,6.35,6.45,32000,0
20050421,6.45,6.5,6.19,6.5,27700,0
20050422,6.43,6.43,5.9,6.21,29200,0
20050425,6.18,6.21,5.86,5.96,32700,0
20050426,5.9,5.95,5.86,5.91,6800,0
20050427,5.9,5.91,5.86,5.86,22900,0
20050428,5.77,5.78,5.6,5.78,9900,0
20050429,5.75,5.75,5.5,5.5,17200,0
20050502,5.5,5.85,5.46,5.77,18900,0
20050503,5.76,5.87,5.76,5.83,38500,0
20050504,5.88,6.01,5.88,5.96,15600,0
20050505,6.02,6.09,6,6.02,7700,0
20050506,6.02,6.08,6.02,6.03,2700,0
20050509,6.03,6.03,6.01,6.01,600,0
20050510,5.9,6,5.76,5.77,11700,0
20050511,5.72,5.72,5.66,5.67,5600,0
20050512,5.65,5.92,5.65,5.85,31800,0
20050513,5.9,6.4,5.9,6.25,13000,0
20050516,6.4,6.65,6.21,6.4,31600,0
20050517,6.45,6.45,6.28,6.28,6100,0
20050518,6.4,6.5,6.28,6.4,45100,0
20050519,6.5,6.8,6.5,6.57,42700,0
20050520,6.53,6.55,6.45,6.49,13000,0
20050523,6.5,6.5,6.3,6.44,14200,0
20050524,6.44,6.44,6.2,6.25,9300,0
20050525,6.3,6.3,6.05,6.09,10700,0
20050526,6.09,6.1,6.04,6.07,9400,0
20050527,6.05,6.09,6.05,6.05,6000,0
20050531,6.09,6.35,6.09,6.3,12900,0
20050601,6.38,6.64,6.38,6.55,31500,0
20050602,6.54,6.77,6.48,6.5,75900,0
20050603,6.55,6.55,6.4,6.41,24300,0
20050606,6.48,6.7,6.48,6.59,56000,0
20050607,6.63,6.65,6.35,6.57,59100,0
20050608,6.52,6.6,5.9,6.45,98700,0
20050609,6.45,6.5,6.4,6.4,30900,0
20050610,6.42,6.6,6.42,6.6,15300,0
20050613,6.6,6.95,6.6,6.94,33100,0
20050614,6.95,7.18,6.9,6.91,65900,0
20050615,6.98,7.4,6.94,7.09,75900,0
20050616,7.1,7.1,6.9,7.06,61700,0
20050617,7.06,7.6,7.05,7.45,70400,0
20050620,7.5,7.75,7.49,7.55,52800,0
20050621,7.7,8.05,7.7,7.81,207100,0
20050622,7.9,8.11,7.88,7.88,53600,0
20050623,7.85,7.85,7.3,7.63,107000,0
20050624,7.73,8,7.73,7.98,129300,0
20050627,8.2,8.75,8,8.5,333700,0
20050628,8.75,9.3,8.52,8.99,161800,0
20050629,9.02,10.01,9.02,9.62,211900,0
20050630,9.75,9.75,8.72,9.04,143300,0
20050701,9.12,9.35,9.06,9.25,46500,0
20050705,9.45,9.9,9.4,9.9,92300,0
20050706,10.1,10.65,10.1,10.5,155800,0
20050707,10.46,10.49,10,10.4,64800,0
20050708,10.53,11.9,10.45,11.6,145000,0
20050711,12.1,12.1,11.67,11.88,123700,0
20050712,12,12,10.16,10.48,264300,0
20050713,10.45,10.86,10.2,10.81,109700,0
20050714,10.98,11,9.5,9.95,110700,0
20050715,10.1,10.69,10.05,10.64,126400,0
20050718,10.52,10.7,10.25,10.53,84000,0
20050719,10.58,10.65,10,10.26,59400,0
20050720,10.09,10.09,9.51,9.74,259100,0
20050721,9.88,10.23,9.8,10.1,77800,0
20050722,10.27,10.5,10.27,10.45,55200,0
20050725,10.55,10.8,9.89,9.99,98700,0
20050726,10.05,10.05,9.68,9.85,26100,0
20050727,9.75,10.75,9.75,10.75,97800,0
20050728,11.5,11.5,10.29,10.55,97400,0
20050729,10.6,10.6,10.5,10.59,26100,0
20050801,10.6,10.6,10.39,10.5,33900,0
20050802,10.35,10.36,10,10.07,36700,0
20050803,9.75,10.33,9.7,10.24,61100,0
20050804,10.4,10.5,10.1,10.2,24800,0
20050805,10.18,10.75,10.01,10.51,120100,0
20050808,10.9,11,10.61,10.68,66600,0
20050809,10.71,10.75,10.49,10.5,35400,0
20050810,10.55,11.1,10.45,11.05,260200,0
20050811,11.05,11.27,10.45,11,181200,0
20050812,10.99,12.4,10.99,11.9,81600,0
20050815,12.15,12.16,11.71,11.75,39700,0
20050816,11.55,11.75,11.26,11.71,166600,0
20050817,11.75,13.3,11.75,13.15,301700,0
20050818,13.25,13.5,12.7,12.8,189100,0
20050819,13.05,13.05,12.61,12.8,52700,0
20050822,12.9,12.9,11.91,11.98,97700,0
20050823,11.9,11.97,11.5,11.95,68000,0
20050824,11.9,12.5,11.9,12.19,102200,0
20050825,12.25,12.25,12.01,12.08,26300,0
20050826,11.95,12.7,11.95,12.7,54200,0
20050829,12.7,13.5,12.45,13.4,92600,0
20050830,13.4,14.2,13.27,13.54,123100,0
20050831,13.5,13.5,13.3,13.35,54600,0
20050901,13.5,13.7,12.82,13.3,114000,0
20050902,13.4,13.8,13.35,13.63,87800,0
20050906,13.65,13.69,13.3,13.31,56000,0
20050907,13,13,11.9,12.15,145300,0
20050908,12,12.75,11.9,12.66,94300,0
20050909,12.62,12.65,12.12,12.21,69800,0
20050912,12.21,12.21,11.51,12.05,91500,0
20050913,12.05,12.42,12.04,12.28,81100,0
20050914,12.24,12.27,12.06,12.08,20600,0
20050915,11.9,12.31,11.64,11.64,383900,0
20050916,11.84,12.3,11.74,12.1,146200,0
20050919,12.15,12.2,10.72,10.85,259700,0
20050920,10.85,11.42,10.8,11.2,101500,0
20050921,11.28,11.3,10.8,10.95,50100,0
20050922,10.76,11,10.67,10.85,78900,0
20050923,10.86,10.95,10.75,10.78,54500,0
20050926,10.78,11.1,10.5,10.5,140400,0
20050927,10.5,10.6,9.9,9.91,179100,0
20050928,9.8,10.05,9.65,9.93,122100,0
20050929,9.98,9.98,9.68,9.68,66100,0
