Date,Open,High,Low,Close,Volume,OpenInt
20150820,34.275,34.325,34.255,34.255,1508,0
20150821,33.699,33.699,33.35,33.35,301,0
20150824,32.893,32.893,32.893,32.893,150,0
20150825,33.122,33.122,33.122,33.122,100,0
20150826,32.654,32.654,32.654,32.654,201,0
20150827,33.589,33.789,33.589,33.689,704,0
20150831,33.45,33.45,33.39,33.41,503,0
20150901,32.456,32.466,32.456,32.466,604,0
20150910,33.102,33.201,33.102,33.201,201,0
20150917,34.056,34.066,34.056,34.066,201,0
20150930,32.232,32.232,32.232,32.232,100,0
20151002,32.93,32.93,32.93,32.93,100,0
20151008,33.877,33.877,33.877,33.877,301,0
20151009,34.145,34.145,34.145,34.145,100,0
20151012,34.115,34.115,34.115,34.115,502,0
20151013,33.885,33.885,33.885,33.885,100,0
20151014,33.857,33.857,33.857,33.857,100,0
20151015,34.274,34.274,34.274,34.274,100,0
20151016,34.384,34.414,34.384,34.414,201,0
20151019,34.205,34.205,34.205,34.205,201,0
20151023,34.941,34.941,34.922,34.932,301,0
20151026,34.832,34.832,34.832,34.832,100,0
20151105,34.544,34.544,34.544,34.544,502,0
20151106,34.264,35.161,34.055,34.374,11646,0
20151109,33.975,33.975,33.975,33.975,100,0
20151111,34.185,34.264,34.185,34.254,703,0
20151112,33.847,33.915,33.847,33.895,703,0
20151113,33.667,33.677,33.577,33.587,2410,0
20151116,34.075,34.872,33.398,33.925,281911,0
20151117,33.975,34.045,33.905,33.935,904,0
20151118,33.985,34.105,33.945,34.035,1707,0
20151119,34.344,34.454,34.344,34.434,3915,0
20151120,34.434,34.454,34.344,34.404,41764,0
20151123,34.254,34.274,34.195,34.195,6024,0
20151124,33.955,34.195,33.955,34.155,603,0
20151125,34.254,34.344,34.155,34.155,3213,0
20151202,34.753,34.753,34.384,34.384,1004,0
20151203,34.362,34.362,34.105,34.105,3033,0
20151204,34.254,34.504,34.244,34.504,803,0
20151208,33.735,33.735,33.735,33.735,128,0
20151211,33.149,33.149,33.079,33.079,301,0
20151214,32.98,33.057,32.979,32.979,702,0
20151215,33.348,33.348,33.169,33.169,703,0
20151216,33.398,33.398,33.398,33.398,803,0
20151217,33.498,33.498,33.498,33.498,201,0
20151221,33.308,33.308,33.308,33.308,100,0
20151223,33.767,33.777,33.767,33.777,1204,0
20151224,33.857,33.867,33.857,33.867,559,0
20151230,33.962,34.027,33.962,34.027,80542,0
20151231,33.673,33.673,33.673,33.673,1301,0
20160104,32.714,32.714,32.714,32.714,300,0
20160105,32.842,32.843,32.842,32.843,214,0
20160106,32.373,32.403,32.373,32.403,466,0
20160107,32.004,32.005,31.646,31.646,1010,0
20160108,31.614,31.63,31.595,31.63,730,0
20160111,31.464,31.605,31.464,31.605,306,0
20160112,31.775,31.775,31.673,31.673,300,0
20160113,31.685,31.685,31.594,31.594,219,0
20160114,31.377,31.595,31.377,31.595,272,0
20160115,30.366,30.556,30.366,30.556,999,0
20160119,30.726,30.756,30.526,30.756,2703,0
20160120,29.807,30.186,29.807,30.186,429,0
20160121,30.268,30.268,30.268,30.268,105,0
20160122,29.987,30.976,29.987,30.897,416,0
20160126,31.076,31.076,31.076,31.076,100,0
20160127,31.054,31.492,31.054,31.275,709,0
20160128,31.185,31.185,31.185,31.185,100,0
20160201,31.545,31.605,31.445,31.605,123041,0
20160202,30.986,31.004,30.986,31.004,522,0
20160203,31.116,31.116,30.578,31.066,728,0
20160204,31.227,31.315,30.886,31.315,4339,0
20160205,30.766,30.766,30.766,30.766,100,0
20160208,30.007,30.037,30.007,30.037,287,0
20160209,43.921,43.921,29.787,29.787,1069,0
20160211,29.288,29.539,29.288,29.539,1342,0
20160212,29.597,29.628,29.597,29.627,445,0
20160216,30.217,30.286,30.137,30.267,102337,0
20160217,30.876,30.876,30.786,30.786,200,0
20160218,31.185,31.185,30.936,31.106,400,0
20160219,30.926,30.926,30.796,30.806,25969,0
20160222,31.275,31.275,31.275,31.275,300,0
20160224,30.346,30.726,30.346,30.726,200,0
20160225,31.116,31.116,31.116,31.116,100,0
20160226,31.096,31.096,31.036,31.036,200,0
20160229,31.006,31.006,31.006,31.006,400,0
20160301,31.515,31.715,31.515,31.715,260,0
20160302,31.662,31.662,31.625,31.625,6983,0
20160308,31.99,31.99,31.98,31.98,768,0
20160314,32.45,32.46,32.45,32.46,487,0
20160315,32.54,32.66,32.53,32.6499,89002,0
20160316,32.99,32.99,32.99,32.99,571,0
20160318,33.38,33.38,33.3,33.3,835,0
20160321,33.26,33.28,33.23,33.2692,35444,0
20160322,33.145,33.24,33.14,33.14,1056,0
20160323,32.87,32.87,32.87,32.87,988,0
20160328,32.9783,32.9783,32.9783,32.9783,615,0
20160329,32.92,32.92,32.91,32.91,299,0
20160330,33.6587,33.6587,33.6587,33.6587,106,0
20160331,33.5489,33.5489,33.5489,33.5489,179,0
20160401,33.08,33.08,32.95,32.95,56120,0
20160404,32.88,32.88,32.88,32.88,100,0
20160405,32.4705,32.4705,32.4705,32.4705,106,0
20160406,32.835,32.839,32.835,32.839,373,0
20160407,32.2701,32.2701,32.2701,32.2701,446,0
20160408,33.1087,33.1087,33.1087,33.1087,245,0
20160412,33.93,33.93,33.93,33.93,207,0
20160414,33.93,33.93,33.92,33.93,2222,0
20160415,33.8899,33.8899,33.819,33.819,470,0
