Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.7,31.725,29.7,31.05,6357,0
20050228,31.05,32.4,29.7,31.05,4370,0
20050301,30.375,30.375,29.7,30.375,2164,0
20050302,30.375,31.05,29.7,30.375,2413,0
20050303,30.375,32.4,28.35,29.025,13670,0
20050304,28.35,30.375,26.325,27.675,15852,0
20050307,28.35,29.025,23.625,24.3,21582,0
20050308,23.625,25.65,22.275,24.975,19164,0
20050309,24.975,26.325,24.3,25.65,9978,0
20050310,24.975,27.675,24.3,25.65,5662,0
20050311,24.975,26.325,24.975,25.65,5225,0
20050314,25.65,25.65,23.625,24.3,4597,0
20050315,23.625,26.325,23.625,24.975,7194,0
20050316,24.3,24.3,22.275,22.95,9800,0
20050317,23.625,23.625,20.925,22.5,6307,0
20050318,22.275,23.625,22.275,22.95,4323,0
20050321,23.625,24.3,22.275,23.625,4108,0
20050322,23.625,24.975,23.625,24.3,3874,0
20050323,24.975,26.325,23.625,24.975,3896,0
20050324,25.65,26.325,24.3,24.975,2526,0
20050328,24.975,24.975,22.95,23.625,2013,0
20050329,23.625,24.3,22.275,22.95,2390,0
20050330,23.625,23.625,22.275,22.275,4763,0
20050331,22.275,23.625,21.6,22.95,3181,0
20050401,22.95,22.95,20.25,21.6,7372,0
20050404,21.6,22.275,19.575,19.575,12674,0
20050405,19.575,20.25,17.55,18.225,9059,0
20050406,18.225,20.25,13.5,20.25,36308,0
20050407,19.575,22.95,19.575,22.275,6231,0
20050408,22.275,22.95,20.25,22.275,3640,0
20050411,22.95,22.95,20.25,21.6,3802,0
20050412,20.925,21.6,20.25,20.925,2707,0
20050413,20.25,22.95,20.25,20.25,2790,0
20050414,20.925,21.6,19.575,19.575,9164,0
20050415,19.575,22.275,19.575,20.925,10056,0
20050418,20.25,21.6,20.25,20.25,2059,0
20050419,20.925,22.275,20.25,20.25,1920,0
20050420,20.25,21.6,19.575,20.925,7089,0
20050421,20.25,20.925,18.9,20.25,3867,0
20050422,20.925,20.925,18.225,19.575,5920,0
20050425,18.9,18.9,16.875,18.225,6465,0
20050426,19.575,19.575,16.875,17.55,4991,0
20050427,17.55,18.9,16.875,18.9,2388,0
20050428,18.9,19.575,18.225,18.9,2101,0
20050429,19.575,19.575,17.55,18.225,4246,0
20050502,18.225,19.575,18.225,19.575,3244,0
20050503,18.9,19.575,18.9,19.575,2102,0
20050504,18.225,19.575,18.225,19.575,3747,0
20050505,19.575,19.575,18.9,18.9,2028,0
20050506,18.9,19.575,18.9,18.9,2062,0
