Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.563,23.802,23.546,23.643,4576,0
20050228,23.563,23.688,23.306,23.372,12474,0
20050301,23.372,23.546,23.372,23.546,4701,0
20050302,23.625,23.754,23.546,23.594,2257,0
20050303,23.594,23.705,23.514,23.546,4138,0
20050304,23.625,23.769,23.546,23.546,4764,0
20050307,23.625,24.008,23.625,23.929,14166,0
20050308,24.008,24.121,23.914,23.977,7333,0
20050309,23.785,24.057,23.738,23.914,9341,0
20050310,23.96,24.073,23.723,24.025,7585,0
20050311,24.121,24.184,23.802,23.865,7649,0
20050314,23.802,23.929,23.688,23.785,3071,0
20050315,23.785,24.104,23.785,24.089,6267,0
20050316,24.073,24.168,23.802,23.881,5515,0
20050317,23.914,24.04,23.833,24.04,4825,0
20050318,24.104,24.184,23.723,24.137,6394,0
20050321,24.201,24.265,24.089,24.184,5830,0
20050322,24.184,24.344,24.184,24.28,2947,0
20050323,24.184,24.249,23.881,23.96,12412,0
20050324,23.943,24.057,23.914,24.008,6519,0
20050328,24.04,24.089,23.34,24.089,19433,0
20050329,23.643,23.643,23.387,23.563,7649,0
20050330,23.594,23.594,23.387,23.577,6519,0
20050331,23.594,23.594,23.451,23.451,4325,0
20050401,23.514,23.577,23.402,23.402,6018,0
20050404,23.467,23.483,23.1,23.434,7960,0
20050405,23.483,23.625,23.34,23.372,6832,0
20050406,23.418,23.625,23.418,23.563,5265,0
20050407,23.594,23.625,23.434,23.609,5393,0
20050408,23.531,23.609,23.322,23.467,8462,0
20050411,23.577,23.625,23.355,23.483,9528,0
20050412,23.609,23.723,23.546,23.546,7711,0
20050413,23.609,23.643,23.563,23.577,814,0
20050414,23.546,23.546,23.212,23.212,12036,0
20050415,23.212,23.418,23.212,23.34,4200,0
20050418,23.34,23.355,23.1,23.355,11345,0
20050419,23.34,23.34,23.02,23.1,8714,0
20050420,23.259,23.355,23.163,23.355,5453,0
20050421,23.497,23.563,23.322,23.402,4200,0
20050422,23.434,23.434,23.34,23.355,2068,0
20050425,23.355,23.483,23.179,23.179,12849,0
20050426,23.195,23.418,23.116,23.418,10594,0
20050427,23.259,23.402,23.1,23.402,3886,0
20050428,23.372,23.434,23.212,23.212,4075,0
20050429,23.259,23.563,23.259,23.563,5453,0
20050502,23.483,23.483,23.355,23.355,1819,0
20050503,23.434,23.594,23.434,23.467,2508,0
20050504,23.434,23.754,23.434,23.754,6769,0
20050505,23.802,23.96,23.754,23.865,5393,0
20050506,23.865,24.025,23.723,23.929,7021,0
20050509,23.881,23.96,23.817,23.96,2885,0
20050510,23.881,24.025,23.643,23.705,4013,0
20050511,23.705,23.705,23.451,23.705,4640,0
20050512,23.705,23.705,23.34,23.355,10154,0
20050513,23.418,23.546,23.259,23.546,9403,0
20050516,23.643,23.688,23.563,23.609,7021,0
20050517,23.643,23.674,23.036,23.036,10906,0
20050518,22.812,23.052,22.478,22.908,23443,0
20050519,22.908,22.924,22.478,22.619,12602,0
20050520,22.589,22.908,22.589,22.908,6645,0
20050523,22.654,23.306,22.654,23.1,18367,0
20050524,23.02,23.212,22.86,22.956,12602,0
20050525,23.02,23.34,22.956,23.068,6583,0
20050526,23.179,23.179,22.877,23.083,8964,0
20050527,23.02,23.02,22.797,23.004,6145,0
20050531,22.892,23.179,22.717,22.94,10906,0
20050601,22.86,23.146,22.86,22.956,5830,0
20050602,22.972,23.1,22.717,22.94,13351,0
20050603,22.86,23.133,22.763,23.052,9090,0
20050606,22.86,22.94,22.589,22.763,15422,0
20050607,22.763,22.956,22.717,22.717,17428,0
20050608,22.557,22.908,22.557,22.844,12036,0
20050609,22.749,22.892,22.557,22.67,14669,0
20050610,22.67,22.812,22.619,22.619,7960,0
20050613,22.557,22.908,22.445,22.908,9903,0
20050614,22.908,22.908,22.46,22.828,22066,0
20050615,22.828,22.892,22.749,22.78,7960,0
20050616,22.619,22.78,22.557,22.78,7773,0
20050617,22.717,22.717,22.415,22.494,8714,0
20050620,22.589,22.589,21.392,21.744,26954,0
20050621,21.601,21.68,21.248,21.378,31531,0
20050622,21.232,21.919,20.371,21.774,50086,0
20050623,21.695,21.919,21.472,21.774,11345,0
20050624,21.774,21.903,21.584,21.618,6456,0
20050627,21.711,21.727,21.584,21.601,12914,0
20050628,21.314,21.458,21.088,21.122,7711,0
20050629,21.153,21.328,20.994,21.328,13227,0
20050630,21.282,21.344,19.909,20.388,30717,0
20050701,20.405,20.61,18.361,19.11,64063,0
20050705,18.394,18.745,17.579,18.537,103307,0
20050706,18.537,19.846,18.537,19.829,57483,0
20050707,19.988,20.354,19.942,20.245,24008,0
20050708,20.53,20.771,20.405,20.66,14669,0
20050711,20.771,20.771,20.228,20.228,28710,0
20050712,20.228,20.451,19.796,19.942,30653,0
20050713,19.942,20.388,19.942,20.388,17867,0
20050714,20.689,20.994,20.61,20.978,9279,0
20050715,20.978,20.978,20.53,20.705,7773,0
20050718,20.61,20.739,20.468,20.579,5891,0
20050719,20.61,20.66,20.228,20.53,11221,0
20050720,20.53,20.722,20.53,20.548,10407,0
20050721,20.739,20.754,20.548,20.61,6145,0
20050722,20.771,20.771,20.324,20.324,9654,0
20050725,20.26,20.354,20.022,20.164,8087,0
20050726,20.148,20.689,19.988,20.689,34289,0
20050727,20.689,20.802,20.594,20.802,8524,0
20050728,20.978,20.978,20.354,20.513,7898,0
20050729,20.484,20.564,20.405,20.564,2758,0
20050801,20.61,20.931,20.53,20.771,8839,0
20050802,20.689,20.689,20.468,20.513,3575,0
20050803,20.451,20.548,20.245,20.245,6394,0
20050804,20.388,20.689,20.179,20.689,11971,0
20050805,20.53,20.61,20.468,20.468,5830,0
20050808,20.548,20.643,20.068,20.068,9214,0
20050809,19.988,20.148,19.909,19.972,3762,0
20050810,19.909,20.213,18.6,20.213,45571,0
20050811,19.988,20.501,19.782,19.893,17614,0
20050812,19.972,20.371,19.064,19.207,20246,0
20050815,19.095,19.623,19.095,19.606,12222,0
20050816,19.448,19.909,19.288,19.909,14669,0
20050817,19.448,20.005,19.448,20.005,23569,0
20050818,20.005,20.022,19.812,20.022,5891,0
20050819,20.035,20.228,19.796,20.195,10154,0
20050822,20.195,20.26,20.068,20.26,9592,0
20050823,20.228,20.451,20.068,20.354,5955,0
20050824,20.101,20.26,20.068,20.148,5641,0
20050825,19.909,19.972,19.687,19.782,13603,0
20050826,19.782,19.909,19.782,19.863,4953,0
20050829,19.796,20.068,19.716,19.846,7396,0
20050830,19.829,20.068,19.829,19.909,6832,0
20050831,19.988,19.988,19.829,19.893,2571,0
20050901,19.863,20.035,19.687,19.765,3510,0
20050902,19.687,20.501,19.687,20.388,12412,0
20050906,20.501,20.675,20.228,20.579,12914,0
20050907,20.484,20.564,20.324,20.451,7960,0
20050908,20.451,20.675,20.451,20.675,3635,0
20050909,20.66,20.771,20.66,20.689,4389,0
