Date,Open,High,Low,Close,Volume,OpenInt
20151015,25.754,28.892,25.515,28.892,135403,0
20151016,27.199,27.288,26.551,26.88,213292,0
20151019,27.099,27.757,26.173,27.099,108804,0
20151020,27.288,27.298,26.173,26.372,58722,0
20151021,26.432,26.81,25.545,26.123,48078,0
20151022,26.561,26.72,25.814,26.252,23688,0
20151023,26.641,26.999,26.471,26.95,26699,0
20151026,27.318,27.398,26.571,27.099,16762,0
20151027,27.248,27.597,26.999,27.597,29610,0
20151028,28.115,28.424,27.149,28.424,49383,0
20151029,28.603,28.703,27.757,27.786,29208,0
20151030,28.095,28.095,27.318,27.547,22283,0
20151102,28.016,29.072,27.567,29.072,53238,0
20151103,29.64,29.759,28.524,29.689,81302,0
20151104,29.988,29.988,29.191,29.809,33882,0
20151105,30.138,30.138,29.171,29.57,25495,0
20151106,30.088,30.088,29.032,29.57,33826,0
20151109,29.749,30.008,29.45,29.968,23575,0
20151110,29.909,30.148,29.739,30.138,23989,0
20151111,30.387,30.457,29.52,29.52,27101,0
20151112,29.61,29.61,28.853,28.853,15457,0
20151113,29.112,29.57,28.414,29.251,13851,0
20151116,29.092,29.42,28.434,29.002,22082,0
20151117,29.48,29.57,28.843,29.171,18870,0
20151118,29.391,29.789,29.191,29.789,9837,0
20151119,30.327,30.327,29.151,29.331,12948,0
20151120,29.47,29.66,29.281,29.49,10840,0
20151123,29.51,30.247,29.46,30.088,27402,0
20151124,30.158,30.158,29.55,30.048,15457,0
20151125,30.377,30.905,30.267,30.805,42056,0
20151127,31.034,31.144,30.885,31.044,22082,0
20151130,31.383,31.383,30.387,30.676,35331,0
20151201,31.114,31.114,30.118,30.516,26296,0
20151202,30.975,31.044,30.407,30.447,20185,0
20151203,30.457,30.672,29.311,29.57,15825,0
20151204,29.64,30.088,29.42,30.038,14153,0
20151207,30.337,30.337,28.633,28.743,24892,0
20151208,28.793,29.13,28.286,28.992,11968,0
20151209,29.032,29.032,27.786,27.986,35331,0
20151210,27.866,28.414,27.866,28.275,27703,0
20151211,27.986,28.125,27.388,27.418,29610,0
20151214,27.398,27.398,26.581,26.851,14311,0
20151215,27.547,27.547,27.059,27.458,11141,0
20151216,27.836,28.733,27.796,28.663,26498,0
20151217,28.902,29.141,27.996,28.145,28807,0
20151218,28.245,28.444,28.085,28.135,15859,0
20151221,28.723,28.723,27.896,28.255,6825,0
20151222,28.374,28.394,28.036,28.155,5391,0
20151223,28.414,28.912,28.245,28.773,11543,0
20151224,29.341,29.341,28.858,29.008,7809,0
20151228,29.53,29.53,28.245,28.324,10475,0
20151229,28.49,28.979,28.49,28.92,15715,0
20151230,29.16,29.16,28.77,29.01,2802,0
20151231,28.9589,28.9589,28.5201,28.5201,7600,0
20160104,28.56,28.56,27.3,27.5,21474,0
20160105,27.71,27.73,27.1842,27.3625,9838,0
20160106,27.11,27.11,26.01,26.253,19078,0
20160107,25.94,25.94,24.74,24.74,26653,0
20160108,26.18,26.18,24.25,24.32,30245,0
20160111,24.3,24.4264,22.45,22.9999,39286,0
20160112,23.51,24.206,22.65,23.43,20147,0
20160113,23.72,23.7599,21.685,21.705,24621,0
20160114,22.06,22.6585,20.98,22.3699,24194,0
20160115,21.18,21.9,21.034,21.8744,23084,0
20160119,21.9,22.31,20.8,21.28,17900,0
20160120,20.06,22.2599,20.06,21.9748,28944,0
20160121,21.89,22.55,21.7402,21.8501,7167,0
20160122,23.89,23.89,22.04,22.26,27245,0
20160125,22.4,22.7099,22.23,22.23,24788,0
20160126,21.87,22.2,21.4324,22.05,6420,0
20160127,22.0813,22.0813,21,21.0401,7861,0
20160128,20.7,20.78,20.26,20.2701,14265,0
20160129,20.03,20.7699,20.03,20.73,10583,0
20160201,20.9,21.106,20.3818,21.06,9627,0
