Date,Open,High,Low,Close,Volume,OpenInt
20071015,0.75,1,0.75,1,1000,0
20090629,1,2,1,1.65,25680,0
20090630,1.75,2.5,1.75,2.5,10800,0
20090701,2,2,1.75,1.75,1600,0
20090702,2,3.25,2,2.5,10800,0
20090706,2.5,2.5,2,2.22,2500,0
20090707,2.2,2.25,1.75,2,4200,0
20090708,1.75,2.2,1.75,2.2,1550,0
20090709,2,2.2,2,2.2,2000,0
20090710,2.01,2.01,2.01,2.01,500,0
20090713,2,2.25,2,2.25,1500,0
20090714,2.35,2.99,2.35,2.99,1600,0
20090715,2.5,2.5,2,2,3000,0
20090716,2,2.2,2,2.2,4000,0
20090717,2.25,2.25,2.25,2.25,2500,0
20090720,2.25,2.5,2.25,2.5,5600,0
20090721,2.5,2.6,2.5,2.6,5300,0
20090722,2.5,2.5,2.25,2.5,8500,0
20090723,2.5,2.99,2.5,2.99,1450,0
20090727,2.5,2.5,2.5,2.5,1750,0
20090728,2.5,2.5,2.26,2.26,2700,0
20090729,2.99,2.99,2.5,2.5,1100,0
20090730,2.5,2.5,2.5,2.5,2000,0
20090731,2.5,2.5,2.5,2.5,500,0
20090803,2.5,2.5,2.5,2.5,3500,0
20090804,2.5,2.5,2.5,2.5,3500,0
20090806,2.6,2.89,2.6,2.89,700,0
20090807,2.75,2.75,2.75,2.75,1000,0
20090811,2.75,2.75,2.75,2.75,2100,0
20090813,2.98,3,2.82,3,8500,0
20090814,3.5,3.5,3.5,3.5,5800,0
20090817,4,4,3.35,3.5,3300,0
20090818,3.5,3.5,3.5,3.5,1000,0
20090819,3.5,3.5,3.5,3.5,1500,0
20090820,3.5,3.65,3.27,3.6,6100,0
20090821,3.6,3.65,3,3.65,6900,0
20090824,3.6,3.6,3.25,3.49,2000,0
20090825,3.4,3.4,3,3.2,7850,0
20090826,3.49,3.49,3.49,3.49,500,0
20090827,3,3.3,3,3.3,1400,0
20090828,3.3,3.49,3.3,3.49,4100,0
20090831,3.3,3.3,2.75,3.3,1850,0
