Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.706,10.706,10.623,10.623,7586,0
20050228,10.714,10.714,10.623,10.623,6957,0
20050301,10.651,10.651,10.623,10.623,11769,0
20050302,10.623,10.623,10.623,10.623,478,0
20050303,10.587,10.623,10.587,10.623,5310,0
20050304,10.615,10.67,10.615,10.623,13979,0
20050307,10.606,10.623,10.587,10.623,2209,0
20050309,10.623,10.651,10.623,10.632,4200,0
20050310,10.606,10.615,10.569,10.569,3170,0
20050314,11,11,10.587,10.623,8221,0
20050315,10.632,10.67,10.587,10.623,11326,0
20050316,10.615,10.714,10.615,10.615,3735,0
20050317,10.615,10.623,10.587,10.587,7730,0
20050318,11.164,11.285,10.339,10.339,11701,0
20050321,10.476,10.752,10.339,10.551,13637,0
20050322,10.578,11.009,10.532,10.615,5055,0
20050323,10.485,10.542,10.458,10.458,5478,0
20050324,10.551,10.551,10.551,10.551,241,0
20050328,10.467,10.467,10.266,10.275,10102,0
20050329,10.266,10.266,10.045,10.11,3791,0
20050330,10.007,10.092,9.998,9.998,2018,0
20050331,10.393,10.412,10.266,10.266,1850,0
20050401,10.164,10.256,10.063,10.126,16916,0
20050404,10.063,10.063,9.834,9.843,4538,0
20050405,9.797,9.935,9.749,9.778,4165,0
20050406,10.292,10.292,9.63,9.63,4971,0
20050407,10.173,10.173,9.667,9.677,15410,0
20050408,10.283,10.283,9.722,9.834,1438,0
20050411,9.797,10.126,9.797,9.797,6724,0
20050412,9.797,10.017,9.713,9.713,4289,0
20050413,9.677,9.897,9.677,9.897,719,0
20050414,9.878,9.878,9.687,9.696,1143,0
20050415,9.621,9.621,9.621,9.621,961,0
20050418,9.687,9.834,9.605,9.605,2547,0
20050419,9.587,10.201,9.587,9.713,5318,0
20050420,9.778,9.797,9.778,9.797,1102,0
20050421,10.569,10.569,9.834,9.998,5052,0
20050422,9.998,9.998,9.587,9.587,1186,0
20050425,9.971,9.971,9.971,9.971,142,0
20050426,9.971,9.971,9.605,9.906,642,0
20050427,9.944,9.953,9.658,9.677,4285,0
20050428,9.869,9.869,9.63,9.63,1692,0
20050429,10.587,10.587,9.998,9.998,1329,0
20050502,10.714,10.714,9.677,9.834,10800,0
20050503,10.706,10.706,9.998,10.092,3957,0
20050504,9.778,10.358,9.741,9.998,6684,0
20050505,9.878,9.998,9.878,9.878,5017,0
20050506,9.998,10.836,9.998,10.266,3918,0
20050509,9.853,10.697,9.853,9.935,5527,0
20050510,10.092,10.173,10.092,10.092,2097,0
20050511,9.962,9.962,9.587,9.587,11629,0
20050512,9.713,9.768,9.713,9.768,601,0
20050513,9.4281,9.906,9.4281,9.696,17406,0
20050516,9.944,10.007,9.878,9.998,4166,0
20050517,9.878,9.897,9.853,9.853,4316,0
20050518,9.878,10.135,9.878,9.887,732,0
20050519,9.887,9.887,9.887,9.887,263,0
20050520,9.768,9.768,9.4183,9.696,8997,0
20050523,9.797,9.834,9.596,9.834,19051,0
20050525,9.878,10.817,9.749,10.092,48638,0
20050526,10.063,10.283,10.063,10.201,14491,0
20050527,10.154,10.412,10.11,10.11,7661,0
20050531,10.11,10.503,10.11,10.422,9919,0
20050601,10.154,10.367,10.154,10.283,19859,0
20050602,10.367,10.412,10.237,10.412,32812,0
20050603,10.33,10.33,10.183,10.183,6180,0
20050606,10.193,10.374,10.173,10.321,3414,0
20050607,10.283,10.632,10.283,10.503,45293,0
20050608,10.503,10.513,10.384,10.485,23768,0
20050609,10.374,10.374,10.374,10.374,971,0
20050610,10.412,10.503,10.374,10.374,1371,0
20050613,10.846,10.846,10.374,10.467,6400,0
20050614,10.503,10.503,10.503,10.503,510,0
20050615,10.503,10.503,10.374,10.374,3939,0
20050616,10.495,10.495,10.412,10.448,15339,0
20050617,10.412,10.495,10.154,10.154,25763,0
20050620,10.237,10.44,10.201,10.292,3675,0
20050621,10.283,10.283,10.283,10.283,972,0
20050622,10.431,10.431,10.283,10.283,3762,0
20050623,10.201,10.283,10.201,10.283,1711,0
20050624,10.283,10.283,9.935,9.935,46212,0
20050627,10.063,10.33,9.944,9.98,4872,0
20050628,10.1,10.237,9.989,9.989,7098,0
20050629,10.063,10.063,9.906,9.935,20510,0
20050630,9.935,9.935,9.935,9.935,674,0
20050701,9.925,9.925,9.887,9.925,11612,0
20050705,9.878,10.026,9.878,9.98,4193,0
20050706,9.869,9.869,9.869,9.869,2511,0
20050707,10.017,10.017,9.916,9.925,3198,0
20050708,10.017,10.017,9.713,9.843,26162,0
20050711,10.063,10.063,9.722,9.806,10215,0
20050712,9.63,9.732,9.539,9.639,68051,0
20050713,9.759,9.843,9.63,9.843,11500,0
20050714,9.759,9.925,9.759,9.887,7614,0
20050715,9.878,10.007,9.639,9.861,7773,0
20050718,9.887,10.017,9.806,9.843,11502,0
20050719,9.816,9.825,9.63,9.63,28594,0
20050720,9.63,9.759,9.587,9.759,38828,0
20050721,9.658,9.713,9.3913,9.558,28986,0
20050722,9.63,9.749,9.549,9.63,22005,0
20050725,9.63,9.63,9.4559,9.605,3160,0
20050726,9.658,9.759,9.63,9.759,28444,0
20050727,9.806,9.834,9.587,9.713,7999,0
20050728,9.63,9.759,9.587,9.759,176183,0
20050729,9.759,9.925,9.749,9.843,36021,0
20050801,9.935,9.935,9.667,9.887,38743,0
20050802,9.935,10.237,9.825,10.073,107545,0
20050803,10.063,10.063,10.017,10.063,8112,0
20050804,9.797,10.026,9.797,9.816,18788,0
20050805,9.843,9.869,9.705,9.705,43189,0
20050808,9.648,9.713,9.63,9.713,9432,0
20050809,9.759,9.797,9.741,9.741,10168,0
20050810,9.834,9.843,9.759,9.843,77951,0
20050811,9.878,9.887,9.759,9.778,7275,0
20050812,9.834,9.843,9.749,9.787,5853,0
20050815,9.787,9.806,9.713,9.797,1021,0
20050816,9.797,9.843,9.639,9.741,50666,0
20050817,9.759,9.962,9.759,9.869,26011,0
20050818,9.878,9.878,9.843,9.843,342,0
20050819,9.887,9.887,9.63,9.768,10379,0
20050822,9.658,9.687,9.539,9.539,18879,0
20050823,9.658,9.713,9.3741,9.568,84802,0
20050824,9.63,9.722,9.2819,9.667,61317,0
20050825,9.539,9.759,9.502,9.658,13813,0
20050826,9.816,9.816,9.658,9.806,45321,0
20050829,9.787,9.787,9.63,9.713,47543,0
20050830,9.806,9.878,9.687,9.696,55338,0
20050831,9.705,10.063,9.63,9.962,30040,0
20050901,9.998,10.183,9.797,10.183,11142,0
20050902,9.825,9.971,9.806,9.816,3110,0
20050906,9.806,9.816,9.759,9.778,34782,0
20050907,9.806,9.916,9.806,9.834,15647,0
20050908,9.759,9.869,9.759,9.861,11326,0
20050909,9.887,10.237,9.787,10.237,45911,0
20050912,9.935,10.551,9.935,10.503,34985,0
20050913,10.201,10.201,9.778,9.887,11426,0
20050914,9.935,9.935,9.843,9.869,4036,0
20050915,9.916,10.045,9.861,9.953,3884,0
20050916,9.887,9.887,9.759,9.878,11029,0
20050919,10.026,10.026,9.759,9.925,19337,0
20050920,9.989,10.283,9.806,10.183,12374,0
20050921,9.989,10.017,9.825,9.834,5849,0
20050922,9.806,9.816,9.759,9.816,13535,0
20050923,9.759,10.11,9.759,10.045,19269,0
20050926,9.887,10.073,9.878,10.063,1029,0
20050927,9.897,10.302,9.897,10.183,6309,0
20050928,10.063,10.219,10.063,10.063,6175,0
20050929,10.073,10.092,9.925,10.092,1749,0
20050930,10.458,10.587,10.154,10.412,4959,0
20051003,10.367,10.367,10.063,10.311,4150,0
20051004,10.256,10.256,10.164,10.201,2753,0
20051005,10.154,10.173,9.935,9.98,8631,0
20051006,10.292,10.374,10.135,10.374,12875,0
20051007,10.311,10.321,10.283,10.283,980,0
20051010,10.283,10.458,10.283,10.33,2880,0
20051011,10.135,10.551,10.017,10.063,36315,0
20051012,9.98,9.98,9.787,9.787,11252,0
20051013,9.787,10.173,9.787,9.906,5804,0
20051014,9.806,10.045,9.759,9.806,8074,0
20051017,9.834,9.834,9.768,9.768,688,0
20051018,9.944,10.201,9.759,9.759,6704,0
20051019,9.759,9.816,9.759,9.778,3301,0
20051020,9.768,10.11,9.759,9.759,4632,0
20051021,9.759,9.768,9.587,9.759,25142,0
20051024,9.787,9.843,9.787,9.787,1598,0
20051025,9.787,9.944,9.493,9.806,12007,0
20051026,9.787,9.825,9.759,9.825,5147,0
20051027,9.759,9.853,9.759,9.768,4793,0
20051028,9.759,9.768,9.759,9.759,4080,0
20051031,9.853,10.035,9.759,10.035,9985,0
20051101,10.035,10.035,9.853,9.906,8265,0
20051102,10.035,10.035,9.816,9.843,3343,0
20051103,9.843,9.843,9.843,9.843,2742,0
20051104,9.861,9.861,9.861,9.861,799,0
20051107,9.869,10.007,9.843,9.843,6715,0
20051108,9.962,10.007,9.843,9.853,16510,0
20051109,9.971,9.971,9.768,9.768,3430,0
20051110,9.816,9.816,9.768,9.768,1715,0
20051111,9.759,9.759,9.713,9.713,3206,0
20051114,9.713,9.713,9.63,9.696,4826,0
20051115,9.639,9.759,9.4559,9.539,69121,0
20051116,9.539,9.605,9.493,9.577,10928,0
20051117,9.539,9.63,9.493,9.539,31222,0
20051118,9.63,9.667,9.621,9.621,29506,0
20051121,9.587,9.621,9.493,9.558,7351,0
20051122,9.621,9.648,9.613,9.63,4460,0
20051123,9.539,9.63,9.493,9.539,12642,0
20051125,9.639,9.639,9.621,9.621,1598,0
20051128,9.648,9.648,9.605,9.605,1391,0
20051129,9.539,9.596,9.493,9.539,9561,0
20051130,9.605,9.621,9.51,9.52,12100,0
20051201,9.493,9.648,9.493,9.63,11393,0
20051202,9.648,9.648,9.549,9.63,1336,0
20051205,9.613,9.687,9.493,9.493,44991,0
20051206,9.648,9.648,9.493,9.493,22119,0
20051207,9.493,9.539,9.493,9.539,6468,0
20051208,9.493,9.539,9.4371,9.493,17280,0
20051209,9.63,9.639,9.4101,9.4101,53456,0
20051212,9.639,9.648,9.2819,9.3653,23476,0
20051213,9.493,9.587,9.4002,9.51,12910,0
20051214,9.51,9.51,9.3186,9.4002,94346,0
20051215,9.3186,9.4751,9.3186,9.4559,30709,0
20051216,9.3186,9.4559,9.3186,9.4101,1936,0
20051219,9.4101,9.4559,9.1994,9.4183,75560,0
20051220,9.4101,9.4559,9.3285,9.4183,59025,0
20051221,9.3653,9.63,9.3653,9.549,13594,0
20051222,9.549,9.549,9.4101,9.502,25288,0
20051223,9.3741,9.63,9.3741,9.4183,33463,0
20051227,9.4101,9.639,9.4101,9.4559,8128,0
20051228,9.539,9.596,9.4101,9.596,24947,0
20051229,9.63,9.63,9.4101,9.4101,21542,0
20051230,9.613,9.613,9.493,9.596,5327,0
20060103,9.52,9.596,9.4183,9.493,28799,0
20060104,9.539,9.605,9.52,9.549,10626,0
20060105,9.549,9.587,9.549,9.587,11133,0
20060106,9.63,9.63,9.587,9.587,36799,0
20060109,9.568,9.63,9.568,9.63,15677,0
20060110,9.63,9.639,9.558,9.613,17046,0
20060111,9.63,9.63,9.587,9.63,32562,0
20060112,9.63,9.667,9.621,9.63,13881,0
20060113,9.713,9.797,9.493,9.713,47021,0
20060117,9.63,9.853,9.4183,9.853,44853,0
20060118,9.878,10.283,9.869,10.237,25620,0
20060119,10.237,10.321,10.193,10.201,28819,0
20060120,10.237,10.237,9.869,9.869,19360,0
20060123,10.007,10.11,9.869,9.887,2670,0
20060124,9.887,9.887,9.787,9.843,14710,0
20060125,9.843,10.045,9.705,10.007,12180,0
20060126,10.045,10.092,9.953,10.092,7987,0
20060127,10.201,10.201,10.1,10.183,2575,0
20060130,10.201,10.201,9.853,9.925,4109,0
20060131,10.082,10.082,9.853,9.853,13086,0
20060201,10.135,10.193,10.017,10.026,17336,0
20060202,10.164,10.164,9.4101,9.63,61987,0
20060203,9.806,10.201,9.778,10.201,15646,0
20060206,10.201,10.201,10.063,10.063,6903,0
20060207,10.201,10.201,10.063,10.183,7995,0
20060208,10.201,10.201,10.063,10.073,15947,0
20060209,10.201,10.201,10.045,10.063,20184,0
20060210,9.925,10.1,9.749,10.017,9379,0
