Date,Open,High,Low,Close,Volume,OpenInt
20050225,18.66,18.765,18.388,18.736,33945,0
20050228,18.765,19.018,18.434,18.831,48646,0
20050301,19.009,19.066,18.565,18.765,42734,0
20050302,18.765,18.783,18.594,18.66,21584,0
20050303,18.726,18.831,18.66,18.745,136415,0
20050304,18.736,18.831,18.736,18.765,55440,0
20050307,18.736,18.831,18.736,18.783,20886,0
20050308,18.736,19.018,18.726,18.905,73119,0
20050309,19.066,19.113,18.688,18.962,63671,0
20050310,19.104,19.104,18.643,18.716,34140,0
20050311,18.736,18.736,18.594,18.66,61296,0
20050314,18.745,18.745,18.218,18.453,57414,0
20050315,18.331,18.643,18.078,18.519,75452,0
20050316,18.36,18.594,18.218,18.556,78112,0
20050317,18.218,18.614,18.218,18.556,47727,0
20050318,18.783,18.783,18.322,18.322,85319,0
20050321,18.2,18.643,18.17,18.594,31405,0
20050322,18.736,18.755,18.312,18.369,42877,0
20050323,18.556,18.594,18.264,18.444,40935,0
20050324,18.643,18.643,18.351,18.36,13818,0
20050328,18.5,18.547,18.415,18.492,19316,0
20050329,18.415,18.5,17.325,17.699,72636,0
20050330,17.626,18.322,17.626,18.19,35038,0
20050331,18.01,18.283,18,18.245,43393,0
20050401,18.322,18.322,17.569,17.588,40516,0
20050404,17.842,18.029,17.569,17.907,25463,0
20050405,17.662,17.954,17.502,17.907,24328,0
20050406,18.114,18.114,17.626,17.917,23141,0
20050407,18.17,18.17,17.69,18,11599,0
20050408,17.822,17.917,17.511,17.559,20888,0
20050411,17.408,17.408,17.042,17.042,26400,0
20050412,17.003,17.408,16.251,17.258,91181,0
20050413,17.258,17.267,16.946,16.994,31340,0
20050414,16.946,16.985,16.665,16.665,188647,0
20050415,16.778,16.778,15.486,16.1,169787,0
20050418,16.013,16.683,16.006,16.466,53135,0
20050419,16.76,16.76,15.912,16.608,82149,0
20050420,16.315,16.382,16.006,16.128,40932,0
20050421,16.138,16.626,16.138,16.523,31680,0
20050422,16.523,16.608,16.006,16.608,51399,0
20050425,16.665,16.665,16.203,16.588,30117,0
20050426,16.334,16.76,16.203,16.203,31427,0
20050427,16.241,16.721,15.912,16.655,28055,0
20050428,16.533,16.533,15.817,15.817,39482,0
20050429,15.958,16.1,15.629,15.817,28588,0
20050502,15.759,16.006,15.759,15.968,62064,0
20050503,15.949,16.363,15.912,16.109,76924,0
20050504,16.382,16.588,16.071,16.588,39995,0
20050505,16.448,16.645,16.223,16.402,29986,0
20050506,16.193,16.486,16.119,16.296,17506,0
20050509,16.26,16.486,16.041,16.382,21372,0
20050510,16.109,16.193,16.023,16.119,36473,0
20050511,16.193,16.241,16.013,16.241,7298,0
20050512,16.071,16.495,16.071,16.344,35035,0
