Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.649,16.582,15.453,16.556,93904,0
20050228,16.387,16.68,15.782,16.218,126318,0
20050301,16.325,16.753,16.191,16.753,78204,0
20050302,16.503,16.672,16.227,16.503,57171,0
20050303,16.672,16.672,15.8,16.237,56193,0
20050304,16.45,16.45,16.013,16.068,43971,0
20050307,16.246,16.369,15.96,16.041,51306,0
20050308,15.995,16.218,15.595,15.835,72054,0
20050309,15.755,16.459,15.585,16.36,105125,0
20050310,16.325,16.325,15.622,15.676,51373,0
20050311,15.64,15.747,14.831,15.649,91765,0
20050314,15.649,15.773,15.49,15.667,47426,0
20050315,15.854,16.068,15.098,15.213,87553,0
20050316,15.303,15.311,14.912,15.159,89186,0
20050317,14.962,15.249,14.672,14.859,112629,0
20050318,14.717,15.071,14.438,14.698,210147,0
20050321,14.476,14.812,14.28,14.546,73868,0
20050322,14.681,14.766,14.253,14.28,51838,0
20050323,14.234,14.448,14.189,14.298,76218,0
20050324,14.34,14.43,14.094,14.262,79235,0
20050328,14.216,14.734,14.216,14.289,69246,0
20050329,14.17,14.43,14.03,14.129,121708,0
20050330,14.198,14.476,14.152,14.375,184159,0
20050331,14.43,14.43,14.038,14.189,130682,0
20050401,14.43,14.803,14.207,14.421,208973,0
20050404,14.412,14.412,14.056,14.243,121847,0
20050405,14.234,14.662,14.216,14.57,182614,0
20050406,14.784,15.213,14.784,15.167,223230,0
20050407,15.167,15.213,14.929,15.151,76063,0
20050408,15.044,15.285,14.766,14.766,67372,0
20050411,14.734,14.885,14.28,14.689,102803,0
20050412,14.598,14.756,14.262,14.681,70472,0
20050413,14.537,14.766,14.056,14.103,51547,0
20050414,14.084,14.103,13.701,13.861,102412,0
20050415,13.861,13.949,13.345,13.585,64530,0
20050418,13.461,13.62,13.175,13.585,84624,0
20050419,13.657,13.942,13.247,13.915,80362,0
20050420,13.797,14.094,13.727,13.816,145462,0
20050421,13.833,14.616,13.833,14.385,90193,0
20050422,14.234,15.952,14.234,15.141,337341,0
20050425,15.141,15.49,15.036,15.249,163600,0
20050426,15.329,15.329,14.945,15.159,187414,0
20050427,14.971,16.281,14.971,15.49,220661,0
20050428,15.524,15.817,15.381,15.426,131628,0
20050429,15.49,15.968,14.936,15.881,110153,0
20050502,15.926,15.926,15.151,15.676,135487,0
20050503,15.676,16.059,15.649,15.693,157074,0
20050504,15.881,16.227,15.693,16.031,129810,0
20050505,15.916,16.163,15.872,15.898,91781,0
20050506,15.792,16.163,15.676,15.968,52008,0
20050509,16.003,16.103,15.711,16.013,85879,0
20050510,15.935,16.003,15.72,15.773,127625,0
20050511,15.73,16.013,15.73,15.881,111252,0
20050512,15.881,15.96,15.354,15.515,100245,0
20050513,15.506,16.138,15.506,15.977,118012,0
20050516,16.013,16.227,15.863,16.191,197214,0
20050517,16.013,16.369,16.003,16.281,180777,0
20050518,16.289,16.397,16.227,16.36,158642,0
20050519,16.334,16.548,16.307,16.484,268373,0
20050520,16.494,16.592,16.343,16.592,100082,0
20050523,16.592,17.011,16.503,16.965,213799,0
20050524,16.902,16.949,16.734,16.949,169269,0
20050525,17.037,17.037,16.637,16.806,178869,0
20050526,17.08,17.232,16.902,17.232,103116,0
20050527,17.071,17.332,16.984,17.214,64913,0
20050531,17.258,17.374,16.993,17.098,152436,0
20050601,17.003,17.34,16.939,17.276,121677,0
20050602,17.25,17.508,17.098,17.419,111799,0
20050603,17.392,17.392,16.806,16.876,123193,0
20050606,16.984,17.304,16.806,17.154,87529,0
20050607,17.197,17.527,16.841,16.965,106996,0
20050608,16.921,17.053,16.707,16.797,78229,0
20050609,16.734,17.062,16.45,16.975,164506,0
20050610,16.867,16.902,16.36,16.601,133720,0
20050613,16.476,16.958,16.476,16.825,77964,0
20050614,16.726,16.984,16.726,16.949,84607,0
20050615,16.949,16.949,16.494,16.816,118178,0
20050616,16.68,16.859,16.582,16.734,77071,0
20050617,16.85,16.85,16.369,16.476,189349,0
20050620,16.415,16.503,15.881,15.995,134331,0
20050621,15.916,16.307,15.863,16.227,193141,0
20050622,16.255,17.089,16.255,16.902,156657,0
20050623,16.825,17.624,16.825,17.428,176463,0
20050624,17.428,17.775,17.428,17.643,339417,0
20050627,17.527,17.741,17.08,17.677,179315,0
20050628,17.722,18.015,17.615,18.015,129669,0
20050629,18.025,18.193,17.783,18.015,112805,0
20050630,18.061,18.425,17.8,17.837,95937,0
20050701,17.8,18.112,17.588,17.837,83802,0
20050705,17.749,18.281,17.562,18.211,182814,0
20050706,18.238,18.416,18.087,18.211,147083,0
20050707,17.864,18.184,17.819,18.184,91197,0
20050708,18.103,18.55,18.051,18.55,114643,0
20050711,18.459,19.019,18.459,19.011,238865,0
20050712,19.037,19.28,18.719,19.155,158908,0
