Date,Open,High,Low,Close,Volume,OpenInt
20130118,18.747,19.729,18.443,18.926,14265985,0
20130122,18.873,19.774,18.329,19.746,1912621,0
20130123,19.462,20.176,19.425,20.176,1257379,0
20130124,20.445,20.524,19.31,19.648,527436,0
20130125,19.676,20.088,19.417,19.514,386092,0
20130128,19.783,19.783,18.988,19.194,603502,0
20130129,19.015,19.364,18.792,19.104,646493,0
20130130,18.971,19.63,18.648,18.82,251137,0
20130131,18.514,19.489,18.391,18.898,595630,0
20130201,18.854,19.505,18.854,19.364,549139,0
20130204,19.239,19.524,18.881,19.481,243379,0
20130205,19.452,20.167,19.229,19.854,373826,0
20130206,19.686,20.088,19.686,20.088,309902,0
20130207,20.088,20.104,19.676,19.809,205041,0
20130208,19.908,20.3,19.908,20.176,196497,0
20130211,20.31,20.533,20.131,20.238,132598,0
20130212,20.088,20.176,19.197,19.381,385483,0
20130213,19.505,19.746,19.06,19.266,505075,0
20130214,19.444,20.078,19.194,19.737,345199,0
20130215,19.662,20.328,19.533,19.989,1168604,0
20130219,19.953,20.024,19.597,19.899,959447,0
20130220,19.793,19.793,19.505,19.648,652533,0
20130221,19.695,19.882,19.373,19.434,589479,0
20130222,19.524,19.882,19.462,19.579,174435,0
20130225,19.603,19.72,19.373,19.489,377149,0
20130226,19.497,19.514,18.774,19.399,340036,0
20130227,19.273,20.088,18.587,18.917,1167143,0
20130228,18.82,19.266,18.774,19.023,552459,0
20130301,18.945,19.657,18.792,19.247,557079,0
20130304,19.247,19.802,19.131,19.737,197432,0
20130305,19.676,21.166,19.676,20.561,376967,0
20130306,20.533,20.746,20.398,20.533,343753,0
20130307,20.533,20.561,19.793,20.338,246996,0
20130308,20.435,20.538,20.069,20.193,154168,0
20130311,20.104,20.131,19.514,19.908,153138,0
20130312,19.846,19.916,19.639,19.774,92828,0
20130313,19.953,20.032,19.524,19.588,393513,0
20130314,19.639,19.809,19.425,19.505,214179,0
20130315,19.417,19.447,19.15,19.185,330979,0
20130318,19.069,19.452,19.023,19.407,324392,0
20130319,19.407,19.612,19.22,19.498,162114,0
20130320,19.55,19.998,19.399,19.703,579211,0
20130321,19.55,20.024,19.524,19.746,387159,0
20130322,19.998,20.72,19.756,20.496,387047,0
20130325,20.533,20.612,20.274,20.426,203697,0
20130326,20.457,20.726,20.205,20.564,226416,0
20130327,20.357,20.681,20.169,20.231,240777,0
20130328,20.313,20.608,20.051,20.537,3053030,0
20130401,20.618,20.977,20.374,20.834,489079,0
20130402,21.086,22.021,20.816,21.248,372808,0
20130403,21.23,21.301,20.879,20.95,114107,0
20130404,21.049,21.212,20.969,21.131,167179,0
20130405,21.014,21.616,20.743,21.273,259700,0
20130408,21.311,21.338,20.996,21.058,170996,0
20130409,21.068,21.239,20.987,21.031,76491,0
20130410,21.031,21.536,20.915,21.338,185413,0
20130411,21.38,21.67,21.147,21.32,93857,0
20130412,21.373,21.67,21.363,21.517,104115,0
20130415,21.517,21.76,20.772,20.96,165913,0
20130416,21.014,21.697,21.014,21.474,335689,0
20130417,21.428,21.578,20.861,21.203,85109,0
20130418,21.687,21.715,21.338,21.562,232769,0
20130419,21.588,21.697,21.311,21.517,166026,0
20130422,21.697,21.697,21.014,21.536,184971,0
20130423,21.626,21.751,21.157,21.653,161315,0
20130424,21.682,21.859,21.359,21.626,131192,0
20130425,21.687,21.839,21.166,21.264,120085,0
20130426,21.301,21.508,20.95,21.447,103783,0
20130429,21.687,22.334,21.635,21.786,275984,0
20130430,21.824,21.949,21.348,21.571,347833,0
20130501,21.48,21.562,21.283,21.301,222927,0
20130502,21.462,21.905,21.292,21.67,191224,0
20130503,21.941,21.941,21.578,21.67,288521,0
20130506,21.76,21.783,21.363,21.419,171314,0
20130507,21.489,21.588,21.22,21.32,231468,0
20130508,21.32,21.39,21.04,21.264,251481,0
20130509,21.256,21.498,20.006,20.449,639606,0
20130510,20.449,20.726,20.249,20.374,431681,0
20130513,20.401,20.717,20.15,20.365,299393,0
20130514,20.365,20.449,19.782,20.132,372386,0
20130515,20.681,20.681,19.862,20.231,435412,0
20130516,20.537,20.537,20.033,20.15,415049,0
20130517,20.141,20.249,19.701,19.99,514157,0
20130520,20.186,20.205,19.745,19.835,387126,0
20130521,19.782,19.953,19.566,19.719,330821,0
20130522,19.701,19.899,19.144,19.269,312337,0
20130523,19.171,19.719,18.928,19.655,293198,0
20130524,19.502,19.808,19.502,19.694,186666,0
20130528,20.331,20.421,19.808,19.882,953352,0
20130529,19.862,20.178,19.377,19.665,330525,0
20130530,19.674,19.899,19.341,19.727,125370,0
20130531,19.557,19.788,19.322,19.494,338783,0
20130603,19.629,19.773,18.973,19.124,245729,0
20130604,19.107,19.107,18.271,18.685,643732,0
20130605,18.685,19.233,18.658,19.063,512118,0
20130606,19.368,19.368,18.704,19.205,213390,0
20130607,19.332,19.566,19.107,19.144,158267,0
20130610,19.529,19.736,19.296,19.539,313732,0
20130611,19.368,19.547,19.179,19.404,144668,0
20130612,19.602,19.719,18.964,18.973,199568,0
20130613,19.016,19.477,18.793,19.477,181687,0
20130614,19.502,19.539,19.116,19.153,98574,0
20130617,19.312,19.36,18.9,18.973,117455,0
20130618,19.063,19.242,18.945,18.973,124387,0
20130619,19.026,19.189,18.675,18.756,105858,0
20130620,18.559,18.559,17.48,17.48,412868,0
20130621,17.516,17.579,17.093,17.443,351372,0
20130624,17.229,17.542,17.131,17.264,276827,0
20130625,17.417,17.417,17.093,17.219,221392,0
20130626,17.41,17.44,17.138,17.211,621697,0
20130627,17.238,17.962,17.215,17.871,515960,0
20130628,17.881,19.132,17.7,18.806,846623,0
20130701,18.905,19.079,18.599,18.905,271504,0
20130702,18.834,18.9,18.716,18.852,168264,0
20130703,18.742,18.905,18.651,18.87,62236,0
20130705,19.222,19.222,18.646,18.895,185393,0
20130708,18.987,19.151,18.641,18.943,212062,0
20130709,19.331,19.331,18.961,19.222,630668,0
20130710,19.305,19.667,19.179,19.596,351403,0
20130711,19.895,20.012,19.596,19.995,162698,0
20130712,20.029,20.147,19.813,19.885,124457,0
20130715,19.712,19.977,19.603,19.867,195071,0
20130716,19.911,19.911,19.639,19.696,122747,0
20130717,19.857,20.038,19.587,19.696,309381,0
20130718,19.776,19.839,19.495,19.696,124748,0
20130719,19.639,19.839,19.469,19.621,131206,0
20130722,19.657,19.82,19.396,19.469,135750,0
20130723,19.449,19.687,19.232,19.312,254531,0
20130724,19.44,19.849,19.086,19.178,128818,0
20130725,19.204,19.449,18.443,19.052,353352,0
20130726,18.895,19.023,18.768,18.824,450049,0
20130729,18.86,18.86,18.49,18.688,71883,0
20130730,18.787,18.787,18.561,18.623,262645,0
20130731,18.661,18.895,18.272,18.452,232712,0
20130801,18.579,19.142,18.362,18.708,110865,0
20130802,18.661,18.787,18.136,18.425,79350,0
20130805,18.434,18.634,18.18,18.425,55490,0
20130806,18.443,18.744,18.443,18.599,106026,0
20130807,18.87,18.87,18.017,18.136,177254,0
20130808,18.262,18.423,17.445,17.691,522119,0
20130809,17.691,17.899,17.428,17.827,194948,0
20130812,17.845,17.881,17.51,17.618,141684,0
20130813,17.591,17.672,17.201,17.473,143933,0
20130814,17.482,17.482,17.064,17.13,258084,0
20130815,17.219,17.445,16.639,16.675,186963,0
20130816,16.574,16.829,16.321,16.466,374009,0
20130819,16.357,16.639,16.295,16.304,152400,0
20130820,16.376,16.874,16.263,16.758,280827,0
20130821,16.758,17.037,16.548,17.002,178664,0
20130822,16.82,17.363,16.82,17.155,148785,0
20130823,17.155,17.264,16.983,17.173,73251,0
20130826,17.219,17.473,17.201,17.337,92014,0
20130827,17.229,17.363,17.011,17.31,176108,0
20130828,17.337,17.392,17.138,17.273,100292,0
20130829,17.282,17.537,17.238,17.454,139094,0
20130830,17.464,17.628,17.277,17.282,187153,0
20130903,17.41,17.572,17.282,17.473,86616,0
20130904,17.509,17.536,17.217,17.462,163739,0
20130905,17.544,17.782,17.398,17.653,291947,0
20130906,17.799,17.836,17.436,17.464,113825,0
20130909,17.573,17.771,17.363,17.662,83920,0
20130910,17.628,17.727,17.273,17.32,100440,0
20130911,17.32,17.491,17.11,17.436,144074,0
20130912,17.727,17.899,17.346,17.708,179900,0
20130913,17.791,17.791,17.301,17.553,74778,0
20130916,17.745,17.817,17.563,17.618,73349,0
20130917,17.637,17.771,17.591,17.637,61772,0
20130918,17.553,17.871,17.02,17.818,352562,0
20130919,17.808,18.098,17.808,17.927,77027,0
20130920,17.927,18.036,17.663,17.682,384884,0
20130923,17.718,17.889,17.084,17.662,77969,0
20130924,17.682,17.762,17.454,17.628,147340,0
20130925,17.576,17.801,17.568,17.628,96543,0
20130926,17.738,17.746,17.279,17.408,243910,0
20130927,17.335,17.417,17.042,17.27,116466,0
20130930,17.371,17.398,16.786,17.371,117464,0
20131001,17.371,17.462,16.97,17.252,280846,0
20131002,17.188,17.426,17.032,17.308,53266,0
20131003,17.217,17.426,16.904,16.96,386429,0
20131004,16.923,17.326,16.86,16.932,156082,0
20131007,16.85,17.159,16.793,16.803,84330,0
20131008,17.042,17.335,16.513,16.513,142735,0
20131009,16.548,16.823,15.918,16.584,399444,0
20131010,16.722,17.125,16.703,16.896,167202,0
20131011,16.913,17.371,16.904,17.133,185253,0
20131014,17.032,17.27,16.96,17.024,153193,0
20131015,17.032,17.235,16.968,16.997,135371,0
20131016,17.801,18.266,16.913,16.968,649986,0
20131017,16.968,18.165,16.64,18.083,491868,0
20131018,18.25,18.469,17.874,18.423,394304,0
20131021,18.478,19.199,18.25,18.953,351212,0
20131022,18.971,19.208,18.953,19.208,301444,0
20131023,19.19,19.575,18.953,19.182,254410,0
20131024,19.812,19.812,18.607,18.742,251786,0
20131025,18.798,19.073,18.688,18.897,118126,0
20131028,18.88,18.907,18.678,18.897,84657,0
20131029,18.916,19.208,18.751,18.816,191409,0
20131030,18.788,18.871,17.93,18.276,258567,0
20131031,18.341,18.418,17.81,17.82,271851,0
20131101,17.782,18.395,17.653,18.074,229474,0
20131104,18.175,18.25,17.279,17.618,292273,0
20131105,17.481,17.891,17.243,17.39,416397,0
20131106,17.536,17.536,16.484,16.594,397257,0
20131107,17.068,18.341,17.006,17.791,906407,0
20131108,17.883,18.77,17.692,17.965,435320,0
20131111,17.992,18.212,17.692,17.865,303284,0
20131112,17.883,18.276,17.653,17.782,300349,0
20131113,17.728,18.751,17.728,18.631,225699,0
20131114,18.578,19.492,18.294,19.337,198846,0
20131115,19.3,19.666,18.65,19.126,181130,0
20131118,19.081,19.795,19.035,19.594,189661,0
20131119,19.566,19.82,18.925,19.382,255116,0
20131120,19.465,19.94,18.816,19.528,151267,0
20131121,19.556,19.757,19.237,19.546,149191,0
20131122,19.566,19.703,19.035,19.117,146565,0
20131125,19.025,19.647,18.669,18.925,223458,0
20131126,18.897,19.199,18.266,18.386,2083958,0
20131127,18.368,18.871,18.112,18.65,262832,0
20131129,18.742,18.897,18.373,18.678,74647,0
20131202,18.688,19.045,18.559,18.907,257255,0
20131203,18.77,18.971,18.733,18.816,132674,0
20131204,18.725,18.798,18.469,18.669,150501,0
20131205,18.733,19.108,18.55,18.963,111783,0
20131206,19.164,19.365,18.916,19.054,94609,0
20131209,19.164,19.355,17.974,18.981,116049,0
20131210,19.025,19.292,18.825,18.981,200924,0
20131211,18.953,19.419,18.698,18.897,279787,0
20131212,18.852,18.976,18.751,18.852,507707,0
20131213,18.888,19.273,18.607,19.199,180255,0
20131216,19.245,19.556,19.172,19.501,265241,0
20131217,19.465,20.196,19.355,20.013,195347,0
20131218,19.95,20.013,19.61,19.958,222473,0
20131219,19.896,20.031,19.703,19.795,114628,0
20131220,19.795,20.379,19.629,20.316,272022,0
20131223,20.334,20.819,20.232,20.351,130925,0
20131224,20.387,20.564,20.343,20.498,60184,0
20131226,20.489,21.126,20.445,20.637,154958,0
20131227,20.6,20.719,20.057,20.489,145512,0
20131230,20.435,20.608,20.094,20.536,114672,0
20131231,20.445,20.692,20.168,20.564,140515,0
20140102,20.711,20.711,19.725,20.121,329474,0
20140103,20.121,20.316,19.863,20.158,156267,0
20140106,20.259,20.608,19.956,20.121,213925,0
20140107,20.121,20.397,19.931,20.259,258714,0
20140108,20.306,20.445,20.037,20.215,218159,0
20140109,20.296,20.296,19.771,19.984,159846,0
20140110,20.037,20.24,19.66,19.956,92952,0
