Date,Open,High,Low,Close,Volume,OpenInt
20060712,16,16,16,16,0,0
20060713,16,16.35,15.16,15.88,7696974,0
20060714,15.75,16.05,15.5,16,1715149,0
20060717,15.95,16.1,15.8,15.8,248236,0
20060718,15.81,15.95,15.75,15.8,196207,0
20060719,15.85,15.85,15.5,15.51,156749,0
20060720,15.5,15.69,15.5,15.69,228779,0
20060721,15.56,15.68,15.25,15.55,268750,0
20060724,15.55,16,15.5,15.6,108443,0
20060725,15.51,16,15.5,16,155766,0
20060726,16,16,15.63,15.7,54247,0
20060727,15.73,15.9,15.55,15.7,105940,0
20060728,15.61,15.8,15.25,15.3,213759,0
20060731,15.49,15.49,15.31,15.37,24126,0
20060801,15.35,15.5,15.15,15.29,127247,0
20060802,15.25,15.45,15.15,15.16,107311,0
20060803,15.15,15.91,15.15,15.61,91398,0
20060804,15.46,15.84,15.46,15.64,82600,0
20060807,15.36,15.67,15.18,15.3,79889,0
20060808,15.21,15.39,14.1,14.38,249710,0
20060809,14.33,14.53,14.25,14.28,113590,0
20060810,14.1,14.23,13.3,13.7,566391,0
20060811,13.71,14.6,13.7,14.25,316384,0
20060814,14.45,14.46,14.25,14.41,38593,0
20060815,14.47,14.71,14.06,14.1,93982,0
20060816,14.1,14.47,14,14.45,115399,0
20060817,14.49,14.99,14.13,14.99,86779,0
20060818,14.75,14.76,14.21,14.6,49519,0
20060821,14.49,14.6,14.17,14.19,31096,0
20060822,14.36,14.58,14.3,14.37,108944,0
20060823,14.37,14.75,14.15,14.3,141499,0
20060824,14.1,14.18,13.78,13.87,181905,0
20060825,13.62,13.79,13.31,13.39,176693,0
20060828,13.48,13.78,13.35,13.78,108241,0
20060829,13.8,14.32,13.8,14.01,64643,0
20060830,13.9,14.13,13.9,14.09,91430,0
20060831,14.2,14.32,13.98,14.08,135614,0
20060901,14.09,14.24,13.9,13.9,64463,0
20060905,14,14.21,13.97,14.14,143504,0
20060906,14.06,14.15,14.01,14.14,275315,0
20060907,14.04,14.11,13.91,13.95,84077,0
20060908,14,14,13.85,13.95,98550,0
20060911,13.83,14.24,13.83,14.23,149557,0
20060912,14.18,14.75,14.05,14.74,77781,0
20060913,14.77,15.57,14.64,15.32,250599,0
20060914,15.55,15.59,15.27,15.59,108470,0
20060915,15.5,16.24,15.5,16,567206,0
20060918,15.95,16.67,15.46,16.42,566062,0
20060919,16.37,16.75,16.37,16.73,118351,0
20060920,16.89,16.89,16.22,16.44,101731,0
20060921,16.3,16.41,16,16.03,91566,0
20060922,15.96,16.03,15.62,15.82,99320,0
20060925,15.82,15.9,15.48,15.58,144654,0
20060926,15.67,16,15.41,15.97,93721,0
20060927,15.83,16.16,15.6,15.9,75496,0
20060928,16.05,16.1,15.88,15.95,23887,0
20060929,15.9,16.05,15.79,15.81,28667,0
20061002,15.94,16.16,15.94,15.95,42748,0
20061003,15.95,16.05,15.58,15.76,48255,0
20061004,15.69,15.82,15.41,15.8,100018,0
20061005,15.69,15.95,15.69,15.87,136790,0
20061006,15.88,16,15.71,15.76,89507,0
20061009,15.8,15.95,15.72,15.78,26608,0
20061010,15.79,16,15.77,15.8,31303,0
20061011,16,16,15.45,15.5,126386,0
20061012,15.46,15.95,15.34,15.89,168000,0
20061013,15.99,16.32,15.91,16.19,72395,0
20061016,16.27,16.4,16.12,16.4,44789,0
20061017,16.24,16.73,15.69,15.69,152138,0
20061018,15.73,16,15.6,15.6,118461,0
20061019,15.59,15.92,15.34,15.42,63997,0
20061020,15.41,15.5,15.32,15.42,25566,0
20061023,15.35,15.67,15.02,15.15,70812,0
20061024,15.01,15.13,14.71,14.8,95074,0
20061025,14.71,14.81,14.35,14.64,292399,0
20061026,14.62,14.8,14.58,14.73,87102,0
20061027,14.65,14.82,14.63,14.63,124130,0
20061030,14.68,14.68,14.25,14.45,139324,0
20061031,14.53,14.57,14.29,14.45,63630,0
20061101,14.59,15.06,14.55,14.75,284364,0
20061102,14.75,14.94,14.51,14.88,115906,0
20061103,14.88,15.04,14.51,14.6,354231,0
20061106,14.68,15.06,14.67,15,213215,0
20061107,13.87,15.05,13.8,14.95,459204,0
20061108,14.91,15.58,14.84,15.14,87806,0
20061109,15.14,15.53,15.13,15.53,103941,0
20061110,15.53,15.53,15.25,15.41,102810,0
20061113,15.45,16.8,15.45,16.3,279192,0
20061114,16.6,16.6,15.92,16.26,359897,0
20061115,16.71,17.56,16.5,16.94,271779,0
20061116,16.95,17.35,16.88,17.25,196379,0
20061117,17.11,17.11,16.55,16.67,76342,0
20061120,16.62,16.91,16.05,16.21,165996,0
20061121,16.16,16.35,16.12,16.32,59714,0
20061122,16.3,16.49,16.2,16.25,34532,0
20061124,16.34,16.58,16.34,16.5,86002,0
20061127,16.5,16.54,15.68,15.94,141205,0
20061128,15.92,16.37,15.79,16.34,162539,0
20061129,16.22,16.75,16.22,16.54,182601,0
20061130,16.47,17.21,16.46,16.93,100145,0
20061201,16.76,16.86,16.45,16.81,179422,0
20061204,16.9,17.4,16.82,17.24,110783,0
20061205,17.21,17.8,17.05,17.8,200740,0
20061206,17.8,19.67,17.63,19.67,399688,0
20061207,19.34,19.62,19.1,19.4,301741,0
20061208,19.35,19.98,19.3,19.73,70319,0
20061211,19.65,19.78,19.31,19.44,150557,0
20061212,19.5,20.47,19.27,20.19,234410,0
20061213,19.45,19.75,19.45,19.63,225660,0
20061214,19.63,19.78,19.5,19.62,188955,0
20061215,19.68,19.72,19.51,19.57,45675,0
20061218,19.51,19.57,19.39,19.5,102918,0
20061219,19.4,20.12,19.39,19.5,72627,0
20061220,19.5,20.14,19.38,19.7,45060,0
20061221,19.72,19.76,19.44,19.76,15324,0
20061222,19.72,19.87,19.63,19.76,19343,0
20061226,19.66,19.96,19.58,19.96,58181,0
20061227,19.91,20.53,19.81,20.53,61000,0
20061228,20.53,21.4,20.53,21.4,108152,0
20061229,21.41,21.82,21,21.15,101823,0
20070103,21.21,21.48,20.29,20.6,119219,0
20070104,20.62,20.62,19.74,19.88,99309,0
20070105,19.84,19.87,18,18.61,370081,0
20070108,18.59,19.37,18.55,19.11,177596,0
20070109,19.19,19.19,18.68,18.79,115070,0
20070110,18.67,18.67,18.46,18.48,69562,0
20070111,18.47,19.38,18.47,19.16,120682,0
20070112,19.05,20.1,18.97,20.09,112665,0
20070116,20.08,20.75,19.97,20.67,99921,0
20070117,20.67,21,20.32,20.6,174679,0
20070118,20.67,20.7,19.54,19.64,141554,0
20070119,19.62,19.7,19.14,19.16,74149,0
20070122,19.3,19.68,19,19,114720,0
20070123,19,20.09,18.85,20,186865,0
20070124,19.97,19.97,19.38,19.74,118687,0
20070125,19.78,20.88,19.73,20.28,247687,0
20070126,20.36,20.89,20.23,20.7,168623,0
20070129,19.47,20.17,19.45,20,114283,0
20070130,20,20.5,20,20.22,81437,0
20070131,20.28,21.04,20.19,20.77,126270,0
20070201,20.89,21.44,20.88,21.24,123288,0
20070202,21.2,21.25,20.72,21.02,508369,0
20070205,21.01,21.1,20.46,20.89,255010,0
20070206,21.3,21.3,19.73,20.01,1019910,0
20070207,20.08,20.5,19.66,20.03,263865,0
20070208,20.07,20.78,20.03,20.58,96159,0
20070209,20.55,21.12,20.45,20.62,115980,0
20070212,20.7,20.7,20.03,20.24,137489,0
20070213,20.29,20.57,20.08,20.21,468926,0
20070214,20.25,20.81,20.04,20.54,136692,0
20070215,20.51,20.54,20.17,20.46,28420,0
20070216,20.41,20.5,20.28,20.49,54140,0
20070220,20.54,21.35,20.42,20.73,172417,0
20070221,20.61,21.13,20.61,20.8,144027,0
20070222,20.82,21.1,20.53,20.9,60640,0
20070223,20.91,21.12,20.68,20.9,90324,0
20070226,21.1,21.1,20.64,20.7,227420,0
20070227,20.52,20.52,19.58,19.91,228659,0
20070228,19.93,20.32,19.17,19.84,218621,0
20070301,19.48,19.77,18.88,19.16,147660,0
20070302,19.22,19.3,18.96,19,111176,0
20070305,19.05,19.68,18.94,19.1,381002,0
20070306,19.32,19.48,19.14,19.35,194920,0
20070307,19.33,19.6,19.26,19.33,65955,0
20070308,19.42,19.71,19.37,19.51,64850,0
20070309,19.61,19.79,19.31,19.54,193527,0
20070312,19.45,19.57,19.29,19.52,53095,0
20070313,19.31,19.48,18.07,18.15,125576,0
20070314,18.2,18.52,17.75,18.03,154889,0
20070315,18.06,18.32,18.04,18.23,119279,0
20070316,18.19,18.75,18.19,18.37,270364,0
20070319,18.59,18.59,18.26,18.31,76144,0
20070320,18.3,18.63,17.75,17.91,124729,0
20070321,17.86,18.49,17.74,18.17,235228,0
20070322,18.27,18.48,17.99,18.09,96064,0
20070323,18.06,18.59,18.03,18.24,76614,0
20070326,18.24,18.24,17.38,17.56,139440,0
20070327,17.56,17.96,17.53,17.68,132922,0
20070328,17.65,17.65,17.39,17.5,78717,0
20070329,17.62,17.63,17.35,17.35,78373,0
20070330,17.39,17.39,16.54,16.64,196890,0
20070402,16.67,17.13,16.62,17.08,664994,0
20070403,17.14,17.6,17.04,17.55,77119,0
20070404,17.55,17.6,17.45,17.56,9926,0
20070405,17.55,17.55,17.21,17.23,28562,0
20070409,17.27,17.31,16.34,16.51,147676,0
20070410,16.56,16.56,15.9,16.11,298575,0
20070411,16.16,16.53,16.16,16.41,90738,0
20070412,16.42,16.65,16.3,16.65,54923,0
20070413,16.61,16.66,16.39,16.45,239183,0
20070416,16.57,17.45,16.45,17.37,172190,0
