Date,Open,High,Low,Close,Volume,OpenInt
20151110,4.35,4.75,4.35,4.75,300,0
20151111,4.5,4.5,4.1,4.5,900,0
20151112,4.5,4.5,4.5,4.5,200,0
20151113,2.3,2.85,2.3,2.7,277400,0
20151116,2.8,2.8,2.52,2.7,166200,0
20151117,2.67,2.75,2.45,2.7,62500,0
20151118,2.8,2.8,2.39,2.45,26500,0
20151119,2.45,2.5,2.2,2.28,38100,0
20151120,2.44,2.53,2.1,2.5,85800,0
20151123,2.5,2.55,2.4,2.48,17400,0
20151124,2.6,2.69,2.45,2.45,65600,0
20151125,2.56,2.8,2.55,2.6,22900,0
20151127,2.41,2.84,2.4,2.69,16300,0
20151130,2.56,2.74,2.56,2.61,29600,0
20151201,2.501,2.6899,2.5,2.58,27454,0
20151202,2.75,2.75,2.55,2.57,25050,0
20151203,2.55,2.85,2.51,2.55,96945,0
20151204,2.55,2.6,2.42,2.5,58000,0
20151207,2.52,2.6,2.45,2.55,20400,0
20151208,2.5,2.552,2.41,2.47,33905,0
20151209,2.45,2.45,2.09,2.25,69300,0
20151210,2.2,2.3,2.12,2.15,55000,0
20151211,2.24,2.3,2.01,2.16,44800,0
20151214,2.15,2.47,2.07,2.25,30270,0
20151215,2.34,2.35,2.05,2.14,35900,0
20151216,2.07,2.2,1.85,2.2,65500,0
20151217,2.26,2.26,2.03,2.15,13300,0
20151218,2.18,2.24,1.66,1.66,82200,0
20151221,1.72,1.79,1.44,1.69,72600,0
20151222,1.6,1.69,1.46,1.5399,37884,0
20151223,1.61,2.18,1.55,2.15,80500,0
20151224,2.14,2.3,1.91,2.19,49534,0
20151228,2.24,2.35,2.1,2.18,42455,0
20151229,2.19,2.34,2.1,2.19,14903,0
20151230,2.2515,2.2515,1.94,2.24,4115,0
20151231,1.9886,2.1,1.82,2.06,18234,0
20160104,1.78,2.0899,1.78,1.994,8375,0
20160105,2.1,2.1,1.9484,2.09,16020,0
20160106,2.1,2.36,2.1,2.22,1804,0
20160107,2.2,2.25,2.06,2.09,5225,0
20160108,2.1344,2.2115,1.58,1.8,24891,0
20160111,1.9199,1.9199,1.48,1.642,62930,0
20160112,1.58,1.826,1.49,1.6,13778,0
20160113,1.57,1.86,1.56,1.58,16470,0
20160114,1.779,2.1001,1.66,1.87,54494,0
20160115,1.92,1.92,1.55,1.74,34894,0
20160119,1.94,1.94,1.57,1.77,27800,0
20160120,1.82,1.83,1.58,1.7129,1624,0
20160121,1.73,1.7797,1.66,1.746,645,0
20160122,1.68,1.8399,1.66,1.8399,8797,0
20160125,1.8,1.892,1.68,1.8799,12105,0
20160126,1.7999,1.88,1.6,1.7042,19604,0
20160127,1.9299,1.9299,1.6,1.7158,13008,0
20160128,1.65,1.7763,1.65,1.6626,3327,0
20160129,1.7539,1.82,1.731,1.7599,6283,0
20160201,1.8199,1.9199,1.76,1.83,24129,0
20160202,1.8999,2.15,1.88,2.01,34228,0
20160203,2.06,2.16,1.92,2.0199,7508,0
20160204,2.14,2.14,1.91,2.05,30134,0
20160205,2.01,2.01,1.85,1.91,28846,0
20160208,1.89,1.91,1.75,1.77,11740,0
20160209,1.7405,1.7653,1.67,1.67,4684,0
20160210,2.0299,2.0299,1.65,1.71,18125,0
20160211,1.7879,1.7879,1.7,1.772,11000,0
20160212,1.89,1.9,1.81,1.81,4200,0
20160216,2,2.03,1.5,1.72,89766,0
20160217,1.72,1.72,1.54,1.66,17527,0
20160218,1.74,1.85,1.385,1.82,64846,0
20160219,1.88,1.98,1.63,1.72,51517,0
20160222,1.67,1.7896,1.65,1.69,3472,0
20160223,1.66,1.69,1.63,1.66,8607,0
20160224,1.73,1.78,1.73,1.767,1948,0
20160225,1.71,1.81,1.62,1.695,12428,0
20160226,1.7177,1.7177,1.62,1.62,2878,0
20160229,1.74,1.74,1.57,1.57,4208,0
20160301,1.65,1.743,1.65,1.72,4600,0
20160302,1.7948,1.795,1.75,1.7616,5873,0
20160303,1.8,1.8,1.65,1.65,9201,0
20160304,1.63,1.7156,1.63,1.65,11820,0
20160307,1.69,1.78,1.4399,1.78,73994,0
20160308,1.7,1.8296,1.64,1.64,72695,0
20160309,1.64,1.67,1.5501,1.58,29796,0
20160310,1.5585,1.57,1.53,1.53,1066,0
20160311,1.6758,1.6758,1.5401,1.61,1796,0
20160314,1.7036,1.7036,1.7036,1.7036,621,0
20160315,1.6899,1.78,1.6899,1.69,9647,0
20160316,1.75,1.75,1.73,1.75,1367,0
20160317,1.8,1.839,1.76,1.82,32312,0
20160318,1.8082,1.86,1.77,1.84,16136,0
20160321,1.82,1.82,1.77,1.78,5762,0
20160322,1.9201,1.9483,1.79,1.84,24662,0
20160323,1.8958,2.03,1.798,1.98,111133,0
20160324,1.95,2.0199,1.8501,1.95,20587,0
20160328,2.05,2.06,1.76,1.8589,49773,0
20160329,1.9,1.91,1.8,1.85,5857,0
20160330,1.91,1.91,1.84,1.84,2299,0
20160331,1.84,1.93,1.71,1.84,53463,0
20160401,1.8,1.81,1.74,1.74,7980,0
20160404,1.74,1.74,1.62,1.7001,10808,0
20160405,1.7,1.8,1.7,1.8,2850,0
20160406,1.867,1.867,1.867,1.867,250,0
20160407,1.87,1.87,1.74,1.75,6736,0
20160408,1.9956,2.015,1.8,1.87,5215,0
20160411,1.82,1.8254,1.8,1.8145,1988,0
20160412,1.86,1.8628,1.81,1.86,19350,0
20160413,1.9,1.98,1.88,1.88,1830,0
20160414,2.17,2.66,1.95,1.97,811606,0
20160415,2.08,2.08,1.86,1.9,71790,0
