Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.89,11.35,10.75,11.19,312350,0
20050228,11.41,11.45,10.85,10.88,262564,0
20050301,10.84,11.14,10.31,10.5,489019,0
20050302,10.32,10.5,10.15,10.38,552167,0
20050303,10.36,10.39,9.67,9.92,421456,0
20050304,9.97,9.99,9.6,9.68,235957,0
20050307,9.6,9.86,9.58,9.61,121076,0
20050308,9.55,9.66,9.16,9.23,296783,0
20050309,9.17,9.44,9.17,9.26,291671,0
20050310,9.37,9.44,9.19,9.24,278107,0
20050311,9.2,9.44,9.19,9.41,265123,0
20050314,9.4,9.53,9.23,9.51,398505,0
20050315,9.46,10.75,9.44,10.39,1623140,0
20050316,9.96,10.05,9.52,9.78,838370,0
20050317,9.68,9.79,9.54,9.69,296058,0
20050318,9.72,9.86,9.63,9.82,388700,0
20050321,9.83,10,9.68,9.97,281374,0
20050322,9.97,10.4,9.71,9.75,424647,0
20050323,9.75,9.96,9.66,9.82,176243,0
20050324,9.77,10.17,9.77,10.15,267874,0
20050328,10.15,10.21,9.99,10.11,262699,0
20050329,10.01,10.11,9.62,9.73,341520,0
20050330,9.65,10.01,9.65,9.81,237575,0
20050331,9.8,9.82,9.54,9.67,321902,0
20050401,9.74,9.94,9.46,9.55,302419,0
20050404,9.5,9.87,9.37,9.86,176285,0
20050405,9.82,10.08,9.82,10.02,228001,0
20050406,10.05,10.2,10,10.08,142313,0
20050407,10.04,10.09,9.91,9.96,124848,0
20050408,9.93,9.98,9.56,9.68,175630,0
20050411,9.55,9.74,9.55,9.62,77486,0
20050412,9.57,9.85,9.23,9.79,222201,0
20050413,9.69,10,9.56,9.58,156757,0
20050414,9.58,9.76,9.31,9.31,131399,0
20050415,9.38,9.47,8.99,9.04,224196,0
20050418,9,9.5,8.81,9.15,248573,0
20050419,9.22,9.5,9.14,9.38,113378,0
20050420,9.32,9.5,8.95,9,135662,0
20050421,9,9.51,9,9.51,119221,0
20050422,9.4,9.51,8.95,9.02,181890,0
20050425,9.03,9.5,9.03,9.26,113254,0
20050426,9.19,9.45,9.04,9.08,139269,0
20050427,9.1,9.25,9.03,9.07,150299,0
20050428,9,9.04,8.61,8.65,226056,0
20050429,8.65,8.96,8.18,8.96,360217,0
20050502,8.92,9.15,8.84,9,151890,0
20050503,8.81,9.18,8.76,8.88,183787,0
20050504,8.95,9.24,8.9,9.17,159189,0
20050505,8.87,8.94,8.51,8.68,540619,0
20050506,8.8,9.05,8.8,8.89,309941,0
20050509,9.15,9.23,9,9.08,259965,0
20050510,9.12,9.16,8.95,9.05,210789,0
20050511,9.08,9.25,8.96,9.15,186312,0
20050512,9.15,9.21,9,9,90000,0
20050513,9,9.1,8.9,9.01,166341,0
20050516,9.08,9.18,8.96,9.14,133822,0
20050517,9.05,9.2,9.05,9.13,158352,0
20050518,9.15,9.3,9.1,9.28,183425,0
20050519,9.31,9.43,9.25,9.42,128712,0
20050520,9.44,9.46,9.33,9.35,61071,0
20050523,9.3,9.62,9.3,9.42,148790,0
20050524,9.38,9.4,9.3,9.31,96024,0
20050525,9.28,9.28,9.09,9.1,112860,0
20050526,9.23,9.26,9.11,9.21,68440,0
20050527,9.11,9.22,9.1,9.11,64079,0
20050531,9.05,9.21,9.05,9.1,158254,0
20050601,9.1,9.22,9.1,9.15,135833,0
20050602,9.15,9.21,9.08,9.1,118530,0
20050603,9.14,9.17,9.03,9.1,137800,0
20050606,9.05,9.18,9,9,85786,0
20050607,9,9.11,8.94,8.98,159354,0
20050608,8.96,9.06,8.36,8.47,295948,0
20050609,8.44,8.68,8.4,8.54,166569,0
20050610,8.63,8.68,8.55,8.62,76732,0
20050613,8.62,8.68,8.54,8.67,164047,0
20050614,8.69,8.73,8.51,8.66,165645,0
20050615,8.61,8.69,8.35,8.47,216992,0
20050616,8.34,8.53,8.34,8.5,216487,0
20050617,8.5,8.55,8.34,8.43,272159,0
20050620,8.4,8.5,8.31,8.38,140357,0
20050621,8.37,8.5,8.18,8.24,96651,0
20050622,8.33,8.47,8.06,8.13,178838,0
20050623,8.08,8.21,7.68,7.68,190461,0
20050624,7.72,7.96,7.66,7.7,252081,0
20050627,7.73,7.9,7.4,7.42,244941,0
20050628,7.45,7.89,7.45,7.84,158429,0
20050629,7.9,7.96,7.68,7.68,89234,0
20050630,7.67,7.71,7.28,7.34,344151,0
20050701,7.34,7.56,7.34,7.44,112747,0
20050705,7.44,7.49,7.27,7.48,182820,0
20050706,7.5,7.52,7.28,7.33,170531,0
20050707,7.3,7.55,7.29,7.42,141928,0
20050708,7.45,8.1,7.45,8.09,208121,0
20050711,8.06,8.43,7.95,8.43,225387,0
20050712,8.4,8.69,8.32,8.64,262247,0
20050713,8.63,8.63,8.25,8.28,133266,0
20050714,8.36,8.52,8.27,8.39,140849,0
20050715,8.25,8.44,8.18,8.41,153989,0
20050718,8.41,8.59,8.11,8.19,115772,0
20050719,8.26,8.44,8.11,8.41,121743,0
20050720,8.43,8.47,8.32,8.39,111254,0
20050721,8.36,8.49,8.11,8.22,129601,0
20050722,8.55,8.96,8.55,8.86,375006,0
20050725,8.9,8.95,8.47,8.52,197407,0
20050726,8.54,8.82,8.54,8.78,115872,0
20050727,8.82,8.94,8.4,8.59,181158,0
20050728,8.68,8.75,8.34,8.64,352224,0
20050729,8.67,8.71,8.55,8.58,117055,0
20050801,8.6,8.75,8.39,8.5,168844,0
20050802,8.44,8.6,8.4,8.56,153687,0
20050803,8.45,8.63,8.39,8.42,154579,0
20050804,8.45,8.45,8.01,8.22,280717,0
20050805,7.75,8.28,7.64,7.97,487619,0
20050808,7.95,7.97,7.55,7.63,231705,0
20050809,7.55,7.68,7.32,7.32,272950,0
20050810,7.37,7.5,7.15,7.4,265190,0
