Date,Open,High,Low,Close,Volume,OpenInt
20130925,13.911,14.027,13.374,13.656,3757333,0
20130926,13.801,13.949,13.701,13.911,201393,0
20130927,13.801,13.949,13.656,13.839,225426,0
20130930,14.374,14.374,13.953,14.285,91916,0
20131001,13.694,13.94,13.62,13.767,50643,0
20131002,13.694,13.767,13.468,13.598,92643,0
20131003,13.664,13.716,13.009,13.259,210892,0
20131004,13.62,13.62,13.041,13.041,68692,0
20131007,13.12,13.468,13.081,13.302,41711,0
20131008,13.62,13.62,13.279,13.279,24916,0
20131009,13.513,13.584,13.331,13.475,36339,0
20131010,13.513,13.685,13.402,13.44,37328,0
20131011,13.295,13.584,13.287,13.366,55026,0
20131014,13.295,13.461,13.134,13.454,36563,0
20131015,13.112,13.546,13.112,13.228,59911,0
20131016,13.259,13.729,13.112,13.12,64694,0
20131017,13.44,13.729,13.44,13.644,72409,0
20131018,13.44,13.984,13.432,13.532,157756,0
20131021,13.584,14.086,13.584,13.957,139724,0
20131022,13.801,13.932,13.62,13.883,62635,0
20131023,13.998,14.092,13.751,13.984,54375,0
20131024,13.809,14.157,13.809,13.883,63600,0
20131025,13.904,14.092,13.904,13.977,37168,0
20131028,14.122,14.53,14.021,14.064,55887,0
20131029,14.15,14.312,14.106,14.239,56026,0
20131030,14.086,14.317,13.729,13.911,54513,0
20131031,14.233,14.264,14.025,14.025,40732,0
20131101,13.709,14.099,13.701,13.801,12526,0
20131104,14.478,14.478,13.767,13.809,47382,0
20131105,14.057,14.057,13.767,13.809,78328,0
20131106,13.874,14.049,13.644,13.957,35517,0
20131107,13.99,14.057,13.432,13.579,72409,0
20131108,13.611,14.166,13.546,14.157,18310,0
20131111,14.021,14.172,13.839,14.092,20176,0
20131112,14.092,14.099,13.664,13.801,42815,0
20131113,13.861,14.09,13.656,13.911,88128,0
20131114,13.984,14.092,13.801,13.949,72682,0
20131115,13.962,14.021,13.795,13.839,61122,0
20131118,13.874,13.932,13.801,13.801,52313,0
20131119,13.861,14.021,13.809,13.94,47078,0
20131120,13.911,13.949,13.637,13.911,103105,0
20131121,13.911,14.092,13.751,14.092,33865,0
20131122,13.949,14.092,13.949,14.092,30011,0
20131125,14.021,14.179,13.874,14.166,57542,0
20131126,14.197,14.428,14.166,14.187,47218,0
20131127,14.216,14.384,14.203,14.375,22576,0
20131129,14.776,14.844,14.657,14.801,18516,0
20131202,14.399,14.455,14.266,14.455,33038,0
20131203,14.801,14.807,14.628,14.807,57255,0
20131204,14.807,14.807,14.695,14.725,76609,0
20131205,14.725,14.801,14.621,14.77,95557,0
20131206,14.538,14.807,14.367,14.733,55910,0
20131209,14.785,14.807,14.509,14.635,36826,0
20131210,14.435,14.666,14.435,14.495,37498,0
20131211,14.509,14.77,14.509,14.569,55238,0
20131212,14.725,14.762,14.599,14.725,41403,0
20131213,14.725,14.747,14.569,14.703,33732,0
20131216,14.725,14.762,14.456,14.725,34407,0
20131217,14.733,14.747,14.681,14.695,103893,0
20131218,14.695,14.733,14.657,14.725,84939,0
20131219,14.674,14.725,14.324,14.547,47579,0
20131220,14.138,15.03,14.138,15.03,796985,0
20131223,14.956,14.956,14.569,14.881,58598,0
20131224,14.946,14.946,14.695,14.733,22244,0
20131226,14.695,14.873,14.695,14.835,39244,0
20131227,14.835,14.835,14.547,14.703,22848,0
20131230,14.733,14.733,14.442,14.592,47579,0
20131231,14.634,14.956,14.605,14.807,56984,0
20140102,14.793,14.793,14.226,14.404,49666,0
20140103,14.421,14.695,14.257,14.338,26489,0
20140106,14.345,14.956,14.309,14.755,40187,0
20140107,14.747,14.899,14.681,14.873,37583,0
20140108,14.801,14.881,14.747,14.873,41126,0
20140109,14.835,14.946,14.762,14.912,43545,0
20140110,14.956,14.956,14.851,14.881,17876,0
20140113,14.881,14.889,14.695,14.881,26209,0
20140114,14.703,14.956,14.695,14.956,25131,0
20140115,14.899,15.065,14.822,15.03,45830,0
20140116,15.047,15.047,14.77,14.925,20482,0
20140117,14.993,14.993,14.703,14.889,20425,0
20140121,14.937,14.993,14.807,14.993,20966,0
20140122,14.993,14.993,14.873,14.937,26343,0
20140123,14.937,15.065,14.383,14.524,46233,0
20140124,14.352,15.03,14.352,14.986,27700,0
20140127,14.621,15.005,14.538,14.674,23517,0
20140128,14.703,14.703,14.516,14.584,19292,0
20140129,14.524,15.065,14.516,14.689,23656,0
20140130,14.807,15.03,14.695,14.889,34005,0
20140131,14.733,14.815,14.509,14.716,40434,0
20140203,14.657,14.703,14.472,14.576,13834,0
20140204,15.012,15.012,14.472,14.801,25266,0
20140205,14.703,14.77,14.138,14.315,60482,0
20140206,14.472,14.912,14.435,14.755,33043,0
20140207,14.881,14.925,14.516,14.725,19624,0
20140210,14.937,14.946,14.576,14.835,14399,0
20140211,14.695,14.933,14.56,14.674,24955,0
20140212,14.689,14.956,14.689,14.725,23278,0
20140213,14.666,14.904,14.56,14.881,37883,0
20140214,14.918,14.918,14.807,14.822,6620,0
20140218,14.881,14.946,14.77,14.937,25060,0
20140219,14.933,14.946,14.533,14.592,44969,0
20140220,14.681,14.881,14.533,14.873,9396,0
20140221,14.851,14.881,14.54,14.785,29114,0
20140224,14.844,14.844,14.509,14.621,38408,0
20140225,14.657,14.733,14.621,14.657,11572,0
20140226,14.621,14.822,14.509,14.747,45871,0
20140227,14.793,14.859,14.657,14.851,25069,0
20140228,14.634,14.881,14.634,14.881,30764,0
20140303,14.807,14.881,14.666,14.873,24666,0
20140304,14.881,14.881,14.666,14.828,38518,0
20140305,14.77,14.835,14.689,14.725,17418,0
20140306,14.77,14.946,14.739,14.868,19635,0
20140307,14.946,15.065,14.889,14.979,24778,0
20140310,15.022,15.022,14.77,14.873,34957,0
20140311,14.815,14.993,14.725,14.979,12390,0
20140312,15.336,15.345,14.726,14.955,26915,0
20140313,14.993,15.161,14.696,15.161,16899,0
20140314,15.161,15.161,15.006,15.114,22586,0
20140317,15.205,15.205,15.031,15.085,20945,0
20140318,15.153,15.229,15.006,15.108,16815,0
20140319,15.048,15.205,15.006,15.205,24612,0
20140320,15.199,15.205,15.031,15.17,17766,0
20140321,15.114,15.205,15.048,15.076,21850,0
20140324,15.006,15.199,14.682,14.84,35313,0
20140325,15.006,15.013,14.649,14.749,27595,0
20140326,14.831,14.847,14.604,14.628,86764,0
20140327,14.689,14.703,14.582,14.682,95116,0
20140328,14.649,14.742,14.598,14.666,31100,0
20140331,14.703,14.82,14.59,14.689,62426,0
20140401,14.634,14.742,14.582,14.649,21092,0
20140402,14.666,14.856,14.613,14.726,55481,0
