Date,Open,High,Low,Close,Volume,OpenInt
19801103,0.49384,0.49384,0.48194,0.49384,1675805,0
19801105,0.4998,0.5294,0.4998,0.4998,3083807,0
19801106,0.4998,0.4998,0.48194,0.48783,981947,0
19801107,0.48783,0.48783,0.47924,0.48494,746603,0
19801110,0.48494,0.49095,0.48494,0.48783,1225409,0
19801111,0.49095,0.5117,0.49095,0.5027,2503565,0
19801112,0.5059,0.5265,0.5059,0.5203,3233939,0
19801113,0.5234,0.5324,0.5234,0.5324,2284452,0
19801114,0.5324,0.538,0.5265,0.5324,2353428,0
19801117,0.5265,0.5265,0.5234,0.5265,2929611,0
19801118,0.5265,0.5412,0.5265,0.5353,3270459,0
19801119,0.5353,0.5442,0.5353,0.5353,6553086,0
19801120,0.5353,0.538,0.5265,0.5265,1663637,0
19801121,0.5265,0.5324,0.5265,0.5324,5664460,0
19801124,0.5324,0.5324,0.5234,0.5294,3870987,0
19801125,0.5294,0.5324,0.5265,0.5324,2678042,0
19801126,0.5324,0.5324,0.5265,0.5294,3311035,0
19801128,0.5294,0.5324,0.5294,0.5324,1740725,0
19801201,0.5324,0.5324,0.5234,0.5265,4731208,0
19801202,0.5265,0.5265,0.5176,0.5203,2454872,0
19801203,0.5203,0.5265,0.5146,0.5234,2316910,0
19801204,0.5234,0.5324,0.5234,0.5294,3059459,0
19801205,0.5265,0.5265,0.5176,0.5203,2933675,0
19801208,0.5176,0.5176,0.4998,0.5117,3286684,0
19801209,0.5117,0.5146,0.5027,0.5146,2767307,0
19801210,0.5146,0.5234,0.5146,0.5146,3728973,0
19801211,0.5059,0.5059,0.48783,0.49384,3672160,0
19801212,0.49384,0.5059,0.49095,0.5027,2170838,0
19801215,0.5087,0.5146,0.5087,0.5146,4276752,0
19801216,0.5146,0.5146,0.5027,0.5087,23193463,0
19801217,0.5087,0.5146,0.5059,0.5146,2227642,0
19801218,0.5146,0.5294,0.5146,0.5234,3367841,0
19801219,0.5234,0.5294,0.5203,0.5234,775008,0
19801222,0.5294,0.538,0.5294,0.5353,1890861,0
19801223,0.538,0.55,0.538,0.5472,2876864,0
19801224,0.5472,0.5677,0.5472,0.5648,2933675,0
19801226,0.5648,0.5766,0.5591,0.5677,1351194,0
19801229,0.5677,0.5738,0.556,0.556,2126202,0
19801230,0.556,0.556,0.5442,0.556,1002234,0
19801231,0.556,0.5591,0.55,0.5591,1785360,0
19810102,0.5591,0.5648,0.5591,0.5591,1225409,0
19810105,0.5591,0.5709,0.556,0.5709,2523853,0
19810106,0.5709,0.5826,0.5709,0.5738,4654110,0
19810107,0.5738,0.5738,0.5265,0.562,9052593,0
19810108,0.562,0.5709,0.556,0.556,5790250,0
19810109,0.556,0.562,0.5442,0.5472,6492220,0
19810112,0.5472,0.5591,0.5472,0.55,7453882,0
19810113,0.55,0.55,0.5412,0.5472,5352022,0
19810114,0.5472,0.55,0.5442,0.5442,3116268,0
19810115,0.5472,0.553,0.5472,0.553,1842168,0
19810116,0.5591,0.5677,0.5591,0.5648,3375956,0
19810119,0.5738,0.5826,0.5738,0.5826,4081983,0
19810120,0.5826,0.6033,0.5798,0.5826,4552672,0
19810121,0.5826,0.5885,0.5738,0.5856,4747436,0
19810122,0.5856,0.5885,0.5766,0.5826,1712322,0
19810123,0.5826,0.5885,0.5766,0.5798,2889035,0
19810126,0.5766,0.5766,0.5738,0.5738,2247932,0
19810127,0.5738,0.5885,0.5738,0.5885,2089682,0
19810128,0.5885,0.5973,0.5856,0.5973,2036933,0
19810129,0.5973,0.6003,0.5915,0.5973,1996358,0
19810130,0.6033,0.6211,0.6033,0.615,6471928,0
19810202,0.6093,0.6093,0.5915,0.5973,4094156,0
19810203,0.5973,0.6003,0.5915,0.6003,5063933,0
19810204,0.6003,0.6123,0.5973,0.6093,8443945,0
19810205,0.6093,0.6093,0.6033,0.6033,4719037,0
19810206,0.6033,0.615,0.6003,0.6033,11077350,0
19810209,0.6033,0.6033,0.5798,0.5826,2138378,0
19810210,0.5826,0.5856,0.5766,0.5826,3169016,0
19810211,0.5826,0.5826,0.5648,0.5677,2499506,0
19810212,0.562,0.562,0.5353,0.538,3704621,0
19810213,0.538,0.5442,0.5203,0.5294,3461168,0
19810217,0.538,0.556,0.5353,0.55,4524263,0
19810218,0.5591,0.5709,0.5591,0.5709,2487330,0
19810219,0.5709,0.5738,0.5591,0.5591,2544135,0
19810220,0.5591,0.5648,0.5412,0.5442,1821878,0
19810223,0.5442,0.562,0.538,0.556,1939553,0
19810224,0.562,0.5738,0.562,0.5677,4219942,0
19810225,0.5677,0.5709,0.556,0.5591,2531963,0
19810226,0.562,0.5738,0.562,0.5648,2089682,0
19810227,0.5648,0.5738,0.55,0.5591,3400300,0
19810302,0.5591,0.5591,0.5442,0.553,2568488,0
19810303,0.556,0.5648,0.556,0.556,3087862,0
19810304,0.5591,0.5677,0.5591,0.5591,1485098,0
19810305,0.5591,0.562,0.553,0.556,1188885,0
19810306,0.556,0.5591,0.5472,0.5472,511266,0
19810309,0.5472,0.55,0.5472,0.5472,1395829,0
19810310,0.5472,0.55,0.5472,0.5472,2876864,0
19810311,0.5472,0.55,0.5353,0.5412,2605005,0
19810312,0.562,0.5856,0.562,0.5826,5806482,0
19810313,0.5915,0.5973,0.5915,0.5915,6001248,0
19810316,0.5915,0.6093,0.5915,0.6063,2008532,0
19810317,0.6063,0.6093,0.6003,0.6033,2864693,0
19810318,0.6033,0.6033,0.5885,0.6033,2617177,0
19810319,0.6003,0.6003,0.5915,0.5915,3655933,0
19810320,0.5915,0.6033,0.5915,0.6033,3497687,0
19810323,0.6033,0.615,0.6033,0.6093,6252821,0
19810324,0.6093,0.6181,0.6093,0.615,6589605,0
19810325,0.615,0.636,0.6123,0.636,7774436,0
19810326,0.6388,0.6536,0.6388,0.6416,5108566,0
19810327,0.6416,0.6536,0.636,0.636,3781716,0
19810330,0.636,0.6565,0.627,0.6476,3262340,0
19810331,0.6476,0.6596,0.6416,0.6596,2588775,0
19810401,0.6476,0.6476,0.636,0.636,9689641,0
19810402,0.6211,0.6211,0.6093,0.6211,9730215,0
19810403,0.6211,0.6211,0.615,0.6181,4690629,0
19810406,0.6093,0.6093,0.6003,0.6033,2434581,0
19810407,0.6033,0.615,0.6033,0.615,2304736,0
19810408,0.615,0.6416,0.615,0.6416,3335380,0
19810409,0.6416,0.6416,0.636,0.6416,2600946,0
19810410,0.6416,0.6476,0.6388,0.6388,2495446,0
19810413,0.636,0.636,0.6242,0.627,1042811,0
19810414,0.627,0.636,0.627,0.6299,1708266,0
19810415,0.6299,0.6416,0.627,0.6416,1286272,0
19810416,0.6416,0.6507,0.636,0.6388,2093745,0
19810420,0.6388,0.6388,0.6299,0.6299,1655517,0
19810421,0.6299,0.6327,0.615,0.615,5039584,0
19810422,0.615,0.6211,0.615,0.6181,1330909,0
19810423,0.6211,0.636,0.6211,0.627,2503565,0
19810424,0.627,0.636,0.627,0.636,2085624,0
19810427,0.636,0.636,0.627,0.627,1663637,0
19810428,0.627,0.6299,0.627,0.627,1428290,0
19810429,0.627,0.627,0.615,0.615,2836291,0
19810430,0.615,0.615,0.5973,0.5973,5782136,0
19810501,0.5973,0.6033,0.5826,0.5915,3647815,0
19810504,0.5915,0.5915,0.5709,0.5885,1773188,0
19810505,0.5885,0.5885,0.5738,0.5885,3635644,0
19810506,0.5915,0.6033,0.5915,0.5973,3286684,0
19810507,0.5973,0.6093,0.5973,0.6093,1103677,0
19810508,0.615,0.6211,0.615,0.6181,1140196,0
19810511,0.615,0.615,0.5885,0.5973,7717628,0
19810512,0.5973,0.6033,0.5973,0.6033,3639702,0
19810513,0.6033,0.6093,0.5973,0.6033,2994535,0
19810514,0.6033,0.6033,0.5973,0.6033,2962076,0
19810515,0.6033,0.6093,0.6033,0.6033,1821878,0
19810518,0.6093,0.615,0.6003,0.615,1205119,0
19810519,0.615,0.615,0.6033,0.6063,1898974,0
19810520,0.6063,0.6093,0.6033,0.6093,762837,0
19810521,0.6093,0.6093,0.6033,0.6093,3027000,0
19810522,0.6093,0.6181,0.6093,0.6123,990064,0
19810526,0.6123,0.6242,0.6123,0.6242,762837,0
19810527,0.6242,0.6299,0.6211,0.6299,860222,0
19810528,0.636,0.6476,0.636,0.6388,6788433,0
19810529,0.6388,0.6476,0.6327,0.6416,2499506,0
19810601,0.6476,0.6536,0.6476,0.6536,2925560,0
19810602,0.6507,0.6507,0.6388,0.6416,929196,0
19810603,0.6327,0.6327,0.6123,0.6211,4913803,0
19810604,0.6211,0.6299,0.6181,0.627,1188885,0
19810605,0.627,0.636,0.627,0.6299,1541900,0
19810608,0.636,0.6565,0.636,0.6536,6208187,0
19810609,0.6536,0.6596,0.6536,0.6536,5822710,0
19810610,0.6536,0.6596,0.6536,0.6565,2759195,0
19810611,0.6565,0.6685,0.6536,0.6685,2970192,0
19810612,0.6685,0.6773,0.6654,0.6745,6459757,0
19810615,0.6745,0.6773,0.6596,0.6624,1537843,0
19810616,0.6624,0.6713,0.6624,0.6624,2986422,0
19810617,0.6624,0.6654,0.6565,0.6624,2114028,0
19810618,0.6654,0.6685,0.6654,0.6654,1241637,0
19810619,0.6654,0.6713,0.6654,0.6654,2345314,0
19810622,0.6654,0.6654,0.6596,0.6596,2698328,0
19810623,0.6596,0.6654,0.6596,0.6654,3043228,0
19810624,0.6654,0.6713,0.6624,0.6624,4601365,0
19810625,0.6624,0.6654,0.6596,0.6654,1046869,0
19810626,0.6654,0.6654,0.6654,0.6654,421995,0
19810629,0.6654,0.6654,0.6565,0.6565,986010,0
19810630,0.6565,0.6654,0.6565,0.6624,1265985,0
19810701,0.6624,0.6654,0.6596,0.6654,3765487,0
19810702,0.6654,0.6654,0.6536,0.6536,2600946,0
19810706,0.6416,0.6416,0.6211,0.6242,2191124,0
19810707,0.6242,0.627,0.6093,0.6211,3818239,0
19810708,0.6211,0.627,0.6211,0.6242,2369659,0
19810709,0.6242,0.6536,0.6211,0.636,5465638,0
19810710,0.6416,0.6476,0.6416,0.6476,1582478,0
19810713,0.6476,0.6476,0.6416,0.6416,669507,0
19810714,0.6416,0.6416,0.6327,0.6327,1136138,0
19810715,0.6327,0.6416,0.627,0.6388,2893096,0
19810716,0.6388,0.6476,0.6388,0.6476,1144252,0
19810717,0.6476,0.6476,0.6416,0.6416,876448,0
19810720,0.6416,0.6416,0.6299,0.636,1054983,0
19810721,0.636,0.636,0.627,0.6327,1793475,0
19810722,0.6327,0.6416,0.6299,0.6299,1554075,0
19810723,0.6299,0.6299,0.6093,0.6123,6122978,0
19810724,0.6123,0.6211,0.6123,0.6181,917026,0
19810727,0.6211,0.6299,0.6211,0.627,803415,0
19810728,0.627,0.636,0.627,0.6299,641111,0
19810729,0.6299,0.636,0.6211,0.627,1829993,0
19810730,0.627,0.6299,0.6242,0.6299,3639702,0
19810731,0.6299,0.6299,0.627,0.627,1403942,0
19810803,0.6242,0.6242,0.6123,0.6123,852106,0
19810804,0.6123,0.6123,0.6033,0.6063,6427299,0
19810805,0.6063,0.6123,0.6063,0.6093,2791652,0
19810806,0.6093,0.6093,0.6033,0.6093,1700150,0
19810807,0.6093,0.6093,0.6033,0.6033,685742,0
19810810,0.6033,0.6063,0.5944,0.5973,2641519,0
19810811,0.5973,0.6003,0.5826,0.5826,10091349,0
19810812,0.5856,0.5973,0.5856,0.5885,2941785,0
19810813,0.5885,0.5973,0.5885,0.5973,2511676,0
