Date,Open,High,Low,Close,Volume,OpenInt
20050225,1.8823,1.9572,1.8823,1.9324,5559569,0
20050228,1.9324,1.9656,1.8654,1.8654,4465691,0
20050301,1.9324,1.9738,1.9155,1.9738,6997703,0
20050302,1.9324,1.9488,1.9071,1.9155,5663792,0
20050303,1.9155,1.9239,1.8405,1.9071,6215055,0
20050304,1.9324,1.9488,1.8904,1.8988,4214134,0
20050307,1.8904,1.9572,1.8823,1.9239,5324462,0
20050308,1.9239,1.9239,1.8572,1.8741,5440096,0
20050309,1.8741,1.9071,1.8572,1.8741,3868199,0
20050310,1.8823,1.8988,1.8072,1.8988,4829995,0
20050311,1.9071,1.9071,1.7907,1.8155,4417057,0
20050314,1.8072,1.8405,1.8072,1.8155,2562753,0
20050315,1.8155,1.8238,1.7489,1.7573,3564291,0
20050316,1.7323,1.774,1.6989,1.724,5313777,0
20050317,1.7156,1.7489,1.7156,1.7407,2806142,0
20050318,1.7489,1.7489,1.7073,1.7073,3156038,0
20050321,1.724,1.7573,1.7073,1.724,2653524,0
20050322,1.7989,1.7989,1.7323,1.7407,4938426,0
20050323,1.7407,1.7907,1.7073,1.7073,5402031,0
20050324,1.724,1.7657,1.7156,1.7323,3701415,0
20050328,1.7323,1.7573,1.6823,1.6823,3499329,0
20050329,1.6989,1.7073,1.624,1.6407,4382838,0
20050330,1.6407,1.674,1.6326,1.6658,3427409,0
20050331,1.674,1.6905,1.6407,1.674,2903760,0
20050401,1.6989,1.7073,1.6407,1.6407,4280534,0
20050404,1.6573,1.6573,1.5991,1.6407,4492705,0
20050405,1.5907,1.5991,1.5407,1.5575,7904144,0
20050406,1.5657,1.5991,1.5407,1.5407,3631291,0
20050407,1.5575,1.5907,1.549,1.574,3326785,0
20050408,1.574,1.6075,1.5575,1.5825,2469811,0
20050411,1.5825,1.5825,1.5407,1.549,2077888,0
20050412,1.549,1.5657,1.5158,1.5575,3865440,0
20050413,1.5575,1.5825,1.5407,1.549,4028621,0
20050414,1.5575,1.5825,1.5407,1.574,4600654,0
20050415,1.5575,1.574,1.4659,1.4741,5042888,0
20050418,1.4741,1.5323,1.4741,1.5075,2907484,0
20050419,1.5323,1.5575,1.524,1.549,3163844,0
20050420,1.5657,1.5991,1.5075,1.524,5003626,0
20050421,1.574,1.8155,1.5407,1.7573,14835083,0
20050422,1.7489,1.7489,1.674,1.6989,5054896,0
20050425,1.6989,1.724,1.6573,1.674,3516019,0
20050426,1.6573,1.724,1.6491,1.6491,3599953,0
20050427,1.6491,1.6658,1.624,1.6407,2349976,0
20050428,1.624,1.6658,1.5991,1.5991,3799998,0
20050429,1.6075,1.6075,1.549,1.5907,3665993,0
20050502,1.5907,1.5991,1.574,1.5907,2666134,0
20050503,1.5825,1.6407,1.5825,1.5907,3172728,0
20050504,1.5991,1.6407,1.574,1.6158,3277912,0
20050505,1.6158,1.6658,1.6158,1.6407,4468454,0
20050506,1.6573,1.6658,1.6326,1.6491,2733254,0
20050509,1.6573,1.6573,1.6075,1.6407,1708660,0
20050510,1.624,1.6326,1.6158,1.624,3322700,0
20050511,1.6407,1.6491,1.6158,1.6407,3147992,0
20050512,1.6407,1.674,1.6326,1.6407,2661329,0
20050513,1.6491,1.7407,1.6491,1.6823,6008648,0
20050516,1.6905,1.7156,1.674,1.7073,1579459,0
20050517,1.6989,1.7323,1.6823,1.724,2512197,0
20050518,1.724,1.774,1.7073,1.7489,2940505,0
20050519,1.7489,1.8072,1.7489,1.774,3135264,0
20050520,1.774,1.8155,1.7573,1.7989,1826933,0
20050523,1.8072,1.8072,1.7489,1.7907,3263748,0
20050524,1.7824,1.8072,1.774,1.7907,3428725,0
20050525,1.7907,1.7907,1.7156,1.724,3733358,0
20050526,1.7489,1.774,1.7407,1.7573,2539698,0
20050527,1.7573,1.7573,1.7156,1.724,2041148,0
20050531,1.724,1.7573,1.7073,1.7156,2721248,0
20050601,1.7156,1.7573,1.7073,1.7407,3114851,0
20050602,1.7323,1.8654,1.7323,1.8405,6819868,0
20050603,1.8489,1.8823,1.8072,1.8405,3473997,0
20050606,1.8405,1.8489,1.8072,1.8405,3806720,0
20050607,1.8405,1.8988,1.8238,1.8323,4541337,0
20050608,1.8489,1.8741,1.8155,1.8155,3020352,0
20050609,1.8155,1.8988,1.7989,1.8823,3556125,0
20050610,1.8823,1.8823,1.8323,1.8489,2893196,0
20050613,1.8323,1.8572,1.8155,1.8405,2023014,0
20050614,1.8405,1.8741,1.8238,1.8323,1829211,0
20050615,1.8489,1.8572,1.774,1.8405,3163603,0
20050616,1.8654,1.9488,1.8654,1.9324,8112112,0
20050617,1.9324,1.9324,1.8489,1.8654,6908365,0
20050620,1.8405,1.8405,1.7989,1.8405,4384157,0
20050621,1.8489,1.8654,1.8323,1.8489,2892475,0
20050622,1.8489,1.8741,1.8489,1.8572,2826075,0
20050623,1.8489,1.9239,1.8489,1.8654,5926516,0
20050624,1.8489,1.8654,1.7657,1.774,10135246,0
20050627,1.7573,1.7657,1.7073,1.7156,5243893,0
20050628,1.7323,1.7489,1.7073,1.724,3440614,0
20050629,1.7323,1.7489,1.7073,1.7323,4009407,0
20050630,1.7407,1.7573,1.6658,1.6658,5741720,0
20050701,1.674,1.724,1.674,1.6989,3469551,0
20050705,1.6989,1.7573,1.6989,1.7323,3357283,0
20050706,1.724,1.7657,1.724,1.7407,3553125,0
20050707,1.6989,1.7407,1.6989,1.7407,5909106,0
20050708,1.7489,1.8072,1.7407,1.7989,3751969,0
20050711,1.8072,1.8323,1.7907,1.8072,3393546,0
20050712,1.7907,1.8072,1.774,1.7989,3108848,0
20050713,1.7989,1.8405,1.7824,1.8238,2527928,0
20050714,1.8489,1.8654,1.7989,1.8072,2725210,0
20050715,1.7907,1.8155,1.7573,1.8155,3178132,0
20050718,1.8072,1.8489,1.7989,1.8489,3789549,0
20050719,1.8572,1.8654,1.8323,1.8323,3403990,0
20050720,1.8072,1.9155,1.7907,1.8904,6137606,0
20050721,1.8904,1.9071,1.7824,1.8489,8056758,0
20050722,1.8489,1.8823,1.7989,1.8323,5393504,0
20050725,1.8323,1.8405,1.7989,1.8155,3254380,0
20050726,1.8238,1.8572,1.8155,1.8238,3032722,0
20050727,1.8238,1.8323,1.8072,1.8238,2756310,0
20050728,1.8238,1.9324,1.8238,1.9071,6407414,0
20050729,1.8988,1.9155,1.8654,1.9071,3277191,0
20050801,1.9071,1.9239,1.8988,1.9155,2753309,0
20050802,1.9239,1.9822,1.8823,1.9155,4636314,0
20050803,1.8988,1.9324,1.8904,1.9071,3436530,0
20050804,1.8904,1.8988,1.8654,1.8654,2589045,0
20050805,1.8572,1.9071,1.8489,1.8988,3517100,0
20050808,1.8988,1.9324,1.8823,1.8988,3018915,0
20050809,1.8988,1.9822,1.8988,1.9572,6295504,0
20050810,1.9488,2.0652,1.9488,2.0236,13230887,0
20050811,2.0236,2.0571,1.9987,2.0153,4939383,0
20050812,1.9904,2.0153,1.9738,2.0073,2525767,0
20050815,2.0073,2.0403,1.9904,2.0153,2602733,0
20050816,2.0153,2.0153,1.9406,1.9572,3989114,0
20050817,1.9656,1.9904,1.9572,1.9822,2753907,0
20050818,1.9738,1.9987,1.9572,1.9904,2623625,0
20050819,1.9987,1.9987,1.9488,1.9572,2406172,0
20050822,1.9738,1.9987,1.9572,1.9904,2332686,0
20050823,1.9987,2.0073,1.9822,1.9904,1474272,0
20050824,1.9904,2.0153,1.9572,1.9822,2416738,0
20050825,1.9822,1.9987,1.9656,1.9822,1349997,0
20050826,1.9987,2.032,1.9738,1.9822,4693472,0
20050829,1.9656,1.9987,1.9656,1.9987,2631674,0
20050830,1.9904,1.9987,1.9656,1.9904,3664794,0
20050831,2.0652,2.0901,2.0236,2.0735,8331849,0
20050901,2.0735,2.0901,2.0571,2.0652,3104406,0
20050902,2.0652,2.0987,2.0652,2.0901,3283196,0
20050906,2.1152,2.1571,2.1071,2.1487,5675561,0
20050907,2.1487,2.1904,2.1152,2.1819,5359163,0
20050908,2.232,2.232,2.1405,2.1653,8572357,0
20050909,2.1819,2.1985,2.1071,2.1487,6254442,0
20050912,2.1487,2.1985,2.1321,2.1487,3645220,0
20050913,2.1487,2.1736,2.1071,2.1405,3730234,0
20050914,2.1571,2.1653,2.0819,2.0987,3218120,0
20050915,2.1071,2.1236,2.032,2.0485,5796478,0
20050916,2.0571,2.0571,1.9987,2.0236,5418723,0
20050919,2.0485,2.1152,2.0403,2.0571,6081890,0
20050920,2.0735,2.0735,1.9987,1.9987,4913448,0
20050921,1.9987,1.9987,1.8823,1.8988,8754991,0
20050922,1.8904,1.9406,1.8405,1.9239,8849251,0
20050923,1.9239,1.9738,1.9239,1.9656,4384399,0
20050926,2.0153,2.0236,1.9239,1.9324,3609920,0
20050927,1.8904,1.8988,1.8405,1.8572,7434290,0
20050928,1.8572,1.8904,1.8238,1.8323,4930982,0
20050929,1.8323,1.9239,1.7824,1.9071,5363367,0
20050930,1.8988,2.0236,1.8988,1.9987,7904861,0
20051003,1.9904,2.0073,1.9406,1.9406,4849567,0
20051004,1.9488,2.0073,1.9406,1.9656,5905384,0
