Date,Open,High,Low,Close,Volume,OpenInt
20150724,0.55,1.25,0.55,0.68,213800,0
20150727,0.75,0.78,0.7,0.75,54700,0
20150728,0.8,1.12,0.8,1.05,232000,0
20150729,1.02,1.1,0.77,0.77,203700,0
20150730,0.8,0.88,0.76,0.86,38100,0
20150731,0.82,0.86,0.78,0.8,65600,0
20150803,0.81,1.04,0.771,0.84,109492,0
20150804,0.85,0.9,0.73,0.9,37600,0
20150805,0.85,0.95,0.79,0.8,29800,0
20150806,0.94,0.94,0.67,0.7,73495,0
20150807,0.77,1.03,0.77,0.84,96100,0
20150810,0.95,0.98,0.81,0.81,91100,0
20150811,0.85,0.9,0.832,0.88,14459,0
20150812,0.88,0.88,0.8,0.88,53500,0
20150813,0.85,0.88,0.8,0.85,27900,0
20150814,0.85,0.85,0.72,0.75,9700,0
20150817,0.8,0.99,0.8,0.87,81400,0
20150818,0.9,0.93,0.84,0.9,34900,0
20150819,0.9,1.03,0.9,1,39400,0
20150820,1,1.05,0.9,1,20500,0
20150821,1.05,1.05,0.81,0.86,61300,0
20150824,0.8,0.85,0.8,0.85,14200,0
20150825,0.9,0.9,0.81,0.85,10700,0
20150826,0.9,0.9,0.81,0.85,29700,0
20150827,0.81,0.87,0.78,0.78,12600,0
20150828,0.83,0.85,0.76,0.76,2100,0
20150831,0.81,0.85,0.77,0.81,21400,0
20150901,0.79,0.79,0.73,0.78,41900,0
20150902,0.78,0.78,0.74,0.77,11400,0
20150903,0.76,0.82,0.74,0.78,39600,0
20150904,0.74,0.78,0.66,0.78,20100,0
20150908,0.8,0.95,0.76,0.8,15500,0
20150909,0.85,0.85,0.85,0.85,100,0
20150910,0.8,0.945,0.68,0.7599,132306,0
20150911,0.74,0.8,0.74,0.8,7700,0
20150914,0.81,0.85,0.72,0.77,11900,0
20150915,0.77,0.81,0.67,0.77,33600,0
20150916,0.72,0.8,0.72,0.79,14000,0
20150917,0.8,0.9,0.8,0.85,44200,0
20150918,0.76,0.76,0.76,0.76,300,0
20150921,0.78,0.8,0.62,0.68,157100,0
20150922,0.73,0.73,0.73,0.73,500,0
20150923,0.75,0.79,0.71,0.75,11700,0
20150924,0.78,0.78,0.7,0.7099,14939,0
20150925,0.75,0.75,0.75,0.75,500,0
20150928,0.665,0.7399,0.66,0.7399,3930,0
20150929,0.63,0.74,0.63,0.74,7200,0
20150930,0.74,0.74,0.45,0.67,66800,0
20151001,0.7,0.71,0.63,0.69,23600,0
20151002,0.73,0.73,0.69,0.7,9700,0
20151005,0.72,0.75,0.7,0.7499,2400,0
20151006,0.75,0.76,0.7,0.75,24900,0
20151007,0.77,0.77,0.7,0.74,4100,0
20151008,0.72,0.75,0.72,0.75,500,0
20151009,0.78,0.78,0.7,0.77,25200,0
20151012,0.76,0.77,0.721,0.75,15200,0
20151013,0.72,0.77,0.72,0.77,2000,0
20151015,0.72,0.76,0.72,0.76,1600,0
20151019,0.68,0.75,0.68,0.75,1100,0
20151021,0.75,0.8,0.72,0.76,15400,0
20151022,0.73,0.79,0.68,0.79,16700,0
20151023,0.75,0.79,0.66,0.75,11300,0
20151027,0.72,0.75,0.72,0.75,5600,0
20151028,0.79,0.79,0.79,0.79,6000,0
20151029,0.79,0.8,0.75,0.75,4300,0
20151102,0.799,0.7999,0.7,0.7,2700,0
20151103,0.65,0.69,0.4,0.59,208700,0
20151104,0.6499,0.6499,0.425,0.57,3302,0
20151105,0.6,0.64,0.59,0.64,2500,0
20151106,0.64,0.7,0.6,0.7,19500,0
20151109,0.6501,0.6501,0.4551,0.64,3331,0
20151110,0.65,0.65,0.6,0.6,4900,0
20151111,0.6,0.6,0.44,0.5,18200,0
20151112,0.6,0.6,0.43,0.5,21900,0
20151113,0.5,0.52,0.49,0.5,6700,0
20151117,0.5,0.6,0.45,0.55,2200,0
20151118,0.56,0.56,0.42,0.5,4600,0
20151119,0.48,0.55,0.48,0.55,12400,0
20151120,0.55,0.6,0.55,0.6,12700,0
20151123,0.59,0.59,0.59,0.59,1200,0
20151124,0.61,0.65,0.61,0.65,6700,0
20151130,0.65,0.7,0.65,0.7,6600,0
20151201,0.664,0.7,0.66,0.6999,4110,0
20151203,0.67,0.69,0.62,0.69,5100,0
20151208,0.675,0.675,0.675,0.675,500,0
20151209,0.67,0.72,0.66,0.7,2600,0
20151211,0.62,0.62,0.56,0.62,6200,0
20151214,0.57,0.65,0.57,0.65,3000,0
20151215,0.59,0.68,0.57,0.65,5000,0
20151222,0.57,0.6499,0.57,0.6499,4100,0
20151223,0.57,0.65,0.57,0.65,1200,0
20160105,0.65,0.65,0.65,0.65,1000,0
20160114,0.6,0.64,0.6,0.6399,9481,0
20160115,0.64,0.6499,0.6,0.6299,1399,0
20160121,0.6,0.6,0.6,0.6,200,0
20160125,0.6,0.65,0.6,0.65,10200,0
20160126,0.56,0.62,0.56,0.6,8700,0
20160127,0.56,0.62,0.56,0.62,2700,0
20160129,0.62,0.62,0.55,0.6199,14900,0
20160211,0.5,0.5999,0.5,0.5999,600,0
20160212,0.4,0.5899,0.4,0.5899,10300,0
20160216,0.5999,0.5999,0.36,0.4399,52100,0
20160217,0.44,0.44,0.43,0.44,6983,0
20160218,0.44,0.44,0.44,0.44,500,0
20160301,0.42,0.4899,0.42,0.47,6500,0
20160302,0.4899,0.51,0.48,0.48,46650,0
20160303,0.4999,0.6,0.4999,0.5,64682,0
20160304,0.5,0.5899,0.5,0.57,21200,0
20160307,0.55,0.55,0.5,0.55,2000,0
20160309,0.515,0.6,0.51,0.57,18254,0
20160310,0.5499,0.5745,0.5499,0.5745,30000,0
20160316,0.5485,0.5485,0.5485,0.5485,2820,0
20160317,0.55,0.55,0.493,0.55,12200,0
20160318,0.55,0.55,0.4891,0.5028,11900,0
20160322,0.45,0.5,0.45,0.5,4600,0
20160328,0.45,0.5,0.45,0.5,6570,0
20160329,0.5,0.5,0.47,0.5,13300,0
20160330,0.5,0.55,0.5,0.55,4100,0
20160331,0.45,0.55,0.45,0.55,3700,0
20160401,0.45,0.55,0.45,0.55,2707,0
20160411,0.6,0.6,0.55,0.55,5100,0
20160413,0.56,0.65,0.56,0.6399,8950,0
20160414,0.66,0.69,0.66,0.66,2100,0
